Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Richard Barrett,Farah Kalbouneh,Paul Simas,Paul Szabo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Mississauga South/Mississauga-Sud"," 52","Mississauga",32,1,37,2,21,2,95,321
35050,"Mississauga South/Mississauga-Sud"," 53","Mississauga",43,0,24,8,23,0,98,257
35050,"Mississauga South/Mississauga-Sud"," 54","Mississauga",49,2,52,4,40,2,149,427
35050,"Mississauga South/Mississauga-Sud"," 55","Mississauga",27,0,19,1,21,0,68,144
35050,"Mississauga South/Mississauga-Sud"," 56","Mississauga",78,1,47,3,49,1,179,515
35050,"Mississauga South/Mississauga-Sud"," 57","Mississauga",120,1,44,7,73,2,247,576
35050,"Mississauga South/Mississauga-Sud"," 58","Mississauga",18,0,10,0,19,0,47,116
35050,"Mississauga South/Mississauga-Sud"," 59","Mississauga",125,0,6,3,74,0,208,358
35050,"Mississauga South/Mississauga-Sud"," 60","Mississauga",165,0,14,2,93,0,274,492
35050,"Mississauga South/Mississauga-Sud"," 61","Mississauga",151,0,17,5,78,2,253,419
35050,"Mississauga South/Mississauga-Sud"," 62","Mississauga",100,0,25,9,73,2,209,404
35050,"Mississauga South/Mississauga-Sud"," 63","Mississauga",149,0,15,10,88,0,262,433
35050,"Mississauga South/Mississauga-Sud"," 64","Mississauga",113,1,15,8,95,0,232,368
35050,"Mississauga South/Mississauga-Sud"," 65","Mississauga",91,0,18,8,62,0,179,299
35050,"Mississauga South/Mississauga-Sud"," 66","Mississauga",101,0,34,7,84,0,226,366
35050,"Mississauga South/Mississauga-Sud"," 67","Mississauga",95,0,32,7,103,0,237,396
35050,"Mississauga South/Mississauga-Sud"," 68","Mississauga",82,0,35,5,53,1,176,305
35050,"Mississauga South/Mississauga-Sud"," 69","Mississauga",75,1,37,15,62,1,191,375
35050,"Mississauga South/Mississauga-Sud"," 70","Mississauga",93,0,40,6,90,0,229,425
35050,"Mississauga South/Mississauga-Sud"," 71","Mississauga",85,0,21,10,84,0,200,386
35050,"Mississauga South/Mississauga-Sud"," 72","Mississauga",62,0,32,5,54,0,153,292
35050,"Mississauga South/Mississauga-Sud"," 73","Mississauga",119,0,45,10,103,0,277,449
35050,"Mississauga South/Mississauga-Sud"," 74","Mississauga",56,0,35,4,27,1,123,244
35050,"Mississauga South/Mississauga-Sud"," 75","Mississauga",74,0,36,16,67,0,193,344
35050,"Mississauga South/Mississauga-Sud"," 76A","Mississauga",103,0,17,2,74,1,197,340
35050,"Mississauga South/Mississauga-Sud"," 76B","Mississauga",95,0,13,6,75,0,189,350
35050,"Mississauga South/Mississauga-Sud"," 77","Mississauga",96,0,15,3,84,0,198,327
35050,"Mississauga South/Mississauga-Sud"," 78","Mississauga",151,1,18,1,89,0,260,415
35050,"Mississauga South/Mississauga-Sud"," 79","Mississauga",118,0,20,4,108,4,254,431
35050,"Mississauga South/Mississauga-Sud"," 80","Mississauga",143,1,18,7,65,1,235,369
35050,"Mississauga South/Mississauga-Sud"," 81","Mississauga",171,0,16,6,98,0,291,441
35050,"Mississauga South/Mississauga-Sud"," 82","Mississauga",73,1,11,1,42,1,129,262
35050,"Mississauga South/Mississauga-Sud"," 83","Mississauga",150,1,14,1,82,0,248,434
35050,"Mississauga South/Mississauga-Sud"," 84","Mississauga",121,2,12,2,83,1,221,431
35050,"Mississauga South/Mississauga-Sud"," 85","Mississauga",113,0,26,8,113,0,260,461
35050,"Mississauga South/Mississauga-Sud"," 86","Mississauga",135,0,13,7,83,2,240,435
35050,"Mississauga South/Mississauga-Sud"," 87A","Mississauga",207,1,13,1,83,0,305,504
35050,"Mississauga South/Mississauga-Sud"," 87B","Mississauga",203,1,15,4,98,2,323,537
35050,"Mississauga South/Mississauga-Sud"," 88","Mississauga",67,0,5,1,49,0,122,216
35050,"Mississauga South/Mississauga-Sud"," 89","Mississauga",136,1,14,8,73,0,232,336
35050,"Mississauga South/Mississauga-Sud"," 90","Mississauga",83,2,52,7,56,0,200,353
35050,"Mississauga South/Mississauga-Sud"," 91","Mississauga",70,4,29,11,55,4,173,302
35050,"Mississauga South/Mississauga-Sud"," 92","Mississauga",69,0,40,3,38,1,151,315
35050,"Mississauga South/Mississauga-Sud"," 93","Mississauga",67,2,48,6,41,1,165,382
35050,"Mississauga South/Mississauga-Sud"," 94","Mississauga",65,2,35,5,50,1,158,277
35050,"Mississauga South/Mississauga-Sud"," 95","Mississauga",56,0,33,12,52,1,154,251
35050,"Mississauga South/Mississauga-Sud"," 96","Mississauga",83,0,51,3,48,2,187,371
35050,"Mississauga South/Mississauga-Sud"," 97","Mississauga",61,0,30,3,76,0,170,282
35050,"Mississauga South/Mississauga-Sud"," 98","Mississauga",82,2,32,9,56,1,182,325
35050,"Mississauga South/Mississauga-Sud"," 99","Mississauga",72,0,22,8,53,1,156,364
35050,"Mississauga South/Mississauga-Sud"," 100","Mississauga",64,3,20,7,46,0,140,280
35050,"Mississauga South/Mississauga-Sud"," 101","Mississauga",106,0,13,2,75,1,197,348
35050,"Mississauga South/Mississauga-Sud"," 102","Mississauga",114,0,11,5,108,1,239,471
35050,"Mississauga South/Mississauga-Sud"," 103","Mississauga",75,1,29,4,71,0,180,312
35050,"Mississauga South/Mississauga-Sud"," 104","Mississauga",143,0,28,6,98,1,276,440
35050,"Mississauga South/Mississauga-Sud"," 105","Mississauga",104,0,6,6,91,0,207,426
35050,"Mississauga South/Mississauga-Sud"," 106","Mississauga",131,1,18,5,93,0,248,389
35050,"Mississauga South/Mississauga-Sud"," 107","Mississauga",112,0,16,4,71,0,203,435
35050,"Mississauga South/Mississauga-Sud"," 108","Mississauga",134,0,20,16,93,0,263,506
35050,"Mississauga South/Mississauga-Sud"," 109","Mississauga",124,2,17,4,74,2,223,380
35050,"Mississauga South/Mississauga-Sud"," 110","Mississauga",156,1,9,4,83,1,254,431
35050,"Mississauga South/Mississauga-Sud"," 111","Mississauga",78,0,16,8,50,5,157,265
35050,"Mississauga South/Mississauga-Sud"," 112","Mississauga",71,1,4,5,74,0,155,276
35050,"Mississauga South/Mississauga-Sud"," 113","Mississauga",135,1,13,4,99,0,252,421
35050,"Mississauga South/Mississauga-Sud"," 114","Mississauga",111,1,9,9,68,1,199,373
35050,"Mississauga South/Mississauga-Sud"," 115","Mississauga",105,1,12,5,51,0,174,347
35050,"Mississauga South/Mississauga-Sud"," 116","Mississauga",125,1,10,4,70,0,210,392
35050,"Mississauga South/Mississauga-Sud"," 117A","Mississauga",66,1,22,7,32,1,129,272
35050,"Mississauga South/Mississauga-Sud"," 117B","Mississauga",54,0,28,5,54,0,141,313
35050,"Mississauga South/Mississauga-Sud"," 118","Mississauga",63,0,19,7,40,0,129,266
35050,"Mississauga South/Mississauga-Sud"," 119","Mississauga",66,0,12,1,52,0,131,269
35050,"Mississauga South/Mississauga-Sud"," 120","Mississauga",91,0,13,3,86,1,194,410
35050,"Mississauga South/Mississauga-Sud"," 121","Mississauga",108,2,13,8,96,0,227,436
35050,"Mississauga South/Mississauga-Sud"," 122","Mississauga",65,1,30,2,46,0,144,353
35050,"Mississauga South/Mississauga-Sud"," 123","Mississauga",75,1,33,8,58,0,175,395
35050,"Mississauga South/Mississauga-Sud"," 124","Mississauga",85,0,37,8,66,2,198,425
35050,"Mississauga South/Mississauga-Sud"," 125","Mississauga",133,1,19,11,77,0,241,381
35050,"Mississauga South/Mississauga-Sud"," 126","Mississauga",126,0,21,10,113,0,270,417
35050,"Mississauga South/Mississauga-Sud"," 127","Mississauga",116,0,17,3,82,1,219,405
35050,"Mississauga South/Mississauga-Sud"," 128","Mississauga",89,1,21,4,52,1,168,320
35050,"Mississauga South/Mississauga-Sud"," 129","Mississauga",82,2,23,6,110,0,223,429
35050,"Mississauga South/Mississauga-Sud"," 130","Mississauga",94,1,14,4,58,0,171,380
35050,"Mississauga South/Mississauga-Sud"," 131","Mississauga",147,1,16,10,96,3,273,488
35050,"Mississauga South/Mississauga-Sud"," 132","Mississauga",85,0,30,4,82,1,202,327
35050,"Mississauga South/Mississauga-Sud"," 133","Mississauga",76,0,24,13,74,1,188,374
35050,"Mississauga South/Mississauga-Sud"," 134","Mississauga",64,2,39,5,38,0,148,371
35050,"Mississauga South/Mississauga-Sud"," 135","Mississauga",77,0,21,6,91,2,197,356
35050,"Mississauga South/Mississauga-Sud"," 136A","Mississauga",74,0,24,3,81,0,182,303
35050,"Mississauga South/Mississauga-Sud"," 136B","Mississauga",68,0,17,5,64,0,154,274
35050,"Mississauga South/Mississauga-Sud"," 137","Mississauga",Merged with No. 138/Fusionné avec le nº 138,,,,,,,60
35050,"Mississauga South/Mississauga-Sud"," 138","Mississauga",125,0,37,15,124,1,302,457
35050,"Mississauga South/Mississauga-Sud"," 139","Mississauga",65,1,8,6,68,0,148,304
35050,"Mississauga South/Mississauga-Sud"," 140","Mississauga",104,2,18,10,59,0,193,330
35050,"Mississauga South/Mississauga-Sud"," 141","Mississauga",88,0,28,9,57,0,182,345
35050,"Mississauga South/Mississauga-Sud"," 142","Mississauga",74,1,45,5,90,0,215,457
35050,"Mississauga South/Mississauga-Sud"," 143","Mississauga",99,0,38,12,50,0,199,472
35050,"Mississauga South/Mississauga-Sud"," 144","Mississauga",82,0,19,6,55,0,162,259
35050,"Mississauga South/Mississauga-Sud"," 145","Mississauga",102,0,18,6,78,0,204,370
35050,"Mississauga South/Mississauga-Sud"," 146","Mississauga",88,0,21,6,79,0,194,334
35050,"Mississauga South/Mississauga-Sud"," 147","Mississauga",74,0,10,4,78,0,166,255
35050,"Mississauga South/Mississauga-Sud"," 148","Mississauga",108,0,10,8,81,0,207,336
35050,"Mississauga South/Mississauga-Sud"," 149","Mississauga",125,1,9,7,77,0,219,387
35050,"Mississauga South/Mississauga-Sud"," 150","Mississauga",144,0,22,6,99,0,271,558
35050,"Mississauga South/Mississauga-Sud"," 151A","Mississauga",66,0,25,2,58,0,151,265
35050,"Mississauga South/Mississauga-Sud"," 151B","Mississauga",83,1,29,4,79,0,196,328
35050,"Mississauga South/Mississauga-Sud"," 152A","Mississauga",27,1,26,2,66,0,122,320
35050,"Mississauga South/Mississauga-Sud"," 152B","Mississauga",29,1,26,0,44,0,100,281
35050,"Mississauga South/Mississauga-Sud"," 153A","Mississauga",11,0,18,3,45,1,78,246
35050,"Mississauga South/Mississauga-Sud"," 153B","Mississauga",11,0,22,0,36,0,69,265
35050,"Mississauga South/Mississauga-Sud"," 154","Mississauga",25,1,25,2,40,1,94,327
35050,"Mississauga South/Mississauga-Sud"," 155","Mississauga",18,3,27,1,45,0,94,304
35050,"Mississauga South/Mississauga-Sud"," 156","Mississauga",66,1,48,4,62,1,182,423
35050,"Mississauga South/Mississauga-Sud"," 157","Mississauga",74,3,19,8,65,0,169,273
35050,"Mississauga South/Mississauga-Sud"," 158","Mississauga",89,0,14,2,76,0,181,283
35050,"Mississauga South/Mississauga-Sud"," 159","Mississauga",72,1,14,6,65,0,158,238
35050,"Mississauga South/Mississauga-Sud"," 160","Mississauga",66,0,32,10,74,1,183,412
35050,"Mississauga South/Mississauga-Sud"," 161","Mississauga",99,2,11,6,104,1,223,341
35050,"Mississauga South/Mississauga-Sud"," 162","Mississauga",51,0,11,3,70,0,135,209
35050,"Mississauga South/Mississauga-Sud"," 163","Mississauga",68,0,14,0,46,0,128,221
35050,"Mississauga South/Mississauga-Sud"," 164","Mississauga",90,0,19,4,47,0,160,327
35050,"Mississauga South/Mississauga-Sud"," 165","Mississauga",68,0,30,4,65,0,167,347
35050,"Mississauga South/Mississauga-Sud"," 166","Mississauga",79,1,31,9,82,2,204,396
35050,"Mississauga South/Mississauga-Sud"," 167","Mississauga",119,1,28,11,116,3,278,396
35050,"Mississauga South/Mississauga-Sud"," 168","Mississauga",126,1,29,6,86,0,248,384
35050,"Mississauga South/Mississauga-Sud"," 169","Mississauga",110,1,54,10,82,0,257,454
35050,"Mississauga South/Mississauga-Sud"," 170A","Mississauga",55,0,5,3,44,2,109,247
35050,"Mississauga South/Mississauga-Sud"," 170B","Mississauga",61,0,15,6,51,0,133,276
35050,"Mississauga South/Mississauga-Sud"," 171","Mississauga",57,2,28,6,44,1,138,310
35050,"Mississauga South/Mississauga-Sud"," 172","Mississauga",64,0,15,8,56,0,143,258
35050,"Mississauga South/Mississauga-Sud"," 173","Mississauga",42,1,19,1,53,0,116,219
35050,"Mississauga South/Mississauga-Sud"," 174","Mississauga",65,2,27,7,54,0,155,324
35050,"Mississauga South/Mississauga-Sud"," 175","Mississauga",104,1,22,11,53,0,191,392
35050,"Mississauga South/Mississauga-Sud"," 176","Mississauga",50,0,17,3,32,0,102,224
35050,"Mississauga South/Mississauga-Sud"," 177","Mississauga",74,1,27,13,42,1,158,350
35050,"Mississauga South/Mississauga-Sud"," 178","Mississauga",53,1,42,4,37,2,139,392
35050,"Mississauga South/Mississauga-Sud"," 179","Mississauga",45,0,40,9,55,0,149,408
35050,"Mississauga South/Mississauga-Sud"," 180","Mississauga",45,2,25,6,40,0,118,279
35050,"Mississauga South/Mississauga-Sud"," 181","Mississauga",79,0,24,4,55,0,162,355
35050,"Mississauga South/Mississauga-Sud"," 182","Mississauga",90,2,41,7,88,0,228,399
35050,"Mississauga South/Mississauga-Sud"," 183","Mississauga",62,0,28,3,29,2,124,268
35050,"Mississauga South/Mississauga-Sud"," 184","Mississauga",80,5,31,3,39,1,159,366
35050,"Mississauga South/Mississauga-Sud"," 185","Mississauga",47,2,31,4,39,0,123,327
35050,"Mississauga South/Mississauga-Sud"," 186","Mississauga",83,0,47,5,49,0,184,381
35050,"Mississauga South/Mississauga-Sud"," 187","Mississauga",75,0,22,4,59,1,161,339
35050,"Mississauga South/Mississauga-Sud"," 188","Mississauga",86,0,32,6,100,1,225,351
35050,"Mississauga South/Mississauga-Sud"," 189A","Mississauga",41,2,19,2,35,0,99,240
35050,"Mississauga South/Mississauga-Sud"," 189B","Mississauga",49,1,37,1,41,0,129,262
35050,"Mississauga South/Mississauga-Sud"," 190","Mississauga",50,0,45,7,54,0,156,327
35050,"Mississauga South/Mississauga-Sud"," 191","Mississauga",84,0,40,11,59,0,194,388
35050,"Mississauga South/Mississauga-Sud"," 192","Mississauga",53,0,21,6,23,1,104,226
35050,"Mississauga South/Mississauga-Sud"," 193","Mississauga",35,0,37,3,37,1,113,260
35050,"Mississauga South/Mississauga-Sud"," 194A","Mississauga",62,0,35,8,47,0,152,372
35050,"Mississauga South/Mississauga-Sud"," 194B","Mississauga",67,2,36,7,38,1,151,393
35050,"Mississauga South/Mississauga-Sud"," 195","Mississauga",72,1,20,4,51,1,149,361
35050,"Mississauga South/Mississauga-Sud"," 196","Mississauga",Void/Supprimé,,,,,,,
35050,"Mississauga South/Mississauga-Sud"," 197","Mississauga",105,2,11,7,100,0,225,382
35050,"Mississauga South/Mississauga-Sud"," 400","Mississauga",130,0,25,5,113,0,273,346
35050,"Mississauga South/Mississauga-Sud"," 401","Mississauga",91,0,43,9,91,4,238,344
35050,"Mississauga South/Mississauga-Sud"," 402","Mississauga",106,2,46,3,72,0,229,350
35050,"Mississauga South/Mississauga-Sud"," 403","Mississauga",62,0,30,3,73,2,170,271
35050,"Mississauga South/Mississauga-Sud"," 404","Mississauga",36,3,50,3,52,2,146,421
35050,"Mississauga South/Mississauga-Sud"," 405","Mississauga",Void/Supprimé,,,,,,,
35050,"Mississauga South/Mississauga-Sud"," 406","Mississauga",51,1,57,1,32,0,142,335
35050,"Mississauga South/Mississauga-Sud"," 407","Mississauga",30,1,17,1,23,0,72,217
35050,"Mississauga South/Mississauga-Sud"," 408","Mississauga",34,0,29,1,23,1,88,231
35050,"Mississauga South/Mississauga-Sud"," 409","Mississauga",54,0,36,7,44,1,142,298
35050,"Mississauga South/Mississauga-Sud"," 410","Mississauga",Void/Supprimé,,,,,,,
35050,"Mississauga South/Mississauga-Sud"," 411","Mississauga",47,2,15,0,39,1,104,147
35050,"Mississauga South/Mississauga-Sud"," 412","Mississauga",56,1,43,9,32,1,142,342
35050,"Mississauga South/Mississauga-Sud"," 500","Mobile poll/Bureau itinérant",27,6,7,4,16,4,64,293
35050,"Mississauga South/Mississauga-Sud"," 501","Mobile poll/Bureau itinérant",46,2,11,3,46,4,112,199
35050,"Mississauga South/Mississauga-Sud"," 502","Mobile poll/Bureau itinérant",30,2,13,0,28,0,73,296
35050,"Mississauga South/Mississauga-Sud"," 503","Mobile poll/Bureau itinérant",44,2,15,3,55,0,119,177
35050,"Mississauga South/Mississauga-Sud"," 600","Mississauga",320,2,47,20,301,1,691,
35050,"Mississauga South/Mississauga-Sud"," 601","Mississauga",370,3,81,27,356,5,842,
35050,"Mississauga South/Mississauga-Sud"," 602","Mississauga",347,1,60,13,346,1,768,
35050,"Mississauga South/Mississauga-Sud"," 603","Mississauga",263,1,42,16,269,2,593,
35050,"Mississauga South/Mississauga-Sud"," 604","Mississauga",302,3,43,14,266,1,629,
35050,"Mississauga South/Mississauga-Sud"," 605","Mississauga",524,0,48,22,455,4,1053,
35050,"Mississauga South/Mississauga-Sud"," 606","Mississauga",524,2,37,28,561,2,1154,
35050,"Mississauga South/Mississauga-Sud"," 607","Mississauga",327,2,46,21,363,3,762,
35050,"Mississauga South/Mississauga-Sud"," 608","Mississauga",231,2,76,16,370,0,695,
35050,"Mississauga South/Mississauga-Sud"," 609","Mississauga",360,3,99,31,365,2,860,
35050,"Mississauga South/Mississauga-Sud",,Group 1/Groupe 1,46,0,5,3,43,4,101,162
35050,"Mississauga South/Mississauga-Sud",,Group 2/Groupe 2,562,3,66,28,638,5,1302,
