Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Ackad,Francis Scarpaleggia,Larry Smith,Éric Taillefer,Bruno Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 51","Kirkland",49,92,74,5,8,0,228,390
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 51-1","Kirkland",40,66,39,2,3,0,150,264
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 52","Kirkland",86,111,92,6,5,2,302,500
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 53","Kirkland",68,91,95,4,5,0,263,450
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 54","Kirkland",62,94,70,0,5,0,231,406
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 55","Kirkland",32,20,33,0,2,2,89,183
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 56","Pointe-Claire",67,62,67,1,4,2,203,439
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 57","Pointe-Claire",49,50,61,0,5,0,165,328
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 58","Pointe-Claire",132,89,68,6,25,0,320,561
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 59","Pointe-Claire",33,24,32,1,6,2,98,236
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 60","Pointe-Claire",44,40,20,3,7,0,114,324
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 61","Pointe-Claire",101,60,75,3,16,1,256,372
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 62","Pointe-Claire",89,85,58,0,12,4,248,394
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 63","Kirkland",53,58,68,1,18,1,199,397
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 64","Kirkland",99,72,80,3,11,0,265,470
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 65","Kirkland",69,84,72,6,9,0,240,449
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 66","Kirkland",46,61,54,7,3,2,173,348
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 67","Kirkland",71,106,81,2,8,0,268,459
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 67-1","Kirkland",62,62,77,2,5,1,209,416
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 68","Kirkland",51,97,66,6,8,2,230,414
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 68-1","Kirkland",52,88,58,5,5,3,211,370
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 69","Kirkland",72,94,81,4,3,2,256,435
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 69-1","Kirkland",33,68,53,4,7,1,166,298
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 70","Kirkland",76,78,60,7,8,1,230,418
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 71","Kirkland",86,88,73,11,5,2,265,403
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 72","Kirkland",60,76,71,7,9,0,223,400
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 73","Kirkland",84,80,58,3,7,3,235,474
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 74","Kirkland",86,78,75,5,16,2,262,464
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 75","Kirkland",85,84,42,4,12,1,228,403
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 76","Kirkland",47,37,50,2,9,1,146,251
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 76-1","Kirkland",47,70,83,3,6,1,210,365
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 77","Kirkland",40,66,43,5,3,1,158,340
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 77-1","Kirkland",63,57,56,9,5,1,191,323
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 78","Kirkland",71,132,92,6,10,0,311,552
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 79","Kirkland",89,101,87,3,11,1,292,459
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 80","Kirkland",31,45,37,3,0,1,117,255
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 80-1","Kirkland",64,63,42,4,14,1,188,367
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 81","Kirkland",66,81,67,2,8,1,225,415
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 82","Kirkland",76,108,99,0,7,2,292,477
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 83","Senneville",47,56,60,6,18,1,188,365
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 84","Sainte-Anne-de-Bellevue",103,60,84,11,14,1,273,435
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 84-1","Sainte-Anne-de-Bellevue",72,50,47,3,3,3,178,281
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 85","Sainte-Anne-de-Bellevue",78,48,66,9,13,0,214,351
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 85-1","Sainte-Anne-de-Bellevue",70,55,65,10,7,0,207,342
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 86","Baie-d'Urfé",100,109,85,4,10,0,308,497
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 87","Baie-d'Urfé",50,71,67,1,13,3,205,367
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 88","Baie-d'Urfé",54,111,64,3,12,1,245,399
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 89","Baie-d'Urfé",58,99,50,5,8,0,220,326
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 90","Baie-d'Urfé",74,95,96,6,13,4,288,477
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 91","Baie-d'Urfé",66,90,68,6,5,1,236,412
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 92","Baie-d'Urfé",60,105,69,12,14,1,261,402
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 93","Sainte-Anne-de-Bellevue",64,30,20,3,15,2,134,211
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 94","Sainte-Anne-de-Bellevue",90,49,28,13,8,1,189,384
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 95","Sainte-Anne-de-Bellevue",68,32,20,11,9,0,140,357
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 96","Sainte-Anne-de-Bellevue",77,27,28,10,16,0,158,305
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 97","Sainte-Anne-de-Bellevue",71,17,16,16,13,3,136,292
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 98","Sainte-Anne-de-Bellevue",44,35,30,9,2,2,122,266
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 98-1","Sainte-Anne-de-Bellevue",89,59,40,10,21,0,219,344
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 99","Senneville",50,90,54,9,10,1,214,351
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 100","Beaconsfield",55,65,113,3,4,0,240,479
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 101","Beaconsfield",52,65,92,3,5,0,217,377
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 101-1","Beaconsfield",34,79,74,1,3,0,191,300
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 102","Beaconsfield",81,120,74,5,7,1,288,515
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 103","Beaconsfield",71,94,108,4,10,1,288,509
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 104","Beaconsfield",81,91,84,4,20,0,280,435
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 105","Beaconsfield",80,78,71,9,5,0,243,417
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 106","Beaconsfield",62,81,90,3,7,0,243,425
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 107","Beaconsfield",76,94,76,4,7,0,257,455
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 108","Beaconsfield",66,75,62,4,10,0,217,360
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 109","Beaconsfield",58,94,80,1,8,0,241,395
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 110","Beaconsfield",95,93,68,3,8,1,268,537
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 111","Beaconsfield",71,84,72,2,10,1,240,434
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 112","Beaconsfield",45,64,52,6,6,1,174,335
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 113","Beaconsfield",55,60,41,3,8,0,167,300
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 114","Beaconsfield",72,103,90,3,16,1,285,475
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 115","Beaconsfield",93,96,72,2,16,1,280,531
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 116","Beaconsfield",61,97,93,4,6,0,261,455
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 117","Beaconsfield",24,44,66,1,3,0,138,250
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 117-1","Beaconsfield",99,93,95,4,16,2,309,545
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 118","Beaconsfield",62,81,57,4,11,1,216,375
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 119","Beaconsfield",90,82,67,3,25,1,268,448
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 120","Beaconsfield",69,111,48,6,9,1,244,422
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 121","Beaconsfield",83,91,72,3,10,2,261,456
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 122","Beaconsfield",74,105,84,8,5,0,276,474
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 123","Beaconsfield",82,106,84,11,17,2,302,479
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 124","Beaconsfield",104,103,61,5,15,0,288,430
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 125","Pointe-Claire",93,64,38,8,21,0,224,402
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 126","Pointe-Claire",63,69,52,10,11,1,206,394
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 127","Pointe-Claire",112,116,95,8,19,3,353,537
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 128","Pointe-Claire",63,120,80,4,15,1,283,444
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 129","Pointe-Claire",86,112,76,10,19,1,304,457
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 130","Pointe-Claire",79,142,93,5,13,2,334,546
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 131","Pointe-Claire",78,114,72,4,21,0,289,416
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 132","Pointe-Claire",92,127,57,9,17,2,304,483
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 133","Pointe-Claire",85,58,33,27,18,2,223,377
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 134","Beaconsfield",84,91,68,11,14,2,270,454
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 135","Beaconsfield",70,120,80,6,10,0,286,440
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 136","Beaconsfield",43,77,113,2,6,0,241,475
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 137","Beaconsfield",78,92,84,7,7,1,269,442
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 138","Beaconsfield",77,116,67,8,19,3,290,521
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 139","Beaconsfield",54,100,65,6,16,1,242,420
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 140","Beaconsfield",57,86,81,7,8,0,239,471
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 141","Pointe-Claire",67,47,53,4,5,0,176,516
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 142","Pointe-Claire",33,26,14,6,3,0,82,261
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 142-1","Pointe-Claire",70,76,53,3,3,1,206,386
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 143","Pointe-Claire",42,42,45,7,9,0,145,279
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 144","Pointe-Claire",52,76,51,3,5,0,187,358
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 144-1","Pointe-Claire",38,37,25,4,3,0,107,263
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 145","Pointe-Claire",63,63,39,8,12,0,185,327
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 145-1","Pointe-Claire",45,26,37,4,3,0,115,244
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 146","Pointe-Claire",67,50,31,7,4,1,160,328
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 147","Pointe-Claire",87,85,61,6,11,0,250,429
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 148","Pointe-Claire",85,78,82,5,15,0,265,448
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 149","Pointe-Claire",77,54,64,8,21,1,225,394
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 150","Pointe-Claire",103,87,55,8,13,2,268,409
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 151","Pointe-Claire",82,71,65,8,19,0,245,405
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 152","Pointe-Claire",62,90,94,2,17,1,266,467
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 153","Pointe-Claire",84,98,75,8,22,3,290,473
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 154","Pointe-Claire",91,81,62,4,22,1,261,425
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 155","Pointe-Claire",92,58,38,5,24,2,219,394
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 156","Pointe-Claire",61,47,45,7,7,5,172,394
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 157","Pointe-Claire",73,90,78,5,6,1,253,464
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 158","Pointe-Claire",54,70,52,9,15,0,200,372
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 159","Pointe-Claire",93,103,62,10,10,2,280,513
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 160","Pointe-Claire",35,83,62,3,10,3,196,448
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 161","Pointe-Claire",81,87,46,8,14,1,237,374
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 162","Pointe-Claire",99,56,81,11,25,2,274,478
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 163","Pointe-Claire",65,79,77,4,16,0,241,430
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 164","Pointe-Claire",81,78,56,4,9,0,228,376
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 165","Pointe-Claire",93,82,52,18,7,1,253,381
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 166","Pointe-Claire",135,102,53,11,21,2,324,499
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 167","Pointe-Claire",107,103,88,8,24,1,331,507
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 168","Pointe-Claire",56,43,42,4,3,1,149,254
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 169","Pointe-Claire",78,61,67,3,30,0,239,386
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 170","Pointe-Claire",49,40,26,7,10,0,132,210
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 171","Pointe-Claire",42,86,86,4,5,1,224,408
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 171-1","Pointe-Claire",54,64,66,6,10,1,201,350
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 172","Pointe-Claire",59,63,50,6,6,2,186,318
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 173","Pointe-Claire",93,109,63,9,15,0,289,479
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 400A","Sainte-Anne-de-Bellevue",3,14,11,6,7,4,45,120
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 400B","Sainte-Anne-de-Bellevue",10,42,22,2,6,4,86,120
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 400C","Sainte-Anne-de-Bellevue",23,52,26,10,4,2,117,149
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 401A","Pointe-Claire",6,30,42,0,2,1,81,98
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 401B","Pointe-Claire",8,36,38,1,0,0,83,113
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 402A","Pointe-Claire",15,49,60,1,1,2,128,152
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 402B","Pointe-Claire",19,57,56,2,2,1,137,168
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 403","Kirkland",28,48,43,3,1,1,124,156
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 404","Pointe-Claire",13,68,47,0,2,2,132,154
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 500","Mobile poll/Bureau itinérant",11,39,28,3,1,2,84,111
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 501","Mobile poll/Bureau itinérant",5,19,8,2,0,2,36,76
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 502","Mobile poll/Bureau itinérant",17,26,17,8,1,2,71,120
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 503","Mobile poll/Bureau itinérant",10,20,21,0,3,2,56,123
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 600","Pierrefonds",132,132,161,32,19,5,481,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 601","Pierrefonds",135,192,130,32,12,3,504,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 602","Kirkland",159,322,267,18,26,3,795,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 603","Kirkland",166,282,235,24,21,0,728,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 604","Senneville--Sainte-Anne-de-Bellevue",146,175,153,35,28,6,543,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 605","Baie-d'Urfé--Beaconsfield",176,480,370,21,46,2,1095,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 606","Beaconsfield",170,429,342,16,41,3,1001,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 607","Pointe-Claire",173,304,248,12,21,2,760,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 608","Pointe-Claire",221,422,323,42,43,6,1057,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 609","Pointe-Claire",176,296,247,33,34,0,786,
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 610","Pierrefonds",172,223,168,33,11,2,609,
24027,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 1/Groupe 1,8,29,30,2,7,5,81,173
24027,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 2/Groupe 2,121,304,204,13,33,13,688,
