Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louis Bérubé,Jean-Claude JC D'Amours,Widler Jules,Lynn Morrison,Bernard Valcourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,Madawaska--Restigouche/Madawaska--Restigouche,41,Campbellton,5,73,59,1,74,0,212,415
13005,Madawaska--Restigouche/Madawaska--Restigouche,42,Campbellton,7,84,75,3,63,1,233,386
13005,Madawaska--Restigouche/Madawaska--Restigouche,43,Tide Head,3,54,66,4,137,6,270,404
13005,Madawaska--Restigouche/Madawaska--Restigouche,44,Tide Head,10,68,86,6,120,3,293,450
13005,Madawaska--Restigouche/Madawaska--Restigouche,45,Atholville,5,74,99,5,48,4,235,410
13005,Madawaska--Restigouche/Madawaska--Restigouche,46,Atholville,6,55,45,1,33,3,143,259
13005,Madawaska--Restigouche/Madawaska--Restigouche,47,Atholville,4,67,74,0,50,3,198,394
13005,Madawaska--Restigouche/Madawaska--Restigouche,48,Flatlands,0,30,34,1,67,0,132,208
13005,Madawaska--Restigouche/Madawaska--Restigouche,49,Robinsonville,4,35,24,3,71,3,140,215
13005,Madawaska--Restigouche/Madawaska--Restigouche,50,Glen Levit,1,56,47,5,75,1,185,332
13005,Madawaska--Restigouche/Madawaska--Restigouche,51,Glencoe,2,18,25,5,46,3,99,172
13005,Madawaska--Restigouche/Madawaska--Restigouche,52,Val-d'Amour,16,45,73,3,52,3,192,302
13005,Madawaska--Restigouche/Madawaska--Restigouche,53,Val-d'Amour,8,49,53,2,46,4,162,211
13005,Madawaska--Restigouche/Madawaska--Restigouche,54,Saint-Arthur,22,47,84,5,62,3,223,314
13005,Madawaska--Restigouche/Madawaska--Restigouche,55,Saint-Arthur,13,92,77,6,31,3,222,306
13005,Madawaska--Restigouche/Madawaska--Restigouche,56,Val-d'Amour,22,115,86,2,47,5,277,401
13005,Madawaska--Restigouche/Madawaska--Restigouche, 56-1,Val-d'Amour,26,118,104,10,45,7,310,472
13005,Madawaska--Restigouche/Madawaska--Restigouche,57,Maltais,14,56,57,3,15,4,149,239
13005,Madawaska--Restigouche/Madawaska--Restigouche,58,Balmoral,13,98,69,5,51,3,239,343
13005,Madawaska--Restigouche/Madawaska--Restigouche,59,Balmoral,10,98,53,6,49,6,222,360
13005,Madawaska--Restigouche/Madawaska--Restigouche,60,Balmoral,15,131,64,3,70,5,288,443
13005,Madawaska--Restigouche/Madawaska--Restigouche,61,Balmoral,10,115,45,5,55,8,238,402
13005,Madawaska--Restigouche/Madawaska--Restigouche,62,Saint-Quentin,31,42,37,1,97,10,218,329
13005,Madawaska--Restigouche/Madawaska--Restigouche, 62-1,Eldon,18,26,33,3,61,2,143,209
13005,Madawaska--Restigouche/Madawaska--Restigouche,63,Saint-Martin-de-Restigouche,7,32,33,1,29,0,102,159
13005,Madawaska--Restigouche/Madawaska--Restigouche,64,Saint-Quentin,22,47,29,2,143,4,247,355
13005,Madawaska--Restigouche/Madawaska--Restigouche,65,Saint-Quentin,25,46,35,4,102,7,219,363
13005,Madawaska--Restigouche/Madawaska--Restigouche,66,Saint-Quentin,38,58,52,3,128,5,284,492
13005,Madawaska--Restigouche/Madawaska--Restigouche, 66-1,Saint-Quentin,21,29,23,2,84,2,161,289
13005,Madawaska--Restigouche/Madawaska--Restigouche,67,Saint-Quentin,26,36,34,4,69,5,174,301
13005,Madawaska--Restigouche/Madawaska--Restigouche,68,Saint-Quentin,32,60,27,2,99,2,222,397
13005,Madawaska--Restigouche/Madawaska--Restigouche,69,Saint-Jean-Baptiste-de-Restigouche,12,51,47,4,17,2,133,191
13005,Madawaska--Restigouche/Madawaska--Restigouche,70,Kedgwick River,16,79,77,3,57,3,235,412
13005,Madawaska--Restigouche/Madawaska--Restigouche,71,Kedgwick,19,96,59,4,40,3,221,386
13005,Madawaska--Restigouche/Madawaska--Restigouche,72,Kedgwick,17,128,60,6,17,1,229,332
13005,Madawaska--Restigouche/Madawaska--Restigouche,73,Kedgwick,12,79,53,0,48,7,199,338
13005,Madawaska--Restigouche/Madawaska--Restigouche,74,Kedgwick,4,91,53,1,35,1,185,284
13005,Madawaska--Restigouche/Madawaska--Restigouche,75,Kedgwick,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche,76,Saint-Joseph,7,96,21,2,54,5,185,294
13005,Madawaska--Restigouche/Madawaska--Restigouche,77,Saint-Joseph,8,85,26,3,88,9,219,392
13005,Madawaska--Restigouche/Madawaska--Restigouche,78,Saint-Joseph,8,86,43,5,100,2,244,411
13005,Madawaska--Restigouche/Madawaska--Restigouche,79,Saint-Joseph,3,56,34,1,61,4,159,296
13005,Madawaska--Restigouche/Madawaska--Restigouche,80,Saint-Jacques,2,86,25,1,84,6,204,412
13005,Madawaska--Restigouche/Madawaska--Restigouche,81,Saint-Jacques,1,25,6,0,27,0,59,119
13005,Madawaska--Restigouche/Madawaska--Restigouche,82,Saint-Jacques,6,85,34,7,120,10,262,453
13005,Madawaska--Restigouche/Madawaska--Restigouche,83,Saint-Jacques,0,71,30,3,99,1,204,387
13005,Madawaska--Restigouche/Madawaska--Restigouche,84,Edmundston,6,65,25,3,104,4,207,406
13005,Madawaska--Restigouche/Madawaska--Restigouche,85,Edmundston,1,47,17,1,62,2,130,260
13005,Madawaska--Restigouche/Madawaska--Restigouche,86,Edmundston,2,74,20,3,97,3,199,371
13005,Madawaska--Restigouche/Madawaska--Restigouche,87,Edmundston,6,58,19,1,97,1,182,326
13005,Madawaska--Restigouche/Madawaska--Restigouche,88,Edmundston,4,53,22,0,63,6,148,332
13005,Madawaska--Restigouche/Madawaska--Restigouche,89,Edmundston,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche,90,Edmundston,1,96,29,1,87,4,218,400
13005,Madawaska--Restigouche/Madawaska--Restigouche,91,Edmundston,5,61,43,1,160,3,273,483
13005,Madawaska--Restigouche/Madawaska--Restigouche,92,Edmundston,1,100,20,1,168,1,291,486
13005,Madawaska--Restigouche/Madawaska--Restigouche,93,Edmundston,2,74,22,2,120,3,223,456
13005,Madawaska--Restigouche/Madawaska--Restigouche, 94A,Edmundston,2,75,22,4,81,4,188,424
13005,Madawaska--Restigouche/Madawaska--Restigouche, 94B,Mobile poll/Bureau itinérant,Merged with No. 506/Fusionné avec le nº 506,,,,,,,57
13005,Madawaska--Restigouche/Madawaska--Restigouche,95,Edmundston,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche,96,Edmundston,0,62,18,1,106,0,187,410
13005,Madawaska--Restigouche/Madawaska--Restigouche,97,Edmundston,0,44,23,2,82,1,152,288
13005,Madawaska--Restigouche/Madawaska--Restigouche,98,Edmundston,6,68,13,4,98,2,191,357
13005,Madawaska--Restigouche/Madawaska--Restigouche,99,Edmundston,0,43,16,2,79,1,141,299
13005,Madawaska--Restigouche/Madawaska--Restigouche,100,Edmundston,4,41,17,2,71,3,138,306
13005,Madawaska--Restigouche/Madawaska--Restigouche,101,Edmundston,1,61,14,0,76,8,160,306
13005,Madawaska--Restigouche/Madawaska--Restigouche,102,Edmundston,3,59,24,6,86,3,181,376
13005,Madawaska--Restigouche/Madawaska--Restigouche,103,Edmundston,6,37,17,1,84,0,145,342
13005,Madawaska--Restigouche/Madawaska--Restigouche,104,Edmundston,1,20,4,3,40,0,68,213
13005,Madawaska--Restigouche/Madawaska--Restigouche,105,Edmundston,2,36,29,2,56,0,125,359
13005,Madawaska--Restigouche/Madawaska--Restigouche,106,Edmundston,2,62,17,1,66,3,151,281
13005,Madawaska--Restigouche/Madawaska--Restigouche,107,St. Basile 10,8,48,36,3,92,3,190,364
13005,Madawaska--Restigouche/Madawaska--Restigouche,108,Edmundston,2,51,17,3,59,4,136,324
13005,Madawaska--Restigouche/Madawaska--Restigouche,109,Edmundston,2,45,24,4,82,8,165,374
13005,Madawaska--Restigouche/Madawaska--Restigouche,110,Edmundston,4,38,16,0,48,0,106,317
13005,Madawaska--Restigouche/Madawaska--Restigouche,111,Edmundston,6,21,9,3,51,1,91,362
13005,Madawaska--Restigouche/Madawaska--Restigouche,112,Edmundston,7,46,17,2,63,3,138,331
13005,Madawaska--Restigouche/Madawaska--Restigouche,113,Edmundston,4,55,36,4,72,0,171,331
13005,Madawaska--Restigouche/Madawaska--Restigouche,114,Edmundston,3,67,24,2,75,3,174,399
13005,Madawaska--Restigouche/Madawaska--Restigouche,115,Edmundston,8,51,14,5,71,2,151,404
13005,Madawaska--Restigouche/Madawaska--Restigouche,116,Edmundston,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche,117,Rivière-Verte,7,73,18,0,57,5,160,334
13005,Madawaska--Restigouche/Madawaska--Restigouche,118,Rivière-Verte,6,61,19,3,35,1,125,234
13005,Madawaska--Restigouche/Madawaska--Restigouche,119,Rivière-Verte,3,91,12,1,80,3,190,336
13005,Madawaska--Restigouche/Madawaska--Restigouche,120,Rivière-Verte,8,100,31,2,85,3,229,348
13005,Madawaska--Restigouche/Madawaska--Restigouche,121,Saint-Basile,7,89,28,6,93,1,224,449
13005,Madawaska--Restigouche/Madawaska--Restigouche,122,Edmundston,7,94,31,4,109,10,255,461
13005,Madawaska--Restigouche/Madawaska--Restigouche,123,Edmundston,2,63,31,1,114,1,212,395
13005,Madawaska--Restigouche/Madawaska--Restigouche,124,Edmundston,1,11,15,1,67,2,97,160
13005,Madawaska--Restigouche/Madawaska--Restigouche,125,Edmundston,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche, 126A,Edmundston,1,79,30,0,101,4,215,422
13005,Madawaska--Restigouche/Madawaska--Restigouche, 126B,Mobile poll/Bureau itinérant,Merged with No. 507/Fusionné avec le nº 507,,,,,,,9
13005,Madawaska--Restigouche/Madawaska--Restigouche,127,Edmundston,4,85,23,1,103,7,223,457
13005,Madawaska--Restigouche/Madawaska--Restigouche,128,Edmundston,7,66,22,3,113,4,215,368
13005,Madawaska--Restigouche/Madawaska--Restigouche,129,Sainte-Anne,10,73,18,2,44,3,150,326
13005,Madawaska--Restigouche/Madawaska--Restigouche,130,Sainte-Anne,17,62,24,2,68,3,176,298
13005,Madawaska--Restigouche/Madawaska--Restigouche,131,Sainte-Anne,12,68,24,0,100,3,207,350
13005,Madawaska--Restigouche/Madawaska--Restigouche,132,Sainte-Anne,4,55,13,0,94,2,168,285
13005,Madawaska--Restigouche/Madawaska--Restigouche,133,Sainte-Anne,8,72,38,3,73,2,196,407
13005,Madawaska--Restigouche/Madawaska--Restigouche,134,Notre-Dame-de-Lourdes,14,44,23,5,38,0,124,230
13005,Madawaska--Restigouche/Madawaska--Restigouche,135,Saint-Léonard,15,31,37,9,126,4,222,423
13005,Madawaska--Restigouche/Madawaska--Restigouche,136,Saint-Léonard,9,39,28,3,86,8,173,371
13005,Madawaska--Restigouche/Madawaska--Restigouche,137,Saint-Léonard,5,29,23,1,46,2,106,260
13005,Madawaska--Restigouche/Madawaska--Restigouche,138,Saint-Léonard,5,37,26,4,98,2,172,409
13005,Madawaska--Restigouche/Madawaska--Restigouche,139,Saint-Léonard,2,28,23,3,85,3,144,318
13005,Madawaska--Restigouche/Madawaska--Restigouche,140,Edmundston,4,39,21,2,72,2,140,268
13005,Madawaska--Restigouche/Madawaska--Restigouche,141,Edmundston,3,61,14,0,56,1,135,212
13005,Madawaska--Restigouche/Madawaska--Restigouche,142,Saint-Hilaire,5,63,36,1,68,3,176,291
13005,Madawaska--Restigouche/Madawaska--Restigouche,143,Saint-Hilaire,7,71,18,6,84,3,189,284
13005,Madawaska--Restigouche/Madawaska--Restigouche,144,Baker Brook,3,69,13,1,81,4,171,292
13005,Madawaska--Restigouche/Madawaska--Restigouche,145,Baker Brook,Void/Supprimé,,,,,,,
13005,Madawaska--Restigouche/Madawaska--Restigouche,146,Baker Brook,3,81,19,3,109,4,219,364
13005,Madawaska--Restigouche/Madawaska--Restigouche, 147A,Lac-Baker,4,62,33,3,84,1,187,276
13005,Madawaska--Restigouche/Madawaska--Restigouche, 147B,Mobile poll/Bureau itinérant,Merged with No. 509/Fusionné avec le nº 509,,,,,,,15
13005,Madawaska--Restigouche/Madawaska--Restigouche,148,Lac-Baker,3,86,17,4,69,1,180,284
13005,Madawaska--Restigouche/Madawaska--Restigouche, 149A,Clair,2,37,12,0,46,1,98,193
13005,Madawaska--Restigouche/Madawaska--Restigouche, 149B,Mobile poll/Bureau itinérant,Merged with No. 509/Fusionné avec le nº 509,,,,,,,13
13005,Madawaska--Restigouche/Madawaska--Restigouche,150,Clair,5,74,18,1,58,2,158,326
13005,Madawaska--Restigouche/Madawaska--Restigouche, 150-1,Clair,5,60,12,1,68,1,147,333
13005,Madawaska--Restigouche/Madawaska--Restigouche,151,Saint-François,12,56,22,7,86,0,183,351
13005,Madawaska--Restigouche/Madawaska--Restigouche,152,Saint-François,13,66,22,0,87,1,189,329
13005,Madawaska--Restigouche/Madawaska--Restigouche,153,Connors,6,60,25,2,88,2,183,323
13005,Madawaska--Restigouche/Madawaska--Restigouche,500,Mobile poll/Bureau itinérant,11,79,7,2,32,1,132,152
13005,Madawaska--Restigouche/Madawaska--Restigouche,501,Mobile poll/Bureau itinérant,4,35,5,2,32,5,83,307
13005,Madawaska--Restigouche/Madawaska--Restigouche,502,Mobile poll/Bureau itinérant,11,50,22,3,23,4,113,123
13005,Madawaska--Restigouche/Madawaska--Restigouche,503,Mobile poll/Bureau itinérant,14,35,6,1,47,6,109,149
13005,Madawaska--Restigouche/Madawaska--Restigouche,504,Mobile poll/Bureau itinérant,3,28,10,0,25,1,67,128
13005,Madawaska--Restigouche/Madawaska--Restigouche,505,Mobile poll/Bureau itinérant,1,19,2,1,21,3,47,60
13005,Madawaska--Restigouche/Madawaska--Restigouche,506,Mobile poll/Bureau itinérant,7,40,2,1,61,3,114,98
13005,Madawaska--Restigouche/Madawaska--Restigouche,507,Mobile poll/Bureau itinérant,4,56,2,1,24,0,87,187
13005,Madawaska--Restigouche/Madawaska--Restigouche,508,Mobile poll/Bureau itinérant,5,34,3,0,53,5,100,129
13005,Madawaska--Restigouche/Madawaska--Restigouche,509,Mobile poll/Bureau itinérant,3,17,0,2,22,0,44,34
13005,Madawaska--Restigouche/Madawaska--Restigouche,600,Dalhousie,3,125,101,11,148,2,390,
13005,Madawaska--Restigouche/Madawaska--Restigouche,601,Eel River Crossing,21,267,79,18,181,12,578,
13005,Madawaska--Restigouche/Madawaska--Restigouche,602,Campbellton,11,177,63,15,186,1,453,
13005,Madawaska--Restigouche/Madawaska--Restigouche,603,Atholville,11,148,98,13,155,4,429,
13005,Madawaska--Restigouche/Madawaska--Restigouche,604,Edmundston,9,229,53,9,302,8,610,
13005,Madawaska--Restigouche/Madawaska--Restigouche,605,Saint-Quentin,37,115,40,4,204,9,409,
13005,Madawaska--Restigouche/Madawaska--Restigouche,606,Kedgwick,14,163,23,1,56,2,259,
13005,Madawaska--Restigouche/Madawaska--Restigouche,607,Saint-Jacques,5,94,32,2,113,4,250,
13005,Madawaska--Restigouche/Madawaska--Restigouche,608,Edmundston,11,269,54,5,368,14,721,
13005,Madawaska--Restigouche/Madawaska--Restigouche,609,Saint-Basile,5,36,14,0,59,0,114,
13005,Madawaska--Restigouche/Madawaska--Restigouche,610,Saint-Léonard,33,150,70,5,270,5,533,
13005,Madawaska--Restigouche/Madawaska--Restigouche,611,Clair,1,75,14,3,106,0,199,
13005,Madawaska--Restigouche/Madawaska--Restigouche,612,Dalhousie,7,178,62,9,146,12,414,
13005,Madawaska--Restigouche/Madawaska--Restigouche,613,Campbellton,10,139,83,10,181,10,433,
13005,Madawaska--Restigouche/Madawaska--Restigouche,614,Saint-Jacques,10,177,41,4,236,7,475,
13005,Madawaska--Restigouche/Madawaska--Restigouche,615,Edmundston,9,182,28,7,240,5,471,
13005,Madawaska--Restigouche/Madawaska--Restigouche,616,Saint-Basile,6,140,39,6,200,6,397,
13005,Madawaska--Restigouche/Madawaska--Restigouche,,Group 1/Groupe 1,5,40,13,4,66,5,133,327
13005,Madawaska--Restigouche/Madawaska--Restigouche,,Group 2/Groupe 2,9,419,77,13,496,20,1034,
