Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martha Hall Findlay,Chungsen Leung,Mehdi Mollahasani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Willowdale/Willowdale"," 94","North York",47,52,28,1,128,301
35100,"Willowdale/Willowdale"," 95","North York",70,49,19,0,138,324
35100,"Willowdale/Willowdale"," 96","North York",82,74,42,0,198,521
35100,"Willowdale/Willowdale"," 97","North York",72,82,18,0,172,357
35100,"Willowdale/Willowdale"," 98","North York",99,125,25,0,249,581
35100,"Willowdale/Willowdale"," 99","North York",49,83,35,0,167,407
35100,"Willowdale/Willowdale"," 100","North York",110,66,60,2,238,442
35100,"Willowdale/Willowdale"," 101","North York",122,107,59,2,290,551
35100,"Willowdale/Willowdale"," 102","North York",103,95,35,1,234,559
35100,"Willowdale/Willowdale"," 103","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 104","North York",104,86,39,1,230,535
35100,"Willowdale/Willowdale"," 105","North York",122,90,40,2,254,424
35100,"Willowdale/Willowdale"," 106","North York",86,76,42,3,207,372
35100,"Willowdale/Willowdale"," 107","North York",48,46,24,0,118,255
35100,"Willowdale/Willowdale"," 108","North York",68,112,41,1,222,398
35100,"Willowdale/Willowdale"," 109","North York",71,95,47,1,214,395
35100,"Willowdale/Willowdale"," 110","North York",131,111,38,1,281,473
35100,"Willowdale/Willowdale"," 111","North York",46,28,11,1,86,215
35100,"Willowdale/Willowdale"," 112","North York",127,168,33,2,330,448
35100,"Willowdale/Willowdale"," 113","North York",53,61,48,0,162,372
35100,"Willowdale/Willowdale"," 114","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 115","North York",144,92,62,0,298,591
35100,"Willowdale/Willowdale"," 116","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 117","North York",106,85,29,3,223,355
35100,"Willowdale/Willowdale"," 118","North York",110,93,43,2,248,439
35100,"Willowdale/Willowdale"," 119","North York",95,154,40,1,290,517
35100,"Willowdale/Willowdale"," 120","North York",107,83,36,0,226,402
35100,"Willowdale/Willowdale"," 121","North York",123,109,49,0,281,525
35100,"Willowdale/Willowdale"," 122","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 123","North York",114,88,30,2,234,432
35100,"Willowdale/Willowdale"," 124","North York",95,113,52,0,260,437
35100,"Willowdale/Willowdale"," 125","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 126","North York",39,68,39,7,153,258
35100,"Willowdale/Willowdale"," 127","North York",110,108,55,3,276,537
35100,"Willowdale/Willowdale"," 128","North York",85,139,27,1,252,400
35100,"Willowdale/Willowdale"," 129","North York",82,101,41,0,224,458
35100,"Willowdale/Willowdale"," 130","North York",67,66,66,3,202,496
35100,"Willowdale/Willowdale"," 131","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 132","North York",90,75,57,2,224,441
35100,"Willowdale/Willowdale"," 133","North York",62,84,52,0,198,509
35100,"Willowdale/Willowdale"," 134","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 135","North York",154,128,48,2,332,488
35100,"Willowdale/Willowdale"," 136","North York",101,104,38,1,244,452
35100,"Willowdale/Willowdale"," 137","North York",136,117,33,3,289,383
35100,"Willowdale/Willowdale"," 138","North York",64,104,33,1,202,413
35100,"Willowdale/Willowdale"," 139","North York",64,112,50,1,227,416
35100,"Willowdale/Willowdale"," 140","North York",90,80,43,1,214,366
35100,"Willowdale/Willowdale"," 141","North York",40,29,23,0,92,284
35100,"Willowdale/Willowdale"," 141-1","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 141-2","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 142","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 143","North York",50,53,33,0,136,285
35100,"Willowdale/Willowdale"," 144","North York",63,71,39,2,175,388
35100,"Willowdale/Willowdale"," 145A","North York",39,49,15,0,103,189
35100,"Willowdale/Willowdale"," 145B","North York",Merged with No. 474/Fusionné avec le nº 474,,,,,76
35100,"Willowdale/Willowdale"," 146","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 147","North York",56,68,33,1,158,351
35100,"Willowdale/Willowdale"," 148","North York",100,86,35,4,225,596
35100,"Willowdale/Willowdale"," 149","North York",66,109,47,2,224,549
35100,"Willowdale/Willowdale"," 150","North York",90,96,34,1,221,518
35100,"Willowdale/Willowdale"," 151","North York",98,89,31,2,220,408
35100,"Willowdale/Willowdale"," 152","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 153","North York",63,64,55,0,182,432
35100,"Willowdale/Willowdale"," 154","North York",64,85,21,2,172,348
35100,"Willowdale/Willowdale"," 154-1","North York",47,74,25,2,148,324
35100,"Willowdale/Willowdale"," 155","North York",81,101,28,3,213,524
35100,"Willowdale/Willowdale"," 156","North York",87,77,64,3,231,501
35100,"Willowdale/Willowdale"," 157","North York",119,77,42,0,238,443
35100,"Willowdale/Willowdale"," 158","North York",85,98,45,2,230,493
35100,"Willowdale/Willowdale"," 159","North York",82,81,58,0,221,445
35100,"Willowdale/Willowdale"," 159-1","North York",33,42,30,0,105,239
35100,"Willowdale/Willowdale"," 160","North York",96,81,31,1,209,433
35100,"Willowdale/Willowdale"," 161","North York",55,130,37,0,222,395
35100,"Willowdale/Willowdale"," 162","North York",24,33,18,0,75,196
35100,"Willowdale/Willowdale"," 163","North York",75,71,66,0,212,454
35100,"Willowdale/Willowdale"," 164","North York",38,59,14,0,111,259
35100,"Willowdale/Willowdale"," 165","North York",98,103,37,3,241,489
35100,"Willowdale/Willowdale"," 166","North York",60,57,16,0,133,307
35100,"Willowdale/Willowdale"," 400","North York",92,112,27,7,238,351
35100,"Willowdale/Willowdale"," 401","North York",78,98,34,0,210,344
35100,"Willowdale/Willowdale"," 402","North York",41,94,20,2,157,227
35100,"Willowdale/Willowdale"," 403","North York",76,107,27,1,211,348
35100,"Willowdale/Willowdale"," 404","North York",50,142,20,0,212,299
35100,"Willowdale/Willowdale"," 405","North York",55,112,9,2,178,254
35100,"Willowdale/Willowdale"," 406","North York",105,116,33,1,255,427
35100,"Willowdale/Willowdale"," 407","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 408","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 409","North York",43,63,62,1,169,347
35100,"Willowdale/Willowdale"," 410","North York",28,79,36,3,146,248
35100,"Willowdale/Willowdale"," 411","North York",21,23,10,0,54,110
35100,"Willowdale/Willowdale"," 412","North York",80,76,49,1,206,475
35100,"Willowdale/Willowdale"," 413","North York",76,48,41,3,168,319
35100,"Willowdale/Willowdale"," 414","North York",82,64,52,1,199,394
35100,"Willowdale/Willowdale"," 415","North York",82,69,66,3,220,489
35100,"Willowdale/Willowdale"," 416","North York",33,40,17,1,91,198
35100,"Willowdale/Willowdale"," 417","North York",57,47,32,2,138,317
35100,"Willowdale/Willowdale"," 418","North York",41,60,19,0,120,203
35100,"Willowdale/Willowdale"," 419","North York",58,56,33,1,148,396
35100,"Willowdale/Willowdale"," 420","North York",54,62,43,0,159,398
35100,"Willowdale/Willowdale"," 421","North York",79,79,51,1,210,365
35100,"Willowdale/Willowdale"," 422","North York",44,39,13,1,97,188
35100,"Willowdale/Willowdale"," 423","North York",43,62,24,0,129,283
35100,"Willowdale/Willowdale"," 424","North York",54,77,25,0,156,298
35100,"Willowdale/Willowdale"," 425","North York",79,71,55,1,206,422
35100,"Willowdale/Willowdale"," 426","North York",61,87,44,1,193,360
35100,"Willowdale/Willowdale"," 426-1","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 426-2","Willowdale",24,22,4,0,50,56
35100,"Willowdale/Willowdale"," 426-3","Willowdale",20,22,7,0,49,81
35100,"Willowdale/Willowdale"," 426-4","Willowdale",23,27,13,0,63,117
35100,"Willowdale/Willowdale"," 427","North York",84,98,46,2,230,354
35100,"Willowdale/Willowdale"," 427-1","Willowdale",83,97,61,3,244,435
35100,"Willowdale/Willowdale"," 428","North York",47,48,33,1,129,247
35100,"Willowdale/Willowdale"," 429","North York",61,62,41,2,166,319
35100,"Willowdale/Willowdale"," 430","North York",83,84,32,0,199,352
35100,"Willowdale/Willowdale"," 431","North York",70,83,52,0,205,370
35100,"Willowdale/Willowdale"," 431-1","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 432","North York",101,107,24,0,232,347
35100,"Willowdale/Willowdale"," 432-1","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 432-2","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 433","North York",44,47,28,1,120,315
35100,"Willowdale/Willowdale"," 434","North York",51,45,41,1,138,331
35100,"Willowdale/Willowdale"," 435","North York",71,54,36,0,161,286
35100,"Willowdale/Willowdale"," 436","North York",55,48,28,1,132,233
35100,"Willowdale/Willowdale"," 437","North York",35,32,20,0,87,272
35100,"Willowdale/Willowdale"," 437-1","Willowdale",38,33,22,0,93,183
35100,"Willowdale/Willowdale"," 437-2","Willowdale",50,50,46,1,147,236
35100,"Willowdale/Willowdale"," 438","North York",64,59,30,3,156,280
35100,"Willowdale/Willowdale"," 439","North York",65,128,17,0,210,383
35100,"Willowdale/Willowdale"," 440","North York",64,76,43,0,183,352
35100,"Willowdale/Willowdale"," 441","North York",39,100,26,11,176,272
35100,"Willowdale/Willowdale"," 442","North York",75,58,41,0,174,358
35100,"Willowdale/Willowdale"," 443","North York",63,96,32,1,192,355
35100,"Willowdale/Willowdale"," 443-1","Willowdale",46,45,32,1,124,153
35100,"Willowdale/Willowdale"," 443-2","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 443-3","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 444","North York",48,43,43,1,135,259
35100,"Willowdale/Willowdale"," 445","North York",21,42,16,0,79,179
35100,"Willowdale/Willowdale"," 446","North York",26,40,16,0,82,204
35100,"Willowdale/Willowdale"," 447","North York",21,28,14,3,66,159
35100,"Willowdale/Willowdale"," 448","North York",30,13,12,0,55,142
35100,"Willowdale/Willowdale"," 449","North York",57,48,23,0,128,257
35100,"Willowdale/Willowdale"," 449-1","Willowdale",43,26,25,2,96,185
35100,"Willowdale/Willowdale"," 449-2","Willowdale",37,21,29,0,87,174
35100,"Willowdale/Willowdale"," 450","North York",30,34,35,0,99,167
35100,"Willowdale/Willowdale"," 450-1","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 451","North York",40,48,26,2,116,220
35100,"Willowdale/Willowdale"," 452","North York",14,14,27,2,57,156
35100,"Willowdale/Willowdale"," 453","North York",33,30,29,0,92,166
35100,"Willowdale/Willowdale"," 454","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 455","North York",85,62,55,2,204,435
35100,"Willowdale/Willowdale"," 456","North York",40,51,18,1,110,285
35100,"Willowdale/Willowdale"," 457","North York",62,38,25,2,127,260
35100,"Willowdale/Willowdale"," 458","North York",49,39,19,1,108,223
35100,"Willowdale/Willowdale"," 459","North York",60,49,56,1,166,418
35100,"Willowdale/Willowdale"," 459-1","Willowdale",43,23,46,1,113,251
35100,"Willowdale/Willowdale"," 459-2","Willowdale",27,33,13,0,73,86
35100,"Willowdale/Willowdale"," 460","North York",57,77,46,0,180,398
35100,"Willowdale/Willowdale"," 461","North York",99,125,27,0,251,362
35100,"Willowdale/Willowdale"," 462","North York",35,45,38,0,118,227
35100,"Willowdale/Willowdale"," 463","North York",73,56,37,0,166,320
35100,"Willowdale/Willowdale"," 464","North York",56,65,46,0,167,340
35100,"Willowdale/Willowdale"," 465","North York",62,64,45,0,171,330
35100,"Willowdale/Willowdale"," 466","North York",44,53,34,0,131,295
35100,"Willowdale/Willowdale"," 467","North York",64,57,39,1,161,306
35100,"Willowdale/Willowdale"," 467-1","Willowdale",25,39,21,0,85,153
35100,"Willowdale/Willowdale"," 467-2","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 467-3","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 468","North York",64,53,35,0,152,270
35100,"Willowdale/Willowdale"," 469","North York",73,55,33,0,161,264
35100,"Willowdale/Willowdale"," 470","North York",32,26,19,0,77,136
35100,"Willowdale/Willowdale"," 471","North York",42,38,20,0,100,188
35100,"Willowdale/Willowdale"," 472","North York",44,47,29,1,121,254
35100,"Willowdale/Willowdale"," 473","North York",42,53,23,1,119,292
35100,"Willowdale/Willowdale"," 474","North York",41,37,25,1,104,219
35100,"Willowdale/Willowdale"," 474-1","Willowdale",37,55,26,0,118,218
35100,"Willowdale/Willowdale"," 475","North York",45,43,8,0,96,117
35100,"Willowdale/Willowdale"," 475-1","Willowdale",32,55,9,1,97,124
35100,"Willowdale/Willowdale"," 476","North York",54,69,48,0,171,375
35100,"Willowdale/Willowdale"," 477","North York",43,51,34,1,129,242
35100,"Willowdale/Willowdale"," 478","North York",63,55,35,0,153,275
35100,"Willowdale/Willowdale"," 479","North York",61,42,29,0,132,298
35100,"Willowdale/Willowdale"," 480","North York",34,55,41,0,130,279
35100,"Willowdale/Willowdale"," 480-1","Willowdale",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 481","North York",63,91,39,1,194,402
35100,"Willowdale/Willowdale"," 482","North York",50,50,42,2,144,270
35100,"Willowdale/Willowdale"," 482-1","Willowdale",36,32,24,1,93,221
35100,"Willowdale/Willowdale"," 483","North York",42,45,44,0,131,333
35100,"Willowdale/Willowdale"," 484","North York",34,47,42,0,123,313
35100,"Willowdale/Willowdale"," 485","North York",42,45,24,0,111,269
35100,"Willowdale/Willowdale"," 486","North York",49,54,22,0,125,226
35100,"Willowdale/Willowdale"," 487","North York",76,94,34,3,207,344
35100,"Willowdale/Willowdale"," 488","Willowdale",43,75,55,0,173,300
35100,"Willowdale/Willowdale"," 488-1","Willowdale",14,21,12,0,47,92
35100,"Willowdale/Willowdale"," 488-2","Willowdale",27,69,4,2,102,140
35100,"Willowdale/Willowdale"," 488-3","Willowdale",40,94,5,0,139,206
35100,"Willowdale/Willowdale"," 500","Mobile poll/Bureau itinérant",38,40,10,0,88,146
35100,"Willowdale/Willowdale"," 501","Mobile poll/Bureau itinérant",43,23,15,1,82,126
35100,"Willowdale/Willowdale"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 600","North York",188,206,40,2,436,
35100,"Willowdale/Willowdale"," 601","North York",241,331,55,0,627,
35100,"Willowdale/Willowdale"," 602","North York",208,220,44,1,473,
35100,"Willowdale/Willowdale"," 603","North York",287,258,41,3,589,
35100,"Willowdale/Willowdale"," 604","North York",119,103,36,2,260,
35100,"Willowdale/Willowdale"," 605","North York",285,208,61,3,557,
35100,"Willowdale/Willowdale"," 606","North York",159,123,37,0,319,
35100,"Willowdale/Willowdale"," 607","North York",46,54,14,0,114,
35100,"Willowdale/Willowdale"," 608","North York",225,144,61,4,434,
35100,"Willowdale/Willowdale"," 609","North York",326,277,63,4,670,
35100,"Willowdale/Willowdale"," 610","North York",107,87,41,2,237,
35100,"Willowdale/Willowdale"," 611","North York",265,273,75,4,617,
35100,"Willowdale/Willowdale"," 612","North York",139,95,23,1,258,
35100,"Willowdale/Willowdale"," 613","North York",149,115,34,3,301,
35100,"Willowdale/Willowdale",,Group 1/Groupe 1,60,29,9,3,101,178
35100,"Willowdale/Willowdale",,Group 2/Groupe 2,414,263,87,7,771,
