Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arsenault,Mike Farlow,Tim Lobzun,Dave MacKenzie,John Markus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 96","Woodstock",77,9,28,135,2,1,252,482
35067,"Oxford/Oxford"," 96-1A","Woodstock",77,2,23,107,2,1,212,416
35067,"Oxford/Oxford"," 96-1B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,33
35067,"Oxford/Oxford"," 97","Woodstock",57,5,15,81,1,0,159,344
35067,"Oxford/Oxford"," 98","Woodstock",56,8,10,57,1,0,132,308
35067,"Oxford/Oxford"," 99","Woodstock",68,7,9,58,0,0,142,354
35067,"Oxford/Oxford"," 100","Woodstock",57,3,6,61,2,0,129,367
35067,"Oxford/Oxford"," 101","Woodstock",66,3,16,100,0,3,188,376
35067,"Oxford/Oxford"," 102","Woodstock",33,1,8,65,7,0,114,245
35067,"Oxford/Oxford"," 103","Woodstock",44,7,12,82,4,0,149,376
35067,"Oxford/Oxford"," 104","Woodstock",Void/Supprimé,,,,,,,
35067,"Oxford/Oxford"," 105","Woodstock",61,3,8,103,3,2,180,397
35067,"Oxford/Oxford"," 106","Woodstock",76,10,12,92,2,0,192,432
35067,"Oxford/Oxford"," 107","Woodstock",59,6,8,50,2,1,126,445
35067,"Oxford/Oxford"," 108","Woodstock",65,9,18,122,1,0,215,397
35067,"Oxford/Oxford"," 109","Woodstock",65,4,11,87,0,0,167,385
35067,"Oxford/Oxford"," 110","Woodstock",62,8,22,123,3,2,220,420
35067,"Oxford/Oxford"," 111","Woodstock",89,8,29,126,0,0,252,483
35067,"Oxford/Oxford"," 112","Ingersoll",72,11,11,100,1,1,196,350
35067,"Oxford/Oxford"," 112-1","Ingersoll",84,18,23,140,1,1,267,568
35067,"Oxford/Oxford"," 113","Ingersoll",59,6,17,100,2,0,184,339
35067,"Oxford/Oxford"," 113-1","Ingersoll",73,16,24,62,2,0,177,325
35067,"Oxford/Oxford"," 114","Ingersoll",44,6,5,46,3,0,104,326
35067,"Oxford/Oxford"," 115","Ingersoll",46,21,14,83,2,2,168,386
35067,"Oxford/Oxford"," 116","Ingersoll",91,9,16,95,4,1,216,410
35067,"Oxford/Oxford"," 117","Ingersoll",52,9,13,113,6,0,193,451
35067,"Oxford/Oxford"," 118","Ingersoll",42,8,7,51,1,1,110,323
35067,"Oxford/Oxford"," 119","Ingersoll",85,17,24,108,2,1,237,459
35067,"Oxford/Oxford"," 120","Ingersoll",98,15,9,123,2,1,248,495
35067,"Oxford/Oxford"," 121","Ingersoll",48,7,9,54,1,0,119,365
35067,"Oxford/Oxford"," 122","Ingersoll",80,17,19,101,1,1,219,460
35067,"Oxford/Oxford"," 123","Ingersoll",69,23,14,73,7,0,186,389
35067,"Oxford/Oxford"," 124","Ingersoll",21,8,12,78,2,0,121,227
35067,"Oxford/Oxford"," 124-1","Ingersoll",64,5,7,90,1,3,170,292
35067,"Oxford/Oxford"," 125","Ingersoll",52,25,27,115,3,0,222,391
35067,"Oxford/Oxford"," 126A","Ingersoll",72,10,19,85,4,2,192,415
35067,"Oxford/Oxford"," 126B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,10
35067,"Oxford/Oxford"," 127","Ingersoll",63,11,14,100,0,2,190,372
35067,"Oxford/Oxford"," 128","Ingersoll",83,14,29,133,6,0,265,531
35067,"Oxford/Oxford"," 129","Ingersoll",83,24,9,113,2,0,231,470
35067,"Oxford/Oxford"," 130","Dorland",39,5,16,115,2,0,177,325
35067,"Oxford/Oxford"," 131","Beachville",60,5,9,93,1,0,168,318
35067,"Oxford/Oxford"," 132","Beachville",73,7,14,107,5,1,207,347
35067,"Oxford/Oxford"," 133","Centreville",51,12,7,126,25,0,221,354
35067,"Oxford/Oxford"," 134","Foldens",31,17,11,85,7,0,151,242
35067,"Oxford/Oxford"," 135","Sweaburg",61,15,21,168,3,2,270,432
35067,"Oxford/Oxford"," 136","Sweaburg",48,8,17,122,1,0,196,297
35067,"Oxford/Oxford"," 137","Salford",39,13,10,93,13,0,168,337
35067,"Oxford/Oxford"," 138","South-West Oxford",29,7,18,99,2,1,156,249
35067,"Oxford/Oxford"," 139","Ingersoll",57,16,18,123,3,2,219,395
35067,"Oxford/Oxford"," 140","Verschoyle",18,5,4,102,6,0,135,250
35067,"Oxford/Oxford"," 141","Verschoyle",35,4,3,127,17,0,186,301
35067,"Oxford/Oxford"," 142","Mount Elgin",59,6,11,135,10,1,222,367
35067,"Oxford/Oxford"," 143","Ostrander",30,10,10,107,8,0,165,297
35067,"Oxford/Oxford"," 144","Delmer",20,1,6,140,4,0,171,292
35067,"Oxford/Oxford"," 145","Brownsville Station",43,8,11,139,5,0,206,399
35067,"Oxford/Oxford"," 146","Brownsville",29,5,8,84,3,0,129,212
35067,"Oxford/Oxford"," 147","Tillsonburg",54,3,8,89,1,1,156,360
35067,"Oxford/Oxford"," 147-1","Tillsonburg",29,5,20,91,2,0,147,293
35067,"Oxford/Oxford"," 148","Tillsonburg",66,3,16,106,5,0,196,434
35067,"Oxford/Oxford"," 148-1","Tillsonburg",34,5,13,57,4,0,113,214
35067,"Oxford/Oxford"," 149","Tillsonburg",50,10,24,124,4,0,212,404
35067,"Oxford/Oxford"," 150","Tillsonburg",41,0,11,74,1,0,127,259
35067,"Oxford/Oxford"," 151","Tillsonburg",36,6,12,67,0,1,122,246
35067,"Oxford/Oxford"," 151-1","Tillsonburg",42,3,6,85,0,0,136,289
35067,"Oxford/Oxford"," 152","Tillsonburg",45,5,8,86,4,0,148,319
35067,"Oxford/Oxford"," 153","Tillsonburg",58,6,10,68,0,0,142,395
35067,"Oxford/Oxford"," 154","Tillsonburg",64,7,22,62,4,0,159,388
35067,"Oxford/Oxford"," 155","Tillsonburg",28,0,7,54,1,0,90,294
35067,"Oxford/Oxford"," 156","Tillsonburg",39,7,14,105,0,0,165,396
35067,"Oxford/Oxford"," 157","Tillsonburg",49,6,32,154,1,1,243,431
35067,"Oxford/Oxford"," 157-1","Tillsonburg",35,5,22,114,4,1,181,336
35067,"Oxford/Oxford"," 158","Tillsonburg",34,5,23,132,2,0,196,437
35067,"Oxford/Oxford"," 159","Tillsonburg",42,9,15,97,0,1,164,409
35067,"Oxford/Oxford"," 160","Tillsonburg",58,6,18,82,1,0,165,378
35067,"Oxford/Oxford"," 160-1","Tillsonburg",18,9,13,48,2,0,90,180
35067,"Oxford/Oxford"," 161","Tillsonburg",30,3,12,116,2,0,163,369
35067,"Oxford/Oxford"," 162","Tillsonburg",40,3,22,138,3,2,208,456
35067,"Oxford/Oxford"," 163","Tillsonburg",45,4,15,68,1,0,133,449
35067,"Oxford/Oxford"," 164","Tillsonburg",41,9,15,86,1,0,152,360
35067,"Oxford/Oxford"," 165","Tillsonburg",37,8,16,77,2,0,140,287
35067,"Oxford/Oxford"," 166","Tillsonburg",47,5,21,125,1,1,200,319
35067,"Oxford/Oxford"," 167","Tillsonburg",53,8,43,194,0,0,298,521
35067,"Oxford/Oxford"," 168","Tillsonburg",46,7,20,125,4,2,204,332
35067,"Oxford/Oxford"," 169","Tillsonburg",45,9,21,138,0,2,215,325
35067,"Oxford/Oxford"," 170","Tillsonburg",28,5,9,108,0,1,151,260
35067,"Oxford/Oxford"," 170-1","Tillsonburg",47,9,14,103,1,0,174,324
