Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bakhos,Zaki Ghavitian,Mohamedali Jetha,Karine Joizil,Brent Neil,François Pilon,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 35","Laval",2,18,44,19,7,161,0,4,255,436
24033,"Laval--Les Îles/Laval--Les Îles"," 36","Laval",0,23,58,26,9,127,2,5,250,560
24033,"Laval--Les Îles/Laval--Les Îles"," 37","Laval",2,19,66,23,2,137,0,1,250,455
24033,"Laval--Les Îles/Laval--Les Îles"," 38","Laval",4,21,52,60,4,215,0,7,363,577
24033,"Laval--Les Îles/Laval--Les Îles"," 39","Laval",0,28,26,41,3,158,1,4,261,471
24033,"Laval--Les Îles/Laval--Les Îles"," 40","Laval",1,30,31,28,5,144,1,2,242,448
24033,"Laval--Les Îles/Laval--Les Îles"," 40-1","Laval",0,11,26,40,1,115,0,5,198,349
24033,"Laval--Les Îles/Laval--Les Îles"," 40-2A","Laval",0,29,28,31,3,104,0,1,196,376
24033,"Laval--Les Îles/Laval--Les Îles"," 40-2B","Laval",1,28,13,40,2,109,0,2,195,390
24033,"Laval--Les Îles/Laval--Les Îles"," 41","Laval",4,31,32,69,4,139,0,7,286,485
24033,"Laval--Les Îles/Laval--Les Îles"," 42","Laval",2,14,41,56,3,174,0,3,293,523
24033,"Laval--Les Îles/Laval--Les Îles"," 43","Laval",0,23,48,36,5,156,0,2,270,417
24033,"Laval--Les Îles/Laval--Les Îles"," 44","Laval",1,13,40,34,12,163,0,8,271,428
24033,"Laval--Les Îles/Laval--Les Îles"," 45","Laval",1,33,63,28,6,190,1,4,326,511
24033,"Laval--Les Îles/Laval--Les Îles"," 46","Laval",0,19,30,33,1,103,0,1,187,338
24033,"Laval--Les Îles/Laval--Les Îles"," 47","Laval",0,20,25,20,1,112,0,0,178,346
24033,"Laval--Les Îles/Laval--Les Îles"," 48","Laval",1,11,18,16,4,92,0,1,143,276
24033,"Laval--Les Îles/Laval--Les Îles"," 49","Laval",3,21,41,24,4,119,0,2,214,397
24033,"Laval--Les Îles/Laval--Les Îles"," 50","Laval",0,13,54,47,4,121,0,3,242,380
24033,"Laval--Les Îles/Laval--Les Îles"," 51","Laval",2,31,55,41,10,170,0,2,311,489
24033,"Laval--Les Îles/Laval--Les Îles"," 52","Laval",3,34,37,30,8,153,0,1,266,401
24033,"Laval--Les Îles/Laval--Les Îles"," 53","Laval",0,27,19,34,7,125,1,6,219,398
24033,"Laval--Les Îles/Laval--Les Îles"," 54","Laval",0,23,23,29,6,78,0,0,159,318
24033,"Laval--Les Îles/Laval--Les Îles"," 54-1","Laval",3,29,30,66,5,140,0,1,274,515
24033,"Laval--Les Îles/Laval--Les Îles"," 55","Laval",3,27,76,22,4,177,0,6,315,600
24033,"Laval--Les Îles/Laval--Les Îles"," 56","Laval",Void/Supprimé,,,,,,,,,
24033,"Laval--Les Îles/Laval--Les Îles"," 57","Laval",0,33,15,71,4,79,0,1,203,392
24033,"Laval--Les Îles/Laval--Les Îles"," 58","Laval",5,39,65,57,5,159,0,4,334,581
24033,"Laval--Les Îles/Laval--Les Îles"," 59","Laval",2,15,50,55,4,137,1,2,266,507
24033,"Laval--Les Îles/Laval--Les Îles"," 60A","Laval",0,26,30,43,1,67,0,4,171,337
24033,"Laval--Les Îles/Laval--Les Îles"," 60B","Laval",0,23,32,42,0,80,1,1,179,322
24033,"Laval--Les Îles/Laval--Les Îles"," 61","Laval",1,23,33,34,5,133,0,5,234,435
24033,"Laval--Les Îles/Laval--Les Îles"," 62","Laval",1,22,33,46,2,129,1,1,235,443
24033,"Laval--Les Îles/Laval--Les Îles"," 63","Laval",1,24,45,43,6,125,0,1,245,409
24033,"Laval--Les Îles/Laval--Les Îles"," 64","Laval",1,29,55,59,4,117,0,1,266,416
24033,"Laval--Les Îles/Laval--Les Îles"," 65","Laval",1,14,36,29,4,92,0,1,177,300
24033,"Laval--Les Îles/Laval--Les Îles"," 66","Laval",2,34,8,41,4,78,1,1,169,340
24033,"Laval--Les Îles/Laval--Les Îles"," 66-1","Laval",0,58,14,59,3,98,1,1,234,443
24033,"Laval--Les Îles/Laval--Les Îles"," 67","Laval",1,40,34,55,4,123,1,2,260,543
24033,"Laval--Les Îles/Laval--Les Îles"," 67-1","Laval",3,27,23,40,4,115,0,4,216,421
24033,"Laval--Les Îles/Laval--Les Îles"," 68","Laval",1,19,48,20,4,109,0,3,204,423
24033,"Laval--Les Îles/Laval--Les Îles"," 69","Laval",0,30,14,55,5,112,1,0,217,418
24033,"Laval--Les Îles/Laval--Les Îles"," 70","Laval",2,17,23,17,6,77,0,2,144,269
24033,"Laval--Les Îles/Laval--Les Îles"," 71","Laval",0,22,17,31,3,89,0,3,165,300
24033,"Laval--Les Îles/Laval--Les Îles"," 72","Laval",0,15,36,12,4,68,0,0,135,261
24033,"Laval--Les Îles/Laval--Les Îles"," 73","Laval",0,10,26,19,1,95,0,1,152,300
