Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Allan,Jerry Byrne,Jack Harris,Robert Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 69-1","St. John's",20,60,189,0,1,270,534
10006,"St. John's East/St. John's-Est"," 69-2","St. John's",14,68,250,2,1,335,604
10006,"St. John's East/St. John's-Est"," 70","St. John's",13,38,135,0,0,186,365
10006,"St. John's East/St. John's-Est"," 71","St. John's",7,39,111,1,0,158,356
10006,"St. John's East/St. John's-Est"," 71-1","St. John's",7,10,69,0,0,86,277
10006,"St. John's East/St. John's-Est"," 72","St. John's",10,26,71,1,0,108,256
10006,"St. John's East/St. John's-Est"," 73","St. John's",27,31,99,3,1,161,267
10006,"St. John's East/St. John's-Est"," 74","St. John's",8,26,153,1,0,188,529
10006,"St. John's East/St. John's-Est"," 75","St. John's",13,56,188,2,1,260,550
10006,"St. John's East/St. John's-Est"," 75-1A","St. John's",27,46,175,2,1,251,520
10006,"St. John's East/St. John's-Est"," 75-1B","St. John's",19,63,157,1,0,240,519
10006,"St. John's East/St. John's-Est"," 75-2","St. John's",Merged with No. 124/Fusionné avec le nº 124,,,,,,74
10006,"St. John's East/St. John's-Est"," 76","St. John's",19,46,164,5,0,234,465
10006,"St. John's East/St. John's-Est"," 76-1","St. John's",21,34,176,4,2,237,437
10006,"St. John's East/St. John's-Est"," 77","St. John's",13,74,163,4,2,256,419
10006,"St. John's East/St. John's-Est"," 77-1","St. John's",17,57,150,2,1,227,384
10006,"St. John's East/St. John's-Est"," 77-2","St. John's",23,64,133,2,0,222,369
10006,"St. John's East/St. John's-Est"," 78","St. John's",55,79,204,3,0,341,606
10006,"St. John's East/St. John's-Est"," 79","St. John's",16,40,173,6,0,235,372
10006,"St. John's East/St. John's-Est"," 80","St. John's",37,54,235,8,0,334,590
10006,"St. John's East/St. John's-Est"," 81","St. John's",4,22,131,1,0,158,388
10006,"St. John's East/St. John's-Est"," 82","St. John's",17,31,150,0,0,198,364
10006,"St. John's East/St. John's-Est"," 83","St. John's",14,39,166,3,0,222,363
10006,"St. John's East/St. John's-Est"," 84","St. John's",19,55,160,2,0,236,387
10006,"St. John's East/St. John's-Est"," 85","St. John's",12,48,160,4,1,225,403
10006,"St. John's East/St. John's-Est"," 86","St. John's",6,46,159,1,4,216,364
10006,"St. John's East/St. John's-Est"," 87","St. John's",6,19,97,1,0,123,241
10006,"St. John's East/St. John's-Est"," 88","St. John's",15,30,164,3,1,213,409
10006,"St. John's East/St. John's-Est"," 89","St. John's",4,25,146,1,0,176,378
10006,"St. John's East/St. John's-Est"," 90","St. John's",3,15,134,0,1,153,373
10006,"St. John's East/St. John's-Est"," 91","St. John's",23,41,188,2,0,254,468
10006,"St. John's East/St. John's-Est"," 92","St. John's",20,43,167,2,1,233,411
10006,"St. John's East/St. John's-Est"," 93","St. John's",10,25,141,0,2,178,283
