Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cecil Clarke,Mark Eyking,Kathy MacLeod,Chris Milburn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 39","Boisdale",34,52,11,11,0,108,180
12010,"Sydney--Victoria/Sydney--Victoria"," 40","Grand Narrows",44,77,36,3,0,160,248
12010,"Sydney--Victoria/Sydney--Victoria"," 41","Upper North Sydney",89,62,23,6,1,181,308
12010,"Sydney--Victoria/Sydney--Victoria"," 42","Leitches Creek",65,90,29,6,2,192,356
12010,"Sydney--Victoria/Sydney--Victoria"," 43","Sydney Mines",62,34,23,4,0,123,260
12010,"Sydney--Victoria/Sydney--Victoria"," 44","Sydney Mines",69,30,13,1,1,114,284
12010,"Sydney--Victoria/Sydney--Victoria"," 45","Sydney Mines",96,43,16,4,2,161,354
12010,"Sydney--Victoria/Sydney--Victoria"," 45-1","Sydney Mines",36,36,10,0,0,82,205
12010,"Sydney--Victoria/Sydney--Victoria"," 46","Sydney Mines",67,44,15,1,1,128,278
12010,"Sydney--Victoria/Sydney--Victoria"," 47","Sydney Mines",62,26,28,3,2,121,331
12010,"Sydney--Victoria/Sydney--Victoria"," 48","Sydney Mines",109,62,31,5,0,207,512
12010,"Sydney--Victoria/Sydney--Victoria"," 49","Sydney Mines",69,34,10,2,1,116,246
12010,"Sydney--Victoria/Sydney--Victoria"," 50","Sydney Mines",105,63,15,2,4,189,415
12010,"Sydney--Victoria/Sydney--Victoria"," 51","Sydney Mines",89,40,32,1,3,165,347
12010,"Sydney--Victoria/Sydney--Victoria"," 52","Sydney Mines",70,31,18,2,0,121,243
12010,"Sydney--Victoria/Sydney--Victoria"," 53","Sydney Mines",84,53,32,1,1,171,358
12010,"Sydney--Victoria/Sydney--Victoria"," 54","Sydney Mines",109,64,29,6,1,209,419
12010,"Sydney--Victoria/Sydney--Victoria"," 55","Sydney Mines",19,14,6,1,0,40,61
12010,"Sydney--Victoria/Sydney--Victoria"," 55-1","Sydney Mines",122,85,41,4,8,260,553
12010,"Sydney--Victoria/Sydney--Victoria"," 56","Sydney Mines",59,54,31,3,2,149,319
12010,"Sydney--Victoria/Sydney--Victoria"," 57","North Sydney",95,44,13,2,1,155,342
12010,"Sydney--Victoria/Sydney--Victoria"," 58","North Sydney",71,44,18,3,0,136,270
12010,"Sydney--Victoria/Sydney--Victoria"," 59","North Sydney",55,30,28,3,0,116,195
12010,"Sydney--Victoria/Sydney--Victoria"," 60","North Sydney",103,51,19,7,0,180,349
12010,"Sydney--Victoria/Sydney--Victoria"," 61","North Sydney",87,46,24,1,0,158,340
12010,"Sydney--Victoria/Sydney--Victoria"," 62","North Sydney",82,45,31,1,1,160,338
12010,"Sydney--Victoria/Sydney--Victoria"," 63","North Sydney",105,42,21,4,0,172,407
12010,"Sydney--Victoria/Sydney--Victoria"," 64","North Sydney",72,33,22,1,1,129,375
12010,"Sydney--Victoria/Sydney--Victoria"," 65","North Sydney",150,63,9,9,2,233,412
12010,"Sydney--Victoria/Sydney--Victoria"," 66","North Sydney",131,41,22,2,0,196,373
12010,"Sydney--Victoria/Sydney--Victoria"," 67","North Sydney",55,34,20,3,1,113,273
12010,"Sydney--Victoria/Sydney--Victoria"," 68","North Sydney",74,30,22,3,1,130,296
12010,"Sydney--Victoria/Sydney--Victoria"," 69","North Sydney",109,49,26,3,2,189,359
12010,"Sydney--Victoria/Sydney--Victoria"," 70","North Sydney",96,62,15,9,2,184,369
12010,"Sydney--Victoria/Sydney--Victoria"," 71","Westmount",49,79,34,8,4,174,280
12010,"Sydney--Victoria/Sydney--Victoria"," 71-1","Cape Breton",59,58,51,7,1,176,311
12010,"Sydney--Victoria/Sydney--Victoria"," 72","Westmount",52,80,45,3,2,182,397
12010,"Sydney--Victoria/Sydney--Victoria"," 73","Westmount",40,70,32,9,2,153,337
12010,"Sydney--Victoria/Sydney--Victoria"," 74","Westmount",31,41,30,4,0,106,254
12010,"Sydney--Victoria/Sydney--Victoria"," 75","Westmount",62,66,41,7,0,176,383
12010,"Sydney--Victoria/Sydney--Victoria"," 76","Westmount",110,120,39,18,6,293,474
12010,"Sydney--Victoria/Sydney--Victoria"," 77","Coxheath",63,60,43,5,3,174,333
12010,"Sydney--Victoria/Sydney--Victoria"," 78","Coxheath",90,68,40,9,0,207,380
12010,"Sydney--Victoria/Sydney--Victoria"," 79","Coxheath",124,117,36,8,1,286,458
12010,"Sydney--Victoria/Sydney--Victoria"," 80","Balls Creek",58,62,29,9,0,158,291
12010,"Sydney--Victoria/Sydney--Victoria"," 81","Coxheath",150,111,60,9,1,331,590
12010,"Sydney--Victoria/Sydney--Victoria"," 82","Blacketts Lake",65,62,20,15,1,163,288
12010,"Sydney--Victoria/Sydney--Victoria"," 83","Blacketts Lake",61,65,28,10,0,164,304
12010,"Sydney--Victoria/Sydney--Victoria"," 84","Frenchvale",82,102,53,6,5,248,455
12010,"Sydney--Victoria/Sydney--Victoria"," 85","Northside East Bay",129,92,40,15,2,278,484
12010,"Sydney--Victoria/Sydney--Victoria"," 86","Eskasoni 3",30,36,21,2,1,90,372
12010,"Sydney--Victoria/Sydney--Victoria"," 86-1","Eskasoni 3",26,32,13,2,0,73,306
12010,"Sydney--Victoria/Sydney--Victoria"," 87","Eskasoni 3",22,64,36,3,0,125,529
12010,"Sydney--Victoria/Sydney--Victoria"," 87-1","Eskasoni 3",17,74,46,4,0,141,580
12010,"Sydney--Victoria/Sydney--Victoria"," 88","Sydney",66,88,42,8,2,206,475
12010,"Sydney--Victoria/Sydney--Victoria"," 89","Sydney",55,97,42,5,0,199,425
12010,"Sydney--Victoria/Sydney--Victoria"," 90","Sydney",61,67,38,6,1,173,354
12010,"Sydney--Victoria/Sydney--Victoria"," 91","Sydney",65,90,24,10,2,191,371
12010,"Sydney--Victoria/Sydney--Victoria"," 92","Sydney",55,64,25,17,1,162,333
12010,"Sydney--Victoria/Sydney--Victoria"," 93","Sydney",66,65,33,4,1,169,378
12010,"Sydney--Victoria/Sydney--Victoria"," 94","Sydney",30,85,37,10,1,163,335
12010,"Sydney--Victoria/Sydney--Victoria"," 95A","Sydney",32,42,38,5,0,117,308
12010,"Sydney--Victoria/Sydney--Victoria"," 95B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,35
12010,"Sydney--Victoria/Sydney--Victoria"," 96","Sydney",57,51,37,3,1,149,344
12010,"Sydney--Victoria/Sydney--Victoria"," 97","Membertou 28B",25,64,38,2,0,129,523
12010,"Sydney--Victoria/Sydney--Victoria"," 98","Sydney",59,62,52,4,0,177,345
12010,"Sydney--Victoria/Sydney--Victoria"," 99","Sydney",72,81,51,3,0,207,414
12010,"Sydney--Victoria/Sydney--Victoria"," 100","Sydney",64,80,39,8,0,191,383
12010,"Sydney--Victoria/Sydney--Victoria"," 101","Sydney",50,63,50,15,1,179,352
12010,"Sydney--Victoria/Sydney--Victoria"," 102","Sydney",44,64,33,1,1,143,316
12010,"Sydney--Victoria/Sydney--Victoria"," 103","Sydney",26,50,23,2,2,103,274
12010,"Sydney--Victoria/Sydney--Victoria"," 104","Sydney",53,49,42,4,1,149,303
12010,"Sydney--Victoria/Sydney--Victoria"," 105","Sydney",49,72,27,4,0,152,273
12010,"Sydney--Victoria/Sydney--Victoria"," 106","Sydney",64,73,37,6,1,181,343
12010,"Sydney--Victoria/Sydney--Victoria"," 107","Sydney",61,76,37,5,2,181,319
12010,"Sydney--Victoria/Sydney--Victoria"," 108","Sydney",79,103,42,11,1,236,419
12010,"Sydney--Victoria/Sydney--Victoria"," 109","Sydney",67,96,33,3,1,200,332
12010,"Sydney--Victoria/Sydney--Victoria"," 109-1","Sydney",53,83,47,8,0,191,315
12010,"Sydney--Victoria/Sydney--Victoria"," 110","Sydney",34,64,35,7,2,142,306
12010,"Sydney--Victoria/Sydney--Victoria"," 111","Sydney",44,77,29,13,0,163,307
12010,"Sydney--Victoria/Sydney--Victoria"," 112","Sydney",47,77,59,6,3,192,419
12010,"Sydney--Victoria/Sydney--Victoria"," 113","Sydney",14,33,15,3,0,65,177
12010,"Sydney--Victoria/Sydney--Victoria"," 114","Sydney",47,63,54,9,0,173,426
12010,"Sydney--Victoria/Sydney--Victoria"," 115","Sydney",34,69,41,7,0,151,321
12010,"Sydney--Victoria/Sydney--Victoria"," 116","Sydney",19,53,32,7,2,113,298
12010,"Sydney--Victoria/Sydney--Victoria"," 117","Sydney",49,59,45,13,1,167,341
12010,"Sydney--Victoria/Sydney--Victoria"," 118","Sydney",55,84,59,14,0,212,394
12010,"Sydney--Victoria/Sydney--Victoria"," 119","Sydney",35,64,36,6,3,144,303
12010,"Sydney--Victoria/Sydney--Victoria"," 120","Sydney",55,71,29,11,2,168,299
12010,"Sydney--Victoria/Sydney--Victoria"," 121","Sydney",48,85,50,18,0,201,362
12010,"Sydney--Victoria/Sydney--Victoria"," 122","Sydney",29,68,49,3,1,150,278
12010,"Sydney--Victoria/Sydney--Victoria"," 123","Sydney",25,56,23,6,0,110,210
12010,"Sydney--Victoria/Sydney--Victoria"," 124","Sydney",54,70,50,9,1,184,350
12010,"Sydney--Victoria/Sydney--Victoria"," 125","Sydney",62,79,49,8,1,199,341
12010,"Sydney--Victoria/Sydney--Victoria"," 126","Sydney",65,82,50,6,1,204,334
12010,"Sydney--Victoria/Sydney--Victoria"," 127","Sydney",75,83,40,12,0,210,349
12010,"Sydney--Victoria/Sydney--Victoria"," 128","Sydney",45,55,66,6,2,174,372
12010,"Sydney--Victoria/Sydney--Victoria"," 129","Sydney",36,55,51,3,4,149,367
12010,"Sydney--Victoria/Sydney--Victoria"," 130","Sydney",46,51,48,9,1,155,349
12010,"Sydney--Victoria/Sydney--Victoria"," 131","Sydney",22,35,33,2,0,92,278
12010,"Sydney--Victoria/Sydney--Victoria"," 132","Sydney",38,51,56,2,2,149,328
12010,"Sydney--Victoria/Sydney--Victoria"," 133","Sydney",44,47,57,4,3,155,308
12010,"Sydney--Victoria/Sydney--Victoria"," 134","Sydney",39,38,50,6,0,133,278
12010,"Sydney--Victoria/Sydney--Victoria"," 135","Sydney",15,33,57,1,0,106,262
12010,"Sydney--Victoria/Sydney--Victoria"," 136","Sydney",12,24,54,0,1,91,214
12010,"Sydney--Victoria/Sydney--Victoria"," 137","Sydney",14,31,40,2,1,88,226
12010,"Sydney--Victoria/Sydney--Victoria"," 138","Sydney",37,46,67,4,0,154,345
12010,"Sydney--Victoria/Sydney--Victoria"," 139","Sydney",39,30,55,4,0,128,315
12010,"Sydney--Victoria/Sydney--Victoria"," 140","Sydney",31,51,45,3,1,131,264
12010,"Sydney--Victoria/Sydney--Victoria"," 141","Sydney",33,71,33,2,1,140,277
12010,"Sydney--Victoria/Sydney--Victoria"," 142","Sydney",26,60,48,6,4,144,313
12010,"Sydney--Victoria/Sydney--Victoria"," 143","Sydney",51,65,60,5,3,184,435
12010,"Sydney--Victoria/Sydney--Victoria"," 144","Sydney",33,53,45,2,0,133,288
12010,"Sydney--Victoria/Sydney--Victoria"," 145","Sydney",36,51,46,3,1,137,318
12010,"Sydney--Victoria/Sydney--Victoria"," 146","New Victoria",52,75,67,12,0,206,435
12010,"Sydney--Victoria/Sydney--Victoria"," 147","New Victoria",26,42,37,4,2,111,273
12010,"Sydney--Victoria/Sydney--Victoria"," 148","New Victoria",47,41,32,5,3,128,305
12010,"Sydney--Victoria/Sydney--Victoria"," 149","South Bar",31,59,41,3,0,134,230
12010,"Sydney--Victoria/Sydney--Victoria"," 150","South Bar",54,82,58,8,0,202,360
12010,"Sydney--Victoria/Sydney--Victoria"," 151","Lingan Road",60,93,62,8,1,224,386
12010,"Sydney--Victoria/Sydney--Victoria"," 152","Scotchtown",81,98,59,11,1,250,513
12010,"Sydney--Victoria/Sydney--Victoria"," 153","Scotchtown",47,18,23,1,0,89,376
12010,"Sydney--Victoria/Sydney--Victoria"," 154","Scotchtown",40,56,36,4,0,136,364
12010,"Sydney--Victoria/Sydney--Victoria"," 155","Scotchtown",39,58,38,4,5,144,393
12010,"Sydney--Victoria/Sydney--Victoria"," 156","Lingan",66,107,62,8,8,251,466
12010,"Sydney--Victoria/Sydney--Victoria"," 157","New Waterford",69,68,62,7,3,209,415
12010,"Sydney--Victoria/Sydney--Victoria"," 158","New Waterford",47,62,72,3,3,187,387
12010,"Sydney--Victoria/Sydney--Victoria"," 159","New Waterford",20,28,37,2,0,87,261
12010,"Sydney--Victoria/Sydney--Victoria"," 160","New Waterford",35,66,49,1,1,152,404
12010,"Sydney--Victoria/Sydney--Victoria"," 161","New Waterford",55,71,48,6,4,184,342
12010,"Sydney--Victoria/Sydney--Victoria"," 162","New Waterford",21,49,3,50,1,124,316
12010,"Sydney--Victoria/Sydney--Victoria"," 163","New Waterford",38,31,27,0,0,96,218
12010,"Sydney--Victoria/Sydney--Victoria"," 164","New Waterford",43,55,35,1,3,137,355
12010,"Sydney--Victoria/Sydney--Victoria"," 165","New Waterford",36,59,29,5,0,129,338
12010,"Sydney--Victoria/Sydney--Victoria"," 166","New Waterford",44,53,29,2,0,128,327
12010,"Sydney--Victoria/Sydney--Victoria"," 167","New Waterford",32,59,43,2,0,136,398
12010,"Sydney--Victoria/Sydney--Victoria"," 168","New Waterford",16,47,29,3,0,95,269
12010,"Sydney--Victoria/Sydney--Victoria"," 169","New Waterford",59,77,51,7,1,195,382
12010,"Sydney--Victoria/Sydney--Victoria"," 170","New Waterford",34,52,41,6,1,134,340
12010,"Sydney--Victoria/Sydney--Victoria"," 171","New Waterford",62,68,48,6,2,186,376
12010,"Sydney--Victoria/Sydney--Victoria"," 400","Cape Breton",Void/Supprimé,,,,,,
12010,"Sydney--Victoria/Sydney--Victoria"," 401","Cape Breton",34,30,16,1,3,84,257
12010,"Sydney--Victoria/Sydney--Victoria"," 402","Sydney",20,41,17,1,3,82,91
12010,"Sydney--Victoria/Sydney--Victoria"," 403","Sydney",31,26,13,1,2,73,109
12010,"Sydney--Victoria/Sydney--Victoria"," 500","Mobile poll/Bureau itinérant",27,20,4,1,0,52,77
12010,"Sydney--Victoria/Sydney--Victoria"," 501","Mobile poll/Bureau itinérant",17,19,6,0,1,43,73
12010,"Sydney--Victoria/Sydney--Victoria"," 502","Mobile poll/Bureau itinérant",21,36,17,1,2,77,155
12010,"Sydney--Victoria/Sydney--Victoria"," 503","Mobile poll/Bureau itinérant",20,28,6,3,2,59,113
12010,"Sydney--Victoria/Sydney--Victoria"," 600","Pleasant Bay",6,6,2,3,0,17,
12010,"Sydney--Victoria/Sydney--Victoria"," 601","Ingonish",30,45,8,4,1,88,
12010,"Sydney--Victoria/Sydney--Victoria"," 602","Englishtown",25,45,8,6,0,84,
12010,"Sydney--Victoria/Sydney--Victoria"," 603","Baddeck",104,134,22,7,5,272,
12010,"Sydney--Victoria/Sydney--Victoria"," 604","Florence",212,110,53,3,2,380,
12010,"Sydney--Victoria/Sydney--Victoria"," 605","Gannon Road",119,57,17,0,2,195,
12010,"Sydney--Victoria/Sydney--Victoria"," 606","Sydney Mines",420,267,54,11,1,753,
12010,"Sydney--Victoria/Sydney--Victoria"," 607","North Sydney",360,172,24,8,1,565,
12010,"Sydney--Victoria/Sydney--Victoria"," 608","Westmount",128,172,31,10,4,345,
12010,"Sydney--Victoria/Sydney--Victoria"," 609","Coxheath",146,205,41,9,7,408,
12010,"Sydney--Victoria/Sydney--Victoria"," 610","Membertou 1",265,326,65,17,3,676,
12010,"Sydney--Victoria/Sydney--Victoria"," 611","Membertou 2",109,181,41,14,0,345,
12010,"Sydney--Victoria/Sydney--Victoria"," 612","Sydney",137,311,80,21,4,553,
12010,"Sydney--Victoria/Sydney--Victoria"," 613","Sydney",139,206,123,7,4,479,
12010,"Sydney--Victoria/Sydney--Victoria"," 614","New Victoria",122,206,80,6,0,414,
12010,"Sydney--Victoria/Sydney--Victoria"," 615","New Waterford",148,246,130,13,9,546,
12010,"Sydney--Victoria/Sydney--Victoria"," 616","Eskasoni",15,33,5,0,1,54,
12010,"Sydney--Victoria/Sydney--Victoria"," 617","Cape North",26,32,3,2,0,63,
12010,"Sydney--Victoria/Sydney--Victoria"," 618","Wagmatcook 1",17,32,9,1,0,59,
12010,"Sydney--Victoria/Sydney--Victoria"," 619","Millville Boularderie",111,82,21,7,0,221,
12010,"Sydney--Victoria/Sydney--Victoria"," 620","Iona--Boisdale",38,39,11,3,0,91,
12010,"Sydney--Victoria/Sydney--Victoria"," 621","North Sydney",105,55,17,1,0,178,
12010,"Sydney--Victoria/Sydney--Victoria",,Group 1/Groupe 1,135,69,19,10,10,243,598
12010,"Sydney--Victoria/Sydney--Victoria",,Group 2/Groupe 2,329,448,96,20,5,898,
