Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Waseem Ahmed,Jaymini Bhikha,Pierre Chénier,Peter Fonseca,Wladyslaw Lizon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29","Mississauga",22,1,0,50,42,1,116,252
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29-1","Mississauga",17,0,0,29,47,0,93,302
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 30","Mississauga",36,2,0,85,108,0,231,467
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 31","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 32","Mississauga",61,6,0,57,54,0,178,488
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 33","Mississauga",31,8,1,102,94,3,239,471
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 34","Mississauga",23,6,1,112,110,3,255,431
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 35","Mississauga",29,4,1,68,102,1,205,370
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 36","Mississauga",15,7,1,98,99,1,221,435
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 37","Mississauga",21,5,0,98,115,0,239,396
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 38","Mississauga",34,7,1,44,49,0,135,370
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 39","Mississauga",32,1,0,37,44,0,114,359
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 40","Mississauga",29,3,1,87,90,2,212,406
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 41","Mississauga",28,14,0,100,126,0,268,457
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 42","Mississauga",40,4,2,90,88,0,224,440
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 43","Mississauga",39,4,1,95,124,0,263,449
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 44","Mississauga",35,8,0,43,39,0,125,361
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 45","Mississauga",31,1,1,27,48,1,109,309
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 46","Mississauga",42,2,2,56,40,2,144,418
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 47","Mississauga",44,5,2,84,132,3,270,545
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 48","Mississauga",15,2,1,106,87,2,213,422
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 49","Mississauga",17,2,0,86,72,0,177,318
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 50","Mississauga",37,2,3,94,105,1,242,427
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 51","Mississauga",22,6,1,80,79,1,189,355
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 52","Mississauga",39,8,0,95,104,7,253,459
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 53","Mississauga",17,5,0,80,114,1,217,389
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 54","Mississauga",27,7,0,65,99,2,200,348
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 55","Mississauga",25,3,2,74,59,0,163,300
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 56","Mississauga",20,3,0,71,44,2,140,282
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 57","Mississauga",37,2,0,58,75,2,174,365
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 58","Mississauga",17,1,0,79,93,5,195,326
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 59","Mississauga",19,4,0,83,88,4,198,331
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 60","Mississauga",30,6,1,81,86,3,207,384
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 61","Mississauga",36,8,2,71,126,2,245,397
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 62","Mississauga",32,1,0,65,90,2,190,377
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 63","Mississauga",24,4,1,79,89,1,198,418
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 64","Mississauga",45,5,0,70,120,0,240,503
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 65","Mississauga",17,8,3,101,99,3,231,391
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 66","Mississauga",31,7,1,87,111,0,237,400
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 67","Mississauga",46,8,0,87,84,0,225,423
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 68","Mississauga",36,4,1,81,78,0,200,356
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 69","Mississauga",38,1,2,61,104,1,207,383
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 70","Mississauga",39,7,2,86,103,0,237,466
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 71","Mississauga",29,3,0,54,96,0,182,288
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 72","Mississauga",67,4,0,44,60,0,175,471
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 73","Mississauga",28,5,1,75,77,0,186,358
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 73-1","Mississauga",37,2,0,36,46,1,122,337
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 74","Mississauga",16,3,1,44,59,3,126,283
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 74-1","Mississauga",31,2,0,25,42,1,101,243
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 74-2","Mississauga",10,2,0,48,39,0,99,180
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 75","Mississauga",8,2,2,88,116,1,217,405
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 76","Mississauga",15,4,0,66,76,0,161,294
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 77","Mississauga",13,6,1,64,61,0,145,271
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 78","Mississauga",24,3,2,73,83,0,185,315
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 79","Mississauga",18,7,0,69,95,0,189,348
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 80","Mississauga",21,4,0,52,45,0,122,281
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 81","Mississauga",23,1,1,29,29,0,83,249
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 82","Mississauga",49,3,0,49,58,1,160,455
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 83","Mississauga",49,0,3,44,29,1,126,375
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 84","Mississauga",42,2,0,30,55,0,129,294
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 85","Mississauga",54,7,0,83,67,0,211,513
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 86","Mississauga",18,3,1,34,54,0,110,266
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 87","Mississauga",22,0,0,19,39,0,80,238
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 88","Mississauga",61,7,0,101,96,5,270,547
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 89","Mississauga",61,10,0,83,72,2,228,512
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 90","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 91","Mississauga",28,4,2,85,73,0,192,428
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 92A","Mississauga",53,2,1,47,41,5,149,373
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 92B","Mississauga",37,5,1,56,49,0,148,342
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 93","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 94","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 95","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 96","Mississauga",37,1,2,53,53,0,146,453
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 97","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 98","Mississauga",17,1,1,24,43,2,88,196
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 99A","Mississauga",29,0,1,40,48,0,118,351
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 99B","Mississauga",28,1,2,40,59,2,132,323
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 100","Mississauga",42,5,0,69,88,1,205,388
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 101","Mississauga",37,4,3,92,61,2,199,442
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102A","Mississauga",29,6,0,43,39,1,118,281
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102B","Mississauga",40,4,1,39,56,2,142,318
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102C","Mississauga",28,3,0,43,42,0,116,276
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102-1","Mississauga",47,3,2,70,51,0,173,336
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 103","Mississauga",51,3,1,91,67,2,215,605
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 104","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 105","Mississauga",33,1,2,101,104,0,241,566
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 106","Mississauga",40,6,1,104,82,2,235,446
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 107","Mississauga",20,2,0,79,76,0,177,423
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 108","Mississauga",36,7,1,70,124,3,241,551
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 109","Mississauga",27,3,0,54,56,3,143,271
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 110A","Mississauga",25,2,0,40,39,0,106,271
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 110B","Mississauga",19,2,0,46,32,1,100,266
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 111","Mississauga",60,5,3,126,71,1,266,466
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 112","Mississauga",27,3,0,71,50,0,151,295
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 113","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 114","Mississauga",29,3,1,75,84,2,194,410
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 115","Mississauga",61,12,1,91,70,1,236,407
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 116","Mississauga",35,3,0,55,40,0,133,243
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 117","Mississauga",37,8,1,91,107,2,246,582
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 118","Mississauga",58,5,0,59,103,2,227,496
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 119","Mississauga",39,3,0,95,62,0,199,493
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 120","Mississauga",12,1,1,53,38,1,106,232
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 121","Mississauga",34,5,1,82,99,2,223,446
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 122","Mississauga",32,4,0,64,81,1,182,298
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 122-1","Mississauga",17,3,0,58,76,1,155,295
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 123","Mississauga",15,2,0,68,69,2,156,324
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 123-1","Mississauga",27,2,0,47,55,4,135,327
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 124","Mississauga",36,4,0,45,81,0,166,322
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 124-1A","Mississauga",28,2,1,48,56,1,136,266
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 124-1B","Mississauga",23,3,0,43,48,0,117,252
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 125","Mississauga",28,5,0,35,55,0,123,289
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 126","Mississauga",55,4,1,103,78,0,241,531
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 127","Mississauga",61,5,1,71,105,0,243,546
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 127-1","Mississauga",32,2,1,38,64,1,138,383
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 127-2","Mississauga",47,7,1,63,70,1,189,478
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 128","Mississauga",21,2,3,30,96,1,153,326
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 129A","Mississauga",20,2,2,56,72,3,155,271
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 129B","Mississauga",10,5,0,36,37,0,88,222
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 130","Mississauga",18,9,0,41,52,0,120,274
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 131","Mississauga",39,5,0,104,99,0,247,456
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 132","Mississauga",32,0,0,74,48,0,154,330
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 133","Mississauga",33,4,0,55,44,1,137,332
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 134","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 135","Mississauga",66,3,1,64,65,0,199,541
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 136","Mississauga",39,2,1,60,43,1,146,442
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 137A","Mississauga",29,3,1,56,40,0,129,317
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 137B","Mississauga",33,6,0,58,83,2,182,367
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 138","Mississauga",47,8,0,139,94,1,289,526
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 139","Mississauga",26,2,2,71,101,2,204,516
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 140","Mississauga",32,4,1,53,64,1,155,381
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 141","Mississauga",25,3,1,36,21,0,86,283
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 142","Mississauga",27,3,1,89,82,2,204,470
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 142-1","Mississauga",36,2,2,70,110,1,221,507
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 143","Mississauga",23,1,0,31,28,0,83,229
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 144","Mississauga",48,3,0,54,40,2,147,366
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 145","Mississauga",15,1,2,53,52,3,126,300
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 146","Mississauga",39,2,0,63,75,2,181,510
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 147","Mississauga",58,2,3,54,58,0,175,438
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 148","Mississauga",33,5,2,49,44,2,135,357
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 149","Mississauga",44,1,1,46,56,2,150,337
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 150","Mississauga",41,8,3,85,120,0,257,441
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 151","Mississauga",30,3,2,30,104,0,169,428
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 152","Mississauga",62,4,0,68,24,1,159,264
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 153","Mississauga",41,3,2,103,101,1,251,540
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 154","Mississauga",38,10,2,59,89,0,198,369
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 155","Mississauga",41,2,0,95,72,0,210,492
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 156","Mississauga",29,3,3,100,75,2,212,458
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 157","Mississauga",30,6,2,80,100,2,220,444
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 158","Mississauga",39,6,1,75,86,0,207,425
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 159","Mississauga",37,4,2,57,87,0,187,383
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 160","Mississauga",30,9,3,90,101,2,235,430
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 161","Mississauga",26,2,2,90,80,1,201,449
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 400","Mississauga",31,5,0,57,96,0,189,314
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 401","Mississauga",13,2,0,63,82,2,162,214
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 402","Mississauga",36,6,0,58,100,1,201,299
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 403","Mississauga",15,3,1,64,67,1,151,216
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 404","Mississauga",43,4,0,81,82,0,210,390
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 405","Mississauga",55,6,1,77,47,0,186,369
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 406","Mississauga",60,1,1,83,69,0,214,352
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 407","Mississauga",21,2,0,47,32,0,102,215
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 408","Mississauga",37,5,1,104,80,1,228,453
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 409","Mississauga",41,1,0,82,91,2,217,348
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 410","Mississauga",62,1,1,67,57,2,190,325
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 411","Mississauga",48,8,0,87,96,1,240,358
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 412","Mississauga",40,7,1,50,33,1,132,321
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 413","Mississauga",50,2,0,71,37,9,169,332
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 414","Mississauga",50,5,1,92,84,1,233,443
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 415","Mississauga",43,8,2,97,111,1,262,399
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 416","Mississauga",55,2,0,101,60,0,218,493
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 417","Mississauga",26,8,0,47,69,0,150,361
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 418","Mississauga",23,5,0,20,48,1,97,239
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 419","Mississauga",44,0,1,44,134,0,223,303
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 420","Mississauga",56,5,4,74,59,1,199,400
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 421","Mississauga",37,2,0,58,44,0,141,370
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 422","Mississauga",73,4,0,88,53,4,222,445
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 423","Mississauga",78,4,1,95,65,0,243,473
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 424","Mississauga",60,7,0,84,72,3,226,471
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 425","Mississauga",16,3,3,41,60,3,126,172
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 426","Mississauga",64,1,0,74,76,0,215,406
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 427","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 428","Mississauga",37,7,3,64,86,1,198,387
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 429","Mississauga",40,6,2,69,52,1,170,329
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 430","Mississauga",40,2,1,78,59,4,184,463
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 431","Mississauga",37,3,2,71,68,1,182,395
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 432","Mississauga",29,6,0,44,42,1,122,291
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 433","Mississauga",36,3,0,50,48,2,139,332
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 434","Mississauga",29,6,0,44,58,0,137,302
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 435","Mississauga",54,6,1,82,85,1,229,401
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 436","Mississauga",36,4,0,65,72,0,177,298
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 437","Mississauga",27,4,1,46,27,2,107,198
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 438","Mississauga",26,5,0,32,30,1,94,178
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 439","Mississauga",48,7,0,50,49,0,154,338
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 440","Mississauga",11,3,3,39,47,2,105,167
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 441","Mississauga",16,1,2,41,39,0,99,178
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 442","Mississauga",46,1,1,29,34,0,111,214
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 443","Mississauga",36,2,1,63,38,1,141,229
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 444","Mississauga",51,3,1,50,42,0,147,246
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 445","Mississauga",79,9,2,58,82,0,230,448
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 446","Mississauga",26,3,0,43,82,2,156,277
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 447","Mississauga",10,4,0,59,50,1,124,172
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 448","Mississauga",36,8,0,52,64,0,160,337
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 449","Mississauga",39,3,1,50,100,2,195,375
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 450","Mississauga",38,2,0,80,47,0,167,347
