Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christopher Anderson,Blaine Calkins,Robert Johnston,Tim Robson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Wetaskiwin/Wetaskiwin"," 23","Glen Park",1,249,7,24,2,283,476
48026,"Wetaskiwin/Wetaskiwin"," 24","Calmar",11,155,6,22,2,196,398
48026,"Wetaskiwin/Wetaskiwin"," 25","Calmar",10,127,2,24,0,163,344
48026,"Wetaskiwin/Wetaskiwin"," 26","Calmar",2,87,1,13,0,103,225
48026,"Wetaskiwin/Wetaskiwin"," 27","Calmar",9,151,14,28,0,202,403
48026,"Wetaskiwin/Wetaskiwin"," 28","Calmar",9,196,6,31,2,244,620
48026,"Wetaskiwin/Wetaskiwin"," 29","New Humble",2,182,9,22,0,215,327
48026,"Wetaskiwin/Wetaskiwin"," 30","Millet",5,188,4,18,0,215,333
48026,"Wetaskiwin/Wetaskiwin"," 31","Cloverlawn",4,130,7,14,0,155,260
48026,"Wetaskiwin/Wetaskiwin"," 32","Millet",8,136,7,9,0,160,280
48026,"Wetaskiwin/Wetaskiwin"," 33","Millet",3,123,3,16,2,147,219
48026,"Wetaskiwin/Wetaskiwin"," 34","Cloverlawn",2,136,9,19,0,166,240
48026,"Wetaskiwin/Wetaskiwin"," 35","Mulhurst",10,289,17,26,1,343,506
48026,"Wetaskiwin/Wetaskiwin"," 36","Port Bello",4,158,10,5,0,177,252
48026,"Wetaskiwin/Wetaskiwin"," 37","Millet",9,237,15,23,0,284,504
48026,"Wetaskiwin/Wetaskiwin"," 38","Millet",5,179,15,23,0,222,438
48026,"Wetaskiwin/Wetaskiwin"," 39A","Millet",7,223,17,26,0,273,599
48026,"Wetaskiwin/Wetaskiwin"," 39B","Millet",12,215,15,32,1,275,601
48026,"Wetaskiwin/Wetaskiwin"," 40","Millet",6,204,16,37,0,263,497
48026,"Wetaskiwin/Wetaskiwin"," 41","Millet",4,260,8,28,0,300,544
48026,"Wetaskiwin/Wetaskiwin"," 42","Wetaskiwin",8,243,17,23,1,292,497
48026,"Wetaskiwin/Wetaskiwin"," 43","Gwynne",4,216,16,34,0,270,442
48026,"Wetaskiwin/Wetaskiwin"," 44","Wetaskiwin",15,162,6,41,1,225,514
48026,"Wetaskiwin/Wetaskiwin"," 45","Wetaskiwin",6,163,4,20,1,194,401
48026,"Wetaskiwin/Wetaskiwin"," 46","Wetaskiwin",13,162,2,38,2,217,501
48026,"Wetaskiwin/Wetaskiwin"," 47","Wetaskiwin",4,112,8,16,0,140,249
48026,"Wetaskiwin/Wetaskiwin"," 48","Wetaskiwin",8,132,5,29,0,174,443
48026,"Wetaskiwin/Wetaskiwin"," 49","Wetaskiwin",2,94,6,28,0,130,315
48026,"Wetaskiwin/Wetaskiwin"," 50","Wetaskiwin",7,125,9,38,1,180,365
48026,"Wetaskiwin/Wetaskiwin"," 51","Wetaskiwin",5,105,7,23,0,140,341
48026,"Wetaskiwin/Wetaskiwin"," 52","Wetaskiwin",5,134,10,37,1,187,495
48026,"Wetaskiwin/Wetaskiwin"," 53","Wetaskiwin",3,71,6,20,0,100,381
48026,"Wetaskiwin/Wetaskiwin"," 54","Wetaskiwin",4,114,5,22,0,145,378
48026,"Wetaskiwin/Wetaskiwin"," 55","Wetaskiwin",5,135,10,29,0,179,481
48026,"Wetaskiwin/Wetaskiwin"," 56","Wetaskiwin",3,136,12,39,0,190,444
48026,"Wetaskiwin/Wetaskiwin"," 57","Wetaskiwin",13,219,8,51,2,293,631
48026,"Wetaskiwin/Wetaskiwin"," 58","Wetaskiwin",2,206,8,41,1,258,467
48026,"Wetaskiwin/Wetaskiwin"," 59","Wetaskiwin",4,231,15,44,1,295,521
48026,"Wetaskiwin/Wetaskiwin"," 60","Wetaskiwin",12,166,3,19,0,200,355
48026,"Wetaskiwin/Wetaskiwin"," 61","Wetaskiwin",16,312,6,27,1,362,645
48026,"Wetaskiwin/Wetaskiwin"," 62","Wetaskiwin",8,190,10,37,1,246,511
48026,"Wetaskiwin/Wetaskiwin"," 63","Wetaskiwin",3,162,3,8,0,176,300
48026,"Wetaskiwin/Wetaskiwin"," 64","Wetaskiwin",7,149,13,18,0,187,319
48026,"Wetaskiwin/Wetaskiwin"," 65","Loneridge",4,203,13,15,1,236,357
48026,"Wetaskiwin/Wetaskiwin"," 66","Falun",2,122,3,19,0,146,219
48026,"Wetaskiwin/Wetaskiwin"," 67","Ma-Me-O Beach",5,129,15,39,0,188,947
48026,"Wetaskiwin/Wetaskiwin"," 68A","Lakedell",4,178,19,24,0,225,354
48026,"Wetaskiwin/Wetaskiwin"," 68B","Lakedell",8,158,6,26,0,198,343
48026,"Wetaskiwin/Wetaskiwin"," 69","Fletcher",1,149,6,19,1,176,282
48026,"Wetaskiwin/Wetaskiwin"," 70","Angus Ridge",2,131,3,6,1,143,216
48026,"Wetaskiwin/Wetaskiwin"," 71","Haultain",0,138,2,14,0,154,244
48026,"Wetaskiwin/Wetaskiwin"," 72","Mecca Glen East",2,111,3,7,0,123,171
48026,"Wetaskiwin/Wetaskiwin"," 73","Mecca Glen",5,259,6,22,0,292,461
48026,"Wetaskiwin/Wetaskiwin"," 74","Ponoka County No. 3",10,286,9,39,0,344,514
48026,"Wetaskiwin/Wetaskiwin"," 75","Ponoka County No. 3",6,205,9,24,0,244,407
48026,"Wetaskiwin/Wetaskiwin"," 76","Ponoka",Void/Supprimé,,,,,,
48026,"Wetaskiwin/Wetaskiwin"," 77","Ponoka",10,210,5,31,3,259,595
48026,"Wetaskiwin/Wetaskiwin"," 78","Ponoka",11,178,9,36,0,234,469
48026,"Wetaskiwin/Wetaskiwin"," 79","Ponoka",11,170,15,55,0,251,475
48026,"Wetaskiwin/Wetaskiwin"," 80","Ponoka",7,186,18,33,0,244,450
48026,"Wetaskiwin/Wetaskiwin"," 81","Ponoka",9,182,10,32,0,233,440
48026,"Wetaskiwin/Wetaskiwin"," 82","Ponoka",10,186,15,30,2,243,453
48026,"Wetaskiwin/Wetaskiwin"," 83","Ponoka",7,153,16,30,0,206,458
48026,"Wetaskiwin/Wetaskiwin"," 84","Ponoka",1,89,11,22,1,124,288
48026,"Wetaskiwin/Wetaskiwin"," 85","Ponoka",2,83,5,19,0,109,226
48026,"Wetaskiwin/Wetaskiwin"," 86","Ponoka",8,173,9,35,0,225,477
48026,"Wetaskiwin/Wetaskiwin"," 87","Ponoka",4,157,2,27,1,191,366
48026,"Wetaskiwin/Wetaskiwin"," 88","Ponoka",10,135,5,32,0,182,340
48026,"Wetaskiwin/Wetaskiwin"," 89","Dakota",0,119,10,18,0,147,341
48026,"Wetaskiwin/Wetaskiwin"," 90","Ponoka County No. 3",2,268,7,19,1,297,527
48026,"Wetaskiwin/Wetaskiwin"," 91","Ponoka County No. 3",13,344,15,43,0,415,706
48026,"Wetaskiwin/Wetaskiwin"," 92","Crestomere",7,294,7,37,2,347,582
48026,"Wetaskiwin/Wetaskiwin"," 93","Homeglen",5,106,5,14,0,130,237
48026,"Wetaskiwin/Wetaskiwin"," 94","Hoadley",3,169,16,22,1,211,332
48026,"Wetaskiwin/Wetaskiwin"," 95","Bluffton",7,164,27,19,0,217,425
48026,"Wetaskiwin/Wetaskiwin"," 96","Last West",2,266,13,20,3,304,517
48026,"Wetaskiwin/Wetaskiwin"," 97","Rimbey",7,240,18,28,0,293,453
48026,"Wetaskiwin/Wetaskiwin"," 98","Rimbey",7,341,17,27,1,393,698
48026,"Wetaskiwin/Wetaskiwin"," 99","Rimbey",8,204,7,31,0,250,460
48026,"Wetaskiwin/Wetaskiwin"," 100","Rimbey",5,143,6,13,0,167,372
48026,"Wetaskiwin/Wetaskiwin"," 101","Rimbey",3,164,11,24,2,204,533
48026,"Wetaskiwin/Wetaskiwin"," 102","Rimbey",8,213,8,33,2,264,480
48026,"Wetaskiwin/Wetaskiwin"," 103","Bentley",5,235,17,20,0,277,472
48026,"Wetaskiwin/Wetaskiwin"," 104A","Bentley",1,160,6,28,1,196,392
48026,"Wetaskiwin/Wetaskiwin"," 104B","Bentley",6,118,5,27,0,156,345
48026,"Wetaskiwin/Wetaskiwin"," 105","Bentley",6,185,18,42,0,251,405
48026,"Wetaskiwin/Wetaskiwin"," 106","Birchcliff",3,178,2,36,0,219,391
48026,"Wetaskiwin/Wetaskiwin"," 107","Eckville",3,213,16,11,1,244,411
48026,"Wetaskiwin/Wetaskiwin"," 108","Eckville",8,192,2,16,0,218,369
48026,"Wetaskiwin/Wetaskiwin"," 109","Eckville",6,185,17,29,0,237,536
48026,"Wetaskiwin/Wetaskiwin"," 110","Gilby",4,166,8,5,1,184,299
48026,"Wetaskiwin/Wetaskiwin"," 111","County of Clearwater",1,159,4,7,0,171,326
48026,"Wetaskiwin/Wetaskiwin"," 112","Leslieville",6,269,8,19,0,302,542
48026,"Wetaskiwin/Wetaskiwin"," 113","Condor",1,199,8,12,0,220,386
48026,"Wetaskiwin/Wetaskiwin"," 114","Leslieville",4,239,14,20,0,277,431
48026,"Wetaskiwin/Wetaskiwin"," 115","County of Clearwater",3,199,6,16,2,226,522
48026,"Wetaskiwin/Wetaskiwin"," 116","Rocky Mountain House",3,262,7,17,0,289,523
48026,"Wetaskiwin/Wetaskiwin"," 117","Rocky Mountain House",8,306,10,20,0,344,556
48026,"Wetaskiwin/Wetaskiwin"," 118A","Rocky Mountain House",5,278,11,23,3,320,569
48026,"Wetaskiwin/Wetaskiwin"," 118B","Rocky Mountain House",6,256,11,13,0,286,513
48026,"Wetaskiwin/Wetaskiwin"," 119","Hardindell",1,180,13,17,1,212,386
48026,"Wetaskiwin/Wetaskiwin"," 120","Rocky Mountain House",2,254,9,13,0,278,452
48026,"Wetaskiwin/Wetaskiwin"," 121","Rocky Mountain House",6,248,12,18,1,285,517
48026,"Wetaskiwin/Wetaskiwin"," 122","Rocky Mountain House",14,266,14,26,0,320,566
48026,"Wetaskiwin/Wetaskiwin"," 123","Rocky Mountain House",13,249,7,37,0,306,544
48026,"Wetaskiwin/Wetaskiwin"," 124","Rocky Mountain House",6,124,10,20,2,162,409
48026,"Wetaskiwin/Wetaskiwin"," 125","Rocky Mountain House",6,157,5,20,1,189,495
48026,"Wetaskiwin/Wetaskiwin"," 126","Rocky Mountain House",1,90,6,12,0,109,201
48026,"Wetaskiwin/Wetaskiwin"," 127","Rocky Mountain House",8,168,15,29,0,220,522
48026,"Wetaskiwin/Wetaskiwin"," 128","Rocky Mountain House",6,113,8,20,1,148,438
48026,"Wetaskiwin/Wetaskiwin"," 129","Rocky Mountain House",4,120,5,12,0,141,502
48026,"Wetaskiwin/Wetaskiwin"," 130","Rocky Mountain House",5,190,14,26,0,235,552
48026,"Wetaskiwin/Wetaskiwin"," 131","Rocky Mountain House",5,102,7,11,0,125,381
48026,"Wetaskiwin/Wetaskiwin"," 132","Rocky Mountain House",7,224,13,26,0,270,710
48026,"Wetaskiwin/Wetaskiwin"," 133","Eckville",6,262,7,14,2,291,455
48026,"Wetaskiwin/Wetaskiwin"," 134","Gull Lake",2,193,18,20,4,237,407
48026,"Wetaskiwin/Wetaskiwin"," 135","Lacombe County",2,223,9,4,0,238,394
48026,"Wetaskiwin/Wetaskiwin"," 136","Lacombe County",6,301,9,22,2,340,548
48026,"Wetaskiwin/Wetaskiwin"," 137","Blackfalds",4,192,7,19,0,222,300
48026,"Wetaskiwin/Wetaskiwin"," 138","Blackfalds",7,169,11,22,0,209,508
48026,"Wetaskiwin/Wetaskiwin"," 139A","Blackfalds",4,177,22,46,0,249,633
48026,"Wetaskiwin/Wetaskiwin"," 139B","Blackfalds",4,207,16,32,0,259,685
48026,"Wetaskiwin/Wetaskiwin"," 140A","Blackfalds",13,214,13,49,2,291,764
48026,"Wetaskiwin/Wetaskiwin"," 140B","Blackfalds",6,187,14,44,1,252,708
48026,"Wetaskiwin/Wetaskiwin"," 141","Blackfalds",13,307,12,46,3,381,851
48026,"Wetaskiwin/Wetaskiwin"," 142","Blackfalds",3,168,10,17,0,198,381
48026,"Wetaskiwin/Wetaskiwin"," 143","Lacombe County",7,198,11,23,0,239,376
48026,"Wetaskiwin/Wetaskiwin"," 144","Lacombe",11,181,6,34,0,232,537
48026,"Wetaskiwin/Wetaskiwin"," 144-1","Lacombe County",4,164,10,17,0,195,397
48026,"Wetaskiwin/Wetaskiwin"," 145","Lacombe",6,178,6,34,0,224,516
48026,"Wetaskiwin/Wetaskiwin"," 146","Lacombe",4,195,4,20,0,223,366
48026,"Wetaskiwin/Wetaskiwin"," 147","Lacombe",7,184,9,39,1,240,432
48026,"Wetaskiwin/Wetaskiwin"," 148","Lacombe",7,164,7,20,1,199,351
48026,"Wetaskiwin/Wetaskiwin"," 149","Lacombe",4,286,7,33,1,331,589
48026,"Wetaskiwin/Wetaskiwin"," 149-1","Lacombe",6,157,7,38,0,208,387
48026,"Wetaskiwin/Wetaskiwin"," 150","Lacombe",11,216,11,36,0,274,489
48026,"Wetaskiwin/Wetaskiwin"," 151","Lacombe",10,220,6,36,0,272,506
48026,"Wetaskiwin/Wetaskiwin"," 151-1","Lacombe",12,149,14,23,0,198,365
48026,"Wetaskiwin/Wetaskiwin"," 152","Lacombe",9,154,9,23,0,195,339
48026,"Wetaskiwin/Wetaskiwin"," 153","Lacombe",8,155,11,26,0,200,423
48026,"Wetaskiwin/Wetaskiwin"," 154","Lacombe",8,219,7,39,0,273,542
48026,"Wetaskiwin/Wetaskiwin"," 155","Lacombe",3,88,6,24,0,121,314
48026,"Wetaskiwin/Wetaskiwin"," 156","Lacombe",3,134,9,34,0,180,371
48026,"Wetaskiwin/Wetaskiwin"," 157","Lacombe",3,151,15,29,0,198,384
48026,"Wetaskiwin/Wetaskiwin"," 158","Lacombe",4,162,16,23,0,205,392
48026,"Wetaskiwin/Wetaskiwin"," 159","Lacombe",5,246,14,38,0,303,642
48026,"Wetaskiwin/Wetaskiwin"," 160","Lacombe County",5,315,12,29,0,361,660
48026,"Wetaskiwin/Wetaskiwin"," 161","Clive",3,156,5,11,1,176,315
48026,"Wetaskiwin/Wetaskiwin"," 162","Clive",0,298,24,45,1,368,629
48026,"Wetaskiwin/Wetaskiwin"," 163","Haynes",5,185,5,22,1,218,389
48026,"Wetaskiwin/Wetaskiwin"," 164","Mirror",6,290,15,16,0,327,515
48026,"Wetaskiwin/Wetaskiwin"," 165","Mirror",1,183,20,25,0,229,403
48026,"Wetaskiwin/Wetaskiwin"," 166","Alix",7,134,11,27,0,179,291
48026,"Wetaskiwin/Wetaskiwin"," 167","Alix",5,167,5,28,0,205,394
48026,"Wetaskiwin/Wetaskiwin"," 168","Alix",6,186,10,14,0,216,339
48026,"Wetaskiwin/Wetaskiwin"," 169","Louis Bull 138B",2,20,1,34,0,57,344
48026,"Wetaskiwin/Wetaskiwin"," 170","Ermineskin 138",27,30,8,150,0,215,638
48026,"Wetaskiwin/Wetaskiwin"," 171A","Samson 137",19,42,5,127,0,193,685
48026,"Wetaskiwin/Wetaskiwin"," 171B","Samson 137",20,31,9,84,1,145,710
48026,"Wetaskiwin/Wetaskiwin"," 172","Montana 139",1,2,0,24,0,27,105
48026,"Wetaskiwin/Wetaskiwin"," 400","Ponoka",7,30,10,16,2,65,116
48026,"Wetaskiwin/Wetaskiwin"," 500","Mobile poll/Bureau itinérant",6,87,3,8,3,107,176
48026,"Wetaskiwin/Wetaskiwin"," 501","Mobile poll/Bureau itinérant",6,57,3,6,0,72,142
48026,"Wetaskiwin/Wetaskiwin"," 502","Mobile poll/Bureau itinérant",2,56,2,6,3,69,108
48026,"Wetaskiwin/Wetaskiwin"," 503","Mobile poll/Bureau itinérant",12,98,4,12,0,126,195
48026,"Wetaskiwin/Wetaskiwin"," 504","Mobile poll/Bureau itinérant",13,101,5,5,2,126,199
48026,"Wetaskiwin/Wetaskiwin"," 505","Mobile poll/Bureau itinérant",4,55,1,9,0,69,116
48026,"Wetaskiwin/Wetaskiwin"," 506","Mobile poll/Bureau itinérant",1,25,0,5,0,31,142
48026,"Wetaskiwin/Wetaskiwin"," 507","Mobile poll/Bureau itinérant",8,83,2,6,0,99,126
48026,"Wetaskiwin/Wetaskiwin"," 600","Breton",7,190,10,16,0,223,
48026,"Wetaskiwin/Wetaskiwin"," 601","Calmar",13,201,9,22,0,245,
48026,"Wetaskiwin/Wetaskiwin"," 602","Pigeon Lake",2,156,6,9,0,173,
48026,"Wetaskiwin/Wetaskiwin"," 603","Millet",9,313,14,33,0,369,
48026,"Wetaskiwin/Wetaskiwin"," 604","Wetaskiwin",12,291,14,21,0,338,
48026,"Wetaskiwin/Wetaskiwin"," 605","Wetaskiwin",17,398,15,45,0,475,
48026,"Wetaskiwin/Wetaskiwin"," 606","Hobbema",13,10,3,15,0,41,
48026,"Wetaskiwin/Wetaskiwin"," 607","Ponoka",23,280,10,38,1,352,
48026,"Wetaskiwin/Wetaskiwin"," 608","Rimbey",15,416,24,31,2,488,
48026,"Wetaskiwin/Wetaskiwin"," 609","Rocky Mountain House",6,357,15,21,1,400,
48026,"Wetaskiwin/Wetaskiwin"," 610","Rocky Mountain House",11,313,9,32,0,365,
48026,"Wetaskiwin/Wetaskiwin"," 611","Blackfalds",13,219,9,13,1,255,
48026,"Wetaskiwin/Wetaskiwin"," 612","Lacombe",15,357,26,41,0,439,
48026,"Wetaskiwin/Wetaskiwin"," 613","Lacombe",14,330,10,39,1,394,
48026,"Wetaskiwin/Wetaskiwin"," 614","Ponoka",4,201,6,24,0,235,
48026,"Wetaskiwin/Wetaskiwin",,Group 1/Groupe 1,49,39,9,12,10,119,158
48026,"Wetaskiwin/Wetaskiwin",,Group 2/Groupe 2,27,320,23,39,9,418,
