Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Calandra,Janice Hagan,Trifon Haitas,John Siciliano,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 66","Richmond Hill",86,39,5,0,46,1,177,409
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 66-1","Richmond Hill",86,47,9,3,40,1,186,400
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 67","Richmond Hill",80,32,8,7,26,1,154,388
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 68A","Richmond Hill",110,28,2,5,43,1,189,362
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 68B","Richmond Hill",91,43,2,4,55,0,195,378
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 68-1","Richmond Hill",121,36,6,5,47,0,215,416
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 68-2","Richmond Hill",110,26,4,3,57,0,200,403
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 69","Richmond Hill",143,62,9,5,76,3,298,581
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70","Richmond Hill",85,46,5,1,48,2,187,445
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-1","Richmond Hill",88,47,10,2,43,2,192,375
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-2","Richmond Hill",110,44,3,3,64,1,225,494
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-3","Richmond Hill",122,62,5,3,59,0,251,507
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-4A","Richmond Hill",59,35,3,4,46,0,147,320
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-4B","Richmond Hill",77,39,4,2,22,2,146,365
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 70-4C","Richmond Hill",73,49,4,5,30,2,163,356
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 71","Richmond Hill",87,58,3,2,44,3,197,437
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 72A","Richmond Hill",53,37,2,2,38,0,132,294
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 72B","Richmond Hill",52,34,5,0,25,0,116,318
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 73A","Richmond Hill",87,36,6,2,33,1,165,385
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 73B","Richmond Hill",96,29,4,3,40,1,173,422
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 74","Richmond Hill",101,58,4,5,62,2,232,562
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 74-1","Richmond Hill",67,9,0,2,40,1,119,266
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 75","Richmond Hill",142,35,5,6,70,0,258,567
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 75-1","Richmond Hill",92,31,1,2,45,0,171,376
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 76","Richmond Hill",Void/Supprimé,,,,,,,
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 77","Richmond Hill",81,39,7,2,72,0,201,425
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 77-1","Richmond Hill",74,34,4,0,39,0,151,338
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 78","Richmond Hill",89,26,5,2,59,0,181,421
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 79","Richmond Hill",95,28,5,2,55,0,185,485
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 80","Richmond Hill",109,28,7,3,78,0,225,528
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 81","Richmond Hill",113,34,2,3,77,0,229,552
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 82","Richmond Hill",112,39,12,3,62,1,229,506
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 83","Richmond Hill",81,24,1,3,44,0,153,414
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 84","Richmond Hill",122,59,6,2,58,0,247,535
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 85","Richmond Hill",72,30,3,2,51,0,158,344
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 86","Richmond Hill",46,13,2,3,37,0,101,254
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 87","Richmond Hill",88,21,1,0,41,0,151,387
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 88","Richmond Hill",88,41,8,4,58,1,200,504
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 89","Richmond Hill",108,46,2,4,79,2,241,498
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 90","Richmond Hill",120,44,6,4,81,1,256,543
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 91","Richmond Hill",90,43,11,2,70,1,217,455
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 92","Richmond Hill",104,33,3,0,54,1,195,418
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 93","Richmond Hill",57,39,3,1,44,0,144,467
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 94","Richmond Hill",78,42,6,2,68,0,196,520
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 95","Richmond Hill",83,46,5,0,67,0,201,494
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 96","Richmond Hill",89,44,4,1,59,4,201,463
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 97","Richmond Hill",66,46,5,0,58,2,177,462
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 98","Richmond Hill",112,32,9,1,70,1,225,527
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 99","Richmond Hill",81,18,2,3,30,0,134,330
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 99-1","Richmond Hill",89,12,7,3,35,0,146,318
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 100","Whitchurch-Stouffville",99,29,7,2,40,1,178,324
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 101","Whitchurch-Stouffville",125,24,12,1,42,0,204,368
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 102","Whitchurch-Stouffville",90,26,11,1,48,0,176,372
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 103","Whitchurch-Stouffville",106,28,7,4,29,1,175,342
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 103-1","Whitchurch-Stouffville",114,20,5,2,30,1,172,378
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 104","Whitchurch-Stouffville",115,54,15,0,39,0,223,444
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 105","Whitchurch-Stouffville",75,25,0,1,40,1,142,215
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 105-1","Whitchurch-Stouffville",130,23,3,0,46,0,202,323
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 106","Whitchurch-Stouffville",53,10,0,0,18,0,81,152
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 107","Whitchurch-Stouffville",170,14,5,2,67,0,258,469
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 108","Whitchurch-Stouffville",211,27,7,5,70,0,320,550
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 109","Whitchurch-Stouffville",154,24,7,4,51,0,240,440
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 110","Whitchurch-Stouffville",137,23,22,3,51,0,236,414
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 111","Whitchurch-Stouffville",140,40,8,5,58,0,251,469
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 112","Whitchurch-Stouffville",121,14,3,2,27,0,167,288
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 113","Whitchurch-Stouffville",151,28,6,3,37,1,226,411
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 114","Whitchurch-Stouffville",124,33,3,3,43,1,207,429
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 115","Whitchurch-Stouffville",171,38,21,1,68,0,299,554
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 116","Whitchurch-Stouffville",128,17,7,0,56,0,208,376
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 116-1","Whitchurch-Stouffville",88,23,4,5,41,0,161,298
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 117","Whitchurch-Stouffville",104,42,11,4,33,0,194,379
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 117-1","Whitchurch-Stouffville",70,18,7,2,21,0,118,236
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 118A","Whitchurch-Stouffville",125,18,7,5,32,0,187,395
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 118B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,53
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 119","Whitchurch-Stouffville",83,15,3,1,19,0,121,210
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 120","Whitchurch-Stouffville",163,21,9,0,42,0,235,427
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 121","Whitchurch-Stouffville",154,38,6,2,60,0,260,516
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 122A","Whitchurch-Stouffville",93,33,9,1,35,1,172,365
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 122B","Whitchurch-Stouffville",104,29,7,4,44,0,188,355
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 122C","Whitchurch-Stouffville",89,39,3,5,31,1,168,389
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 122-1","Whitchurch-Stouffville",162,29,6,0,43,1,241,393
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 123","Whitchurch-Stouffville",140,34,3,1,45,0,223,444
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 124","Whitchurch-Stouffville",167,38,4,4,79,0,292,524
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 125","Whitchurch-Stouffville",119,39,14,3,49,1,225,401
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 126","Whitchurch-Stouffville",84,22,2,0,42,0,150,250
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 127","Whitchurch-Stouffville",150,42,7,2,68,0,269,439
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 128","Whitchurch-Stouffville",168,27,14,3,57,1,270,451
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 129","Whitchurch-Stouffville",113,45,16,0,41,0,215,372
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 130","Whitchurch-Stouffville",119,21,3,2,15,0,160,304
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 131","Whitchurch-Stouffville",154,33,10,3,44,0,244,407
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 132","Whitchurch-Stouffville",167,34,7,3,52,0,263,421
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 133","Whitchurch-Stouffville",142,28,1,2,35,0,208,369
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 134","Whitchurch-Stouffville",70,40,4,0,42,0,156,303
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 135","Whitchurch-Stouffville",151,31,5,0,47,2,236,370
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 136","Whitchurch-Stouffville",111,30,4,1,27,0,173,346
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 137","Whitchurch-Stouffville",Void/Supprimé,,,,,,,
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138","Whitchurch-Stouffville",58,29,0,0,24,1,112,233
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138-1","Whitchurch-Stouffville",144,18,0,0,28,1,191,241
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138-2","Whitchurch-Stouffville",91,41,9,1,37,3,182,354
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138-3A","Whitchurch-Stouffville",79,28,2,0,39,0,148,316
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138-3B","Whitchurch-Stouffville",81,38,5,0,49,0,173,334
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 138-4","Whitchurch-Stouffville",113,26,2,1,58,1,201,367
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 139","Whitchurch-Stouffville",66,22,9,0,29,1,127,236
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 140A","Whitchurch-Stouffville",87,28,7,1,42,1,166,340
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 140B","Whitchurch-Stouffville",77,58,4,1,42,0,182,372
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 141","Whitchurch-Stouffville",133,54,7,6,56,0,256,534
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 141-1","Whitchurch-Stouffville",120,62,10,5,43,0,240,486
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 141-2","Whitchurch-Stouffville",59,18,2,3,20,0,102,209
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 141-3A","Whitchurch-Stouffville",68,20,2,2,41,0,133,321
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 141-3B","Whitchurch-Stouffville",59,41,2,0,49,0,151,303
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 142","Whitchurch-Stouffville",139,34,5,3,43,1,225,421
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 143","Whitchurch-Stouffville",148,41,9,0,44,0,242,508
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 144","Whitchurch-Stouffville",147,42,12,1,44,0,246,415
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 145","Whitchurch-Stouffville",169,41,15,2,61,0,288,519
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 146","Whitchurch-Stouffville",178,32,6,0,47,0,263,420
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 147A","Whitchurch-Stouffville",109,44,3,6,61,0,223,480
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 147B","Whitchurch-Stouffville",117,51,5,3,44,0,220,461
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 148A","Whitchurch-Stouffville",78,51,2,0,47,0,178,421
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 148B","Whitchurch-Stouffville",64,53,4,1,49,1,172,372
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 148-1","Whitchurch-Stouffville",87,17,3,0,39,3,149,277
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 148-2","Whitchurch-Stouffville",178,23,8,0,50,2,261,433
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 149","Markham",112,14,0,0,32,0,158,247
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 149-1A","Markham",101,37,1,5,47,1,192,462
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 149-1B","Markham",81,32,1,0,43,2,159,359
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 149-2A","Markham",75,30,2,6,48,3,164,339
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 149-2B","Markham",118,54,7,4,48,1,232,527
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 150","Markham",111,29,5,3,51,0,199,545
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 151","Markham",65,40,0,4,55,0,164,383
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 152","Markham",80,37,3,0,75,0,195,405
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 152-1","Markham",64,32,1,4,55,1,157,381
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 153","Markham",45,17,1,1,47,0,111,341
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 153-1","Markham",88,25,2,4,45,2,166,386
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 154","Markham",84,9,0,2,59,2,156,346
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 155","Markham",74,28,3,4,62,1,172,421
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 156","Markham",76,21,1,1,29,1,129,329
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 157","Markham",79,31,3,3,40,1,157,324
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 158","Markham",122,45,4,5,74,0,250,526
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 159","Markham",80,37,2,10,40,1,170,373
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 160","Markham",138,34,7,5,71,0,255,523
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 161","Markham",82,21,0,1,64,2,170,353
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 162","Markham",90,26,2,2,60,3,183,490
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 163","Markham",113,16,0,5,45,1,180,398
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 164","Markham",109,17,2,2,40,1,171,368
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 165","Markham",89,40,4,0,61,1,195,414
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 166","Markham",125,32,6,6,63,0,232,522
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 167","Markham",93,16,2,6,60,0,177,373
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 168","Markham",78,26,1,3,48,3,159,429
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 169","Markham",97,32,1,5,63,1,199,422
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 170","Markham",73,26,3,2,50,1,155,386
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 171","Markham",103,27,3,5,82,2,222,486
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 172","Markham",59,69,9,2,46,0,185,547
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 173","Markham",82,28,4,5,48,0,167,384
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 174","Markham",76,16,1,1,53,1,148,338
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 175","Markham",88,44,4,1,49,3,189,385
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 176","Markham",91,16,5,3,32,2,149,334
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 177","Markham",132,19,4,2,36,2,195,431
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 178","Markham",188,27,2,4,81,1,303,602
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 179","Markham",116,32,14,2,77,0,241,467
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 180","Markham",152,24,4,4,84,1,269,484
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 181","Markham",43,13,2,0,29,0,87,208
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 182","Markham",101,28,2,2,54,3,190,470
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 183","Markham",48,25,2,4,29,0,108,268
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 184","Markham",69,61,4,5,59,2,200,426
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 185","Markham",73,27,3,3,47,1,154,354
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 186","Markham",88,29,4,3,42,2,168,415
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 187","Markham",91,35,2,1,53,2,184,436
