Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christelle Bogosta,Pierre Jacob,Benoit Lambert,Nolan LeBlanc-Bauerle,Denis Paradis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Brome--Missisquoi/Brome--Missisquoi"," 53","Farnham",54,114,7,31,24,3,233,383
24010,"Brome--Missisquoi/Brome--Missisquoi"," 54","Farnham",59,128,9,43,25,6,270,488
24010,"Brome--Missisquoi/Brome--Missisquoi"," 55","Brigham",35,130,5,32,15,2,219,337
24010,"Brome--Missisquoi/Brome--Missisquoi"," 56","Brigham",52,127,5,33,38,2,257,439
24010,"Brome--Missisquoi/Brome--Missisquoi"," 57","Brigham",50,149,6,26,37,2,270,399
24010,"Brome--Missisquoi/Brome--Missisquoi"," 57-1","Brigham",45,64,0,14,23,1,147,214
24010,"Brome--Missisquoi/Brome--Missisquoi"," 58","East Farnham",55,152,5,47,61,10,330,456
24010,"Brome--Missisquoi/Brome--Missisquoi"," 59","Brigham",44,123,4,38,41,3,253,484
24010,"Brome--Missisquoi/Brome--Missisquoi"," 60","Bromont",21,62,3,7,22,3,118,198
24010,"Brome--Missisquoi/Brome--Missisquoi"," 60-1","Bromont",52,181,7,35,35,8,318,465
24010,"Brome--Missisquoi/Brome--Missisquoi"," 61","Bromont",47,126,8,20,29,2,232,413
24010,"Brome--Missisquoi/Brome--Missisquoi"," 61-1","Bromont",36,92,5,6,24,2,165,304
24010,"Brome--Missisquoi/Brome--Missisquoi"," 62","Bromont",25,60,2,18,10,0,115,192
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63","Bromont",55,102,4,17,64,2,244,421
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63-1","Bromont",21,83,3,23,41,1,172,279
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63-2","Bromont",39,65,3,22,39,1,169,304
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63-3","Bromont",45,123,11,27,58,1,265,499
24010,"Brome--Missisquoi/Brome--Missisquoi"," 64","Bromont",28,82,5,9,20,0,144,337
24010,"Brome--Missisquoi/Brome--Missisquoi"," 64-1","Bromont",29,52,3,15,25,3,127,312
24010,"Brome--Missisquoi/Brome--Missisquoi"," 65","Bromont",25,76,10,10,43,1,165,317
24010,"Brome--Missisquoi/Brome--Missisquoi"," 66","Bromont",34,101,6,26,79,1,247,431
24010,"Brome--Missisquoi/Brome--Missisquoi"," 67","Bromont",31,79,3,10,20,1,144,316
24010,"Brome--Missisquoi/Brome--Missisquoi"," 67-1","Bromont",38,76,3,8,18,1,144,265
24010,"Brome--Missisquoi/Brome--Missisquoi"," 68","Bromont",55,91,5,21,38,1,211,361
24010,"Brome--Missisquoi/Brome--Missisquoi"," 68-1","Bromont",44,125,6,18,60,3,256,427
24010,"Brome--Missisquoi/Brome--Missisquoi"," 69","Cowansville",50,149,6,40,46,9,300,536
24010,"Brome--Missisquoi/Brome--Missisquoi"," 70","Cowansville",41,119,5,22,40,2,229,363
24010,"Brome--Missisquoi/Brome--Missisquoi"," 70-1","Cowansville",26,74,2,20,18,3,143,274
24010,"Brome--Missisquoi/Brome--Missisquoi"," 71","Cowansville",37,87,3,17,32,1,177,386
24010,"Brome--Missisquoi/Brome--Missisquoi"," 72","Cowansville",34,100,3,16,25,7,185,425
24010,"Brome--Missisquoi/Brome--Missisquoi"," 73","Cowansville",29,76,3,21,26,3,158,397
24010,"Brome--Missisquoi/Brome--Missisquoi"," 74","Cowansville",33,66,2,11,18,2,132,429
24010,"Brome--Missisquoi/Brome--Missisquoi"," 75","Cowansville",48,124,2,39,46,4,263,517
24010,"Brome--Missisquoi/Brome--Missisquoi"," 76","Cowansville",25,82,4,22,31,0,164,381
24010,"Brome--Missisquoi/Brome--Missisquoi"," 77","Cowansville",44,135,4,36,49,4,272,499
24010,"Brome--Missisquoi/Brome--Missisquoi"," 78","Cowansville",40,71,3,14,28,3,159,386
24010,"Brome--Missisquoi/Brome--Missisquoi"," 79","Cowansville",25,83,5,28,26,6,173,425
24010,"Brome--Missisquoi/Brome--Missisquoi"," 80","Cowansville",51,87,5,29,63,2,237,449
24010,"Brome--Missisquoi/Brome--Missisquoi"," 81","Cowansville",35,57,11,12,29,0,144,304
24010,"Brome--Missisquoi/Brome--Missisquoi"," 82","Cowansville",51,140,6,18,62,3,280,523
24010,"Brome--Missisquoi/Brome--Missisquoi"," 83","Cowansville",40,64,4,23,45,2,178,392
24010,"Brome--Missisquoi/Brome--Missisquoi"," 84","Cowansville",28,101,5,24,30,4,192,430
24010,"Brome--Missisquoi/Brome--Missisquoi"," 85","Cowansville",40,98,4,23,37,1,203,486
24010,"Brome--Missisquoi/Brome--Missisquoi"," 86","Cowansville",49,127,7,32,41,0,256,507
24010,"Brome--Missisquoi/Brome--Missisquoi"," 86-1","Cowansville",31,54,9,12,21,0,127,215
24010,"Brome--Missisquoi/Brome--Missisquoi"," 87","Cowansville",30,93,9,29,81,1,243,411
24010,"Brome--Missisquoi/Brome--Missisquoi"," 88","Cowansville",38,78,4,29,54,4,207,410
24010,"Brome--Missisquoi/Brome--Missisquoi"," 89","Cowansville",46,89,3,29,32,2,201,398
24010,"Brome--Missisquoi/Brome--Missisquoi"," 90","Lac-Brome",32,97,1,41,85,3,259,596
24010,"Brome--Missisquoi/Brome--Missisquoi"," 91","Lac-Brome",44,116,8,43,124,2,337,579
24010,"Brome--Missisquoi/Brome--Missisquoi"," 92","Lac-Brome",33,86,5,50,70,4,248,438
24010,"Brome--Missisquoi/Brome--Missisquoi"," 93","Bolton-Ouest",7,34,2,8,33,0,84,141
24010,"Brome--Missisquoi/Brome--Missisquoi"," 94","Bolton-Ouest",13,73,2,49,95,0,232,431
24010,"Brome--Missisquoi/Brome--Missisquoi"," 95","Lac-Brome",9,67,2,53,84,3,218,490
24010,"Brome--Missisquoi/Brome--Missisquoi"," 96","Lac-Brome",12,56,6,38,110,1,223,510
24010,"Brome--Missisquoi/Brome--Missisquoi"," 97","Lac-Brome",29,88,5,38,57,1,218,400
24010,"Brome--Missisquoi/Brome--Missisquoi"," 97-1","Lac-Brome",8,62,4,34,50,0,158,321
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98","Lac-Brome",10,30,1,20,24,1,86,183
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98-1","Lac-Brome",5,72,5,53,69,1,205,504
24010,"Brome--Missisquoi/Brome--Missisquoi"," 99","Brome",9,33,2,27,38,1,110,256
24010,"Brome--Missisquoi/Brome--Missisquoi"," 100","Lac-Brome",11,54,5,24,55,3,152,350
24010,"Brome--Missisquoi/Brome--Missisquoi"," 101","Lac-Brome",28,69,4,24,32,3,160,362
24010,"Brome--Missisquoi/Brome--Missisquoi"," 102","Sutton",29,71,6,15,46,0,167,307
24010,"Brome--Missisquoi/Brome--Missisquoi"," 102-1","Sutton",39,47,8,17,54,1,166,291
24010,"Brome--Missisquoi/Brome--Missisquoi"," 103","Abercorn",39,49,5,22,62,3,180,289
24010,"Brome--Missisquoi/Brome--Missisquoi"," 104","Sutton",62,66,8,27,64,1,228,442
24010,"Brome--Missisquoi/Brome--Missisquoi"," 105","Sutton",34,91,10,31,77,4,247,490
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106","Sutton",27,64,4,30,47,0,172,295
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106-1","Sutton",21,50,0,8,21,0,100,203
24010,"Brome--Missisquoi/Brome--Missisquoi"," 107","Sutton",35,94,8,32,67,5,241,473
24010,"Brome--Missisquoi/Brome--Missisquoi"," 108","Sutton",42,86,9,22,73,3,235,442
24010,"Brome--Missisquoi/Brome--Missisquoi"," 108-1","Sutton",23,64,8,14,27,1,137,271
24010,"Brome--Missisquoi/Brome--Missisquoi"," 109","Potton",29,50,3,26,25,1,134,284
24010,"Brome--Missisquoi/Brome--Missisquoi"," 110","Potton",22,58,2,17,61,2,162,256
24010,"Brome--Missisquoi/Brome--Missisquoi"," 111","Potton",24,57,5,39,47,0,172,298
24010,"Brome--Missisquoi/Brome--Missisquoi"," 112","Potton",33,79,3,28,68,0,211,352
24010,"Brome--Missisquoi/Brome--Missisquoi"," 113","Potton",29,87,10,37,65,1,229,373
24010,"Brome--Missisquoi/Brome--Missisquoi"," 114","Stukely-Sud",51,126,4,18,23,0,222,352
24010,"Brome--Missisquoi/Brome--Missisquoi"," 115","Stukely-Sud",52,105,11,43,63,3,277,447
24010,"Brome--Missisquoi/Brome--Missisquoi"," 116","Eastman",110,138,5,21,44,3,321,431
24010,"Brome--Missisquoi/Brome--Missisquoi"," 116-1","Eastman",63,90,3,11,19,0,186,266
24010,"Brome--Missisquoi/Brome--Missisquoi"," 117","Orford",61,110,0,22,68,0,261,427
24010,"Brome--Missisquoi/Brome--Missisquoi"," 117-1","Orford",63,101,6,24,38,5,237,481
24010,"Brome--Missisquoi/Brome--Missisquoi"," 118","Orford",93,115,9,14,33,0,264,504
24010,"Brome--Missisquoi/Brome--Missisquoi"," 118-1","Orford",30,58,2,7,23,1,121,226
24010,"Brome--Missisquoi/Brome--Missisquoi"," 119","Orford",Void/Supprimé,,,,,,,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 120","Orford",48,75,6,18,10,4,161,337
24010,"Brome--Missisquoi/Brome--Missisquoi"," 121","Orford",71,102,8,26,49,1,257,479
24010,"Brome--Missisquoi/Brome--Missisquoi"," 121-1","Orford",46,97,3,27,26,0,199,374
24010,"Brome--Missisquoi/Brome--Missisquoi"," 122","Magog",66,131,1,14,47,5,264,550
24010,"Brome--Missisquoi/Brome--Missisquoi"," 123","Omerville",80,147,4,45,30,6,312,507
24010,"Brome--Missisquoi/Brome--Missisquoi"," 124","Omerville",74,126,6,33,44,5,288,530
24010,"Brome--Missisquoi/Brome--Missisquoi"," 125","Omerville",64,116,8,14,31,1,234,443
24010,"Brome--Missisquoi/Brome--Missisquoi"," 125-1","Omerville",63,86,3,15,18,3,188,404
24010,"Brome--Missisquoi/Brome--Missisquoi"," 126","Magog",44,111,5,30,14,3,207,424
24010,"Brome--Missisquoi/Brome--Missisquoi"," 127","Magog",54,94,2,38,36,4,228,423
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128","Magog",32,78,3,18,34,0,165,384
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128-1","Magog",54,68,3,22,30,2,179,382
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128-2","Magog",43,68,2,12,21,2,148,294
24010,"Brome--Missisquoi/Brome--Missisquoi"," 129","Magog",65,139,3,27,101,2,337,559
24010,"Brome--Missisquoi/Brome--Missisquoi"," 130","Magog",64,133,4,33,50,1,285,558
24010,"Brome--Missisquoi/Brome--Missisquoi"," 131","Magog",53,100,6,24,25,1,209,391
24010,"Brome--Missisquoi/Brome--Missisquoi"," 132","Austin",68,159,3,32,37,0,299,542
24010,"Brome--Missisquoi/Brome--Missisquoi"," 132-1","Austin",24,82,1,13,14,1,135,278
24010,"Brome--Missisquoi/Brome--Missisquoi"," 133","Eastman",86,115,5,15,52,1,274,469
24010,"Brome--Missisquoi/Brome--Missisquoi"," 134","Eastman",44,77,2,10,23,2,158,274
24010,"Brome--Missisquoi/Brome--Missisquoi"," 135","Saint-Étienne-de-Bolton",94,140,5,27,62,1,329,471
24010,"Brome--Missisquoi/Brome--Missisquoi"," 136","Bolton-Est",67,135,14,33,53,2,304,498
24010,"Brome--Missisquoi/Brome--Missisquoi"," 136-1","Bolton-Est",15,50,4,37,31,0,137,244
24010,"Brome--Missisquoi/Brome--Missisquoi"," 137","Austin",28,89,1,43,78,2,241,402
24010,"Brome--Missisquoi/Brome--Missisquoi"," 138","Magog",51,71,7,27,55,0,211,412
24010,"Brome--Missisquoi/Brome--Missisquoi"," 138-1","Magog",34,65,2,18,65,1,185,364
24010,"Brome--Missisquoi/Brome--Missisquoi"," 139","Magog",66,111,3,18,24,1,223,475
24010,"Brome--Missisquoi/Brome--Missisquoi"," 139-1","Magog",30,72,3,13,14,2,134,258
24010,"Brome--Missisquoi/Brome--Missisquoi"," 140","Magog",68,150,5,21,51,4,299,534
24010,"Brome--Missisquoi/Brome--Missisquoi"," 141","Magog",41,93,11,28,39,8,220,426
24010,"Brome--Missisquoi/Brome--Missisquoi"," 142","Magog",33,75,0,12,18,2,140,316
24010,"Brome--Missisquoi/Brome--Missisquoi"," 143","Magog",51,122,9,15,38,1,236,490
24010,"Brome--Missisquoi/Brome--Missisquoi"," 143-1","Magog",35,113,3,16,31,1,199,386
24010,"Brome--Missisquoi/Brome--Missisquoi"," 144","Magog",71,135,5,22,45,2,280,527
24010,"Brome--Missisquoi/Brome--Missisquoi"," 145","Magog",75,134,7,24,36,2,278,502
24010,"Brome--Missisquoi/Brome--Missisquoi"," 146","Magog",76,111,6,24,34,1,252,486
24010,"Brome--Missisquoi/Brome--Missisquoi"," 147","Magog",42,75,2,15,25,3,162,306
24010,"Brome--Missisquoi/Brome--Missisquoi"," 147-1","Magog",33,101,4,14,31,1,184,404
24010,"Brome--Missisquoi/Brome--Missisquoi"," 148","Magog",52,103,3,10,17,4,189,499
24010,"Brome--Missisquoi/Brome--Missisquoi"," 149","Magog",28,90,4,18,26,4,170,394
24010,"Brome--Missisquoi/Brome--Missisquoi"," 150","Magog",39,83,5,17,36,0,180,304
24010,"Brome--Missisquoi/Brome--Missisquoi"," 150-1","Magog",34,49,3,9,20,2,117,196
24010,"Brome--Missisquoi/Brome--Missisquoi"," 151","Magog",37,76,4,16,19,4,156,317
24010,"Brome--Missisquoi/Brome--Missisquoi"," 152","Magog",43,75,0,22,32,0,172,381
24010,"Brome--Missisquoi/Brome--Missisquoi"," 153","Magog",39,120,6,16,31,2,214,510
24010,"Brome--Missisquoi/Brome--Missisquoi"," 154","Magog",42,104,3,24,33,4,210,465
24010,"Brome--Missisquoi/Brome--Missisquoi"," 155","Magog",34,84,2,21,29,4,174,358
24010,"Brome--Missisquoi/Brome--Missisquoi"," 156","Magog",30,52,6,5,12,3,108,292
24010,"Brome--Missisquoi/Brome--Missisquoi"," 157","Magog",24,37,0,4,9,1,75,309
24010,"Brome--Missisquoi/Brome--Missisquoi"," 158","Magog",18,38,3,6,14,0,79,218
24010,"Brome--Missisquoi/Brome--Missisquoi"," 159","Magog",42,62,1,6,26,2,139,327
24010,"Brome--Missisquoi/Brome--Missisquoi"," 160","Magog",31,75,3,14,27,4,154,358
24010,"Brome--Missisquoi/Brome--Missisquoi"," 161","Magog",23,48,3,5,16,1,96,309
24010,"Brome--Missisquoi/Brome--Missisquoi"," 162","Magog",39,79,5,11,31,2,167,407
24010,"Brome--Missisquoi/Brome--Missisquoi"," 163","Magog",43,93,4,10,29,2,181,377
24010,"Brome--Missisquoi/Brome--Missisquoi"," 164","Magog",57,107,8,26,31,4,233,431
24010,"Brome--Missisquoi/Brome--Missisquoi"," 164-1","Magog",59,81,3,13,14,1,171,308
24010,"Brome--Missisquoi/Brome--Missisquoi"," 165","Magog",62,133,4,26,29,2,256,552
24010,"Brome--Missisquoi/Brome--Missisquoi"," 165-1","Magog",48,131,8,17,28,2,234,455
24010,"Brome--Missisquoi/Brome--Missisquoi"," 166","Magog",53,109,2,23,36,1,224,421
24010,"Brome--Missisquoi/Brome--Missisquoi"," 166-1","Magog",44,62,1,20,61,1,189,338
24010,"Brome--Missisquoi/Brome--Missisquoi"," 167","Magog",50,84,1,19,41,3,198,328
24010,"Brome--Missisquoi/Brome--Missisquoi"," 500","Mobile poll/Bureau itinérant",8,16,0,7,15,1,47,54
24010,"Brome--Missisquoi/Brome--Missisquoi"," 501","Mobile poll/Bureau itinérant",16,11,2,18,37,2,86,129
24010,"Brome--Missisquoi/Brome--Missisquoi"," 502","Mobile poll/Bureau itinérant",13,12,3,10,23,1,62,126
24010,"Brome--Missisquoi/Brome--Missisquoi"," 503","Mobile poll/Bureau itinérant",10,9,0,12,33,5,69,119
24010,"Brome--Missisquoi/Brome--Missisquoi"," 504","Mobile poll/Bureau itinérant",3,14,2,15,39,0,73,137
24010,"Brome--Missisquoi/Brome--Missisquoi"," 505","Mobile poll/Bureau itinérant",9,15,1,5,28,0,58,121
24010,"Brome--Missisquoi/Brome--Missisquoi"," 506","Mobile poll/Bureau itinérant",24,35,6,15,61,5,146,228
24010,"Brome--Missisquoi/Brome--Missisquoi"," 507","Mobile poll/Bureau itinérant",18,28,5,18,36,3,108,239
24010,"Brome--Missisquoi/Brome--Missisquoi"," 508","Mobile poll/Bureau itinérant",11,6,1,7,31,1,57,78
24010,"Brome--Missisquoi/Brome--Missisquoi"," 509","Mobile poll/Bureau itinérant",27,28,7,11,33,1,107,216
24010,"Brome--Missisquoi/Brome--Missisquoi"," 510","Mobile poll/Bureau itinérant",21,35,0,31,60,5,152,196
24010,"Brome--Missisquoi/Brome--Missisquoi"," 511","Mobile poll/Bureau itinérant",2,4,0,1,7,1,15,21
24010,"Brome--Missisquoi/Brome--Missisquoi"," 600","Venise-en-Québec",128,215,5,94,139,2,583,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 601","Bedford",84,138,6,65,125,1,419,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 602","Farnham",204,288,15,93,229,16,845,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 603","Bromont",207,341,11,83,295,8,945,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 604","Cowansville",133,225,9,70,126,8,571,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 605","Lac-Brome",121,236,16,150,503,3,1029,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 606","Orford",241,229,13,65,158,4,710,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 607","Magog",272,301,14,82,193,11,873,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 608","Magog",210,234,9,90,157,13,713,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 609","Sutton",131,152,13,86,248,1,631,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 610","Dunham",120,183,4,61,121,2,491,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 611","Cowansville",130,189,16,84,222,4,645,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 612","Magog",209,275,5,78,183,8,758,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 613","Magog",253,280,9,85,191,7,825,
24010,"Brome--Missisquoi/Brome--Missisquoi",,Group 1/Groupe 1,9,26,3,43,29,8,118,219
24010,"Brome--Missisquoi/Brome--Missisquoi",,Group 2/Groupe 2,156,134,15,141,380,10,836,
