Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Couturier,Claude DeBellefeuille,François Deslandres,Rémi Pelletier,Anne Minh-Thu Quach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 34","Salaberry-de-Valleyfield",24,63,16,2,105,3,213,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 35","Salaberry-de-Valleyfield",18,69,6,0,62,1,156,446
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 36","Salaberry-de-Valleyfield",8,66,3,3,70,4,154,425
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 37","Salaberry-de-Valleyfield",12,54,8,2,68,4,148,385
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 38","Salaberry-de-Valleyfield",27,63,20,1,101,3,215,469
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 39","Salaberry-de-Valleyfield",21,95,12,3,124,2,257,468
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 40","Salaberry-de-Valleyfield",12,61,9,2,91,0,175,441
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 41","Salaberry-de-Valleyfield",12,77,11,3,88,4,195,431
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 42","Salaberry-de-Valleyfield",7,42,11,3,76,2,141,425
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 43","Salaberry-de-Valleyfield",18,45,12,0,64,2,141,358
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 44","Salaberry-de-Valleyfield",22,73,7,0,82,7,191,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 45","Salaberry-de-Valleyfield",18,83,5,1,119,1,227,418
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 46","Salaberry-de-Valleyfield",11,62,2,1,84,0,160,397
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 47","Salaberry-de-Valleyfield",11,67,5,1,52,2,138,397
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 48","Salaberry-de-Valleyfield",14,54,13,1,88,0,170,439
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 49","Salaberry-de-Valleyfield",18,61,13,2,106,0,200,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 50","Grande-Île",27,81,13,5,106,0,232,464
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 51","Grande-Île",19,75,15,7,86,4,206,415
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 52","Grande-Île",15,84,13,4,90,2,208,342
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 52-1","Grande-Île",18,87,9,1,140,1,256,411
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 53","Grande-Île",28,108,8,2,120,5,271,438
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 54","Grande-Île",16,78,13,4,83,4,198,389
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 55","Grande-Île",28,70,13,1,107,2,221,383
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 56","Grande-Île",9,95,16,3,95,5,223,388
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 57","Grande-Île",9,76,3,1,98,2,189,331
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 57-1","Grande-Île",16,58,13,3,79,3,172,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 58","Salaberry-de-Valleyfield",10,64,6,3,69,3,155,426
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 59","Salaberry-de-Valleyfield",9,73,4,2,61,3,152,335
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 60","Salaberry-de-Valleyfield",16,89,10,0,75,5,195,409
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 61","Salaberry-de-Valleyfield",32,89,9,6,112,3,251,451
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 62","Salaberry-de-Valleyfield",20,65,8,3,78,4,178,344
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 63","Salaberry-de-Valleyfield",8,58,3,0,55,3,127,287
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 64","Salaberry-de-Valleyfield",8,53,6,2,69,4,142,328
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 65","Salaberry-de-Valleyfield",14,51,8,1,41,5,120,302
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 66","Salaberry-de-Valleyfield",16,43,5,2,51,4,121,378
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 67","Salaberry-de-Valleyfield",27,51,14,0,98,4,194,343
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 68","Salaberry-de-Valleyfield",15,94,11,4,64,2,190,363
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 69","Salaberry-de-Valleyfield",20,56,14,1,67,3,161,418
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 70A","Salaberry-de-Valleyfield",17,42,14,3,67,5,148,380
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 70B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,81
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 71","Salaberry-de-Valleyfield",33,58,13,2,106,0,212,432
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 72","Salaberry-de-Valleyfield",20,60,6,4,98,6,194,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 73","Salaberry-de-Valleyfield",20,86,4,4,67,2,183,393
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 74","Salaberry-de-Valleyfield",18,59,13,5,80,2,177,390
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 75","Salaberry-de-Valleyfield",17,29,13,0,43,4,106,224
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 76","Salaberry-de-Valleyfield",4,53,17,0,71,1,146,345
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 77","Salaberry-de-Valleyfield",34,55,26,1,74,1,191,364
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 78","Salaberry-de-Valleyfield",10,55,5,3,58,6,137,367
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 79","Salaberry-de-Valleyfield",20,59,14,2,67,4,166,370
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 80","Salaberry-de-Valleyfield",14,67,6,1,65,3,156,406
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 81","Salaberry-de-Valleyfield",12,49,2,6,54,5,128,331
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 82","Salaberry-de-Valleyfield",10,79,7,2,68,2,168,349
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 83","Salaberry-de-Valleyfield",15,69,9,3,76,3,175,382
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 84","Salaberry-de-Valleyfield",25,90,14,0,102,5,236,471
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 85","Salaberry-de-Valleyfield",20,83,11,1,122,3,240,481
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 86","Salaberry-de-Valleyfield",5,83,9,2,92,5,196,382
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 87","Salaberry-de-Valleyfield",10,71,3,2,65,0,151,386
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 88","Salaberry-de-Valleyfield",19,67,19,7,81,3,196,476
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 89","Salaberry-de-Valleyfield",9,33,6,4,27,1,80,260
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 90","Salaberry-de-Valleyfield",17,55,11,2,81,2,168,351
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 91","Salaberry-de-Valleyfield",12,50,17,2,78,2,161,320
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 92","Salaberry-de-Valleyfield",11,71,18,4,116,0,220,382
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 93","Salaberry-de-Valleyfield",10,94,1,1,106,0,212,386
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 94","Salaberry-de-Valleyfield",18,67,10,5,101,2,203,456
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 95","Salaberry-de-Valleyfield",12,71,7,3,85,1,179,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 96","Saint-Timothée",24,67,10,2,90,1,194,343
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 97","Saint-Timothée",17,79,15,3,82,1,197,400
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 98","Saint-Timothée",14,85,8,3,98,5,213,420
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 99","Saint-Timothée",12,80,22,3,132,3,252,387
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 100","Saint-Timothée",10,59,5,3,95,4,176,447
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 101","Saint-Timothée",11,71,4,0,63,0,149,318
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 102","Saint-Timothée",14,68,15,3,116,5,221,434
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 103","Saint-Timothée",14,97,10,2,146,2,271,562
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 103-1","Saint-Timothée",20,49,4,1,84,2,160,324
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 104","Saint-Timothée",12,65,1,2,65,5,150,321
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 105","Saint-Timothée",25,86,8,0,94,2,215,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 106","Saint-Timothée",26,113,4,3,162,3,311,491
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 107","Saint-Timothée",11,67,8,7,80,2,175,332
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 108","Saint-Timothée",12,59,7,2,68,0,148,321
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 109","Saint-Timothée",10,96,7,2,126,0,241,462
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 110","Saint-Timothée",21,73,10,2,78,5,189,366
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 111","Saint-Timothée",18,74,11,4,78,0,185,388
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 112","Melocheville",15,92,19,2,97,5,230,390
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 113","Melocheville",15,84,8,2,131,6,246,451
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 114","Melocheville",22,90,15,7,104,0,238,366
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 115","Melocheville",27,69,11,3,114,4,228,418
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 116","Melocheville",39,85,24,7,160,4,319,536
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 117","Beauharnois",22,50,10,3,70,5,160,361
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 118","Maple Grove",19,80,11,7,123,1,241,381
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 119","Maple Grove",16,73,7,12,117,3,228,439
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 120","Maple Grove",25,94,23,6,141,6,295,479
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 121","Maple Grove",37,119,24,7,167,5,359,568
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 122","Maple Grove",34,100,15,10,131,2,292,511
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 123","Beauharnois",11,78,4,4,94,4,195,368
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 124","Beauharnois",25,94,14,10,80,2,225,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 125","Beauharnois",18,36,12,4,63,2,135,447
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 126","Beauharnois",6,35,6,5,43,5,100,332
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 127","Beauharnois",20,68,9,1,84,4,186,354
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 128","Beauharnois",13,59,8,0,61,1,142,298
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 129","Beauharnois",17,50,9,2,66,6,150,310
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 130","Beauharnois",13,67,6,4,79,3,172,343
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 131","Beauharnois",5,72,6,3,57,6,149,304
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 132","Beauharnois",11,78,9,10,92,3,203,376
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 133","Beauharnois",9,70,5,7,62,4,157,324
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 134","Beauharnois",18,94,13,4,120,3,252,411
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 135","Beauharnois",22,99,13,5,139,6,284,537
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 136","Sainte-Martine",27,115,29,5,140,3,319,492
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 137","Sainte-Martine",30,81,21,5,121,2,260,482
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138","Sainte-Martine",18,82,17,6,123,4,250,453
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138-1","Sainte-Martine",31,61,25,3,116,5,241,348
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138-2","Sainte-Martine",12,73,14,4,111,3,217,362
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 139","Sainte-Martine",11,58,12,3,61,2,147,280
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 139-1","Sainte-Martine",14,40,8,4,73,3,142,283
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 140","Sainte-Martine",25,69,40,5,88,4,231,413
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 141","Sainte-Martine",31,98,17,5,106,2,259,449
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 142","Sainte-Martine",24,55,14,0,85,3,181,314
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 143","Saint-Urbain-Premier",31,87,28,6,106,4,262,408
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 144","Saint-Urbain-Premier",39,102,29,8,147,13,338,501
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 145","Très-Saint-Sacrement",59,47,27,4,73,5,215,330
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 146","Howick",34,63,43,6,120,0,266,436
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 147","Très-Saint-Sacrement",44,42,27,9,101,2,225,333
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 148","Sainte-Martine",56,30,26,9,91,1,213,362
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 149","Saint-Chrysostome",19,62,17,4,92,8,202,447
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 150","Saint-Chrysostome",18,69,18,1,67,4,177,421
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 151","Saint-Chrysostome",25,80,11,1,72,1,190,384
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 152","Saint-Chrysostome",31,71,16,2,52,1,173,370
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 153","Saint-Chrysostome",14,74,20,4,69,2,183,356
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 154","Ormstown",46,36,24,5,78,1,190,405
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 155","Ormstown",37,52,19,3,80,2,193,383
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 156","Ormstown",33,32,19,6,52,3,145,337
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 157","Ormstown",40,47,18,6,68,3,182,393
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 158","Ormstown",29,68,14,6,89,1,207,470
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 159","Ormstown",39,56,9,4,69,3,180,393
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 160","Ormstown",40,56,26,0,101,5,228,502
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 161","Saint-Antoine-Abbé",46,98,32,6,137,4,323,531
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 162","Saint-Antoine-Abbé",46,75,20,7,136,2,286,519
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 163","Franklin",48,36,22,2,73,0,181,353
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 164","Sainte-Clotilde-de-Châteauguay",48,59,25,4,115,1,252,375
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 165","Sainte-Clotilde-de-Châteauguay",48,82,13,2,84,1,230,435
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 166","Sainte-Clotilde-de-Châteauguay",34,69,8,7,89,5,212,410
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 167","Hemmingford",41,46,16,7,101,2,213,425
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 168","Hemmingford",62,27,26,12,107,0,234,457
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 169","Hemmingford",40,20,34,6,89,1,190,456
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 170","Hemmingford",33,19,13,7,56,0,128,260
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 171","Hemmingford",58,19,34,10,76,1,198,376
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 171-1","Hemmingford",Void/Supprimé,,,,,,,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 172","Havelock",39,49,11,8,77,0,184,300
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 173","Havelock",38,43,33,7,106,1,228,402
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 174","Saint-Rémi",20,78,25,6,101,3,233,315
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 175","Saint-Rémi",19,52,29,3,68,7,178,309
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 175-1A","Saint-Rémi",16,51,4,6,85,0,162,303
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 175-1B","Saint-Rémi",11,50,4,1,104,1,171,315
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 176","Saint-Rémi",19,105,15,4,125,8,276,556
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 177","Saint-Rémi",18,75,18,3,95,6,215,432
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 178","Saint-Rémi",30,65,14,7,110,3,229,436
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 179","Saint-Rémi",11,31,13,0,59,2,116,270
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 180","Saint-Rémi",14,60,12,2,66,3,157,409
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 181A","Saint-Rémi",14,68,27,4,130,4,247,510
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 181B","Saint-Rémi",23,23,20,1,15,2,84,93
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 182","Saint-Rémi",27,58,18,7,103,3,216,444
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 183","Saint-Rémi",25,71,12,4,91,5,208,422
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 184","Saint-Rémi",28,88,15,4,114,8,257,561
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 185","Saint-Michel",18,94,21,3,66,5,207,343
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 186","Saint-Édouard",21,62,24,6,100,4,217,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 187","Saint-Jacques-le-Mineur",40,105,14,6,157,0,322,493
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 188","Saint-Jacques-le-Mineur",31,70,16,5,103,0,225,366
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 189","Saint-Jacques-le-Mineur",28,68,22,3,115,3,239,405
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 190","Saint-Édouard",30,67,13,4,89,3,206,358
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 191","Saint-Édouard",27,52,15,5,71,3,173,326
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 192","Saint-Michel",20,74,9,2,66,5,176,341
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 193","Saint-Michel",21,84,13,5,87,6,216,371
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 193-1","Saint-Michel",19,79,15,3,114,1,231,364
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 194","Saint-Michel",30,75,14,1,122,4,246,409
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 195","Saint-Michel",11,76,8,5,80,0,180,328
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 196","Saint-Cyprien-de-Napierville",16,48,19,3,134,2,222,406
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 197","Napierville",12,26,17,2,70,2,129,255
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 198","Napierville",31,63,25,8,123,7,257,464
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 199","Napierville",45,69,24,3,142,6,289,558
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 199-1","Napierville",18,19,31,5,65,5,143,278
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 200","Napierville",22,68,19,2,149,2,262,473
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 201","Napierville",16,31,8,5,60,4,124,269
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 202","Napierville",27,43,15,4,73,4,166,359
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 203","Napierville",10,32,13,6,71,3,135,278
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 204","Saint-Cyprien-de-Napierville",31,60,21,5,105,1,223,398
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 205","Saint-Cyprien-de-Napierville",40,61,29,9,113,5,257,474
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 206","Sherrington",18,88,12,3,81,2,204,362
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 207","Sherrington",22,38,11,5,72,3,151,260
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 208","Sherrington",42,104,29,7,138,3,323,521
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 209","Sherrington",51,69,16,5,96,6,243,401
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 210","Saint-Bernard-de-Lacolle",13,32,10,3,74,3,135,271
