Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Al Brown,Jason Devine,Scott W. Milton,Deepak Obhrai,Josipa Petrunic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Calgary East/Calgary-Est"," 23","Calgary",23,1,7,85,21,1,138,362
48002,"Calgary East/Calgary-Est"," 24","Calgary",24,3,5,109,18,0,159,336
48002,"Calgary East/Calgary-Est"," 25","Calgary",33,1,14,81,31,0,160,405
48002,"Calgary East/Calgary-Est"," 26","Calgary",22,0,2,72,32,1,129,430
48002,"Calgary East/Calgary-Est"," 27","Calgary",25,0,8,120,14,1,168,386
48002,"Calgary East/Calgary-Est"," 28","Calgary",28,2,6,108,22,1,167,447
48002,"Calgary East/Calgary-Est"," 29","Calgary",24,1,5,110,16,0,156,358
48002,"Calgary East/Calgary-Est"," 30","Calgary",20,4,9,109,24,2,168,399
48002,"Calgary East/Calgary-Est"," 31","Calgary",26,0,9,104,26,1,166,415
48002,"Calgary East/Calgary-Est"," 32","Calgary",16,0,8,125,13,0,162,419
48002,"Calgary East/Calgary-Est"," 33","Calgary",29,1,8,90,26,1,155,337
48002,"Calgary East/Calgary-Est"," 34","Calgary",15,1,8,146,19,3,192,432
48002,"Calgary East/Calgary-Est"," 35","Calgary",11,0,6,82,22,0,121,238
48002,"Calgary East/Calgary-Est"," 36","Calgary",19,0,2,80,10,2,113,273
48002,"Calgary East/Calgary-Est"," 37","Calgary",14,1,9,157,21,0,202,430
48002,"Calgary East/Calgary-Est"," 38","Calgary",21,0,4,118,36,1,180,437
48002,"Calgary East/Calgary-Est"," 39","Calgary",28,2,12,118,31,0,191,424
48002,"Calgary East/Calgary-Est"," 40","Calgary",23,1,8,112,30,0,174,445
48002,"Calgary East/Calgary-Est"," 41","Calgary",13,2,8,90,16,0,129,346
48002,"Calgary East/Calgary-Est"," 42","Calgary",24,0,6,127,18,0,175,398
48002,"Calgary East/Calgary-Est"," 43","Calgary",15,1,4,108,21,0,149,343
48002,"Calgary East/Calgary-Est"," 44","Calgary",8,0,4,78,13,0,103,305
48002,"Calgary East/Calgary-Est"," 45","Calgary",20,0,4,98,21,0,143,368
48002,"Calgary East/Calgary-Est"," 46","Calgary",19,3,10,101,25,1,159,343
48002,"Calgary East/Calgary-Est"," 47","Calgary",35,2,9,92,28,0,166,367
48002,"Calgary East/Calgary-Est"," 48","Calgary",13,0,9,101,24,2,149,393
48002,"Calgary East/Calgary-Est"," 49","Calgary",33,2,3,158,17,0,213,448
48002,"Calgary East/Calgary-Est"," 50","Calgary",17,2,7,107,12,0,145,326
48002,"Calgary East/Calgary-Est"," 51","Calgary",15,2,4,100,24,3,148,391
48002,"Calgary East/Calgary-Est"," 52","Calgary",23,3,7,115,21,0,169,482
48002,"Calgary East/Calgary-Est"," 53","Calgary",18,1,8,82,10,1,120,290
48002,"Calgary East/Calgary-Est"," 54","Calgary",15,2,10,85,16,1,129,330
48002,"Calgary East/Calgary-Est"," 55","Calgary",17,2,6,85,12,0,122,405
48002,"Calgary East/Calgary-Est"," 56","Calgary",18,2,9,81,16,0,126,311
48002,"Calgary East/Calgary-Est"," 57","Calgary",15,2,7,67,17,1,109,267
48002,"Calgary East/Calgary-Est"," 58","Calgary",22,2,9,103,19,0,155,408
48002,"Calgary East/Calgary-Est"," 59","Calgary",19,2,2,65,15,1,104,339
48002,"Calgary East/Calgary-Est"," 60","Calgary",16,3,4,106,17,0,146,420
48002,"Calgary East/Calgary-Est"," 61","Calgary",11,1,5,103,12,1,133,399
48002,"Calgary East/Calgary-Est"," 62","Calgary",31,0,13,94,11,0,149,370
48002,"Calgary East/Calgary-Est"," 63","Calgary",13,3,5,75,15,2,113,323
48002,"Calgary East/Calgary-Est"," 64","Calgary",13,1,6,52,18,0,90,277
48002,"Calgary East/Calgary-Est"," 65","Calgary",16,0,7,46,13,2,84,289
48002,"Calgary East/Calgary-Est"," 66","Calgary",26,0,9,101,12,2,150,475
48002,"Calgary East/Calgary-Est"," 67","Calgary",16,0,14,107,10,1,148,483
48002,"Calgary East/Calgary-Est"," 68A","Calgary",23,1,10,77,7,0,118,424
48002,"Calgary East/Calgary-Est"," 68B","Calgary",13,0,3,76,9,3,104,383
48002,"Calgary East/Calgary-Est"," 68-1","Calgary",9,0,3,38,6,0,56,195
48002,"Calgary East/Calgary-Est"," 69","Calgary",6,0,5,105,6,0,122,300
48002,"Calgary East/Calgary-Est"," 70","Calgary",28,0,9,143,33,0,213,413
48002,"Calgary East/Calgary-Est"," 71","Calgary",54,3,7,139,20,0,223,386
48002,"Calgary East/Calgary-Est"," 72","Calgary",24,2,12,138,37,0,213,464
48002,"Calgary East/Calgary-Est"," 73","Calgary",20,1,6,97,20,0,144,334
48002,"Calgary East/Calgary-Est"," 74","Calgary",11,0,6,103,26,4,150,304
48002,"Calgary East/Calgary-Est"," 75","Calgary",23,0,5,92,20,1,141,384
48002,"Calgary East/Calgary-Est"," 76","Calgary",28,0,3,94,18,1,144,407
48002,"Calgary East/Calgary-Est"," 77","Calgary",21,3,11,117,28,1,181,474
48002,"Calgary East/Calgary-Est"," 78","Calgary",18,1,7,84,16,1,127,336
48002,"Calgary East/Calgary-Est"," 79A","Calgary",14,0,4,53,4,0,75,256
48002,"Calgary East/Calgary-Est"," 79B","Calgary",16,1,6,58,0,0,81,251
48002,"Calgary East/Calgary-Est"," 80","Calgary",14,0,4,79,10,0,107,253
48002,"Calgary East/Calgary-Est"," 81A","Calgary",12,1,3,63,10,1,90,273
48002,"Calgary East/Calgary-Est"," 81B","Calgary",9,2,2,43,4,0,60,283
48002,"Calgary East/Calgary-Est"," 82","Calgary",14,0,3,77,12,0,106,347
48002,"Calgary East/Calgary-Est"," 83","Calgary",9,0,5,85,15,3,117,396
48002,"Calgary East/Calgary-Est"," 83-1","Calgary",10,2,0,68,9,2,91,368
48002,"Calgary East/Calgary-Est"," 84","Calgary",19,0,4,114,23,1,161,443
48002,"Calgary East/Calgary-Est"," 85","Calgary",14,1,6,84,16,0,121,311
48002,"Calgary East/Calgary-Est"," 86","Calgary",20,1,8,68,30,1,128,472
48002,"Calgary East/Calgary-Est"," 87","Calgary",10,3,9,76,31,3,132,459
48002,"Calgary East/Calgary-Est"," 87-1","Calgary",30,3,12,90,18,2,155,484
48002,"Calgary East/Calgary-Est"," 88","Calgary",20,0,7,84,14,1,126,415
48002,"Calgary East/Calgary-Est"," 89","Calgary",27,2,6,77,24,0,136,479
48002,"Calgary East/Calgary-Est"," 90","Calgary",29,1,10,106,17,2,165,389
48002,"Calgary East/Calgary-Est"," 91","Calgary",18,0,11,107,9,0,145,328
48002,"Calgary East/Calgary-Est"," 92","Calgary",7,0,3,51,15,1,77,224
48002,"Calgary East/Calgary-Est"," 93","Calgary",22,1,5,71,6,3,108,256
48002,"Calgary East/Calgary-Est"," 94","Calgary",19,0,8,114,5,1,147,286
48002,"Calgary East/Calgary-Est"," 95","Calgary",12,2,13,66,5,1,99,292
48002,"Calgary East/Calgary-Est"," 96","Calgary",29,0,8,58,10,0,105,248
48002,"Calgary East/Calgary-Est"," 97","Calgary",12,0,4,66,7,1,90,233
48002,"Calgary East/Calgary-Est"," 98","Calgary",13,3,4,69,14,0,103,305
48002,"Calgary East/Calgary-Est"," 99","Calgary",21,5,4,54,12,1,97,275
48002,"Calgary East/Calgary-Est"," 100","Calgary",14,3,7,51,16,0,91,317
48002,"Calgary East/Calgary-Est"," 101","Calgary",15,2,10,73,7,0,107,299
48002,"Calgary East/Calgary-Est"," 102","Calgary",14,0,5,28,7,0,54,176
48002,"Calgary East/Calgary-Est"," 103","Calgary",15,3,6,51,6,0,81,360
48002,"Calgary East/Calgary-Est"," 104","Calgary",26,1,8,74,10,0,119,359
48002,"Calgary East/Calgary-Est"," 105","Calgary",18,1,2,62,9,1,93,432
48002,"Calgary East/Calgary-Est"," 106","Calgary",17,1,12,75,17,1,123,452
48002,"Calgary East/Calgary-Est"," 107","Calgary",40,0,31,44,41,0,156,344
48002,"Calgary East/Calgary-Est"," 108A","Calgary",19,1,14,51,40,0,125,257
48002,"Calgary East/Calgary-Est"," 108B","Calgary",23,2,17,56,59,2,159,294
48002,"Calgary East/Calgary-Est"," 109A","Calgary",14,0,7,48,44,0,113,235
48002,"Calgary East/Calgary-Est"," 109B","Calgary",21,0,9,82,30,0,142,258
48002,"Calgary East/Calgary-Est"," 109-1","Calgary",28,0,9,79,53,1,170,326
48002,"Calgary East/Calgary-Est"," 110A","Calgary",24,2,13,80,43,0,162,317
48002,"Calgary East/Calgary-Est"," 110B","Calgary",24,1,22,73,26,1,147,321
48002,"Calgary East/Calgary-Est"," 111A","Calgary",26,2,30,60,52,0,170,261
48002,"Calgary East/Calgary-Est"," 111B","Calgary",24,0,22,52,37,0,135,264
48002,"Calgary East/Calgary-Est"," 112","Calgary",22,2,10,88,17,0,139,345
48002,"Calgary East/Calgary-Est"," 113","Calgary",27,0,12,138,18,2,197,410
48002,"Calgary East/Calgary-Est"," 114","Calgary",26,1,3,68,12,0,110,348
48002,"Calgary East/Calgary-Est"," 115","Calgary",20,1,6,101,16,1,145,341
48002,"Calgary East/Calgary-Est"," 116","Calgary",19,0,11,77,3,4,114,404
48002,"Calgary East/Calgary-Est"," 117","Calgary",13,1,8,60,5,0,87,330
48002,"Calgary East/Calgary-Est"," 118","Calgary",19,2,8,46,8,0,83,305
48002,"Calgary East/Calgary-Est"," 119","Calgary",20,4,10,110,10,0,154,445
48002,"Calgary East/Calgary-Est"," 120","Calgary",16,2,7,92,10,0,127,312
48002,"Calgary East/Calgary-Est"," 121","Calgary",14,1,2,91,10,0,118,295
48002,"Calgary East/Calgary-Est"," 122","Calgary",11,0,4,96,12,1,124,317
48002,"Calgary East/Calgary-Est"," 123A","Calgary",15,3,7,102,13,1,141,301
48002,"Calgary East/Calgary-Est"," 123B","Calgary",27,0,8,101,20,0,156,340
48002,"Calgary East/Calgary-Est"," 124","Calgary",24,2,4,74,5,1,110,345
48002,"Calgary East/Calgary-Est"," 125","Calgary",23,1,9,107,16,0,156,379
48002,"Calgary East/Calgary-Est"," 126","Calgary",29,1,8,81,19,2,140,388
48002,"Calgary East/Calgary-Est"," 127","Calgary",16,1,3,63,11,0,94,416
48002,"Calgary East/Calgary-Est"," 128","Calgary",26,0,9,95,12,2,144,438
48002,"Calgary East/Calgary-Est"," 129","Calgary",14,2,8,56,4,0,84,263
48002,"Calgary East/Calgary-Est"," 130","Calgary",15,0,5,57,11,0,88,243
48002,"Calgary East/Calgary-Est"," 131","Calgary",18,1,3,66,19,1,108,262
48002,"Calgary East/Calgary-Est"," 132","Calgary",20,2,8,92,4,0,126,355
48002,"Calgary East/Calgary-Est"," 133","Calgary",13,3,9,122,6,0,153,323
48002,"Calgary East/Calgary-Est"," 134","Calgary",34,2,11,131,12,0,190,412
48002,"Calgary East/Calgary-Est"," 135","Calgary",20,1,6,95,10,1,133,347
48002,"Calgary East/Calgary-Est"," 136","Calgary",17,0,8,92,13,1,131,277
48002,"Calgary East/Calgary-Est"," 137","Calgary",19,1,8,107,16,0,151,276
48002,"Calgary East/Calgary-Est"," 138","Calgary",31,2,15,139,13,1,201,416
48002,"Calgary East/Calgary-Est"," 139","Calgary",20,1,13,69,11,0,114,296
48002,"Calgary East/Calgary-Est"," 140","Calgary",20,2,7,102,10,1,142,329
48002,"Calgary East/Calgary-Est"," 141","Calgary",18,0,11,112,13,0,154,368
48002,"Calgary East/Calgary-Est"," 142","Calgary",15,0,5,82,11,0,113,261
48002,"Calgary East/Calgary-Est"," 143A","Calgary",12,0,6,84,8,0,110,254
48002,"Calgary East/Calgary-Est"," 143B","Calgary",9,0,5,80,16,0,110,266
48002,"Calgary East/Calgary-Est"," 143-1","Calgary",11,0,4,62,10,1,88,228
48002,"Calgary East/Calgary-Est"," 144","Calgary",27,1,5,60,9,0,102,230
48002,"Calgary East/Calgary-Est"," 145A","Calgary",17,0,14,77,8,0,116,303
48002,"Calgary East/Calgary-Est"," 145B","Calgary",30,1,7,103,15,1,157,331
48002,"Calgary East/Calgary-Est"," 146","Calgary",16,4,3,102,14,1,140,344
48002,"Calgary East/Calgary-Est"," 147","Calgary",27,3,9,131,9,2,181,420
48002,"Calgary East/Calgary-Est"," 148","Calgary",26,0,11,141,7,0,185,333
48002,"Calgary East/Calgary-Est"," 149","Calgary",14,0,6,64,14,1,99,220
48002,"Calgary East/Calgary-Est"," 150","Calgary",23,0,3,85,10,3,124,302
48002,"Calgary East/Calgary-Est"," 151","Calgary",22,1,14,101,15,1,154,334
48002,"Calgary East/Calgary-Est"," 152A","Calgary",16,1,7,118,14,0,156,357
48002,"Calgary East/Calgary-Est"," 152B","Calgary",14,2,8,90,12,1,127,350
48002,"Calgary East/Calgary-Est"," 152C","Calgary",27,0,7,114,19,1,168,376
48002,"Calgary East/Calgary-Est"," 153","Calgary",22,0,7,103,13,0,145,389
48002,"Calgary East/Calgary-Est"," 154","Calgary",14,1,3,79,10,0,107,211
48002,"Calgary East/Calgary-Est"," 155","Calgary",14,1,5,56,15,0,91,298
48002,"Calgary East/Calgary-Est"," 156","Calgary",29,1,14,139,33,3,219,387
48002,"Calgary East/Calgary-Est"," 157","Calgary",34,1,11,122,12,1,181,339
48002,"Calgary East/Calgary-Est"," 158","Calgary",25,1,12,147,9,1,195,321
48002,"Calgary East/Calgary-Est"," 159","Calgary",22,0,9,94,19,1,145,360
48002,"Calgary East/Calgary-Est"," 160","Calgary",26,2,5,123,6,0,162,312
48002,"Calgary East/Calgary-Est"," 161","Calgary",28,1,13,175,10,0,227,428
48002,"Calgary East/Calgary-Est"," 162","Calgary",27,2,21,120,28,0,198,368
48002,"Calgary East/Calgary-Est"," 163","Calgary",33,2,12,159,20,1,227,435
48002,"Calgary East/Calgary-Est"," 164","Calgary",30,15,23,143,2,0,213,431
48002,"Calgary East/Calgary-Est"," 165","Calgary",18,0,11,99,4,0,132,325
48002,"Calgary East/Calgary-Est"," 166","Calgary",19,1,14,96,7,0,137,369
48002,"Calgary East/Calgary-Est"," 167","Calgary",23,1,15,90,7,1,137,332
48002,"Calgary East/Calgary-Est"," 168","Calgary",14,2,10,104,17,1,148,322
48002,"Calgary East/Calgary-Est"," 169","Calgary",25,1,14,138,13,2,193,407
48002,"Calgary East/Calgary-Est"," 170","Calgary",21,0,11,71,10,1,114,354
48002,"Calgary East/Calgary-Est"," 171","Calgary",30,1,11,136,7,0,185,309
48002,"Calgary East/Calgary-Est"," 172","Calgary",26,1,2,156,29,0,214,343
48002,"Calgary East/Calgary-Est"," 173","Calgary",Void/Supprimé,,,,,,,
48002,"Calgary East/Calgary-Est"," 174","Calgary",21,0,13,181,21,0,236,380
48002,"Calgary East/Calgary-Est"," 175","Calgary",33,0,30,181,27,2,273,480
48002,"Calgary East/Calgary-Est"," 176","Calgary",16,1,18,144,10,0,189,409
48002,"Calgary East/Calgary-Est"," 177","Calgary",23,1,15,152,17,3,211,402
48002,"Calgary East/Calgary-Est"," 178","Calgary",19,0,14,186,27,0,246,400
48002,"Calgary East/Calgary-Est"," 179","Calgary",9,0,9,198,10,0,226,385
48002,"Calgary East/Calgary-Est"," 180","Calgary",23,2,10,115,21,0,171,328
48002,"Calgary East/Calgary-Est"," 181","Calgary",27,1,6,136,16,0,186,366
48002,"Calgary East/Calgary-Est"," 182","Calgary",26,1,11,126,11,0,175,330
48002,"Calgary East/Calgary-Est"," 183","Calgary",39,0,8,131,26,2,206,372
48002,"Calgary East/Calgary-Est"," 184","Calgary",18,1,15,112,10,2,158,287
48002,"Calgary East/Calgary-Est"," 185","Calgary",10,1,14,179,15,0,219,359
48002,"Calgary East/Calgary-Est"," 186","Calgary",34,0,10,191,30,2,267,433
48002,"Calgary East/Calgary-Est"," 187","Calgary",17,0,9,151,23,0,200,374
48002,"Calgary East/Calgary-Est"," 188","Calgary",30,2,13,149,21,0,215,351
48002,"Calgary East/Calgary-Est"," 189","Calgary",15,0,13,118,18,1,165,326
48002,"Calgary East/Calgary-Est"," 190","Calgary",10,1,7,126,17,4,165,396
48002,"Calgary East/Calgary-Est"," 191","Calgary",35,1,8,202,21,1,268,497
48002,"Calgary East/Calgary-Est"," 192A","Calgary",9,0,3,97,11,0,120,229
48002,"Calgary East/Calgary-Est"," 192B","Calgary",11,0,8,118,7,0,144,278
48002,"Calgary East/Calgary-Est"," 193","Calgary",24,0,8,182,13,0,227,454
48002,"Calgary East/Calgary-Est"," 194","Calgary",19,0,9,170,31,1,230,485
48002,"Calgary East/Calgary-Est"," 195A","Calgary",16,0,9,120,17,0,162,341
48002,"Calgary East/Calgary-Est"," 195B","Calgary",25,0,8,129,26,0,188,319
48002,"Calgary East/Calgary-Est"," 500","Mobile poll/Bureau itinérant",4,1,3,70,8,1,87,318
48002,"Calgary East/Calgary-Est"," 501","Mobile poll/Bureau itinérant",29,1,6,83,13,3,135,273
48002,"Calgary East/Calgary-Est"," 600","Calgary",62,2,31,264,72,3,434,
48002,"Calgary East/Calgary-Est"," 601","Calgary",37,1,18,200,32,0,288,
48002,"Calgary East/Calgary-Est"," 602","Calgary",39,3,19,213,50,1,325,
48002,"Calgary East/Calgary-Est"," 603","Calgary",34,1,7,183,39,4,268,
48002,"Calgary East/Calgary-Est"," 604","Calgary",36,3,12,126,37,1,215,
48002,"Calgary East/Calgary-Est"," 605","Calgary",16,0,12,79,48,0,155,
48002,"Calgary East/Calgary-Est"," 606","Calgary",37,1,14,300,29,2,383,
48002,"Calgary East/Calgary-Est"," 607","Calgary",40,0,14,153,27,3,237,
48002,"Calgary East/Calgary-Est"," 608","Calgary",23,2,6,81,21,0,133,
48002,"Calgary East/Calgary-Est"," 609","Calgary",38,0,10,214,21,0,283,
48002,"Calgary East/Calgary-Est",,Group 1/Groupe 1,14,0,5,45,57,11,132,221
48002,"Calgary East/Calgary-Est",,Group 2/Groupe 2,57,1,20,263,65,8,414,
