Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Burrows,Aaron Cameron,Roger Carter,Matthew Kellway,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Beaches--East York/Beaches--East York"," 86","East York",38,14,0,99,61,0,212,382
35005,"Beaches--East York/Beaches--East York"," 87","East York",54,10,0,102,83,0,249,438
35005,"Beaches--East York/Beaches--East York"," 88","Toronto",23,7,3,85,80,1,199,325
35005,"Beaches--East York/Beaches--East York"," 89","Toronto",35,9,0,102,66,0,212,349
35005,"Beaches--East York/Beaches--East York"," 90","Toronto",51,15,1,131,111,0,309,492
35005,"Beaches--East York/Beaches--East York"," 91","Toronto",39,12,1,129,70,0,251,431
35005,"Beaches--East York/Beaches--East York"," 92","Toronto",30,15,0,100,57,1,203,413
35005,"Beaches--East York/Beaches--East York"," 93","Toronto",33,9,1,141,78,0,262,472
35005,"Beaches--East York/Beaches--East York"," 94","Toronto",48,17,0,118,46,0,229,358
35005,"Beaches--East York/Beaches--East York"," 95","Toronto",38,23,1,118,66,0,246,397
35005,"Beaches--East York/Beaches--East York"," 96","Toronto",40,18,0,128,87,1,274,421
35005,"Beaches--East York/Beaches--East York"," 97","Toronto",37,15,2,127,81,0,262,428
35005,"Beaches--East York/Beaches--East York"," 98","Toronto",28,19,0,130,50,0,227,320
35005,"Beaches--East York/Beaches--East York"," 99","Toronto",32,14,0,100,49,1,196,296
35005,"Beaches--East York/Beaches--East York"," 100","Toronto",30,11,0,144,55,1,241,430
35005,"Beaches--East York/Beaches--East York"," 101","Toronto",29,20,0,128,59,0,236,379
35005,"Beaches--East York/Beaches--East York"," 102","Toronto",36,8,1,117,58,0,220,405
35005,"Beaches--East York/Beaches--East York"," 103","Toronto",23,15,2,71,54,2,167,310
35005,"Beaches--East York/Beaches--East York"," 104","Toronto",26,2,3,86,46,1,164,293
35005,"Beaches--East York/Beaches--East York"," 105","Toronto",46,14,0,120,60,0,240,364
35005,"Beaches--East York/Beaches--East York"," 106","Toronto",57,11,1,141,70,1,281,429
35005,"Beaches--East York/Beaches--East York"," 107","Toronto",49,8,0,120,65,0,242,377
35005,"Beaches--East York/Beaches--East York"," 108","Toronto",37,11,0,137,66,0,251,337
35005,"Beaches--East York/Beaches--East York"," 109","Toronto",42,13,0,103,63,0,221,312
35005,"Beaches--East York/Beaches--East York"," 110","Toronto",52,15,1,100,65,2,235,385
35005,"Beaches--East York/Beaches--East York"," 111","Toronto",30,15,0,128,44,2,219,382
35005,"Beaches--East York/Beaches--East York"," 112","Toronto",42,24,2,93,61,1,223,343
35005,"Beaches--East York/Beaches--East York"," 113","Toronto",55,12,0,74,50,3,194,306
35005,"Beaches--East York/Beaches--East York"," 114","Toronto",60,16,0,88,78,0,242,354
35005,"Beaches--East York/Beaches--East York"," 115","Toronto",31,9,0,103,42,2,187,419
35005,"Beaches--East York/Beaches--East York"," 116","Toronto",41,11,0,78,39,0,169,314
35005,"Beaches--East York/Beaches--East York"," 117","Toronto",49,12,0,130,76,0,267,398
35005,"Beaches--East York/Beaches--East York"," 118","Toronto",57,10,0,119,56,0,242,380
35005,"Beaches--East York/Beaches--East York"," 119","Toronto",39,13,0,70,52,1,175,300
35005,"Beaches--East York/Beaches--East York"," 120A","Toronto",39,7,0,75,43,0,164,251
35005,"Beaches--East York/Beaches--East York"," 120B","Toronto",38,4,0,77,54,1,174,277
35005,"Beaches--East York/Beaches--East York"," 121A","Toronto",57,9,0,89,48,0,203,341
35005,"Beaches--East York/Beaches--East York"," 121B","Toronto",58,7,0,70,43,2,180,293
35005,"Beaches--East York/Beaches--East York"," 122","Toronto",70,16,0,104,54,1,245,358
35005,"Beaches--East York/Beaches--East York"," 123","Toronto",34,13,0,141,54,0,242,368
35005,"Beaches--East York/Beaches--East York"," 124","Toronto",71,10,1,108,67,3,260,339
35005,"Beaches--East York/Beaches--East York"," 125","Toronto",82,12,0,135,77,0,306,426
35005,"Beaches--East York/Beaches--East York"," 126","Toronto",77,9,0,112,81,2,281,404
35005,"Beaches--East York/Beaches--East York"," 127","Toronto",59,12,0,136,55,1,263,377
35005,"Beaches--East York/Beaches--East York"," 128","Toronto",29,13,0,98,37,0,177,293
35005,"Beaches--East York/Beaches--East York"," 129","Toronto",52,21,1,141,67,2,284,457
35005,"Beaches--East York/Beaches--East York"," 130","Toronto",52,25,0,130,90,1,298,478
35005,"Beaches--East York/Beaches--East York"," 131","Toronto",32,12,0,120,65,0,229,362
35005,"Beaches--East York/Beaches--East York"," 132","Toronto",51,15,1,121,78,2,268,446
35005,"Beaches--East York/Beaches--East York"," 133","Toronto",30,12,3,115,36,0,196,399
35005,"Beaches--East York/Beaches--East York"," 134","Toronto",38,8,2,94,86,0,228,379
35005,"Beaches--East York/Beaches--East York"," 135","Toronto",44,11,0,72,61,0,188,305
35005,"Beaches--East York/Beaches--East York"," 136A","Toronto",30,7,1,68,33,0,139,270
35005,"Beaches--East York/Beaches--East York"," 136B","Toronto",22,4,0,58,27,1,112,247
35005,"Beaches--East York/Beaches--East York"," 137","Toronto",20,5,0,77,46,0,148,279
35005,"Beaches--East York/Beaches--East York"," 138","Toronto",47,11,0,117,58,0,233,346
35005,"Beaches--East York/Beaches--East York"," 139","Toronto",53,19,1,153,66,0,292,438
35005,"Beaches--East York/Beaches--East York"," 140","Toronto",42,15,0,119,57,1,234,466
35005,"Beaches--East York/Beaches--East York"," 141","Toronto",50,7,1,109,53,0,220,389
35005,"Beaches--East York/Beaches--East York"," 142","Toronto",66,13,1,111,75,2,268,419
35005,"Beaches--East York/Beaches--East York"," 143","Toronto",43,9,1,111,55,1,220,390
35005,"Beaches--East York/Beaches--East York"," 144","Toronto",36,18,0,106,67,1,228,361
35005,"Beaches--East York/Beaches--East York"," 145","Toronto",69,17,0,111,48,0,245,410
35005,"Beaches--East York/Beaches--East York"," 146","Toronto",65,18,0,133,72,1,289,410
35005,"Beaches--East York/Beaches--East York"," 147","Toronto",48,18,0,109,75,1,251,432
35005,"Beaches--East York/Beaches--East York"," 148","Toronto",47,9,2,113,77,1,249,404
35005,"Beaches--East York/Beaches--East York"," 149","Toronto",44,13,0,94,49,0,200,295
35005,"Beaches--East York/Beaches--East York"," 150","Toronto",56,16,0,84,59,0,215,342
35005,"Beaches--East York/Beaches--East York"," 151","Toronto",35,15,0,73,51,0,174,239
35005,"Beaches--East York/Beaches--East York"," 152","Toronto",51,6,0,100,62,0,219,347
35005,"Beaches--East York/Beaches--East York"," 153","Toronto",37,13,0,55,53,1,159,316
35005,"Beaches--East York/Beaches--East York"," 154","Toronto",41,7,1,106,60,5,220,363
35005,"Beaches--East York/Beaches--East York"," 155","Toronto",55,18,0,110,84,0,267,393
35005,"Beaches--East York/Beaches--East York"," 156","Toronto",58,14,2,95,81,2,252,382
35005,"Beaches--East York/Beaches--East York"," 157A","Toronto",50,6,0,53,38,0,147,243
35005,"Beaches--East York/Beaches--East York"," 157B","Toronto",39,12,0,57,64,0,172,274
35005,"Beaches--East York/Beaches--East York"," 158","Toronto",78,12,1,90,91,1,273,446
35005,"Beaches--East York/Beaches--East York"," 159","Toronto",74,4,0,76,69,0,223,356
35005,"Beaches--East York/Beaches--East York"," 160","Toronto",62,12,0,54,66,0,194,341
35005,"Beaches--East York/Beaches--East York"," 161","Toronto",51,7,0,86,70,1,215,380
35005,"Beaches--East York/Beaches--East York"," 162","Toronto",53,13,1,82,73,0,222,335
35005,"Beaches--East York/Beaches--East York"," 163","Toronto",39,10,1,94,81,0,225,357
35005,"Beaches--East York/Beaches--East York"," 164","Toronto",59,20,1,63,69,0,212,317
35005,"Beaches--East York/Beaches--East York"," 165","Toronto",67,23,0,87,74,0,251,427
35005,"Beaches--East York/Beaches--East York"," 166","Toronto",66,11,1,110,78,0,266,441
35005,"Beaches--East York/Beaches--East York"," 167","Toronto",40,11,0,63,51,0,165,284
35005,"Beaches--East York/Beaches--East York"," 168","Toronto",78,9,0,65,55,0,207,340
35005,"Beaches--East York/Beaches--East York"," 169","Toronto",109,13,0,68,106,1,297,482
35005,"Beaches--East York/Beaches--East York"," 170","Toronto",63,3,1,59,60,0,186,300
35005,"Beaches--East York/Beaches--East York"," 171A","Toronto",68,5,0,39,43,0,155,270
35005,"Beaches--East York/Beaches--East York"," 171B","Toronto",72,9,1,38,48,0,168,302
35005,"Beaches--East York/Beaches--East York"," 172","Toronto",50,18,1,102,63,1,235,397
35005,"Beaches--East York/Beaches--East York"," 173","Toronto",50,17,0,88,42,1,198,331
35005,"Beaches--East York/Beaches--East York"," 174","Toronto",59,18,0,88,78,0,243,446
35005,"Beaches--East York/Beaches--East York"," 175","Toronto",58,13,0,86,64,0,221,391
35005,"Beaches--East York/Beaches--East York"," 176","Toronto",28,11,0,63,47,0,149,273
35005,"Beaches--East York/Beaches--East York"," 177","Toronto",47,9,0,83,44,0,183,331
35005,"Beaches--East York/Beaches--East York"," 178","Toronto",65,13,0,70,65,0,213,416
35005,"Beaches--East York/Beaches--East York"," 179","Toronto",30,8,0,73,41,0,152,258
35005,"Beaches--East York/Beaches--East York"," 180","Toronto",44,12,1,76,43,2,178,314
35005,"Beaches--East York/Beaches--East York"," 181","Toronto",47,14,0,87,39,0,187,330
35005,"Beaches--East York/Beaches--East York"," 182","Toronto",51,19,0,80,65,0,215,355
35005,"Beaches--East York/Beaches--East York"," 183","Scarborough",59,6,0,76,59,0,200,313
35005,"Beaches--East York/Beaches--East York"," 400","North York",30,2,0,98,113,2,245,421
35005,"Beaches--East York/Beaches--East York"," 401","East York",26,1,0,38,44,2,111,219
35005,"Beaches--East York/Beaches--East York"," 402","East York",17,1,0,64,78,0,160,314
35005,"Beaches--East York/Beaches--East York"," 403","East York",37,1,1,60,87,0,186,366
35005,"Beaches--East York/Beaches--East York"," 404","East York",12,3,0,38,46,1,100,216
35005,"Beaches--East York/Beaches--East York"," 405","East York",29,5,0,36,50,0,120,250
35005,"Beaches--East York/Beaches--East York"," 406","East York",17,5,0,40,39,1,102,193
35005,"Beaches--East York/Beaches--East York"," 407","East York",23,2,0,51,80,5,161,298
35005,"Beaches--East York/Beaches--East York"," 408","East York",32,7,0,42,95,2,178,334
35005,"Beaches--East York/Beaches--East York"," 409","East York",19,1,1,73,74,0,168,368
35005,"Beaches--East York/Beaches--East York"," 410","East York",7,0,0,62,49,2,120,289
35005,"Beaches--East York/Beaches--East York"," 411","East York",21,3,2,50,53,1,130,311
35005,"Beaches--East York/Beaches--East York"," 412","East York",21,0,1,59,68,1,150,323
35005,"Beaches--East York/Beaches--East York"," 413","East York",36,3,2,47,32,0,120,184
35005,"Beaches--East York/Beaches--East York"," 414","Toronto",28,5,3,44,51,5,136,212
35005,"Beaches--East York/Beaches--East York"," 500","Mobile poll/Bureau itinérant",22,1,0,30,26,4,83,153
35005,"Beaches--East York/Beaches--East York"," 501","Mobile poll/Bureau itinérant",28,4,0,27,21,6,86,108
35005,"Beaches--East York/Beaches--East York"," 600","East York",159,18,2,118,184,0,481,
35005,"Beaches--East York/Beaches--East York"," 601","East York",117,19,2,123,191,2,454,
35005,"Beaches--East York/Beaches--East York"," 602","East York",79,4,2,89,295,0,469,
35005,"Beaches--East York/Beaches--East York"," 603","East York",159,26,1,204,204,4,598,
35005,"Beaches--East York/Beaches--East York"," 604","East York--Toronto",81,25,2,184,172,1,465,
35005,"Beaches--East York/Beaches--East York"," 605","East York--Toronto",99,29,1,202,203,1,535,
35005,"Beaches--East York/Beaches--East York"," 606","Toronto",90,30,1,303,307,0,731,
35005,"Beaches--East York/Beaches--East York"," 607","Toronto",120,43,5,236,185,0,589,
35005,"Beaches--East York/Beaches--East York"," 608","Toronto",81,22,3,173,210,0,489,
35005,"Beaches--East York/Beaches--East York"," 609","Toronto",137,47,4,174,274,2,638,
35005,"Beaches--East York/Beaches--East York"," 610","Toronto",171,36,1,187,240,0,635,
35005,"Beaches--East York/Beaches--East York"," 611","Toronto",129,31,0,175,239,1,575,
35005,"Beaches--East York/Beaches--East York",,Group 1/Groupe 1,25,5,0,27,58,10,125,181
35005,"Beaches--East York/Beaches--East York",,Group 2/Groupe 2,97,21,2,125,225,8,478,
