Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonny Day,Jilian Saweczko,Mike Sullivan,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"York South--Weston/York-Sud--Weston"," 67","North York",5,58,44,89,4,200,363
35105,"York South--Weston/York-Sud--Weston"," 68","North York",5,55,42,52,0,154,322
35105,"York South--Weston/York-Sud--Weston"," 69","North York",4,34,54,44,0,136,382
35105,"York South--Weston/York-Sud--Weston"," 70","North York",3,18,72,65,0,158,425
35105,"York South--Weston/York-Sud--Weston"," 71","North York",2,41,42,57,0,142,339
35105,"York South--Weston/York-Sud--Weston"," 72","North York",4,62,102,88,3,259,398
35105,"York South--Weston/York-Sud--Weston"," 73","North York",2,25,44,89,1,161,336
35105,"York South--Weston/York-Sud--Weston"," 74","North York",4,37,85,73,1,200,495
35105,"York South--Weston/York-Sud--Weston"," 75","North York",3,20,34,41,0,98,212
35105,"York South--Weston/York-Sud--Weston"," 75-1","North York",4,15,35,45,0,99,273
35105,"York South--Weston/York-Sud--Weston"," 76","North York",1,44,26,83,0,154,329
35105,"York South--Weston/York-Sud--Weston"," 77","North York",3,28,59,57,2,149,305
35105,"York South--Weston/York-Sud--Weston"," 78","North York",3,55,41,78,2,179,363
35105,"York South--Weston/York-Sud--Weston"," 79","North York",2,57,40,60,0,159,333
35105,"York South--Weston/York-Sud--Weston"," 80","North York",5,69,78,48,0,200,547
35105,"York South--Weston/York-Sud--Weston"," 81","North York",0,27,72,40,1,140,350
35105,"York South--Weston/York-Sud--Weston"," 82","York",3,62,85,51,0,201,444
35105,"York South--Weston/York-Sud--Weston"," 83","York",5,48,86,57,0,196,429
35105,"York South--Weston/York-Sud--Weston"," 83-1","York",3,28,92,47,0,170,341
35105,"York South--Weston/York-Sud--Weston"," 84","York",2,42,99,65,0,208,391
35105,"York South--Weston/York-Sud--Weston"," 85","York",6,52,91,72,3,224,488
35105,"York South--Weston/York-Sud--Weston"," 86","York",2,47,62,36,1,148,384
35105,"York South--Weston/York-Sud--Weston"," 87","York",4,45,127,43,2,221,546
35105,"York South--Weston/York-Sud--Weston"," 88","York",5,34,67,37,1,144,329
35105,"York South--Weston/York-Sud--Weston"," 89","York",4,20,87,58,0,169,415
35105,"York South--Weston/York-Sud--Weston"," 90","York",11,49,88,52,3,203,530
35105,"York South--Weston/York-Sud--Weston"," 91","York",15,42,51,54,0,162,372
35105,"York South--Weston/York-Sud--Weston"," 92","York",11,35,77,63,2,188,362
35105,"York South--Weston/York-Sud--Weston"," 93","York",4,39,99,41,1,184,378
35105,"York South--Weston/York-Sud--Weston"," 94","York",5,40,105,63,4,217,451
35105,"York South--Weston/York-Sud--Weston"," 95","York",3,21,88,44,0,156,423
35105,"York South--Weston/York-Sud--Weston"," 96","York",9,46,79,29,5,168,346
35105,"York South--Weston/York-Sud--Weston"," 97","York",8,50,42,59,0,159,289
35105,"York South--Weston/York-Sud--Weston"," 98","York",8,56,97,47,3,211,391
35105,"York South--Weston/York-Sud--Weston"," 99","York",1,30,29,22,1,83,257
35105,"York South--Weston/York-Sud--Weston"," 100","York",8,31,64,42,5,150,259
35105,"York South--Weston/York-Sud--Weston"," 101","York",7,65,115,88,4,279,438
35105,"York South--Weston/York-Sud--Weston"," 102","York",13,69,94,46,2,224,436
35105,"York South--Weston/York-Sud--Weston"," 103","York",11,36,76,46,1,170,371
35105,"York South--Weston/York-Sud--Weston"," 104","York",7,29,54,61,0,151,386
35105,"York South--Weston/York-Sud--Weston"," 105","York",7,53,90,64,1,215,465
35105,"York South--Weston/York-Sud--Weston"," 106","York",3,39,58,37,1,138,369
35105,"York South--Weston/York-Sud--Weston"," 107","York",7,57,49,86,0,199,423
35105,"York South--Weston/York-Sud--Weston"," 108","York",2,47,41,62,0,152,316
35105,"York South--Weston/York-Sud--Weston"," 109","York",0,34,68,71,1,174,353
35105,"York South--Weston/York-Sud--Weston"," 110","York",5,33,53,61,0,152,326
35105,"York South--Weston/York-Sud--Weston"," 111","York",2,36,45,61,1,145,314
35105,"York South--Weston/York-Sud--Weston"," 112","York",4,21,52,28,0,105,283
35105,"York South--Weston/York-Sud--Weston"," 112-1","York",3,14,86,48,1,152,288
35105,"York South--Weston/York-Sud--Weston"," 113","York",7,57,82,73,1,220,482
35105,"York South--Weston/York-Sud--Weston"," 114","York",3,41,103,88,2,237,491
35105,"York South--Weston/York-Sud--Weston"," 115","York",5,62,91,94,1,253,501
35105,"York South--Weston/York-Sud--Weston"," 116","York",6,50,75,57,3,191,488
35105,"York South--Weston/York-Sud--Weston"," 117","York",8,41,90,38,2,179,403
35105,"York South--Weston/York-Sud--Weston"," 118","York",20,30,76,96,2,224,400
35105,"York South--Weston/York-Sud--Weston"," 119","York",6,33,105,64,6,214,498
35105,"York South--Weston/York-Sud--Weston"," 120","York",5,63,93,84,2,247,517
35105,"York South--Weston/York-Sud--Weston"," 121","York",6,48,86,86,2,228,546
35105,"York South--Weston/York-Sud--Weston"," 122","York",9,44,42,54,1,150,337
35105,"York South--Weston/York-Sud--Weston"," 123","York",3,59,79,103,3,247,542
35105,"York South--Weston/York-Sud--Weston"," 124","York",5,61,71,83,0,220,509
35105,"York South--Weston/York-Sud--Weston"," 125","York",8,58,118,55,2,241,446
35105,"York South--Weston/York-Sud--Weston"," 126","York",12,61,49,28,1,151,321
35105,"York South--Weston/York-Sud--Weston"," 127","York",8,69,70,56,3,206,389
35105,"York South--Weston/York-Sud--Weston"," 128","York",4,47,80,50,2,183,383
35105,"York South--Weston/York-Sud--Weston"," 129","York",13,39,83,40,1,176,298
35105,"York South--Weston/York-Sud--Weston"," 130","York",5,50,79,43,1,178,394
35105,"York South--Weston/York-Sud--Weston"," 131","York",2,22,87,42,0,153,467
35105,"York South--Weston/York-Sud--Weston"," 132","York",6,44,66,95,3,214,388
35105,"York South--Weston/York-Sud--Weston"," 133","York",4,34,94,47,3,182,520
35105,"York South--Weston/York-Sud--Weston"," 134","York",3,18,123,37,5,186,455
35105,"York South--Weston/York-Sud--Weston"," 135","York",8,26,77,33,0,144,304
35105,"York South--Weston/York-Sud--Weston"," 136","York",5,26,62,30,1,124,251
35105,"York South--Weston/York-Sud--Weston"," 137","York",8,55,55,33,3,154,288
35105,"York South--Weston/York-Sud--Weston"," 138","York",3,58,88,55,5,209,462
35105,"York South--Weston/York-Sud--Weston"," 139","York",6,41,80,56,6,189,417
35105,"York South--Weston/York-Sud--Weston"," 140","York",7,44,64,52,1,168,358
35105,"York South--Weston/York-Sud--Weston"," 141","York",5,50,79,47,4,185,403
35105,"York South--Weston/York-Sud--Weston"," 142","York",12,40,94,43,2,191,353
35105,"York South--Weston/York-Sud--Weston"," 143","Toronto",10,34,104,53,0,201,414
35105,"York South--Weston/York-Sud--Weston"," 144","York",9,39,90,45,2,185,386
35105,"York South--Weston/York-Sud--Weston"," 145","York",2,12,105,36,2,157,342
35105,"York South--Weston/York-Sud--Weston"," 146","York",7,60,91,71,2,231,565
35105,"York South--Weston/York-Sud--Weston"," 147","Toronto",10,35,56,67,3,171,526
35105,"York South--Weston/York-Sud--Weston"," 148","Toronto",6,35,97,59,0,197,456
35105,"York South--Weston/York-Sud--Weston"," 148-1","Toronto",5,38,67,41,4,155,380
35105,"York South--Weston/York-Sud--Weston"," 148-2","Toronto",4,66,79,28,0,177,405
35105,"York South--Weston/York-Sud--Weston"," 149","Toronto",4,46,102,45,2,199,438
35105,"York South--Weston/York-Sud--Weston"," 400","York",Merged with No. 401/Fusionné avec le nº 401,,,,,,204
35105,"York South--Weston/York-Sud--Weston"," 401","York",8,42,83,42,1,176,215
35105,"York South--Weston/York-Sud--Weston"," 402","York",1,25,98,39,2,165,385
35105,"York South--Weston/York-Sud--Weston"," 403","York",6,24,110,60,0,200,340
35105,"York South--Weston/York-Sud--Weston"," 404","York",5,27,89,60,2,183,391
35105,"York South--Weston/York-Sud--Weston"," 405","North York",2,29,28,43,0,102,165
35105,"York South--Weston/York-Sud--Weston"," 406","Toronto",0,12,9,26,0,47,108
35105,"York South--Weston/York-Sud--Weston"," 407","North York",1,25,55,32,2,115,306
35105,"York South--Weston/York-Sud--Weston"," 408","North York",3,26,64,45,2,140,393
35105,"York South--Weston/York-Sud--Weston"," 409","North York",2,14,56,38,1,111,362
35105,"York South--Weston/York-Sud--Weston"," 410","York",1,23,19,22,0,65,138
35105,"York South--Weston/York-Sud--Weston"," 411","York",2,11,9,31,0,53,66
35105,"York South--Weston/York-Sud--Weston"," 412","York",8,71,95,66,2,242,452
35105,"York South--Weston/York-Sud--Weston"," 413","York",2,30,65,43,2,142,327
35105,"York South--Weston/York-Sud--Weston"," 414","York",1,46,57,55,2,161,345
35105,"York South--Weston/York-Sud--Weston"," 415","York",4,20,75,54,0,153,555
35105,"York South--Weston/York-Sud--Weston"," 416","York",1,25,60,32,1,119,348
35105,"York South--Weston/York-Sud--Weston"," 417","York",9,83,77,77,2,248,356
35105,"York South--Weston/York-Sud--Weston"," 418","York",5,81,66,57,1,210,322
35105,"York South--Weston/York-Sud--Weston"," 419","York",10,101,69,65,2,247,351
35105,"York South--Weston/York-Sud--Weston"," 420","York",6,83,74,77,4,244,345
35105,"York South--Weston/York-Sud--Weston"," 421","York",3,14,14,31,1,63,120
35105,"York South--Weston/York-Sud--Weston"," 422","York",0,24,96,69,0,189,363
35105,"York South--Weston/York-Sud--Weston"," 423","North York",0,7,65,35,0,107,260
35105,"York South--Weston/York-Sud--Weston"," 424","North York",2,14,88,33,0,137,274
35105,"York South--Weston/York-Sud--Weston"," 425","North York",2,20,28,39,0,89,280
35105,"York South--Weston/York-Sud--Weston"," 426","North York",4,29,63,45,1,142,262
35105,"York South--Weston/York-Sud--Weston"," 500","Mobile poll/Bureau itinérant",2,6,6,7,4,25,41
35105,"York South--Weston/York-Sud--Weston"," 501","Mobile poll/Bureau itinérant",1,3,6,5,0,15,26
35105,"York South--Weston/York-Sud--Weston"," 600","Toronto",12,122,263,138,2,537,
35105,"York South--Weston/York-Sud--Weston"," 601","Toronto",7,78,129,109,2,325,
35105,"York South--Weston/York-Sud--Weston"," 602","Toronto",12,111,101,176,1,401,
35105,"York South--Weston/York-Sud--Weston"," 603","Toronto",11,107,137,181,3,439,
35105,"York South--Weston/York-Sud--Weston"," 604","Toronto",9,75,117,128,5,334,
35105,"York South--Weston/York-Sud--Weston"," 605","Toronto",2,53,62,97,0,214,
35105,"York South--Weston/York-Sud--Weston"," 606","Toronto",13,63,69,102,0,247,
35105,"York South--Weston/York-Sud--Weston"," 607","Toronto",23,99,162,122,3,409,
35105,"York South--Weston/York-Sud--Weston",,Group 1/Groupe 1,6,14,11,71,14,116,151
35105,"York South--Weston/York-Sud--Weston",,Group 2/Groupe 2,3,53,54,106,4,220,
