Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Duane Filson,Trevor Peterson,Helmi Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Morse",165,6,70,8,2,251,370
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Chaplin",86,3,28,0,1,118,181
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80","Chaplin",79,7,39,1,0,126,212
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 81","Mortlach",112,7,53,2,0,174,284
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 82","Hodgeville",133,13,69,5,0,220,361
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 83","Shamrock",89,17,25,4,0,135,196
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 84","Golden Prairie",59,4,11,0,0,74,106
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 85","Hatton",56,3,10,2,0,71,133
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 86","Maple Creek",69,3,5,0,0,77,273
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 87","Maple Creek",226,19,58,7,0,310,645
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 88","Maple Creek",120,6,40,3,0,169,237
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 89","Maple Creek",122,15,59,7,1,204,366
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 90","Maple Creek",140,7,64,7,1,219,406
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 91","Maple Creek",143,8,63,6,0,220,371
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 92","Consul",208,10,35,8,0,261,368
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 93","Hazlet",158,7,23,3,0,191,289
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 94","Piapot",103,2,13,9,1,128,205
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 95","Tompkins",122,7,22,5,0,156,277
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 96","Gull Lake",121,2,10,0,0,133,251
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 97","Gull Lake",179,8,59,7,1,254,484
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 98","Gull Lake",148,11,32,2,0,193,343
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 99","Antelope",82,6,30,2,0,120,272
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 100","Lac Pelletier",61,0,17,3,0,81,139
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 101","Eastend",167,10,29,11,2,219,368
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 102","Eastend",211,10,57,21,1,300,450
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 103","Shaunavon",142,2,54,4,0,202,314
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 104","Shaunavon",96,3,28,1,0,128,239
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 105","Shaunavon",221,10,67,11,0,309,650
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 106","Shaunavon",98,7,32,6,0,143,274
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 107","Shaunavon",99,6,29,0,0,134,238
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 108","Admiral",73,11,28,2,0,114,211
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Frontier",141,11,18,4,0,174,278
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Frontier",137,6,27,4,0,174,255
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Climax",170,6,41,1,0,218,305
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Neville",119,5,18,4,0,146,255
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Vanguard",69,12,33,7,0,121,228
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Ponteix",121,19,22,5,1,168,305
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Ponteix",54,17,23,3,0,97,169
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Ponteix",92,16,24,3,1,136,235
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Aneroid",103,15,12,3,1,134,191
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Val Marie",138,7,26,5,0,176,341
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Mankota",121,6,8,6,0,141,176
