Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Breti,Greg Chatterson,Fred Clipsham,Jackie Miller,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37-1","Dysart",0,7,18,1,66,0,92,165
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 38","Lipton",3,8,13,2,104,0,130,175
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 39","Lipton",4,5,51,4,106,0,170,264
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40","Fort San",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40-1","Standing Buffalo 78",5,3,72,19,10,0,109,153
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40-2","Fort San",1,12,38,3,67,0,121,187
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41","Lebret",0,15,76,11,106,1,209,344
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 42","Lebret",0,1,35,8,79,1,124,203
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 43","Fort Qu'Appelle",1,16,69,11,213,1,311,501
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 44","Fort Qu'Appelle",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 45","Fort Qu'Appelle",3,14,76,10,109,1,213,303
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 46","Fort Qu'Appelle",2,12,86,12,84,0,196,321
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 47","Fort Qu'Appelle",2,6,87,6,103,0,204,427
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Fort Qu'Appelle",0,0,40,8,129,0,177,317
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Abernethy",1,6,32,8,156,0,203,285
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Balcarres",0,6,88,14,135,1,244,525
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51","Balcarres",1,4,32,5,80,0,122,177
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52","Piapot 75",0,1,65,13,1,0,80,167
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Muscowpetung 80",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54","Edenwold",0,6,118,16,175,1,316,572
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Edgeley",3,8,86,6,108,0,211,216
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55-1","Pasqua 79",Merged with No. 55/Fusionné avec le nº 55,,,,,,,87
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Pilot Butte",2,12,94,14,223,2,347,612
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57","Pilot Butte",2,5,58,11,122,0,198,317
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58A","Pilot Butte",1,4,59,6,109,1,180,334
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58B","Pilot Butte",1,12,60,8,151,0,232,438
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59","Pilot Butte",1,7,51,2,71,0,132,273
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60","White City",0,4,44,14,171,0,233,366
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60-1","White City",0,3,49,14,195,0,261,426
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60-2","White City",1,6,61,7,190,0,265,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61A","White City",0,3,62,7,184,1,257,368
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61B","White City",0,6,54,12,135,0,207,328
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","White City",0,6,98,14,228,0,346,559
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","White City",0,5,77,9,134,0,225,347
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Balgonie",3,13,88,14,269,0,387,550
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65A","Balgonie",1,13,63,10,176,0,263,362
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65B","Balgonie",0,7,86,7,234,1,335,415
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65-1A","Balgonie",Merged with No. 65A/Fusionné avec le nº 65A,,,,,,,67
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65-1B","Balgonie",Merged with No. 65B/Fusionné avec le nº 65B,,,,,,,93
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Balgonie",0,9,57,8,147,1,222,333
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","McLean",2,5,82,5,172,0,266,420
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",0,3,104,6,99,0,212,393
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",3,7,118,1,90,0,219,402
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",3,6,100,12,117,2,240,431
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",1,5,78,15,55,0,154,297
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Regina",0,3,85,8,87,0,183,303
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73","Regina",1,4,112,16,104,0,237,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Regina",1,5,84,11,83,2,186,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Regina",0,6,83,19,78,1,187,307
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Regina",1,5,94,9,77,0,186,327
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 77","Regina",1,3,110,13,76,1,204,313
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 78","Regina",1,2,75,8,126,2,214,321
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 79","Regina",1,3,73,16,72,0,165,279
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 80","Regina",1,7,78,8,63,0,157,271
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 81","Regina",0,3,88,5,76,0,172,300
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 82","Regina",1,2,87,11,111,3,215,327
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 83","Regina",0,0,87,10,46,0,143,250
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 84","Regina",1,4,61,5,56,0,127,292
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 85","Regina",1,6,90,8,51,0,156,357
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 86","Regina",1,3,54,7,17,0,82,246
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 87","Regina",3,10,108,10,91,0,222,366
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 88","Regina",0,3,108,14,54,0,179,383
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 89","Regina",3,1,70,7,59,0,140,306
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 90","Regina",0,2,117,10,189,0,318,521
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 91","Regina",2,7,101,5,146,0,261,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 92","Regina",0,4,86,11,137,2,240,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 93","Regina",2,4,92,17,138,1,254,427
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94","Regina",1,2,85,7,72,1,168,294
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 95","Regina",0,4,78,4,120,0,206,309
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 96","Regina",4,4,99,13,104,1,225,387
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 97","Regina",2,4,76,4,77,0,163,275
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 98","Regina",1,4,66,6,67,0,144,247
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 99","Regina",1,4,77,9,96,1,188,365
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 100","Regina",0,7,85,4,113,0,209,386
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 101","Regina",1,4,80,13,70,2,170,312
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 102","Regina",0,4,80,12,83,0,179,254
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 103","Regina",2,9,87,12,98,0,208,403
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 104","Regina",0,1,70,7,94,0,172,294
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 105","Regina",0,3,82,7,94,0,186,334
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 106","Regina",1,5,131,11,111,1,260,399
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 107","Regina",1,6,98,9,76,0,190,335
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 108","Regina",0,2,48,14,81,0,145,287
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 109","Regina",0,9,89,8,88,0,194,356
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",0,16,86,2,50,0,154,307
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",0,4,72,1,47,0,124,338
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",0,2,76,5,36,0,119,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",1,4,96,6,64,0,171,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",3,6,91,9,47,2,158,383
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115","Regina",0,5,71,5,46,0,127,389
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",2,3,105,8,50,0,168,331
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",1,4,70,4,32,0,111,320
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",0,3,64,3,36,0,106,342
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Regina",1,8,77,7,52,0,145,354
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Regina",1,6,71,8,38,0,124,387
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Regina",0,5,49,2,29,0,85,272
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Regina",1,2,77,4,48,2,134,362
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Regina",0,4,70,3,33,0,110,302
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Regina",2,5,75,5,24,1,112,339
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Regina",0,9,84,9,26,1,129,257
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Regina",0,3,80,3,30,0,116,395
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127","Regina",1,10,103,8,51,1,174,413
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","Regina",2,4,97,7,100,1,211,413
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","Regina",0,3,88,11,55,0,157,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","Regina",2,8,73,6,72,0,161,442
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","Regina",0,5,67,8,62,2,144,367
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","Regina",0,5,53,4,41,0,103,283
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","Regina",0,3,69,9,42,1,124,357
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","Regina",1,8,68,13,38,0,128,419
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","Regina",0,9,115,12,71,0,207,378
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","Regina",1,6,112,11,62,1,193,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","Qu'Appelle",0,6,30,4,87,0,127,168
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Qu'Appelle",0,6,29,5,73,0,113,162
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Qu'Appelle",0,7,49,3,111,0,170,335
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Indian Head",0,6,34,5,130,0,175,227
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Indian Head",0,7,59,5,121,0,192,286
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Indian Head",0,12,102,18,221,3,356,650
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 143","Indian Head",0,4,62,11,123,0,200,315
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 144","Indian Head",0,1,16,2,58,0,77,153
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 145","Sintaluta",0,2,25,4,117,0,148,290
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 146","Wolseley",0,15,62,21,187,4,289,446
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 147","Wolseley",0,6,23,4,84,0,117,172
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 400","Emerald Park",1,0,10,12,21,0,44,55
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Mobile poll/Bureau itinérant",0,1,24,10,26,4,65,96
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",2,3,7,8,27,0,47,85
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",0,1,12,6,12,1,32,58
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",1,5,30,10,24,2,72,171
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504","Mobile poll/Bureau itinérant",0,4,18,11,39,0,72,74
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 505","Mobile poll/Bureau itinérant",0,2,14,10,23,1,50,69
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Wynyard",0,2,55,5,132,3,197,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Ituna",0,0,40,8,167,0,215,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Fort Qu'Appelle",2,14,105,14,255,0,390,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Pilot Butte",0,10,105,18,329,1,463,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Regina",1,10,172,21,190,2,396,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Regina",2,1,175,12,215,0,405,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Regina",0,11,127,3,69,1,211,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","Regina",0,4,73,10,95,1,183,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Qu'Appelle",0,3,23,1,61,0,88,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 609","Raymore",0,1,21,4,51,2,79,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 610","Balcarres",0,3,15,1,48,0,67,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1,1,14,66,52,34,16,183,230
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2,4,16,89,35,139,0,283,
