Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Conway,Jessica Gal,Rachel Hoffman,Marlene Jennings,Gabrielle Ladouceur-Despins,David Andrew Lovett,Isabelle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 81","Lachine",10,2,0,67,26,0,69,5,179,380
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 82","Lachine",27,13,0,42,59,2,141,4,288,528
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 83","Lachine",11,8,2,27,47,1,78,7,181,420
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 84","Lachine",Void/Supprimé,,,,,,,,,
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 85","Lachine",11,9,0,22,38,1,82,6,169,387
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 86","Lachine",9,7,0,15,32,0,84,2,149,359
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 87","Lachine",11,5,0,17,38,1,75,5,152,335
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 88","Lachine",17,6,0,30,55,2,84,0,194,451
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 89","Lachine",16,4,1,28,30,1,110,2,192,454
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 90","Lachine",8,4,0,39,28,0,72,0,151,320
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 91","Lachine",14,7,1,20,43,0,72,0,157,335
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 92","Lachine",21,4,0,32,44,2,103,0,206,417
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 93","Lachine",20,2,0,36,31,1,105,2,197,376
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 94","Lachine",18,6,0,28,58,1,97,9,217,386
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 95","Lachine",17,7,1,33,42,0,98,5,203,394
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 96","Lachine",32,4,1,50,53,3,122,1,266,565
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 97","Lachine",23,3,0,23,44,0,99,5,197,434
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 98","Lachine",22,2,0,29,38,0,73,5,169,364
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 99","Lachine",12,13,2,28,39,0,107,6,207,366
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 100","Lachine",13,11,1,28,55,1,102,6,217,445
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 101","Lachine",15,7,0,30,29,1,89,3,174,325
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 102","Lachine",14,4,0,30,33,1,82,2,166,384
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 103","Lachine",11,5,0,18,36,1,75,3,149,359
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 104","Lachine",12,11,0,28,31,2,106,2,192,421
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 105","Saint-Pierre",2,15,2,55,11,1,87,1,174,431
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 106","Saint-Pierre",17,5,0,44,21,2,98,3,190,376
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 106-1","Saint-Pierre",27,4,0,28,10,0,68,2,139,294
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 107","Saint-Pierre",5,1,0,35,14,1,66,2,124,359
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 108","Saint-Pierre",16,3,0,12,16,0,66,2,115,304
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 109","Saint-Pierre",14,5,0,29,42,3,71,4,168,378
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 110","Saint-Pierre",16,3,0,19,51,1,70,6,166,371
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 111","Saint-Pierre",17,6,0,23,37,0,76,2,161,379
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 112","Saint-Pierre",9,1,1,26,34,2,70,1,144,341
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 113","Saint-Pierre",14,8,0,32,23,0,93,7,177,424
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 114","Saint-Pierre",Void/Supprimé,,,,,,,,,
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 115","Montréal",32,7,2,53,3,0,61,2,160,364
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 116","Montréal",31,8,1,65,0,1,51,0,157,286
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 117","Montréal",28,3,0,89,2,1,72,1,196,508
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 118","Montréal-Ouest",63,7,2,60,4,5,51,1,193,347
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 119","Montréal-Ouest",69,14,2,90,0,1,41,4,221,377
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 120","Montréal",24,13,1,53,3,0,78,2,174,324
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 121","Montréal",28,6,1,72,5,1,66,1,180,370
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 122","Montréal",23,10,1,84,5,4,72,4,203,402
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 123","Montréal",39,6,0,72,9,1,86,3,216,431
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 124","Montréal-Ouest",51,9,0,97,0,6,78,2,243,450
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 125","Montréal-Ouest",53,6,0,66,1,2,58,3,189,345
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 126","Montréal-Ouest",75,15,0,122,0,1,98,0,311,488
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 127","Montréal",28,12,0,78,5,0,67,1,191,312
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 128","Montréal",47,8,0,70,4,1,68,0,198,369
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 129","Montréal",49,11,0,122,14,0,112,0,308,479
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 130","Montréal-Ouest",51,14,1,129,6,1,60,1,263,443
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 131","Montréal-Ouest",37,26,0,126,5,1,82,2,279,396
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 132","Montréal-Ouest",33,17,0,96,2,0,69,0,217,356
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 133","Montréal-Ouest",39,18,0,126,3,3,89,1,279,414
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 134","Montréal-Ouest",50,11,0,92,4,1,84,0,242,395
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 135","Montréal",26,17,0,53,9,1,48,1,155,263
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 136","Montréal",18,14,1,78,8,1,61,0,181,393
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 137A","Montréal",28,10,1,65,6,0,60,0,170,386
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 137B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,,10
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 138","Montréal",22,8,0,61,1,3,64,1,160,458
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 139","Montréal",15,10,1,73,6,0,81,2,188,544
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 140","Montréal",46,5,1,83,1,3,66,0,205,457
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 141","Montréal",45,5,3,102,1,0,68,2,226,477
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 142","Montréal",130,9,1,112,3,1,39,5,300,549
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 143","Montréal",Void/Supprimé,,,,,,,,,
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 144","Montréal",54,8,0,66,4,0,58,3,193,361
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 145","Montréal",28,5,0,72,9,0,65,0,179,468
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 146","Montréal",14,13,4,92,2,0,44,2,171,435
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 147","Montréal",34,5,1,79,1,0,79,1,200,431
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 148","Montréal",40,6,1,75,6,2,92,2,224,444
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 149","Montréal",23,10,1,57,6,2,63,1,163,374
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 150","Montréal",15,6,1,58,0,1,58,0,139,362
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 151","Montréal",29,6,2,77,7,1,66,2,190,374
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 152","Montréal",23,15,1,88,5,0,68,1,201,451
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 153","Montréal",25,10,0,59,7,1,72,2,176,351
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 154","Montréal",51,12,0,73,15,0,96,1,248,476
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 155","Montréal",14,10,0,76,7,0,64,2,173,306
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 156","Montréal",24,13,1,73,14,1,58,3,187,326
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 157","Montréal",25,9,2,86,9,0,99,1,231,441
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 158","Montréal",40,15,1,106,9,0,76,2,249,412
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 159","Montréal",22,8,1,69,7,2,119,0,228,522
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 160","Montréal",26,19,0,67,7,0,110,2,231,481
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 161","Montréal",12,5,0,32,3,0,39,1,92,282
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 162","Montréal",34,5,0,58,8,0,70,0,175,420
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 163","Montréal",15,11,0,52,1,0,53,0,132,331
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 164","Montréal",21,12,1,59,8,1,72,0,174,393
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 165","Montréal",13,5,1,35,12,0,54,0,120,229
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 166","Montréal",27,8,1,59,5,1,52,0,153,381
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 167","Montréal",33,3,1,56,4,0,52,2,151,377
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 168","Montréal",24,9,0,57,7,0,60,1,158,330
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 169","Montréal",19,17,0,68,7,1,75,2,189,338
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 170","Montréal",32,8,0,60,7,0,60,2,169,375
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 171","Montréal",26,8,2,56,1,1,52,4,150,315
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 172","Montréal",25,6,0,65,8,0,56,0,160,327
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 173","Montréal",32,11,0,66,5,0,81,1,196,379
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 174","Montréal",21,14,0,71,9,1,86,3,205,381
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 175","Montréal",19,8,1,68,6,1,78,0,181,345
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 176","Montréal",21,11,0,35,20,0,75,2,164,300
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 177","Montréal",20,6,1,85,17,0,92,3,224,423
