Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Benham,Maggie Braun,Nathan Paul Cullen,Clay Harmon,Rod Taylor,Kyle Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 188","Fort St. James",2,0,20,34,0,3,0,59,116
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 189","Endako",7,0,25,38,2,1,0,73,141
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 190","Fraser Lake",4,0,81,52,0,13,0,150,229
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 191A","Fraser Lake",5,0,40,69,4,8,0,126,257
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 191B","Fraser Lake",3,1,38,43,1,8,0,94,261
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 192","Fraser Lake",6,2,95,120,5,11,1,240,479
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 193","François Lake",1,0,17,32,2,3,0,55,85
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 194","Fort Fraser",8,0,49,75,7,3,0,142,268
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 195","Fort Fraser",4,0,24,79,3,3,0,113,176
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 196","Fort Fraser",3,0,35,36,2,2,0,78,234
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 197","Ocean Falls",1,0,9,7,0,0,0,17,34
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 198","Bella Bella 1",3,1,123,8,0,6,0,141,373
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 199","Bella Bella 1",1,1,92,6,0,2,1,103,291
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 200","Shearwater",5,1,22,7,0,4,0,39,75
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 201A","Bella Coola 1",6,0,107,29,0,0,1,143,294
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 201B","Bella Coola 1",0,0,80,12,0,0,0,92,282
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 202","Oweekeno",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 203","Bella Coola",3,0,34,10,0,2,0,49,85
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 204","Bella Coola",3,0,43,60,1,1,0,108,180
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 500","Mobile poll/Bureau itinérant",1,0,24,6,2,4,0,37,55
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 501","Mobile poll/Bureau itinérant",0,0,11,5,2,3,1,22,44
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 502","Mobile poll/Bureau itinérant",0,4,9,11,6,5,2,37,53
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 503","Mobile poll/Bureau itinérant",2,1,28,9,4,6,3,53,116
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 600","Dease Lake",1,0,21,18,1,2,0,43,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 601","Stewart",0,0,21,29,0,0,0,50,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 602","Aiyansh",1,0,38,2,0,1,0,42,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 603","Hazelton",5,1,83,71,5,6,0,171,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 604","Masset",5,0,58,25,1,6,0,95,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 605","Queen Charlotte",4,0,76,12,0,7,1,100,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Atlin",3,0,18,28,1,3,0,53,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Prince Rupert",6,3,214,83,2,18,1,327,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","Prince Rupert",10,0,244,69,2,7,2,334,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Terrace",15,4,427,267,19,33,5,770,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Kitimat",7,2,329,171,19,12,0,540,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Terrace",5,4,121,80,3,3,0,216,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Smithers",10,1,188,148,23,13,0,383,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Houston",8,0,88,162,14,6,0,278,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Burns Lake",7,0,122,157,6,7,0,299,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Fort St. James",7,0,71,86,2,10,0,176,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Fraser Lake",10,0,54,77,0,8,0,149,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Bella Bella",1,0,25,0,0,2,0,28,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 618","Bella Coola",1,2,19,10,1,0,0,33,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 619","Smithers",10,1,207,216,25,7,0,466,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1,5,0,34,28,1,16,4,88,154
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2,24,2,539,358,32,36,9,1000,
