Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Gordon Clarke,Lawrence Joseph,Gabe Lafond,George Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136B","Christopher Lake",160,82,21,17,0,280,365
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 137","Little Bear Lake",50,2,0,0,0,52,81
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 138A","Candle Lake",235,55,19,11,0,320,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 138B","Candle Lake",67,14,1,0,1,83,229
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 139A","Candle Lake",Merged with No. 138A/Fusionné avec le nº 138A,,,,,,79
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 139B","Candle Lake",Merged with No. 138B/Fusionné avec le nº 138B,,,,,,58
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 140","Choiceland",131,34,5,9,1,180,254
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 141","Shipman",21,4,1,2,0,28,60
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 142","Smeaton",141,22,2,10,0,175,323
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 143","Garrick",67,14,0,5,0,86,138
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 144","Love",97,12,2,6,0,117,203
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 145","Cherry Ridge",188,35,6,7,0,236,345
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 146","Choiceland",115,36,2,5,0,158,324
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 147","White Fox",125,35,5,8,0,173,304
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 148A","Cumberland House",Merged with No. 149A/Fusionné avec le nº 149A,,,,,,69
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 148B","Cumberland House",Merged with No. 149B/Fusionné avec le nº 149B,,,,,,42
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 149A","Cumberland House",4,47,3,1,0,55,303
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 149B","Cumberland House",12,177,35,0,0,224,305
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 150","Cumberland 20",3,39,13,0,0,55,168
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 151","Red Earth 29",10,114,12,1,3,140,443
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 152","Shoal Lake--Ruby Lake",8,79,19,2,2,110,253
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",12,14,7,3,0,36,54
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",16,11,4,2,1,34,44
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",36,8,5,2,1,52,88
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",8,7,1,2,0,18,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",2,21,0,0,0,23,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","La Loche",72,43,4,2,2,123,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","Southend 200",1,11,2,1,0,15,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","La Ronge",115,137,21,9,1,283,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Buffalo Narrows",22,13,4,0,0,39,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","Beauval",9,36,14,1,3,63,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Pelican Narrows",3,75,4,2,2,86,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Creighton",84,56,5,3,0,148,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","Goodsoil",64,15,3,1,0,83,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Loon Lake",66,8,2,0,0,76,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Meadow Lake",270,62,20,7,1,360,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Spiritwood",162,26,10,6,1,205,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Debden",121,24,4,2,0,151,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Christopher Lake",122,33,11,10,0,176,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Smeaton",89,20,5,3,0,117,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Cumberland House",7,56,50,1,0,114,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 617","Red Earth",0,16,7,0,0,23,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 1/Groupe 1,26,161,94,20,16,317,353
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 2/Groupe 2,151,67,11,6,5,240,
