Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Brade,Rob Merrifield,Monika Schaefer,Zack Siezmagraff,Jacob Strydhorst,Mark Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Yellowhead/Yellowhead"," 25B","Whitecourt",1,180,6,8,0,8,0,203,396
48028,"Yellowhead/Yellowhead"," 26A","Whitecourt",0,123,4,2,0,9,0,138,255
48028,"Yellowhead/Yellowhead"," 26B","Whitecourt",1,114,3,0,0,6,0,124,274
48028,"Yellowhead/Yellowhead"," 27A","Anselmo",2,132,9,0,3,10,1,157,258
48028,"Yellowhead/Yellowhead"," 27B","Anselmo",3,90,0,2,0,5,0,100,193
48028,"Yellowhead/Yellowhead"," 28","Whitecourt",1,39,1,1,0,11,0,53,235
48028,"Yellowhead/Yellowhead"," 29","Whitecourt",1,80,13,5,0,11,0,110,348
48028,"Yellowhead/Yellowhead"," 30","Whitecourt",0,113,10,0,3,17,1,144,362
48028,"Yellowhead/Yellowhead"," 31","Whitecourt",0,75,10,1,0,15,0,101,268
48028,"Yellowhead/Yellowhead"," 32","Whitecourt",0,126,9,5,1,12,0,153,330
48028,"Yellowhead/Yellowhead"," 33","Whitecourt",1,95,5,2,0,16,0,119,395
48028,"Yellowhead/Yellowhead"," 34","Whitecourt",0,82,9,4,1,10,0,106,379
48028,"Yellowhead/Yellowhead"," 35","Whitecourt",1,76,5,2,2,19,0,105,311
48028,"Yellowhead/Yellowhead"," 36","Whitecourt",2,145,2,3,0,31,0,183,594
48028,"Yellowhead/Yellowhead"," 36-1","Whitecourt",1,123,4,6,0,14,1,149,369
48028,"Yellowhead/Yellowhead"," 36-2","Whitecourt",1,142,4,7,0,10,1,165,436
48028,"Yellowhead/Yellowhead"," 37","Whitecourt",0,69,4,4,0,14,0,91,319
48028,"Yellowhead/Yellowhead"," 38","Whitecourt",0,148,6,6,2,21,0,183,355
48028,"Yellowhead/Yellowhead"," 39","Whitecourt",0,118,4,7,0,9,0,138,391
48028,"Yellowhead/Yellowhead"," 40A","Whitecourt",0,73,3,2,0,10,0,88,215
48028,"Yellowhead/Yellowhead"," 40B","Whitecourt",1,93,5,0,0,11,0,110,257
48028,"Yellowhead/Yellowhead"," 41","Whitecourt",1,89,10,3,3,17,0,123,259
48028,"Yellowhead/Yellowhead"," 42","Whitecourt",0,94,3,1,0,4,1,103,203
48028,"Yellowhead/Yellowhead"," 42-1","Whitecourt",0,148,1,6,1,12,0,168,338
48028,"Yellowhead/Yellowhead"," 43","Whitecourt",1,144,4,7,0,8,1,165,340
48028,"Yellowhead/Yellowhead"," 44","Fort Assiniboine",8,132,3,2,1,8,1,155,320
48028,"Yellowhead/Yellowhead"," 45","Vega",1,99,1,0,39,2,1,143,202
48028,"Yellowhead/Yellowhead"," 46","Neerlandia",1,240,0,0,76,3,1,321,420
48028,"Yellowhead/Yellowhead"," 47","Bloomsbury",10,176,10,3,13,4,0,216,375
48028,"Yellowhead/Yellowhead"," 48A","Tiger Lily",2,61,1,2,0,5,0,71,206
48028,"Yellowhead/Yellowhead"," 48B","Tiger Lily",0,49,3,2,0,2,0,56,214
48028,"Yellowhead/Yellowhead"," 49","Campsie",3,67,2,0,1,4,0,77,299
48028,"Yellowhead/Yellowhead"," 50","Barrhead",5,248,6,2,15,13,1,290,377
48028,"Yellowhead/Yellowhead"," 51","Barrhead",8,238,12,8,10,22,0,298,447
48028,"Yellowhead/Yellowhead"," 52A","Barrhead",1,103,1,5,10,12,0,132,294
48028,"Yellowhead/Yellowhead"," 52B","Barrhead",4,91,4,3,3,7,0,112,224
48028,"Yellowhead/Yellowhead"," 53A","Barrhead",0,97,2,5,6,12,1,123,238
48028,"Yellowhead/Yellowhead"," 53B","Barrhead",3,96,7,2,10,20,0,138,245
48028,"Yellowhead/Yellowhead"," 54","Barrhead",3,112,0,3,2,16,0,136,319
48028,"Yellowhead/Yellowhead"," 55","Barrhead",6,100,6,5,2,20,0,139,296
48028,"Yellowhead/Yellowhead"," 56","Barrhead",3,103,3,3,4,18,0,134,296
48028,"Yellowhead/Yellowhead"," 57","Barrhead",10,170,3,3,5,21,0,212,393
48028,"Yellowhead/Yellowhead"," 58A","Barrhead",0,100,10,7,5,8,1,131,273
48028,"Yellowhead/Yellowhead"," 58B","Barrhead",4,100,4,2,2,17,0,129,249
48028,"Yellowhead/Yellowhead"," 59","Barrhead",4,89,1,0,13,7,0,114,176
48028,"Yellowhead/Yellowhead"," 60","Barrhead",2,86,5,2,1,9,0,105,275
48028,"Yellowhead/Yellowhead"," 61","George Lake",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 62","Manola",11,153,9,6,1,28,0,208,392
48028,"Yellowhead/Yellowhead"," 62-1","Manola",5,131,7,2,1,14,0,160,305
48028,"Yellowhead/Yellowhead"," 63","Belvedere",0,120,6,2,2,9,1,140,247
48028,"Yellowhead/Yellowhead"," 64","Lawton",4,125,6,3,4,13,1,156,229
48028,"Yellowhead/Yellowhead"," 65","Meadowview",2,104,5,2,0,16,0,129,203
48028,"Yellowhead/Yellowhead"," 66","Jasper",1,39,23,9,0,52,0,124,310
48028,"Yellowhead/Yellowhead"," 67","Jasper",3,74,34,13,0,69,2,195,357
48028,"Yellowhead/Yellowhead"," 68","Jasper",2,75,42,9,2,64,2,196,341
48028,"Yellowhead/Yellowhead"," 69","Jasper",4,56,42,13,0,54,0,169,362
48028,"Yellowhead/Yellowhead"," 69-1","Jasper",1,63,25,8,0,33,0,130,248
48028,"Yellowhead/Yellowhead"," 70","Jasper",0,81,59,12,0,96,0,248,480
48028,"Yellowhead/Yellowhead"," 71","Jasper",0,35,15,11,0,41,0,102,221
48028,"Yellowhead/Yellowhead"," 72","Jasper",2,72,37,16,1,88,0,216,387
48028,"Yellowhead/Yellowhead"," 73","Jasper",1,51,31,7,0,48,2,140,280
48028,"Yellowhead/Yellowhead"," 74","Old Entrance",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 75A","Drinnan",2,91,20,2,0,24,0,139,291
48028,"Yellowhead/Yellowhead"," 75B","Drinnan",3,75,15,4,0,14,0,111,270
48028,"Yellowhead/Yellowhead"," 76","Brûlé",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 77","Cadomin",1,16,4,2,0,3,0,26,90
48028,"Yellowhead/Yellowhead"," 78","Hinton",2,146,12,7,1,34,1,203,437
48028,"Yellowhead/Yellowhead"," 78-1","Hinton",0,53,4,2,0,16,0,75,178
48028,"Yellowhead/Yellowhead"," 79","Hinton",1,77,6,9,0,36,0,129,434
48028,"Yellowhead/Yellowhead"," 80","Hinton",2,143,13,3,0,28,0,189,437
48028,"Yellowhead/Yellowhead"," 81","Hinton",2,94,12,9,0,28,0,145,318
48028,"Yellowhead/Yellowhead"," 82","Hinton",2,124,10,14,1,37,1,189,404
48028,"Yellowhead/Yellowhead"," 83","Hinton",5,116,28,9,0,35,2,195,336
48028,"Yellowhead/Yellowhead"," 84","Hinton",2,97,22,5,0,20,0,146,296
48028,"Yellowhead/Yellowhead"," 85","Hinton",0,69,15,8,1,29,0,122,314
48028,"Yellowhead/Yellowhead"," 86A","Hinton",0,44,5,11,0,19,1,80,210
48028,"Yellowhead/Yellowhead"," 86B","Hinton",0,85,16,4,0,16,0,121,216
48028,"Yellowhead/Yellowhead"," 87","Hinton",2,119,20,6,2,15,0,164,282
48028,"Yellowhead/Yellowhead"," 88","Hinton",0,64,11,3,0,14,0,92,204
48028,"Yellowhead/Yellowhead"," 89A","Hinton",4,67,9,0,2,10,0,92,250
48028,"Yellowhead/Yellowhead"," 89B","Hinton",1,95,4,0,0,13,2,115,254
48028,"Yellowhead/Yellowhead"," 90","Hinton",0,127,9,5,5,16,0,162,327
48028,"Yellowhead/Yellowhead"," 91","Hinton",2,84,8,12,0,27,0,133,328
48028,"Yellowhead/Yellowhead"," 92","Hinton",2,84,15,6,2,29,1,139,289
48028,"Yellowhead/Yellowhead"," 93","Hinton",0,74,6,2,1,19,0,102,269
48028,"Yellowhead/Yellowhead"," 94","Hinton",5,71,6,4,0,32,1,119,301
48028,"Yellowhead/Yellowhead"," 95","Hinton",1,70,8,3,0,23,0,105,335
48028,"Yellowhead/Yellowhead"," 96","Hinton",3,129,3,5,0,38,0,178,402
48028,"Yellowhead/Yellowhead"," 97","Hinton",2,112,7,4,2,29,0,156,337
48028,"Yellowhead/Yellowhead"," 98","Bickerdike",1,188,13,2,0,13,0,217,402
48028,"Yellowhead/Yellowhead"," 99","Yates",0,204,11,5,0,15,0,235,437
48028,"Yellowhead/Yellowhead"," 100","Bickerdike",1,158,6,1,0,18,0,184,306
48028,"Yellowhead/Yellowhead"," 101","Marlboro",0,106,2,1,0,25,0,134,226
48028,"Yellowhead/Yellowhead"," 102","Bickerdike",1,145,6,3,0,16,1,172,329
48028,"Yellowhead/Yellowhead"," 103","Wolf Creek",1,176,11,1,0,13,0,202,364
48028,"Yellowhead/Yellowhead"," 104","Robb",0,77,3,1,1,10,0,92,162
48028,"Yellowhead/Yellowhead"," 105","Wolf Lake",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 106","Nordegg (Brazeau)",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 107","Edson",0,148,7,6,1,17,0,179,369
48028,"Yellowhead/Yellowhead"," 108A","Edson",0,102,2,1,0,15,0,120,281
48028,"Yellowhead/Yellowhead"," 108B","Edson",3,103,4,2,0,15,0,127,292
48028,"Yellowhead/Yellowhead"," 109A","Edson",0,75,1,3,0,10,0,89,234
48028,"Yellowhead/Yellowhead"," 109B","Edson",0,85,5,5,0,8,0,103,213
48028,"Yellowhead/Yellowhead"," 110","Edson",2,189,8,6,2,21,0,228,431
48028,"Yellowhead/Yellowhead"," 111A","Edson",1,92,12,2,1,17,0,125,262
48028,"Yellowhead/Yellowhead"," 111B","Edson",0,120,4,2,0,16,0,142,316
48028,"Yellowhead/Yellowhead"," 112","Edson",1,161,9,2,1,28,0,202,423
48028,"Yellowhead/Yellowhead"," 113","Edson",2,150,12,5,0,26,0,195,438
48028,"Yellowhead/Yellowhead"," 114","Edson",0,83,3,1,0,18,0,105,341
48028,"Yellowhead/Yellowhead"," 115","Edson",2,204,7,8,2,21,1,245,438
48028,"Yellowhead/Yellowhead"," 115-1","Edson",1,53,4,4,0,11,1,74,164
48028,"Yellowhead/Yellowhead"," 116","Edson",1,92,8,1,3,14,0,119,347
48028,"Yellowhead/Yellowhead"," 117","Edson",1,112,1,5,0,25,0,144,387
48028,"Yellowhead/Yellowhead"," 118","Edson",1,80,3,3,0,7,0,94,358
48028,"Yellowhead/Yellowhead"," 118-1","Edson",1,139,10,1,0,9,0,160,342
48028,"Yellowhead/Yellowhead"," 119","Edson",0,123,12,3,0,10,0,148,326
48028,"Yellowhead/Yellowhead"," 120","Edson",3,143,8,6,0,21,3,184,440
48028,"Yellowhead/Yellowhead"," 121","Haddock",3,133,10,8,1,25,0,180,285
48028,"Yellowhead/Yellowhead"," 122","McLeod Valley",1,137,9,1,0,20,0,168,318
48028,"Yellowhead/Yellowhead"," 123","Peers",0,152,13,1,0,14,9,189,347
48028,"Yellowhead/Yellowhead"," 124","Pinedale",0,200,3,0,3,16,0,222,398
48028,"Yellowhead/Yellowhead"," 125","Carrot Creek",1,158,5,0,2,15,1,182,336
48028,"Yellowhead/Yellowhead"," 126","Niton Junction",2,112,5,1,4,6,0,130,213
48028,"Yellowhead/Yellowhead"," 127","MacKay",2,169,7,1,0,30,0,209,395
48028,"Yellowhead/Yellowhead"," 128","Ravine",3,119,3,6,2,2,1,136,219
48028,"Yellowhead/Yellowhead"," 129","Wildwood",2,119,9,4,0,20,0,154,265
48028,"Yellowhead/Yellowhead"," 130","Wildwood",0,106,4,2,0,11,0,123,232
48028,"Yellowhead/Yellowhead"," 131","Styal",1,240,8,2,1,30,1,283,437
48028,"Yellowhead/Yellowhead"," 132","Evansburg",2,157,9,8,0,19,0,195,387
48028,"Yellowhead/Yellowhead"," 133","Mayerthorpe",2,181,5,6,1,27,0,222,366
48028,"Yellowhead/Yellowhead"," 134","Mayerthorpe",1,92,11,5,0,12,1,122,299
48028,"Yellowhead/Yellowhead"," 134-1","Mayerthorpe",0,69,1,0,2,14,0,86,155
48028,"Yellowhead/Yellowhead"," 135","Mayerthorpe",2,149,6,1,2,29,1,190,340
48028,"Yellowhead/Yellowhead"," 136","Rochfort Bridge",1,117,13,2,1,15,1,150,289
48028,"Yellowhead/Yellowhead"," 137","Sangudo",1,180,6,3,3,25,0,218,401
48028,"Yellowhead/Yellowhead"," 138","Sangudo",1,181,9,4,0,25,0,220,437
48028,"Yellowhead/Yellowhead"," 139","Stanger",0,60,7,4,0,8,0,79,133
48028,"Yellowhead/Yellowhead"," 140","Cherhill",3,150,6,7,1,22,0,189,299
48028,"Yellowhead/Yellowhead"," 141","Glenevis",2,166,7,4,0,12,0,191,387
48028,"Yellowhead/Yellowhead"," 142A","Rich Valley",2,129,11,3,0,33,0,178,253
48028,"Yellowhead/Yellowhead"," 142B","Rich Valley",4,129,2,6,0,23,0,164,247
48028,"Yellowhead/Yellowhead"," 143","Sandy Lake ",2,81,0,7,0,20,2,112,198
48028,"Yellowhead/Yellowhead"," 144","Noyes Crossing",3,120,6,2,1,31,0,163,322
48028,"Yellowhead/Yellowhead"," 145A","Onoway",0,122,8,2,2,24,0,158,297
48028,"Yellowhead/Yellowhead"," 145B","Onoway",1,127,5,2,0,21,0,156,291
48028,"Yellowhead/Yellowhead"," 146A","Ross Haven",4,100,8,8,0,12,0,132,280
48028,"Yellowhead/Yellowhead"," 146B","Ross Haven",0,94,7,4,1,25,0,131,316
48028,"Yellowhead/Yellowhead"," 146-1","Ross Haven",Merged with No. 146A/Fusionné avec le nº 146A,,,,,,,,38
48028,"Yellowhead/Yellowhead"," 147","Alexis 133",1,40,6,13,0,40,0,100,417
48028,"Yellowhead/Yellowhead"," 148","Darwell",1,212,4,4,0,28,0,249,285
48028,"Yellowhead/Yellowhead"," 149A","West Cove",0,67,3,4,1,15,1,91,249
48028,"Yellowhead/Yellowhead"," 149B","West Cove",1,86,3,1,0,11,1,103,228
48028,"Yellowhead/Yellowhead"," 150","Lac Ste. Anne",1,115,4,2,1,13,0,136,237
48028,"Yellowhead/Yellowhead"," 151","Sunset Point",1,97,6,4,1,26,0,135,274
48028,"Yellowhead/Yellowhead"," 152A","Alberta Beach",1,160,10,10,0,57,0,238,379
48028,"Yellowhead/Yellowhead"," 152B","Alberta Beach",2,66,6,3,0,20,0,97,236
48028,"Yellowhead/Yellowhead"," 152-1","Alberta Beach",Merged with No. 152B/Fusionné avec le nº 152B,,,,,,,,171
48028,"Yellowhead/Yellowhead"," 152-2","Alberta Beach",0,78,3,5,0,20,0,106,203
48028,"Yellowhead/Yellowhead"," 153","Alberta Beach",0,66,7,1,0,9,0,83,153
48028,"Yellowhead/Yellowhead"," 154","Alberta Beach",0,170,8,5,0,22,0,205,422
48028,"Yellowhead/Yellowhead"," 155A","Onoway",2,155,9,6,1,26,0,199,485
48028,"Yellowhead/Yellowhead"," 155B","Onoway",2,154,12,4,0,28,0,200,504
48028,"Yellowhead/Yellowhead"," 155C","Onoway",1,168,11,4,2,36,0,222,529
48028,"Yellowhead/Yellowhead"," 155-1","Onoway",1,90,1,2,1,14,0,109,214
48028,"Yellowhead/Yellowhead"," 156","Bilby",0,69,8,7,1,16,0,101,344
48028,"Yellowhead/Yellowhead"," 157A","Entwistle",0,100,8,4,2,20,3,137,232
48028,"Yellowhead/Yellowhead"," 157B","Entwistle",0,94,8,6,0,18,1,127,263
48028,"Yellowhead/Yellowhead"," 158A","Evansburg",1,86,7,2,1,13,0,110,242
48028,"Yellowhead/Yellowhead"," 158B","Evansburg",0,60,4,9,0,24,1,98,224
48028,"Yellowhead/Yellowhead"," 159","Entwistle",5,94,5,3,0,10,0,117,224
48028,"Yellowhead/Yellowhead"," 160A","Fallis",0,96,11,4,1,35,3,150,243
48028,"Yellowhead/Yellowhead"," 160B","Fallis",0,124,8,4,1,34,0,171,267
48028,"Yellowhead/Yellowhead"," 161","Kapasiwin",0,148,6,1,0,22,2,179,261
48028,"Yellowhead/Yellowhead"," 162","Smithfield",0,126,3,3,1,29,0,162,294
48028,"Yellowhead/Yellowhead"," 163","Smithfield",0,96,7,3,0,35,0,141,303
48028,"Yellowhead/Yellowhead"," 164","Manly Corner",1,153,8,5,5,21,0,193,307
48028,"Yellowhead/Yellowhead"," 165","Manly Corner",4,253,11,11,1,42,0,322,541
48028,"Yellowhead/Yellowhead"," 166A","Carvel",1,112,8,1,1,15,0,138,301
48028,"Yellowhead/Yellowhead"," 166B","Carvel",0,121,11,2,2,29,0,165,348
48028,"Yellowhead/Yellowhead"," 166C","Carvel",0,137,8,10,0,34,1,190,390
48028,"Yellowhead/Yellowhead"," 167","Carvel",0,95,8,0,0,18,0,121,173
48028,"Yellowhead/Yellowhead"," 168A","Duffield",1,125,5,2,1,23,0,157,286
48028,"Yellowhead/Yellowhead"," 168B","Duffield",1,133,5,3,1,31,0,174,314
48028,"Yellowhead/Yellowhead"," 169","Wabamun 133A",0,18,1,1,0,9,0,29,340
48028,"Yellowhead/Yellowhead"," 170A","Wabamun",0,146,11,5,1,35,0,198,349
48028,"Yellowhead/Yellowhead"," 170B","Wabamun",0,137,8,1,0,15,1,162,199
48028,"Yellowhead/Yellowhead"," 170-1","Wabamun",Merged with No. 170B/Fusionné avec le nº 170B,,,,,,,,146
48028,"Yellowhead/Yellowhead"," 171","Seba Beach",1,207,12,10,1,51,2,284,452
48028,"Yellowhead/Yellowhead"," 172","Horen",2,140,10,5,1,18,0,176,263
48028,"Yellowhead/Yellowhead"," 173","Moon Lake",3,189,7,4,1,27,0,231,377
48028,"Yellowhead/Yellowhead"," 174","Tomahawk",0,176,17,5,0,15,1,214,351
48028,"Yellowhead/Yellowhead"," 175","Keephills",0,53,2,0,1,3,0,59,155
48028,"Yellowhead/Yellowhead"," 176","Brightbank",1,250,14,18,1,41,3,328,480
48028,"Yellowhead/Yellowhead"," 177","Lodgepole",3,96,5,6,0,9,0,119,163
48028,"Yellowhead/Yellowhead"," 177-1","Lodgepole",Merged with No. 177/Fusionné avec le nº 177,,,,,,,,97
48028,"Yellowhead/Yellowhead"," 178","Easyford",0,247,12,8,0,14,2,283,453
48028,"Yellowhead/Yellowhead"," 179","Rocky Rapids",1,139,5,3,1,10,0,159,343
48028,"Yellowhead/Yellowhead"," 179-1","Rocky Rapids",0,114,3,3,0,16,0,136,240
48028,"Yellowhead/Yellowhead"," 180","Drayton Valley",1,177,9,3,0,16,0,206,508
48028,"Yellowhead/Yellowhead"," 180-1","Drayton Valley",1,137,3,6,0,1,0,148,268
48028,"Yellowhead/Yellowhead"," 181A","Drayton Valley",0,107,5,0,1,11,0,124,251
48028,"Yellowhead/Yellowhead"," 181B","Drayton Valley",1,140,1,4,0,9,0,155,273
48028,"Yellowhead/Yellowhead"," 182","Drayton Valley",2,56,3,1,0,5,0,67,295
48028,"Yellowhead/Yellowhead"," 183A","Violet Grove",1,131,6,0,0,10,0,148,250
48028,"Yellowhead/Yellowhead"," 183B","Violet Grove",1,152,3,1,1,9,0,167,294
48028,"Yellowhead/Yellowhead"," 184","Sunchild 202",1,24,0,9,1,67,0,102,250
48028,"Yellowhead/Yellowhead"," 185","Sunchild 202",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 186","O'Chiese 203",0,9,3,24,0,114,0,150,219
48028,"Yellowhead/Yellowhead"," 187A","Drayton Valley",1,71,7,5,2,14,0,100,319
48028,"Yellowhead/Yellowhead"," 187B","Drayton Valley",0,49,6,1,0,5,0,61,300
48028,"Yellowhead/Yellowhead"," 188","Drayton Valley",0,132,6,2,0,17,1,158,327
48028,"Yellowhead/Yellowhead"," 189","Drayton Valley",1,120,13,3,0,10,0,147,357
48028,"Yellowhead/Yellowhead"," 190","Drayton Valley",0,199,3,8,0,29,0,239,450
48028,"Yellowhead/Yellowhead"," 191A","Drayton Valley",0,84,7,7,2,23,0,123,275
48028,"Yellowhead/Yellowhead"," 191B","Drayton Valley",0,95,2,0,1,13,0,111,243
48028,"Yellowhead/Yellowhead"," 192A","Drayton Valley",2,128,5,5,0,8,0,148,305
48028,"Yellowhead/Yellowhead"," 192B","Drayton Valley",0,150,2,2,0,14,0,168,331
48028,"Yellowhead/Yellowhead"," 193","Drayton Valley",0,130,7,5,0,8,0,150,325
48028,"Yellowhead/Yellowhead"," 194A","Drayton Valley",1,63,6,3,0,3,0,76,228
48028,"Yellowhead/Yellowhead"," 194B","Drayton Valley",1,68,5,1,0,17,0,92,236
48028,"Yellowhead/Yellowhead"," 195","Drayton Valley",3,123,2,3,0,7,0,138,408
48028,"Yellowhead/Yellowhead"," 196","Drayton Valley",1,97,3,2,0,9,0,112,331
48028,"Yellowhead/Yellowhead"," 197","Drayton Valley",3,94,7,1,2,18,1,126,345
48028,"Yellowhead/Yellowhead"," 198","Drayton Valley",1,220,5,8,0,22,0,256,476
48028,"Yellowhead/Yellowhead"," 500","Mobile poll/Bureau itinérant",1,16,5,4,1,8,0,35,92
48028,"Yellowhead/Yellowhead"," 501","Mobile poll/Bureau itinérant",3,122,0,1,2,11,1,140,174
48028,"Yellowhead/Yellowhead"," 502","Mobile poll/Bureau itinérant",1,45,2,1,1,3,1,54,63
48028,"Yellowhead/Yellowhead"," 503","Mobile poll/Bureau itinérant",0,41,2,3,2,1,1,50,72
48028,"Yellowhead/Yellowhead"," 504","Mobile poll/Bureau itinérant",1,40,0,2,0,4,0,47,90
48028,"Yellowhead/Yellowhead"," 505","Mobile poll/Bureau itinérant",2,25,3,7,0,6,1,44,60
48028,"Yellowhead/Yellowhead"," 506","Mobile poll/Bureau itinérant",1,34,0,1,1,5,1,43,47
48028,"Yellowhead/Yellowhead"," 600","Grande Cache",1,137,15,4,0,29,0,186,
48028,"Yellowhead/Yellowhead"," 601","Fox Creek",0,72,2,4,0,8,1,87,
48028,"Yellowhead/Yellowhead"," 602","Swan Hills",1,54,1,3,0,2,0,61,
48028,"Yellowhead/Yellowhead"," 603","Whitecourt",5,266,15,1,0,14,0,301,
48028,"Yellowhead/Yellowhead"," 604","Whitecourt",3,293,16,10,4,21,3,350,
48028,"Yellowhead/Yellowhead"," 605","Barrhead",4,163,10,2,8,13,1,201,
48028,"Yellowhead/Yellowhead"," 606","Barrhead",2,325,10,10,4,30,3,384,
48028,"Yellowhead/Yellowhead"," 607","Onoway",0,257,23,7,3,37,0,327,
48028,"Yellowhead/Yellowhead"," 608","Alberta Beach",0,157,5,6,3,24,1,196,
48028,"Yellowhead/Yellowhead"," 609","Onoway",0,115,8,5,0,13,0,141,
48028,"Yellowhead/Yellowhead"," 611","Wabamun",4,110,7,4,1,20,0,146,
48028,"Yellowhead/Yellowhead"," 612","Wabamun",0,42,0,1,0,8,0,51,
48028,"Yellowhead/Yellowhead"," 613","Evansburg",0,179,4,2,1,19,0,205,
48028,"Yellowhead/Yellowhead"," 614","Drayton Valley",0,221,9,5,0,22,0,257,
48028,"Yellowhead/Yellowhead"," 615","Drayton Valley",0,274,7,8,1,26,1,317,
48028,"Yellowhead/Yellowhead"," 616","Sangudo",0,81,7,5,2,14,0,109,
48028,"Yellowhead/Yellowhead"," 617","Mayerthorpe",0,29,1,4,0,1,0,35,
48028,"Yellowhead/Yellowhead"," 618","Wildwood",0,63,2,2,0,11,0,78,
48028,"Yellowhead/Yellowhead"," 619","Edson",1,222,14,4,3,28,0,272,
48028,"Yellowhead/Yellowhead"," 620","Edson",0,213,6,7,1,21,1,249,
48028,"Yellowhead/Yellowhead"," 621","Hinton",2,213,30,18,0,52,1,316,
48028,"Yellowhead/Yellowhead"," 622","Hinton",0,130,15,17,1,33,2,198,
48028,"Yellowhead/Yellowhead"," 623","Jasper",1,125,59,29,0,76,4,294,
48028,"Yellowhead/Yellowhead"," 624","Dorscheid",0,72,5,3,0,21,0,101,
48028,"Yellowhead/Yellowhead",,Group 1/Groupe 1,0,29,4,20,2,9,4,68,107
48028,"Yellowhead/Yellowhead",,Group 2/Groupe 2,4,294,12,9,6,36,15,376,
