Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Andrew Lang,Jack Layton,Adriana Mugnatto-Hamu,Katarina von Koenig,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 24","East York",4,37,122,7,46,3,219,413
35094,"Toronto--Danforth/Toronto--Danforth"," 25","East York",3,38,123,9,54,3,230,389
35094,"Toronto--Danforth/Toronto--Danforth"," 26","East York",0,36,107,5,33,4,185,336
35094,"Toronto--Danforth/Toronto--Danforth"," 27","East York",1,51,116,10,53,2,233,388
35094,"Toronto--Danforth/Toronto--Danforth"," 28","East York",0,26,76,6,32,1,141,311
35094,"Toronto--Danforth/Toronto--Danforth"," 29","East York",2,46,74,11,15,0,148,326
35094,"Toronto--Danforth/Toronto--Danforth"," 30","East York",0,41,129,8,58,0,236,412
35094,"Toronto--Danforth/Toronto--Danforth"," 31","East York",2,28,107,11,34,1,183,341
35094,"Toronto--Danforth/Toronto--Danforth"," 32","East York",0,46,169,12,44,1,272,451
35094,"Toronto--Danforth/Toronto--Danforth"," 33","East York",1,40,149,7,17,0,214,344
35094,"Toronto--Danforth/Toronto--Danforth"," 34","East York",5,56,143,21,45,0,270,501
35094,"Toronto--Danforth/Toronto--Danforth"," 35","East York",3,38,172,14,37,0,264,441
35094,"Toronto--Danforth/Toronto--Danforth"," 36","East York",2,31,156,13,31,2,235,386
35094,"Toronto--Danforth/Toronto--Danforth"," 37","East York",1,44,149,11,49,0,254,416
35094,"Toronto--Danforth/Toronto--Danforth"," 38","East York",3,30,108,3,17,3,164,365
35094,"Toronto--Danforth/Toronto--Danforth"," 39","East York",0,16,74,9,24,0,123,325
35094,"Toronto--Danforth/Toronto--Danforth"," 40","East York",1,25,132,6,39,0,203,413
35094,"Toronto--Danforth/Toronto--Danforth"," 41","East York",1,17,72,3,15,0,108,231
35094,"Toronto--Danforth/Toronto--Danforth"," 42","East York",3,29,139,5,38,1,215,431
35094,"Toronto--Danforth/Toronto--Danforth"," 43","East York",0,33,86,4,21,0,144,349
35094,"Toronto--Danforth/Toronto--Danforth"," 44","East York",0,9,73,11,15,0,108,256
35094,"Toronto--Danforth/Toronto--Danforth"," 45","East York",1,21,128,3,16,0,169,369
35094,"Toronto--Danforth/Toronto--Danforth"," 46","East York",12,36,186,7,48,18,307,480
35094,"Toronto--Danforth/Toronto--Danforth"," 47","East York",0,16,103,4,31,0,154,304
35094,"Toronto--Danforth/Toronto--Danforth"," 48","East York",2,40,111,10,52,1,216,362
35094,"Toronto--Danforth/Toronto--Danforth"," 49","East York",2,29,117,9,28,0,185,357
35094,"Toronto--Danforth/Toronto--Danforth"," 50","East York",2,25,89,9,38,0,163,304
35094,"Toronto--Danforth/Toronto--Danforth"," 51","East York",2,34,90,5,50,1,182,320
35094,"Toronto--Danforth/Toronto--Danforth"," 52","East York",6,58,168,17,46,1,296,489
35094,"Toronto--Danforth/Toronto--Danforth"," 53","East York",1,21,118,9,44,2,195,378
35094,"Toronto--Danforth/Toronto--Danforth"," 54","East York",0,40,100,3,26,4,173,349
35094,"Toronto--Danforth/Toronto--Danforth"," 55","East York",2,53,97,9,26,0,187,347
35094,"Toronto--Danforth/Toronto--Danforth"," 56","East York",2,43,135,18,35,2,235,420
35094,"Toronto--Danforth/Toronto--Danforth"," 57","East York",3,43,128,9,29,3,215,409
35094,"Toronto--Danforth/Toronto--Danforth"," 58","Toronto",2,53,117,18,30,1,221,361
35094,"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",3,31,120,11,33,0,198,307
35094,"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",0,48,133,19,32,0,232,384
35094,"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",1,53,123,15,16,2,210,317
35094,"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",4,92,155,32,34,1,318,462
35094,"Toronto--Danforth/Toronto--Danforth"," 63","Toronto",1,65,110,11,30,1,218,365
35094,"Toronto--Danforth/Toronto--Danforth"," 64","Toronto",3,30,141,16,21,0,211,370
35094,"Toronto--Danforth/Toronto--Danforth"," 65","Toronto",1,36,142,18,27,0,224,383
35094,"Toronto--Danforth/Toronto--Danforth"," 66","Toronto",1,33,121,7,19,0,181,343
35094,"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",2,44,150,7,22,1,226,496
35094,"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",2,33,85,14,17,1,152,216
35094,"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",1,69,137,29,29,2,267,506
35094,"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",0,54,104,17,25,0,200,346
35094,"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",0,23,162,14,38,0,237,323
35094,"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",0,28,153,10,34,1,226,306
35094,"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",0,32,105,21,27,1,186,310
35094,"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",3,55,146,31,44,0,279,436
35094,"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",1,88,161,13,41,2,306,469
35094,"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",2,76,131,28,21,2,260,402
35094,"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",1,40,106,11,33,0,191,327
35094,"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",2,33,121,21,18,0,195,335
35094,"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",0,38,84,8,36,0,166,299
35094,"Toronto--Danforth/Toronto--Danforth"," 80","Toronto",1,48,111,9,50,4,223,381
35094,"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",2,34,171,17,13,1,238,409
35094,"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",3,40,91,18,34,0,186,292
35094,"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",0,41,105,21,14,0,181,315
35094,"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",1,37,189,13,29,1,270,451
35094,"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",0,29,130,14,18,1,192,372
35094,"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",1,45,151,12,58,3,270,486
35094,"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",0,26,104,24,11,1,166,347
35094,"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",0,72,131,34,28,2,267,397
35094,"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",3,52,175,22,31,0,283,481
35094,"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",1,64,97,12,34,2,210,354
35094,"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",2,31,133,13,30,2,211,382
35094,"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",1,36,176,8,20,1,242,507
35094,"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",3,38,119,19,24,0,203,405
35094,"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",1,38,156,11,24,1,231,416
35094,"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",6,50,198,13,40,5,312,495
35094,"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",2,33,155,0,13,4,207,436
35094,"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",2,41,128,11,27,4,213,354
35094,"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",0,42,182,12,21,4,261,444
35094,"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",2,55,148,21,37,4,267,477
35094,"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",2,36,130,24,41,3,236,452
35094,"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",1,40,117,25,26,2,211,406
35094,"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",3,30,173,12,31,2,251,468
35094,"Toronto--Danforth/Toronto--Danforth"," 103","Toronto",2,28,113,4,28,2,177,508
35094,"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",3,50,222,16,36,1,328,589
35094,"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",0,31,162,19,18,2,232,443
35094,"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",2,36,167,32,37,2,276,487
35094,"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",1,33,146,24,17,4,225,370
35094,"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",1,30,138,18,17,0,204,370
35094,"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",3,46,132,16,26,1,224,354
35094,"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",0,15,127,16,20,6,184,374
35094,"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",0,35,111,13,17,1,177,286
35094,"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",3,32,137,14,55,0,241,369
35094,"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",2,61,189,16,31,2,301,500
35094,"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",2,29,92,11,20,0,154,240
35094,"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",2,28,199,18,60,1,308,497
35094,"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",0,16,97,14,12,0,139,249
35094,"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",0,10,225,22,15,1,273,401
35094,"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",0,55,137,17,35,1,245,391
35094,"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",0,56,141,31,36,0,264,418
35094,"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",0,70,147,34,37,0,288,430
35094,"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",2,56,110,16,30,3,217,382
35094,"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",2,57,145,25,32,2,263,463
35094,"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",1,43,101,19,12,2,178,295
35094,"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",2,64,132,16,41,1,256,398
35094,"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",1,43,130,10,27,1,212,446
35094,"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",5,53,150,18,37,0,263,546
35094,"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",7,79,151,11,32,2,282,454
35094,"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",1,40,99,12,30,2,184,307
35094,"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",3,31,178,19,30,2,263,517
35094,"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",4,13,168,7,29,2,223,513
35094,"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",1,33,134,19,30,1,218,405
35094,"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",0,29,215,9,33,3,289,579
35094,"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",1,31,105,7,17,1,162,328
35094,"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",1,26,177,15,17,2,238,449
35094,"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",2,49,157,25,33,0,266,426
35094,"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",1,31,141,16,23,1,213,390
35094,"Toronto--Danforth/Toronto--Danforth"," 136-1","Toronto",0,21,79,10,37,0,147,304
35094,"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",4,24,154,10,26,1,219,482
35094,"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",4,32,117,5,24,1,183,423
35094,"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",2,46,159,17,30,1,255,504
35094,"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",1,33,158,17,12,1,222,507
35094,"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",6,26,155,13,36,0,236,447
35094,"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",1,30,121,6,34,2,194,311
35094,"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",6,28,182,13,40,2,271,548
35094,"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",3,52,195,23,24,3,300,527
35094,"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",3,46,137,38,28,0,252,397
35094,"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",5,35,221,16,47,3,327,542
35094,"Toronto--Danforth/Toronto--Danforth"," 147","Toronto",0,41,121,7,38,1,208,395
35094,"Toronto--Danforth/Toronto--Danforth"," 147-1","Toronto",1,65,204,26,63,2,361,516
35094,"Toronto--Danforth/Toronto--Danforth"," 147-2","Toronto",1,43,65,13,18,2,142,277
35094,"Toronto--Danforth/Toronto--Danforth"," 148","Toronto",2,34,132,7,28,0,203,338
35094,"Toronto--Danforth/Toronto--Danforth"," 149","Toronto",5,35,156,23,29,0,248,461
35094,"Toronto--Danforth/Toronto--Danforth"," 150","Toronto",4,49,155,21,28,1,258,444
35094,"Toronto--Danforth/Toronto--Danforth"," 151","Toronto",0,41,143,11,23,0,218,444
35094,"Toronto--Danforth/Toronto--Danforth"," 152","Toronto",3,37,155,8,28,2,233,515
35094,"Toronto--Danforth/Toronto--Danforth"," 153","Toronto",2,49,178,21,35,0,285,436
35094,"Toronto--Danforth/Toronto--Danforth"," 154","Toronto",5,18,112,3,19,4,161,317
35094,"Toronto--Danforth/Toronto--Danforth"," 155","Toronto",1,38,185,14,36,0,274,568
35094,"Toronto--Danforth/Toronto--Danforth"," 156","Toronto",3,30,158,9,36,0,236,440
35094,"Toronto--Danforth/Toronto--Danforth"," 157","Toronto",3,24,165,14,36,0,242,411
35094,"Toronto--Danforth/Toronto--Danforth"," 158","Toronto",2,15,90,11,18,1,137,315
35094,"Toronto--Danforth/Toronto--Danforth"," 159","Toronto",2,21,179,22,35,3,262,441
35094,"Toronto--Danforth/Toronto--Danforth"," 160","Toronto",3,22,136,17,31,2,211,371
35094,"Toronto--Danforth/Toronto--Danforth"," 161","Toronto",5,20,135,11,22,0,193,368
35094,"Toronto--Danforth/Toronto--Danforth"," 162","Toronto",0,17,102,12,22,1,154,248
35094,"Toronto--Danforth/Toronto--Danforth"," 163","Toronto",0,23,211,23,28,1,286,514
35094,"Toronto--Danforth/Toronto--Danforth"," 164","Toronto",2,21,134,12,28,0,197,437
35094,"Toronto--Danforth/Toronto--Danforth"," 165","Toronto",3,56,160,16,19,2,256,454
35094,"Toronto--Danforth/Toronto--Danforth"," 166","Toronto",2,29,192,16,29,0,268,461
35094,"Toronto--Danforth/Toronto--Danforth"," 167","Toronto",4,32,164,21,25,0,246,451
35094,"Toronto--Danforth/Toronto--Danforth"," 168","Toronto",1,39,164,13,48,0,265,445
35094,"Toronto--Danforth/Toronto--Danforth"," 169","Toronto",2,20,135,15,39,0,211,460
35094,"Toronto--Danforth/Toronto--Danforth"," 170","Toronto",0,27,129,10,33,0,199,410
35094,"Toronto--Danforth/Toronto--Danforth"," 171","Toronto",1,38,134,7,28,0,208,444
35094,"Toronto--Danforth/Toronto--Danforth"," 172","Toronto",1,22,149,12,24,0,208,399
35094,"Toronto--Danforth/Toronto--Danforth"," 173","Toronto",2,36,171,12,37,1,259,481
35094,"Toronto--Danforth/Toronto--Danforth"," 174","Toronto",3,44,198,32,43,0,320,554
35094,"Toronto--Danforth/Toronto--Danforth"," 175","Toronto",4,37,161,20,35,1,258,578
35094,"Toronto--Danforth/Toronto--Danforth"," 176","Toronto",1,24,126,20,42,0,213,416
35094,"Toronto--Danforth/Toronto--Danforth"," 177","Toronto",3,30,157,21,42,1,254,409
35094,"Toronto--Danforth/Toronto--Danforth"," 178","Toronto",2,25,145,8,14,0,194,367
35094,"Toronto--Danforth/Toronto--Danforth"," 179","Toronto",2,31,159,16,40,0,248,485
35094,"Toronto--Danforth/Toronto--Danforth"," 180","Toronto",2,23,108,7,32,2,174,384
35094,"Toronto--Danforth/Toronto--Danforth"," 400","Toronto",Void/Supprimé,,,,,,,
35094,"Toronto--Danforth/Toronto--Danforth"," 401","Toronto",Void/Supprimé,,,,,,,
35094,"Toronto--Danforth/Toronto--Danforth"," 402","Toronto",0,23,80,7,16,2,128,268
35094,"Toronto--Danforth/Toronto--Danforth"," 600","East York",4,153,359,39,127,8,690,
35094,"Toronto--Danforth/Toronto--Danforth"," 601","East York",5,143,401,42,153,2,746,
35094,"Toronto--Danforth/Toronto--Danforth"," 602","East York",1,123,421,42,119,5,711,
35094,"Toronto--Danforth/Toronto--Danforth"," 603","Toronto",4,172,423,52,76,5,732,
35094,"Toronto--Danforth/Toronto--Danforth"," 604","Toronto",7,154,398,63,59,0,681,
35094,"Toronto--Danforth/Toronto--Danforth"," 605","Toronto",6,151,521,88,97,5,868,
35094,"Toronto--Danforth/Toronto--Danforth"," 606","Toronto",7,181,508,59,78,4,837,
35094,"Toronto--Danforth/Toronto--Danforth"," 607","Toronto",3,136,368,35,58,4,604,
35094,"Toronto--Danforth/Toronto--Danforth"," 608","Toronto",7,109,456,55,69,6,702,
35094,"Toronto--Danforth/Toronto--Danforth"," 609","Toronto",1,74,234,26,39,1,375,
35094,"Toronto--Danforth/Toronto--Danforth",,Group 1/Groupe 1,1,54,54,8,6,4,127,177
35094,"Toronto--Danforth/Toronto--Danforth",,Group 2/Groupe 2,2,137,361,39,44,15,598,
