Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Beauchamp,Johanne Deschamps,Guy Joncas,Jean-Marc Lacoste,Marc-André Morin,Mikaël St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Laurentides--Labelle/Laurentides--Labelle"," 55","La Macaza",7,50,24,21,76,1,4,183,317
24030,"Laurentides--Labelle/Laurentides--Labelle"," 56","La Macaza",7,58,17,29,93,0,3,207,440
24030,"Laurentides--Labelle/Laurentides--Labelle"," 57","Rivière-Rouge",5,111,10,16,73,1,2,218,463
24030,"Laurentides--Labelle/Laurentides--Labelle"," 58","Rivière-Rouge",2,25,10,20,44,0,1,102,222
24030,"Laurentides--Labelle/Laurentides--Labelle"," 59","Sainte-Véronique",3,51,22,31,92,0,2,201,400
24030,"Laurentides--Labelle/Laurentides--Labelle"," 60","Sainte-Véronique",4,62,27,8,75,0,4,180,332
24030,"Laurentides--Labelle/Laurentides--Labelle"," 61","Rivière-Rouge",5,36,6,25,42,0,0,114,231
24030,"Laurentides--Labelle/Laurentides--Labelle"," 62","Lac-Saguay",5,93,15,32,103,0,7,255,394
24030,"Laurentides--Labelle/Laurentides--Labelle"," 63","Nominingue",6,58,19,20,67,1,6,177,328
24030,"Laurentides--Labelle/Laurentides--Labelle"," 64","Lac-Nominingue",7,89,35,30,99,0,7,267,493
24030,"Laurentides--Labelle/Laurentides--Labelle"," 65","Marchand",4,91,21,25,92,2,3,238,476
24030,"Laurentides--Labelle/Laurentides--Labelle"," 66","L'Annonciation",3,39,7,12,40,0,1,102,348
24030,"Laurentides--Labelle/Laurentides--Labelle"," 67","L'Annonciation",2,28,12,11,39,0,3,95,289
24030,"Laurentides--Labelle/Laurentides--Labelle"," 68A","L'Annonciation",4,36,3,13,38,0,1,95,254
24030,"Laurentides--Labelle/Laurentides--Labelle"," 68B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,38
24030,"Laurentides--Labelle/Laurentides--Labelle"," 69","L'Annonciation",5,19,9,6,30,0,0,69,171
24030,"Laurentides--Labelle/Laurentides--Labelle"," 70","L'Annonciation",2,76,18,20,67,0,5,188,364
24030,"Laurentides--Labelle/Laurentides--Labelle"," 71","Nominingue",3,77,22,28,86,1,4,221,443
24030,"Laurentides--Labelle/Laurentides--Labelle"," 72","Nominingue",8,62,15,29,95,1,3,213,351
24030,"Laurentides--Labelle/Laurentides--Labelle"," 72-1","Lac-Ernest",2,41,10,11,62,0,2,128,211
24030,"Laurentides--Labelle/Laurentides--Labelle"," 73","La Minerve",11,111,36,41,130,1,2,332,496
24030,"Laurentides--Labelle/Laurentides--Labelle"," 74","Rivière-Rouge",2,43,7,22,66,0,0,140,290
24030,"Laurentides--Labelle/Laurentides--Labelle"," 75","Labelle",5,47,11,14,76,0,5,158,322
24030,"Laurentides--Labelle/Laurentides--Labelle"," 75-1","Labelle",6,31,6,14,52,0,2,111,242
24030,"Laurentides--Labelle/Laurentides--Labelle"," 76","Labelle",4,57,17,16,75,2,0,171,398
24030,"Laurentides--Labelle/Laurentides--Labelle"," 77","Labelle",3,43,15,20,63,0,0,144,342
24030,"Laurentides--Labelle/Laurentides--Labelle"," 78","Labelle",2,106,17,33,103,0,6,267,560
24030,"Laurentides--Labelle/Laurentides--Labelle"," 79","La Minerve",3,55,28,37,93,0,5,221,383
24030,"Laurentides--Labelle/Laurentides--Labelle"," 79-1","La Minerve",5,50,7,19,36,0,0,117,195
24030,"Laurentides--Labelle/Laurentides--Labelle"," 80","Labelle",2,35,10,4,43,0,2,96,217
24030,"Laurentides--Labelle/Laurentides--Labelle"," 81","La Conception",7,50,19,9,87,0,0,172,298
24030,"Laurentides--Labelle/Laurentides--Labelle"," 81-1","La Conception",1,46,23,18,70,2,1,161,251
24030,"Laurentides--Labelle/Laurentides--Labelle"," 82","La Conception",5,98,23,23,134,1,0,284,478
24030,"Laurentides--Labelle/Laurentides--Labelle"," 83","Mont-Tremblant",5,65,17,14,108,0,0,209,451
24030,"Laurentides--Labelle/Laurentides--Labelle"," 84","Mont-Tremblant",7,28,30,44,94,0,0,203,410
24030,"Laurentides--Labelle/Laurentides--Labelle"," 85","Lac-Tremblant-Nord",5,31,32,36,78,0,2,184,330
24030,"Laurentides--Labelle/Laurentides--Labelle"," 86","Mont-Tremblant",6,26,25,48,82,0,3,190,389
24030,"Laurentides--Labelle/Laurentides--Labelle"," 87","Saint-Jovite",7,55,10,29,59,1,3,164,307
24030,"Laurentides--Labelle/Laurentides--Labelle"," 87-1","Saint-Jovite",7,57,7,26,85,1,1,184,340
24030,"Laurentides--Labelle/Laurentides--Labelle"," 88A","Saint-Jovite",2,58,35,30,124,0,1,250,497
24030,"Laurentides--Labelle/Laurentides--Labelle"," 88B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,77
24030,"Laurentides--Labelle/Laurentides--Labelle"," 89","Saint-Jovite",13,80,17,18,133,1,2,264,510
24030,"Laurentides--Labelle/Laurentides--Labelle"," 90","Saint-Jovite",10,59,21,22,116,0,3,231,430
24030,"Laurentides--Labelle/Laurentides--Labelle"," 91","Saint-Jovite",9,76,19,26,145,0,4,279,567
24030,"Laurentides--Labelle/Laurentides--Labelle"," 92","Saint-Jovite",3,64,14,11,111,1,0,204,435
24030,"Laurentides--Labelle/Laurentides--Labelle"," 93","Saint-Jovite",5,57,22,21,138,0,1,244,468
24030,"Laurentides--Labelle/Laurentides--Labelle"," 94","Saint-Jovite",5,47,9,20,75,0,2,158,343
