Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Scott Edward Daley,Rona Eckert,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","North Cobalt",31,3,39,24,0,97,204
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25","North Cobalt",50,6,77,64,1,198,375
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26","Coleman",74,4,54,63,0,195,354
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","Cobalt",40,5,46,58,0,149,296
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","Cobalt",64,9,35,44,1,153,322
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","Cobalt",65,6,74,73,0,218,381
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","Latchford",87,7,54,43,0,191,323
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31","Bear Island",2,5,47,23,0,77,209
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Temagami",53,8,47,48,0,156,267
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32-1","Temagami",68,4,31,26,0,129,242
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Marten River",Void/Supprimé,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","Marten River--Tilden Lake",86,13,26,26,0,151,259
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","Thorne",69,7,83,42,2,203,373
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","Balsam Creek",69,8,57,37,2,173,339
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37","Redbridge",103,19,57,31,2,212,391
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37-1","Feronia-Songis",45,0,25,11,0,81,160
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","Nipissing 10",40,9,65,87,0,201,352
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","North Bay ",87,10,52,89,0,238,531
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40","North Bay ",47,7,42,62,0,158,405
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","North Bay ",Void/Supprimé,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42","North Bay ",4,8,6,9,0,27,85
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42-1","North Bay ",44,8,23,35,0,110,294
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42-2","North Bay ",Void/Supprimé,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","North Bay ",81,15,36,80,2,214,329
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","North Bay ",63,13,34,79,1,190,309
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","North Bay ",26,11,24,45,0,106,261
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay ",51,9,20,47,0,127,274
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","North Bay ",45,10,43,58,1,157,330
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","North Bay ",40,4,27,64,0,135,318
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","North Bay ",62,10,34,94,1,201,377
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","North Bay ",46,14,25,75,2,162,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay ",31,4,25,32,1,93,276
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay ",35,3,33,45,0,116,304
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53","North Bay ",14,6,27,60,0,107,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay ",47,9,30,100,0,186,367
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay ",53,15,49,60,0,177,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay ",49,17,43,73,2,184,354
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay ",56,18,43,64,4,185,356
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay ",39,29,29,88,1,186,314
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay ",42,12,20,45,0,119,332
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay ",51,15,38,62,2,168,349
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay ",21,11,16,37,0,85,213
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay ",Void/Supprimé,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay ",59,13,12,27,0,111,286
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay ",79,7,22,39,0,147,306
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","North Bay ",84,15,46,74,0,219,404
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","North Bay ",110,21,29,151,0,311,495
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","North Bay ",100,28,23,71,1,223,454
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","North Bay ",74,19,34,54,0,181,369
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69","North Bay ",39,8,37,61,0,145,375
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69-1","North Bay ",67,11,25,114,0,217,404
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay ",114,11,30,144,0,299,497
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay ",72,10,19,62,1,164,302
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay ",101,19,28,168,2,318,506
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay ",92,12,16,108,3,231,401
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay ",66,13,31,105,0,215,348
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay ",39,7,41,37,2,126,312
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay ",40,5,26,36,1,108,311
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay ",64,10,42,66,0,182,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay ",59,12,54,64,0,189,387
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 79","North Bay ",70,13,53,60,0,196,409
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 80","North Bay ",43,13,31,65,1,153,321
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81","North Bay ",Void/Supprimé,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 82","North Bay ",20,3,18,37,1,79,155
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 83","North Bay ",44,3,36,39,2,124,330
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 84","North Bay ",47,12,26,50,1,136,333
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 85","North Bay ",26,9,42,43,4,124,345
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86","North Bay ",37,16,32,56,1,142,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 87","North Bay ",20,12,26,54,2,114,303
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 88","North Bay ",55,16,31,44,0,146,288
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89","North Bay ",43,12,40,75,2,172,346
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 90","North Bay ",28,16,40,71,0,155,317
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 91","North Bay ",30,20,41,54,1,146,353
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 92","North Bay ",23,15,51,50,1,140,417
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 93","North Bay ",75,11,37,91,4,218,431
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 94","North Bay ",47,15,42,85,0,189,378
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 95","North Bay ",48,18,17,39,0,122,260
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96","North Bay ",42,3,20,50,0,115,267
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 97","North Bay ",81,16,37,110,0,244,395
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 98","North Bay ",70,13,40,58,2,183,388
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 99","North Bay ",44,8,38,59,4,153,350
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 100","North Bay ",56,2,26,50,1,135,333
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101","North Bay ",85,11,30,100,1,227,458
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 102","North Bay ",64,5,63,55,0,187,456
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 103","North Bay ",56,7,35,69,0,167,359
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 104","North Bay ",47,10,41,34,1,133,344
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 105","North Bay ",47,9,43,28,1,128,321
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 106","North Bay ",41,3,35,46,0,125,258
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 107","North Bay ",32,16,50,33,1,132,298
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108","North Bay ",63,16,32,91,0,202,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109","North Bay ",84,19,21,100,0,224,398
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 110","North Bay ",77,15,38,113,3,246,446
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 111","North Bay ",61,22,20,82,0,185,361
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 112","North Bay ",64,10,40,59,1,174,399
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 113","North Bay ",78,25,27,62,0,192,356
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 114","North Bay ",61,10,29,59,1,160,254
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 115","North Bay ",53,17,41,81,0,192,372
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 116","North Bay ",44,15,22,47,0,128,260
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 117","North Bay ",44,10,32,38,0,124,229
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 118","North Bay ",60,11,28,71,2,172,302
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 119","North Bay ",71,12,35,63,0,181,329
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 120","North Bay ",51,19,32,62,1,165,366
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121","North Bay ",70,12,32,63,1,178,370
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 122","North Bay ",53,14,45,53,6,171,367
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 123","North Bay ",67,8,39,82,3,199,387
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 124","North Bay ",68,15,48,79,0,210,416
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay ",46,9,28,39,1,123,323
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay ",39,4,47,34,0,124,295
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay ",62,6,33,51,1,153,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay ",72,20,52,100,1,245,522
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","North Bay ",61,12,31,71,1,176,345
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","North Bay ",79,17,46,83,0,225,418
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","North Bay ",93,24,47,64,5,233,517
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","North Bay ",37,11,31,51,0,130,354
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","North Bay ",68,12,41,67,1,189,440
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","North Bay ",63,16,38,64,0,181,423
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","North Bay ",90,31,37,95,1,254,434
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","North Bay ",35,14,51,60,1,161,368
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","North Bay ",53,10,47,69,4,183,351
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","North Bay ",27,9,21,47,3,107,226
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","North Bay ",41,5,40,68,2,156,342
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","North Bay ",34,6,21,34,1,96,222
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","North Bay ",28,11,37,42,0,118,318
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","North Bay ",38,12,44,74,0,168,360
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","North Bay ",19,11,25,32,1,88,252
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","North Bay ",27,13,48,59,0,147,346
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","North Bay ",43,13,42,47,0,145,356
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","North Bay ",74,13,64,73,1,225,412
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","North Bay ",40,13,13,47,2,115,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","North Bay ",32,8,29,53,1,123,419
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149","North Bay ",40,26,45,77,1,189,417
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","North Bay ",45,2,23,38,1,109,226
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Bay ",21,3,23,32,0,79,224
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","North Bay ",96,20,34,56,0,206,409
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","East Ferris",82,20,59,59,0,220,445
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","East Ferris",71,22,29,68,0,190,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","Bonfield",72,10,51,70,0,203,343
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 156","Bonfield",79,17,89,58,1,244,462
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 157","Bonfield",46,3,49,48,2,148,245
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 158","Bonfield",103,10,83,119,2,317,596
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 159","Nosbosing",93,10,58,98,1,260,509
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 160","Corbeil",53,8,59,47,0,167,334
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 161","Corbeil",71,6,40,34,0,151,246
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 162","Derland",50,7,57,36,0,150,305
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163","Callander",58,9,24,43,1,135,314
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163-1","Callander",86,12,27,94,1,220,373
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 164","Callander",95,17,66,83,2,263,535
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 165","Callander",58,14,27,52,0,151,304
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 166","North Himsworth",75,9,18,53,1,156,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 167","North Himsworth",91,10,45,57,0,203,369
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 168","Astorville",91,10,52,77,1,231,441
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 169","Astorville",70,12,57,95,1,235,419
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 170","Astorville",95,8,55,73,3,234,450
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 171","Nipissing ",93,11,53,34,6,197,380
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 172","Nipissing ",122,14,32,49,1,218,423
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 173","North Himsworth",81,14,29,37,1,162,322
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 174","North Himsworth",93,10,26,63,0,192,368
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 175","North Himsworth",32,7,18,21,0,78,156
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 176","Powassan",100,9,35,34,2,180,370
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 177","Nipissing ",87,6,29,35,0,157,269
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 178","Nipissing ",78,4,23,18,0,123,222
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 179","Powassan",116,13,40,58,1,228,447
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 180","Powassan",170,14,58,78,1,321,613
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 181","Powassan",92,8,30,41,2,173,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 182","Powassan",18,3,15,5,0,41,75
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 183","Powassan",84,12,46,36,1,179,321
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 184","Trout Creek ",79,11,48,50,0,188,337
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 185","Powassan",100,8,32,30,0,170,298
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 186","Alderdale",117,23,56,57,0,253,439
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 187","Chiswick",48,11,38,39,0,136,253
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 188","Mattawa",61,10,44,71,0,186,372
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 189","Calvin ",120,13,51,37,1,222,405
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 190","Papineau-Cameron",42,7,18,21,1,89,186
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191","Papineau",51,6,26,18,0,101,225
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191-1","Papineau",80,8,43,66,1,198,439
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 192","Mattawa",35,8,29,40,2,114,374
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 193","Mattawa",76,3,35,43,1,158,382
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 194","Mattawa",63,5,23,49,1,141,320
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 195","Mattawa",38,2,19,30,1,90,193
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 500","Mobile poll/Bureau itinérant",36,4,23,52,1,116,228
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 501","Mobile poll/Bureau itinérant",26,4,8,54,4,96,271
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 502","Mobile poll/Bureau itinérant",96,8,25,114,4,247,319
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 503","Mobile poll/Bureau itinérant",30,4,39,119,2,194,260
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 504","Mobile poll/Bureau itinérant",31,9,7,22,0,69,213
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 505","Mobile poll/Bureau itinérant",33,1,13,61,2,110,241
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 506","Mobile poll/Bureau itinérant",34,3,5,40,1,83,205
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 507","Mobile poll/Bureau itinérant",29,1,12,51,0,93,128
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 600","New Liskeard",196,14,81,200,0,491,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 601","Haileybury",169,3,89,172,2,435,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 602","Temagami",71,4,27,47,0,149,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 603","North Bay ",104,19,40,131,1,295,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 604","North Bay ",171,9,51,181,0,412,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 605","North Bay ",165,27,53,227,0,472,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 606","North Bay ",104,25,55,141,2,327,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 607","North Bay ",224,26,64,297,1,612,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 608","North Bay ",173,30,56,179,1,439,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 609","North Bay ",89,17,34,140,2,282,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 610","North Bay ",172,29,45,186,2,434,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 611","North Bay ",150,27,51,182,0,410,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 612","Corbeil",103,17,33,92,0,245,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 613","Astorville",69,9,26,79,0,183,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 614","Callander",173,22,48,113,2,358,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 615","Nipissing ",118,14,25,49,0,206,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 616","Powassan",169,17,42,74,1,303,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 617","Mattawa",107,15,62,98,0,282,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 1/Groupe 1,163,13,22,63,10,271,602
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 2/Groupe 2,453,71,150,658,7,1339,
