Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Chlobowski,James Ede,Max Khan,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Oakville/Oakville"," 101","Oakville",13,42,48,139,0,242,405
35060,"Oakville/Oakville"," 102","Oakville",10,54,65,135,2,266,423
35060,"Oakville/Oakville"," 103","Oakville",8,48,39,130,3,228,366
35060,"Oakville/Oakville"," 104","Oakville",9,29,59,94,0,191,279
35060,"Oakville/Oakville"," 105","Oakville",5,14,48,91,0,158,247
35060,"Oakville/Oakville"," 105-1","Oakville",8,31,94,194,3,330,543
35060,"Oakville/Oakville"," 106","Oakville",4,27,23,45,0,99,286
35060,"Oakville/Oakville"," 107A","Oakville",4,35,54,44,1,138,291
35060,"Oakville/Oakville"," 107B","Oakville",9,45,42,67,1,164,322
35060,"Oakville/Oakville"," 108","Oakville",11,56,70,140,1,278,451
35060,"Oakville/Oakville"," 109","Oakville",7,15,45,83,1,151,222
35060,"Oakville/Oakville"," 110","Oakville",10,30,97,145,0,282,484
35060,"Oakville/Oakville"," 111","Oakville",10,31,101,157,0,299,492
35060,"Oakville/Oakville"," 112","Oakville",12,32,115,165,0,324,526
35060,"Oakville/Oakville"," 113","Oakville",13,33,50,84,0,180,368
35060,"Oakville/Oakville"," 114","Oakville",19,72,70,96,1,258,489
35060,"Oakville/Oakville"," 115","Oakville",12,59,103,110,3,287,570
35060,"Oakville/Oakville"," 116","Oakville",8,47,38,61,0,154,344
35060,"Oakville/Oakville"," 117","Oakville",14,39,56,94,1,204,404
35060,"Oakville/Oakville"," 118","Oakville",4,25,36,65,1,131,244
35060,"Oakville/Oakville"," 119","Oakville",12,39,46,48,0,145,313
35060,"Oakville/Oakville"," 120","Oakville",9,21,50,75,0,155,322
35060,"Oakville/Oakville"," 121","Oakville",11,38,70,101,2,222,392
35060,"Oakville/Oakville"," 122","Oakville",8,42,59,87,2,198,340
35060,"Oakville/Oakville"," 123","Oakville",7,44,51,99,0,201,371
35060,"Oakville/Oakville"," 124","Oakville",8,40,64,112,0,224,382
35060,"Oakville/Oakville"," 125","Oakville",8,22,72,157,0,259,495
35060,"Oakville/Oakville"," 126","Oakville",9,28,61,150,0,248,406
35060,"Oakville/Oakville"," 127","Oakville",15,30,65,115,1,226,380
35060,"Oakville/Oakville"," 128","Oakville",10,35,81,102,0,228,395
35060,"Oakville/Oakville"," 129","Oakville",8,24,79,127,2,240,386
35060,"Oakville/Oakville"," 130","Oakville",6,22,57,117,0,202,325
35060,"Oakville/Oakville"," 131","Oakville",18,32,123,179,4,356,554
35060,"Oakville/Oakville"," 131-1","Oakville",15,43,55,81,1,195,452
35060,"Oakville/Oakville"," 132","Oakville",9,28,73,119,0,229,398
35060,"Oakville/Oakville"," 133","Oakville",13,36,96,133,1,279,443
35060,"Oakville/Oakville"," 134","Oakville",10,51,65,113,1,240,400
35060,"Oakville/Oakville"," 135","Oakville",14,15,88,128,0,245,345
35060,"Oakville/Oakville"," 136","Oakville",5,22,57,98,0,182,300
35060,"Oakville/Oakville"," 137","Oakville",10,24,75,154,0,263,476
35060,"Oakville/Oakville"," 138","Oakville",3,18,70,121,0,212,410
35060,"Oakville/Oakville"," 139","Oakville",3,29,59,186,1,278,463
35060,"Oakville/Oakville"," 140","Oakville",11,38,97,152,1,299,489
35060,"Oakville/Oakville"," 141","Oakville",5,45,73,99,1,223,404
35060,"Oakville/Oakville"," 142","Oakville",9,49,55,103,0,216,422
35060,"Oakville/Oakville"," 143","Oakville",8,30,80,124,0,242,454
35060,"Oakville/Oakville"," 144","Oakville",3,36,57,105,0,201,412
35060,"Oakville/Oakville"," 145","Oakville",5,18,44,86,0,153,282
35060,"Oakville/Oakville"," 146","Oakville",7,26,74,66,3,176,366
35060,"Oakville/Oakville"," 147","Oakville",14,34,86,145,0,279,507
35060,"Oakville/Oakville"," 148","Oakville",8,34,45,146,1,234,416
35060,"Oakville/Oakville"," 149","Oakville",9,32,62,104,0,207,386
35060,"Oakville/Oakville"," 150","Oakville",11,38,79,151,0,279,487
35060,"Oakville/Oakville"," 151","Oakville",9,40,79,142,0,270,480
35060,"Oakville/Oakville"," 152","Oakville",2,23,55,133,0,213,408
35060,"Oakville/Oakville"," 153","Oakville",7,33,102,184,0,326,536
35060,"Oakville/Oakville"," 154","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 155","Oakville",6,33,64,87,1,191,376
35060,"Oakville/Oakville"," 156","Oakville",8,27,55,81,1,172,331
35060,"Oakville/Oakville"," 157","Oakville",6,43,45,110,2,206,375
35060,"Oakville/Oakville"," 158","Oakville",6,22,68,90,2,188,329
35060,"Oakville/Oakville"," 159","Oakville",15,38,46,100,1,200,357
35060,"Oakville/Oakville"," 160","Oakville",9,41,72,112,0,234,378
35060,"Oakville/Oakville"," 161","Oakville",8,19,55,106,2,190,327
35060,"Oakville/Oakville"," 162","Oakville",14,34,53,125,0,226,399
35060,"Oakville/Oakville"," 163","Oakville",10,42,56,94,4,206,342
35060,"Oakville/Oakville"," 164","Oakville",13,22,84,90,3,212,335
35060,"Oakville/Oakville"," 165","Oakville",8,29,46,87,0,170,389
35060,"Oakville/Oakville"," 166","Oakville",8,19,16,35,0,78,206
35060,"Oakville/Oakville"," 167","Oakville",9,32,58,82,0,181,340
35060,"Oakville/Oakville"," 168","Oakville",8,43,56,105,1,213,373
35060,"Oakville/Oakville"," 169","Oakville",13,32,58,125,2,230,383
35060,"Oakville/Oakville"," 170","Oakville",3,48,68,108,1,228,395
35060,"Oakville/Oakville"," 171","Oakville",5,48,67,104,0,224,361
35060,"Oakville/Oakville"," 172","Oakville",6,35,56,130,0,227,353
35060,"Oakville/Oakville"," 173","Oakville",13,39,81,124,3,260,407
35060,"Oakville/Oakville"," 174","Oakville",7,46,102,149,1,305,464
35060,"Oakville/Oakville"," 175","Oakville",15,36,70,119,0,240,362
35060,"Oakville/Oakville"," 176","Oakville",4,23,51,106,0,184,347
35060,"Oakville/Oakville"," 177","Oakville",7,34,48,89,1,179,312
35060,"Oakville/Oakville"," 178","Oakville",8,18,82,120,1,229,361
35060,"Oakville/Oakville"," 179","Oakville",5,31,53,91,0,180,283
35060,"Oakville/Oakville"," 180","Oakville",18,46,56,101,0,221,385
35060,"Oakville/Oakville"," 180-1","Oakville",1,29,75,137,0,242,337
35060,"Oakville/Oakville"," 180-2","Oakville",3,47,46,112,0,208,164
35060,"Oakville/Oakville"," 181","Oakville",7,33,62,104,0,206,396
35060,"Oakville/Oakville"," 182A","Oakville",5,42,39,103,0,189,404
35060,"Oakville/Oakville"," 182B","Oakville",Merged with No. 180-2/Fusionné avec le nº 180-2,,,,,,136
35060,"Oakville/Oakville"," 183","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 184","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 185","Oakville",4,11,49,73,0,137,264
35060,"Oakville/Oakville"," 186","Oakville",6,42,65,85,0,198,324
35060,"Oakville/Oakville"," 187","Oakville",9,26,43,85,0,163,326
35060,"Oakville/Oakville"," 188","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 189","Oakville",5,41,32,90,0,168,347
35060,"Oakville/Oakville"," 190","Oakville",5,38,50,88,0,181,407
35060,"Oakville/Oakville"," 191","Oakville",7,43,55,105,0,210,414
35060,"Oakville/Oakville"," 192","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 193","Oakville",10,40,55,99,1,205,366
35060,"Oakville/Oakville"," 194","Oakville",21,40,84,138,0,283,495
35060,"Oakville/Oakville"," 195","Oakville",11,29,57,155,1,253,409
35060,"Oakville/Oakville"," 196","Oakville",3,48,74,106,1,232,374
35060,"Oakville/Oakville"," 197","Oakville",6,51,66,137,0,260,489
35060,"Oakville/Oakville"," 197-1A","Oakville",2,31,41,77,0,151,287
35060,"Oakville/Oakville"," 197-1B","Oakville",3,24,51,73,1,152,313
35060,"Oakville/Oakville"," 197-2A","Oakville",9,16,45,74,0,144,296
35060,"Oakville/Oakville"," 197-2B","Oakville",3,16,28,61,0,108,289
35060,"Oakville/Oakville"," 197-3","Oakville",4,40,61,140,0,245,524
35060,"Oakville/Oakville"," 197-4","Oakville",6,36,79,153,0,274,546
35060,"Oakville/Oakville"," 198","Oakville",17,38,84,148,3,290,464
35060,"Oakville/Oakville"," 199","Oakville",3,22,61,153,0,239,476
35060,"Oakville/Oakville"," 199-1","Oakville",6,33,65,114,1,219,391
35060,"Oakville/Oakville"," 200","Oakville",7,14,32,124,4,181,393
35060,"Oakville/Oakville"," 400","Oakville",4,40,62,101,3,210,292
35060,"Oakville/Oakville"," 401","Oakville",15,57,53,37,3,165,208
35060,"Oakville/Oakville"," 402","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 403","Oakville",7,38,31,88,5,169,243
35060,"Oakville/Oakville"," 404","Oakville",2,13,53,99,1,168,246
35060,"Oakville/Oakville"," 405","Oakville",3,9,45,124,1,182,243
35060,"Oakville/Oakville"," 406","Oakville",5,33,46,99,1,184,274
35060,"Oakville/Oakville"," 500","Mobile poll/Bureau itinérant",3,23,41,75,2,144,223
35060,"Oakville/Oakville"," 501","Mobile poll/Bureau itinérant",3,31,33,71,0,138,171
35060,"Oakville/Oakville"," 502","Mobile poll/Bureau itinérant",2,17,46,87,0,152,176
35060,"Oakville/Oakville"," 600","Oakville",24,49,396,482,4,955,
35060,"Oakville/Oakville"," 601","Oakville",23,45,298,548,1,915,
35060,"Oakville/Oakville"," 602","Oakville",28,65,236,261,0,590,
35060,"Oakville/Oakville"," 603","Oakville",21,72,185,297,1,576,
35060,"Oakville/Oakville"," 604","Oakville",18,44,219,328,3,612,
35060,"Oakville/Oakville"," 605","Oakville",25,78,322,435,1,861,
35060,"Oakville/Oakville"," 606","Oakville",15,56,226,320,4,621,
35060,"Oakville/Oakville"," 607","Oakville",17,76,304,405,6,808,
35060,"Oakville/Oakville"," 608","Oakville",28,72,235,328,3,666,
35060,"Oakville/Oakville"," 609","Oakville",11,65,219,287,1,583,
35060,"Oakville/Oakville"," 610","Oakville",11,60,254,291,0,616,
35060,"Oakville/Oakville"," 611","Oakville",21,68,279,390,2,760,
35060,"Oakville/Oakville",,Group 1/Groupe 1,2,5,31,69,6,113,209
35060,"Oakville/Oakville",,Group 2/Groupe 2,26,51,307,380,4,768,
