Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyrone Benskin,Mark Bruneau,Pierre Lafontaine,Richard Noël,Thierry St-Cyr,Eileen Studd,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 150","Verdun",70,10,11,7,47,0,0,145,306
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 151","Verdun",92,15,9,3,30,0,1,150,352
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 152","Verdun",72,11,4,4,36,0,14,141,312
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 153","Verdun",71,13,8,7,35,1,2,137,285
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 154","Verdun",64,12,11,4,29,1,6,127,267
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 155","Verdun",61,7,8,3,42,0,0,121,352
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 156","Verdun",74,11,7,1,30,1,2,126,290
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 157","Verdun",72,18,8,6,28,0,1,133,287
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 158","Verdun",47,13,7,9,33,0,0,109,254
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 159","Verdun",81,12,9,5,49,0,3,159,317
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 160","Verdun",72,15,12,4,56,0,1,160,299
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 161","Verdun",87,22,13,7,50,0,4,183,508
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 162","Verdun",93,13,13,2,50,1,2,174,366
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 163","Verdun",97,16,14,5,42,0,2,176,344
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 164","Verdun",71,15,11,5,52,0,2,156,366
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 165","Verdun",80,18,14,5,45,1,3,166,330
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 166","Verdun",103,25,12,7,71,0,0,218,358
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 167","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 168","Verdun",98,25,21,4,63,0,3,214,368
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 169","Verdun",52,15,9,8,52,0,2,138,310
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 170","Verdun",83,15,14,3,58,0,8,181,403
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 171","Verdun",72,13,7,1,56,0,1,150,335
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 172","Verdun",67,14,3,3,54,0,2,143,307
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 173","Verdun",67,19,12,1,35,0,2,136,309
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 174","Verdun",73,13,13,4,46,0,2,151,324
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 175","Verdun",71,22,9,1,36,0,1,140,263
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 176","Verdun",66,15,20,5,23,0,0,129,319
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 177","Verdun",86,16,20,3,51,1,0,177,357
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 178","Verdun",56,17,12,5,23,0,1,114,314
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 179","Verdun",103,22,20,5,62,0,3,215,389
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 180","Verdun",88,22,13,3,45,0,2,173,426
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 181","Verdun",77,17,13,2,45,0,3,157,279
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 182","Verdun",80,24,3,6,43,1,3,160,273
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 183","Verdun",73,31,22,7,56,0,2,191,314
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 184","Verdun",61,21,9,1,34,0,0,126,220
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 185","Verdun",93,8,4,1,35,0,2,143,299
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 186","Verdun",105,20,16,4,47,1,0,193,454
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 187","Verdun",66,22,15,3,51,0,3,160,298
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 188","Verdun",73,27,16,4,40,0,0,160,284
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 189","Verdun",73,25,21,4,69,0,3,195,382
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 190","Verdun",102,24,13,2,43,1,1,186,371
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 191","Verdun",94,23,16,5,72,0,1,211,397
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 192","Verdun",104,28,14,6,79,0,2,233,397
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 193","Verdun",71,10,18,0,51,0,6,156,285
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 194","Verdun",94,28,15,5,57,0,4,203,372
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 195","Verdun",80,19,8,1,39,1,0,148,333
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 196","Verdun",71,25,16,8,42,0,1,163,331
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 197","Verdun",71,20,28,5,28,0,5,157,315
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 198","Verdun",94,31,17,8,44,0,0,194,341
