Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 81","Toutes Aides",1,33,56,1,0,91,155
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 82","Rorketon",5,48,71,4,1,129,213
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 83A","Crane River 51",0,27,1,2,0,30,114
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 83B","Crane River 51",2,53,14,1,0,70,230
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 84","Ste. Rose",10,27,133,13,0,183,346
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 85","Ste. Rose du Lac",5,10,39,6,1,61,145
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 86","Ste. Rose du Lac",11,26,42,5,0,84,242
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 87","Ste. Rose du Lac",14,38,111,5,1,169,398
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 88","Eddystone",8,14,45,5,0,72,127
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 89","Makinak",1,20,72,3,0,96,175
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 90","Laurier",21,40,107,4,0,172,341
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 91","Shellmouth--Boulton",17,42,201,15,3,278,441
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 92","Harrowby",5,19,106,8,0,138,237
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 93","Russell",14,28,105,8,0,155,254
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 94A","Russell",8,29,87,4,0,128,282
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 94B","Russell",7,22,95,5,0,129,261
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 95","Russell",14,31,155,6,1,207,360
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 96","Binscarth",3,24,70,0,0,97,183
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 97","Binscarth",8,29,146,5,0,188,329
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 98","Angusville",3,32,118,2,0,155,290
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99A","Waywayseecappo First Nation",2,35,17,5,1,60,272
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99B","Waywayseecappo First Nation",4,36,6,1,0,47,201
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99C","Waywayseecappo First Nation",2,26,9,3,0,40,207
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 100","Rossburn",12,48,129,5,0,194,341
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 101","Rossburn",16,39,121,2,0,178,403
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 102","Oakburn",11,24,55,2,0,92,172
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 103","Horod",0,18,45,5,0,68,148
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 104A","Keeseekoowenin--Elphinstone",1,5,32,2,0,40,195
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 104B","Keeseekoowenin--Elphinstone",6,38,5,1,0,50,166
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 105","Sandy Lake ",14,46,176,9,0,245,407
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 106","Onanole",2,27,87,1,0,117,187
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 107","Onanole",15,82,198,26,0,321,493
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 108A","Ebb and Flow 52",2,29,8,0,0,39,142
