Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Horvath,Mike MacDonald,John Douglas Reilly,Blake Richards,Randy Vanden Broek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Wild Rose/Wild Rose"," 150","Canmore",40,18,50,55,0,0,163,323
48027,"Wild Rose/Wild Rose"," 151","Canmore",41,25,46,117,0,0,229,496
48027,"Wild Rose/Wild Rose"," 152","Canmore",47,27,32,82,3,1,192,398
48027,"Wild Rose/Wild Rose"," 153","Canmore",43,27,38,66,0,1,175,230
48027,"Wild Rose/Wild Rose"," 154","Canmore",32,30,56,76,1,0,195,241
48027,"Wild Rose/Wild Rose"," 155","Canmore",58,38,50,99,0,0,245,503
48027,"Wild Rose/Wild Rose"," 156","Canmore",74,34,58,126,0,1,293,534
48027,"Wild Rose/Wild Rose"," 157","Canmore",45,23,35,58,0,0,161,393
48027,"Wild Rose/Wild Rose"," 158","Canmore",18,22,20,49,1,1,111,242
48027,"Wild Rose/Wild Rose"," 159","Canmore",43,29,26,53,0,0,151,347
48027,"Wild Rose/Wild Rose"," 160","Canmore",Merged with No. 154/Fusionné avec le nº 154,,,,,,,112
48027,"Wild Rose/Wild Rose"," 161","Canmore",78,36,32,97,0,1,244,514
48027,"Wild Rose/Wild Rose"," 161-1A","Canmore",43,21,21,45,0,0,130,279
48027,"Wild Rose/Wild Rose"," 161-1B","Mobile poll/Bureau itinérant",2,0,1,5,0,0,8,6
48027,"Wild Rose/Wild Rose"," 162","Canmore",69,34,47,138,4,1,293,527
48027,"Wild Rose/Wild Rose"," 162-1","Canmore",71,35,41,141,0,4,292,555
48027,"Wild Rose/Wild Rose"," 163","Canmore",60,16,28,78,0,0,182,337
48027,"Wild Rose/Wild Rose"," 163-1","Canmore",35,9,22,60,0,0,126,235
48027,"Wild Rose/Wild Rose"," 164","Canmore",74,30,49,138,1,0,292,461
48027,"Wild Rose/Wild Rose"," 165","Canmore",56,32,33,86,0,1,208,386
48027,"Wild Rose/Wild Rose"," 166","Canmore",83,32,46,103,0,0,264,493
48027,"Wild Rose/Wild Rose"," 167","Canmore",42,13,11,73,0,0,139,260
48027,"Wild Rose/Wild Rose"," 168","Canmore",56,36,24,82,1,0,199,424
48027,"Wild Rose/Wild Rose"," 169","Canmore",46,22,51,80,0,1,200,350
48027,"Wild Rose/Wild Rose"," 170","Exshaw",61,36,33,138,3,2,273,442
48027,"Wild Rose/Wild Rose"," 171","Ghost Lake",Merged with No. 127/Fusionné avec le nº 127,,,,,,,157
48027,"Wild Rose/Wild Rose"," 172","Morley",44,7,39,22,2,0,114,676
48027,"Wild Rose/Wild Rose"," 173","Seebe",Merged with No. 149/Fusionné avec le nº 149,,,,,,,10
48027,"Wild Rose/Wild Rose"," 174","Morley",66,7,57,15,0,0,145,819
48027,"Wild Rose/Wild Rose"," 175","Banff",39,15,16,55,0,1,126,229
48027,"Wild Rose/Wild Rose"," 176","Banff",Merged with No. 177/Fusionné avec le nº 177,,,,,,,129
48027,"Wild Rose/Wild Rose"," 177","Banff",54,15,27,70,1,0,167,187
48027,"Wild Rose/Wild Rose"," 178","Banff",49,29,24,58,0,0,160,250
48027,"Wild Rose/Wild Rose"," 179","Banff",43,25,37,43,0,1,149,127
48027,"Wild Rose/Wild Rose"," 180A","Banff",35,14,16,43,0,0,108,221
48027,"Wild Rose/Wild Rose"," 180B","Mobile poll/Bureau itinérant",Merged with No. 161-1B/Fusionné avec le nº 161-1B,,,,,,,6
48027,"Wild Rose/Wild Rose"," 181","Banff",108,42,73,136,0,5,364,658
48027,"Wild Rose/Wild Rose"," 182","Banff",46,18,22,65,0,2,153,306
48027,"Wild Rose/Wild Rose"," 183","Banff",49,21,18,35,0,1,124,248
48027,"Wild Rose/Wild Rose"," 184","Banff",50,35,25,68,1,1,180,305
48027,"Wild Rose/Wild Rose"," 185","Banff",Merged with No. 179/Fusionné avec le nº 179,,,,,,,125
48027,"Wild Rose/Wild Rose"," 186","Banff",44,17,29,106,0,0,196,391
48027,"Wild Rose/Wild Rose"," 187","Banff",69,28,24,42,0,2,165,589
48027,"Wild Rose/Wild Rose"," 400","Banff",28,10,15,21,0,1,75,78
48027,"Wild Rose/Wild Rose"," 401","Banff",Merged with No. 400/Fusionné avec le nº 400,,,,,,,18
48027,"Wild Rose/Wild Rose"," 500","Mobile poll/Bureau itinérant",3,0,3,37,1,0,44,56
48027,"Wild Rose/Wild Rose"," 501","Mobile poll/Bureau itinérant",5,3,1,75,0,2,86,138
48027,"Wild Rose/Wild Rose"," 502","Mobile poll/Bureau itinérant",6,1,3,26,1,0,37,49
48027,"Wild Rose/Wild Rose"," 503","Mobile poll/Bureau itinérant",9,3,13,63,2,2,92,166
48027,"Wild Rose/Wild Rose"," 504","Mobile poll/Bureau itinérant",7,2,8,56,1,0,74,173
48027,"Wild Rose/Wild Rose"," 505","Mobile poll/Bureau itinérant",8,3,10,127,0,2,150,185
48027,"Wild Rose/Wild Rose"," 600","Big Horn 144A",8,10,1,19,0,0,38,
48027,"Wild Rose/Wild Rose"," 601","Caroline",21,17,7,177,3,0,225,
48027,"Wild Rose/Wild Rose"," 602","Sundre",24,27,14,438,1,0,504,
48027,"Wild Rose/Wild Rose"," 603","Cremona--Didsbury",35,26,28,582,2,0,673,
48027,"Wild Rose/Wild Rose"," 604","Olds",34,37,28,814,5,2,920,
48027,"Wild Rose/Wild Rose"," 605","Collicutt",64,32,25,578,3,0,702,
48027,"Wild Rose/Wild Rose"," 606","Yankee Valley",50,37,23,417,2,2,531,
48027,"Wild Rose/Wild Rose"," 607","Big Springs",65,41,42,594,1,0,743,
48027,"Wild Rose/Wild Rose"," 608","Crossfield",89,108,104,869,0,1,1171,
48027,"Wild Rose/Wild Rose"," 609","Cochrane--Big Hill",42,35,55,577,1,0,710,
48027,"Wild Rose/Wild Rose"," 610","Cochrane--Spray Lake",83,55,102,183,1,1,425,
48027,"Wild Rose/Wild Rose"," 611","Silver Tip",95,64,199,295,1,1,655,
48027,"Wild Rose/Wild Rose"," 612","Banff",99,38,124,225,0,3,489,
48027,"Wild Rose/Wild Rose",,Group 1/Groupe 1,8,9,26,68,0,3,114,186
48027,"Wild Rose/Wild Rose",,Group 2/Groupe 2,77,70,124,687,3,9,970,
