Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Marie Gionet,Yvon Godin,Louis Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 145","Lamèque",8,74,32,0,114,267
13001,"Acadie--Bathurst/Acadie--Bathurst"," 146","Sainte-Marie-Saint-Raphaël",10,148,12,3,173,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 147","Sainte-Marie-Saint-Raphaël",11,101,13,0,125,236
13001,"Acadie--Bathurst/Acadie--Bathurst"," 148","Sainte-Marie-Saint-Raphaël",12,121,13,1,147,298
13001,"Acadie--Bathurst/Acadie--Bathurst"," 149","Maltampec",29,135,21,4,189,281
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150A","Maltampec",32,223,23,2,280,468
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,18
13001,"Acadie--Bathurst/Acadie--Bathurst"," 151","Landry",9,116,15,3,143,215
13001,"Acadie--Bathurst/Acadie--Bathurst"," 152","Evangeline",9,144,8,4,165,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 153","Inkerman",22,156,44,5,227,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 154","Inkerman",31,85,63,4,183,249
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155","Four Roads",12,100,22,2,136,219
13001,"Acadie--Bathurst/Acadie--Bathurst"," 156","Six Roads",23,140,22,1,186,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 157","Sainte-Rose",21,149,26,4,200,348
13001,"Acadie--Bathurst/Acadie--Bathurst"," 158","Sainte-Rose",35,202,26,1,264,430
13001,"Acadie--Bathurst/Acadie--Bathurst"," 159","Gaspereau",20,183,16,2,221,399
13001,"Acadie--Bathurst/Acadie--Bathurst"," 160","Burnsville",32,177,21,2,232,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 161","Notre-Dame-des-Érables",22,289,13,3,327,437
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162","Haut-Paquetville",10,89,8,2,109,184
13001,"Acadie--Bathurst/Acadie--Bathurst"," 163","Petit-Paquetville",36,106,14,2,158,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164","Rang-Saint-Georges",24,179,11,6,220,422
13001,"Acadie--Bathurst/Acadie--Bathurst"," 165","Val-Doucet",15,189,10,2,216,372
13001,"Acadie--Bathurst/Acadie--Bathurst"," 166","Paquetville",20,132,27,5,184,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 167","Paquetville",18,105,7,0,130,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168","Bois-Blanc",21,82,3,1,107,216
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169","Duguayville",28,90,6,0,124,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 170","Hacheyville",4,59,4,2,69,179
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171","Tilley Road--Bois Gagnon",29,145,18,1,193,343
13001,"Acadie--Bathurst/Acadie--Bathurst"," 172","Tilley Road",19,109,11,1,140,244
13001,"Acadie--Bathurst/Acadie--Bathurst"," 173","Saint-Isidore",33,133,37,1,204,318
13001,"Acadie--Bathurst/Acadie--Bathurst"," 174","Saint-Isidore",30,185,17,3,235,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 175","Pont-Landry",27,168,17,4,216,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 176","Saumarez",18,179,24,1,222,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 177","Gauvreau",23,137,29,3,192,302
13001,"Acadie--Bathurst/Acadie--Bathurst"," 178","Rivière-à-la-Truite",36,171,25,6,238,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 179","Saumarez",26,182,19,5,232,340
