Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vivian Barbot,Shama Chopra,Peter Macrisopoulos,Danny Polifroni,Marcos Radhames Tejada,Justin Trudeau,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 85","Montréal",89,7,1,4,90,48,0,0,239,432
24048,"Papineau/Papineau"," 86","Montréal",80,6,1,1,89,39,0,3,219,445
24048,"Papineau/Papineau"," 87","Montréal",59,6,3,7,71,53,2,4,205,320
24048,"Papineau/Papineau"," 88","Montréal",59,6,2,3,87,48,1,6,212,399
24048,"Papineau/Papineau"," 89","Montréal",52,9,0,6,65,62,1,3,198,396
24048,"Papineau/Papineau"," 90A","Montréal",42,3,0,1,46,33,0,0,125,241
24048,"Papineau/Papineau"," 90B","Montréal",47,1,1,1,41,43,0,3,137,265
24048,"Papineau/Papineau"," 91","Montréal",78,5,0,5,67,42,0,4,201,327
24048,"Papineau/Papineau"," 92","Montréal",88,2,1,12,74,65,0,1,243,416
24048,"Papineau/Papineau"," 93","Montréal",93,4,1,6,85,22,1,2,214,324
24048,"Papineau/Papineau"," 94","Montréal",97,10,0,4,87,47,1,1,247,425
24048,"Papineau/Papineau"," 95","Montréal",62,5,1,6,72,36,0,1,183,286
24048,"Papineau/Papineau"," 96","Montréal",97,3,1,7,74,37,0,1,220,288
24048,"Papineau/Papineau"," 97","Montréal",75,3,1,7,68,39,0,0,193,300
24048,"Papineau/Papineau"," 98","Montréal",97,0,0,9,67,35,0,0,208,370
24048,"Papineau/Papineau"," 99","Montréal",87,1,0,4,56,39,0,1,188,271
24048,"Papineau/Papineau"," 100","Montréal",84,2,1,9,96,48,0,0,240,384
24048,"Papineau/Papineau"," 101","Montréal",81,4,1,10,93,61,0,4,254,484
24048,"Papineau/Papineau"," 102","Montréal",71,4,1,1,65,49,0,3,194,358
24048,"Papineau/Papineau"," 103","Montréal",93,13,4,6,85,55,0,2,258,403
24048,"Papineau/Papineau"," 104","Montréal",56,3,0,6,66,20,0,3,154,248
24048,"Papineau/Papineau"," 105","Montréal",68,5,2,4,53,27,0,0,159,303
24048,"Papineau/Papineau"," 106","Montréal",99,5,1,6,93,60,0,3,267,406
24048,"Papineau/Papineau"," 107","Montréal",96,4,1,7,88,33,0,3,232,399
24048,"Papineau/Papineau"," 108","Montréal",63,3,0,5,75,31,1,1,179,290
24048,"Papineau/Papineau"," 109","Montréal",67,8,4,6,96,20,0,0,201,337
24048,"Papineau/Papineau"," 110","Montréal",83,3,3,5,89,58,0,2,243,415
24048,"Papineau/Papineau"," 111","Montréal",87,4,1,1,68,18,0,2,181,294
24048,"Papineau/Papineau"," 112","Montréal",83,7,0,4,94,58,0,6,252,429
24048,"Papineau/Papineau"," 113","Montréal",66,12,0,5,96,58,2,8,247,529
24048,"Papineau/Papineau"," 114","Montréal",57,2,0,1,77,39,0,2,178,313
24048,"Papineau/Papineau"," 115","Montréal",57,7,0,2,65,41,0,1,173,303
24048,"Papineau/Papineau"," 116","Montréal",66,6,0,3,64,26,0,1,166,338
24048,"Papineau/Papineau"," 117","Montréal",91,9,0,10,101,39,0,4,254,403
