Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Bryce,Ed Fast,Madeleine Hardin,David MacKay,David Alan Murray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 76-1","Abbotsford",3,65,27,2,36,1,134,306
59001,"Abbotsford/Abbotsford"," 77","Abbotsford",13,168,28,3,48,4,264,512
59001,"Abbotsford/Abbotsford"," 78","Abbotsford",13,108,33,2,12,2,170,408
59001,"Abbotsford/Abbotsford"," 79","Abbotsford",2,120,20,1,24,0,167,316
59001,"Abbotsford/Abbotsford"," 80","Abbotsford",3,170,22,0,39,0,234,461
59001,"Abbotsford/Abbotsford"," 81","Abbotsford",13,170,21,0,64,3,271,460
59001,"Abbotsford/Abbotsford"," 82","Abbotsford",6,105,17,1,25,0,154,263
59001,"Abbotsford/Abbotsford"," 83","Abbotsford",3,124,12,1,51,0,191,377
59001,"Abbotsford/Abbotsford"," 84","Abbotsford",6,135,16,0,28,1,186,330
59001,"Abbotsford/Abbotsford"," 85","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 86A","Abbotsford",2,104,17,0,22,1,146,296
59001,"Abbotsford/Abbotsford"," 86B","Abbotsford",2,125,4,0,18,0,149,321
59001,"Abbotsford/Abbotsford"," 87","Abbotsford",6,120,11,0,49,0,186,431
59001,"Abbotsford/Abbotsford"," 87-1","Abbotsford",9,66,8,0,19,0,102,178
59001,"Abbotsford/Abbotsford"," 88","Abbotsford",2,111,3,0,17,1,134,215
59001,"Abbotsford/Abbotsford"," 89","Abbotsford",4,191,13,0,42,1,251,438
59001,"Abbotsford/Abbotsford"," 90","Abbotsford",9,107,8,0,40,0,164,296
59001,"Abbotsford/Abbotsford"," 91","Abbotsford",2,83,6,0,27,0,118,261
59001,"Abbotsford/Abbotsford"," 91-1","Abbotsford",8,104,19,1,36,2,170,233
59001,"Abbotsford/Abbotsford"," 92","Abbotsford",13,137,12,2,61,0,225,444
59001,"Abbotsford/Abbotsford"," 93","Abbotsford",5,77,5,0,29,0,116,252
59001,"Abbotsford/Abbotsford"," 94","Abbotsford",6,149,9,1,38,0,203,476
59001,"Abbotsford/Abbotsford"," 95","Abbotsford",5,51,10,1,18,1,86,240
59001,"Abbotsford/Abbotsford"," 96","Abbotsford",9,103,11,2,44,2,171,428
59001,"Abbotsford/Abbotsford"," 97","Abbotsford",4,57,3,0,20,0,84,266
59001,"Abbotsford/Abbotsford"," 98","Abbotsford",8,79,14,1,41,1,144,378
59001,"Abbotsford/Abbotsford"," 99","Abbotsford",3,163,22,0,47,0,235,461
59001,"Abbotsford/Abbotsford"," 100","Abbotsford",13,73,10,0,30,0,126,208
59001,"Abbotsford/Abbotsford"," 100-1","Abbotsford",16,103,8,0,27,0,154,272
59001,"Abbotsford/Abbotsford"," 101","Abbotsford",10,117,8,2,35,0,172,292
59001,"Abbotsford/Abbotsford"," 101-1","Abbotsford",7,117,8,1,26,1,160,272
59001,"Abbotsford/Abbotsford"," 102","Abbotsford",3,110,12,1,23,1,150,256
59001,"Abbotsford/Abbotsford"," 102-1","Abbotsford",4,103,17,0,19,1,144,251
59001,"Abbotsford/Abbotsford"," 103","Abbotsford",5,178,12,1,23,0,219,349
59001,"Abbotsford/Abbotsford"," 104","Abbotsford",12,112,8,0,33,0,165,271
59001,"Abbotsford/Abbotsford"," 104-1","Abbotsford",8,125,11,0,15,0,159,236
59001,"Abbotsford/Abbotsford"," 105","Abbotsford",15,167,14,2,61,0,259,411
59001,"Abbotsford/Abbotsford"," 106","Abbotsford",8,184,21,0,24,0,237,386
59001,"Abbotsford/Abbotsford"," 107","Abbotsford",5,107,5,0,22,0,139,288
59001,"Abbotsford/Abbotsford"," 107-1","Abbotsford",5,69,4,0,14,0,92,179
59001,"Abbotsford/Abbotsford"," 108","Abbotsford",6,121,18,0,40,1,186,361
59001,"Abbotsford/Abbotsford"," 109","Abbotsford",7,129,14,0,36,0,186,454
59001,"Abbotsford/Abbotsford"," 110","Abbotsford",8,80,7,0,42,1,138,287
59001,"Abbotsford/Abbotsford"," 111","Abbotsford",6,92,7,2,30,0,137,252
59001,"Abbotsford/Abbotsford"," 112","Abbotsford",17,169,19,2,51,0,258,481
59001,"Abbotsford/Abbotsford"," 113","Abbotsford",13,154,17,0,40,0,224,455
59001,"Abbotsford/Abbotsford"," 114","Abbotsford",12,141,9,0,37,0,199,409
59001,"Abbotsford/Abbotsford"," 115","Abbotsford",1,99,10,0,23,2,135,349
59001,"Abbotsford/Abbotsford"," 116","Abbotsford",18,124,21,0,44,0,207,411
59001,"Abbotsford/Abbotsford"," 117","Abbotsford",16,101,11,3,70,0,201,408
59001,"Abbotsford/Abbotsford"," 118","Abbotsford",2,15,0,1,3,0,21,53
59001,"Abbotsford/Abbotsford"," 118-1","Abbotsford",11,82,11,1,36,0,141,410
59001,"Abbotsford/Abbotsford"," 119","Abbotsford",22,145,9,0,39,0,215,441
59001,"Abbotsford/Abbotsford"," 120","Abbotsford",25,119,23,0,47,1,215,479
59001,"Abbotsford/Abbotsford"," 121","Abbotsford",12,169,25,1,46,1,254,488
59001,"Abbotsford/Abbotsford"," 122","Abbotsford",19,113,16,1,45,1,195,409
59001,"Abbotsford/Abbotsford"," 123","Abbotsford",10,111,20,0,49,0,190,418
59001,"Abbotsford/Abbotsford"," 124A","Abbotsford",5,78,7,0,19,1,110,263
59001,"Abbotsford/Abbotsford"," 124B","Abbotsford",14,72,7,0,37,0,130,275
59001,"Abbotsford/Abbotsford"," 125","Abbotsford",6,58,7,0,26,0,97,246
59001,"Abbotsford/Abbotsford"," 125-1","Abbotsford",19,91,14,1,40,1,166,335
59001,"Abbotsford/Abbotsford"," 126","Abbotsford",21,119,20,2,42,1,205,405
59001,"Abbotsford/Abbotsford"," 127","Abbotsford",10,169,16,0,47,0,242,442
59001,"Abbotsford/Abbotsford"," 128","Abbotsford",9,155,23,1,47,0,235,382
59001,"Abbotsford/Abbotsford"," 129","Abbotsford",27,165,15,0,54,0,261,447
59001,"Abbotsford/Abbotsford"," 130","Abbotsford",11,182,5,1,47,0,246,412
59001,"Abbotsford/Abbotsford"," 131","Abbotsford",6,155,16,0,28,0,205,406
59001,"Abbotsford/Abbotsford"," 131-1","Abbotsford",11,96,16,0,14,0,137,250
59001,"Abbotsford/Abbotsford"," 132","Abbotsford",7,35,9,0,27,0,78,202
59001,"Abbotsford/Abbotsford"," 133","Abbotsford",5,47,6,0,38,0,96,282
59001,"Abbotsford/Abbotsford"," 134","Abbotsford",4,83,6,3,43,0,139,332
59001,"Abbotsford/Abbotsford"," 135","Abbotsford",19,118,17,1,53,2,210,497
59001,"Abbotsford/Abbotsford"," 136","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 137","Abbotsford",18,99,19,0,50,0,186,458
59001,"Abbotsford/Abbotsford"," 138","Abbotsford",8,197,30,0,48,0,283,494
59001,"Abbotsford/Abbotsford"," 139","Abbotsford",4,145,17,1,41,1,209,392
59001,"Abbotsford/Abbotsford"," 140","Abbotsford",15,198,28,4,42,0,287,470
59001,"Abbotsford/Abbotsford"," 141","Abbotsford",9,169,37,2,37,1,255,456
59001,"Abbotsford/Abbotsford"," 142","Abbotsford",6,106,32,0,53,1,198,415
59001,"Abbotsford/Abbotsford"," 143","Abbotsford",9,86,10,0,23,1,129,222
59001,"Abbotsford/Abbotsford"," 144","Abbotsford",17,188,12,2,40,1,260,470
59001,"Abbotsford/Abbotsford"," 144-1","Abbotsford",12,169,7,1,20,2,211,339
59001,"Abbotsford/Abbotsford"," 145","Abbotsford",7,170,12,0,39,0,228,369
59001,"Abbotsford/Abbotsford"," 146A","Abbotsford",12,137,11,0,30,0,190,292
59001,"Abbotsford/Abbotsford"," 146B","Abbotsford",7,127,14,0,40,1,189,323
59001,"Abbotsford/Abbotsford"," 146-1","Abbotsford",7,68,8,0,12,0,95,195
59001,"Abbotsford/Abbotsford"," 147","Abbotsford",4,88,12,1,8,1,114,190
59001,"Abbotsford/Abbotsford"," 147-1","Abbotsford",9,167,15,1,35,0,227,336
59001,"Abbotsford/Abbotsford"," 148","Abbotsford",9,163,22,0,24,0,218,402
59001,"Abbotsford/Abbotsford"," 148-1","Abbotsford",17,170,21,1,31,2,242,436
59001,"Abbotsford/Abbotsford"," 149","Abbotsford",9,92,15,1,42,0,159,338
59001,"Abbotsford/Abbotsford"," 149-1","Abbotsford",5,161,14,2,30,0,212,378
59001,"Abbotsford/Abbotsford"," 150","Abbotsford",11,162,17,2,47,1,240,434
59001,"Abbotsford/Abbotsford"," 151","Abbotsford",8,75,8,0,27,0,118,241
59001,"Abbotsford/Abbotsford"," 151-1","Abbotsford",2,81,16,1,38,0,138,275
59001,"Abbotsford/Abbotsford"," 152","Abbotsford",5,103,12,0,18,0,138,260
59001,"Abbotsford/Abbotsford"," 152-1","Abbotsford",7,203,34,1,32,0,277,500
59001,"Abbotsford/Abbotsford"," 153","Abbotsford",11,191,23,1,36,1,263,454
59001,"Abbotsford/Abbotsford"," 154","Abbotsford",6,128,15,0,22,0,171,335
59001,"Abbotsford/Abbotsford"," 154-1","Abbotsford",5,107,9,0,23,0,144,249
59001,"Abbotsford/Abbotsford"," 155","Abbotsford",18,106,9,1,44,0,178,281
59001,"Abbotsford/Abbotsford"," 155-1","Abbotsford",4,113,15,1,17,0,150,247
59001,"Abbotsford/Abbotsford"," 156","Abbotsford",7,137,9,0,25,0,178,316
59001,"Abbotsford/Abbotsford"," 156-1","Abbotsford",13,97,21,2,23,0,156,298
59001,"Abbotsford/Abbotsford"," 157","Abbotsford",9,134,9,0,20,1,173,279
59001,"Abbotsford/Abbotsford"," 157-1","Abbotsford",9,151,14,1,43,2,220,396
59001,"Abbotsford/Abbotsford"," 158","Abbotsford",12,98,14,0,22,0,146,321
59001,"Abbotsford/Abbotsford"," 159A","Abbotsford",7,85,14,0,23,0,129,275
59001,"Abbotsford/Abbotsford"," 159B","Abbotsford",3,116,5,0,26,2,152,281
59001,"Abbotsford/Abbotsford"," 160","Abbotsford",7,46,7,0,20,0,80,173
59001,"Abbotsford/Abbotsford"," 161","Abbotsford",6,109,3,0,25,0,143,300
59001,"Abbotsford/Abbotsford"," 161-1A","Abbotsford",8,120,16,0,22,0,166,260
59001,"Abbotsford/Abbotsford"," 161-1B","Abbotsford",7,153,13,0,23,0,196,306
59001,"Abbotsford/Abbotsford"," 161-1C","Abbotsford",1,117,12,0,27,0,157,249
59001,"Abbotsford/Abbotsford"," 161-2","Abbotsford",4,28,2,0,26,0,60,164
59001,"Abbotsford/Abbotsford"," 162","Abbotsford",6,90,20,0,17,2,135,255
59001,"Abbotsford/Abbotsford"," 163","Abbotsford",8,137,9,0,32,2,188,410
59001,"Abbotsford/Abbotsford"," 164","Abbotsford",6,117,6,3,39,2,173,432
59001,"Abbotsford/Abbotsford"," 165","Abbotsford",12,135,6,2,55,0,210,428
59001,"Abbotsford/Abbotsford"," 166","Abbotsford",2,60,7,0,38,1,108,302
59001,"Abbotsford/Abbotsford"," 167","Abbotsford",16,100,5,1,38,0,160,401
59001,"Abbotsford/Abbotsford"," 168A","Abbotsford",9,105,19,3,78,1,215,481
59001,"Abbotsford/Abbotsford"," 168B","Mobile poll/Bureau itinérant",0,80,3,0,6,0,89,54
59001,"Abbotsford/Abbotsford"," 169","Abbotsford",3,47,4,0,27,0,81,132
59001,"Abbotsford/Abbotsford"," 169-1","Abbotsford",10,165,12,1,51,2,241,493
59001,"Abbotsford/Abbotsford"," 169-2","Abbotsford",6,58,14,1,22,0,101,227
59001,"Abbotsford/Abbotsford"," 170","Abbotsford",5,64,6,2,29,3,109,249
59001,"Abbotsford/Abbotsford"," 171A","Abbotsford",5,123,10,0,43,0,181,290
59001,"Abbotsford/Abbotsford"," 171B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,30
59001,"Abbotsford/Abbotsford"," 172","Abbotsford",11,112,20,1,48,0,192,371
59001,"Abbotsford/Abbotsford"," 173A","Abbotsford",10,83,17,0,36,0,146,285
59001,"Abbotsford/Abbotsford"," 173B","Abbotsford",8,83,11,0,27,1,130,271
59001,"Abbotsford/Abbotsford"," 174","Abbotsford",10,87,21,0,53,0,171,377
59001,"Abbotsford/Abbotsford"," 175","Abbotsford",3,32,27,2,40,0,104,234
59001,"Abbotsford/Abbotsford"," 175-1","Abbotsford",3,101,18,0,30,0,152,365
59001,"Abbotsford/Abbotsford"," 176","Abbotsford",8,105,50,2,31,1,197,439
59001,"Abbotsford/Abbotsford"," 176-1","Abbotsford",0,84,8,1,8,0,101,193
59001,"Abbotsford/Abbotsford"," 177","Abbotsford",15,109,14,0,50,1,189,405
59001,"Abbotsford/Abbotsford"," 178","Abbotsford",5,189,16,1,33,2,246,411
59001,"Abbotsford/Abbotsford"," 179","Abbotsford",15,114,12,0,24,1,166,293
59001,"Abbotsford/Abbotsford"," 179-1","Abbotsford",6,175,6,3,33,1,224,376
59001,"Abbotsford/Abbotsford"," 180","Abbotsford",5,92,9,0,1,0,107,169
59001,"Abbotsford/Abbotsford"," 180-1","Abbotsford",8,118,25,1,32,2,186,435
59001,"Abbotsford/Abbotsford"," 181","Abbotsford",14,267,17,1,29,1,329,491
59001,"Abbotsford/Abbotsford"," 182","Abbotsford",8,237,26,1,27,1,300,495
59001,"Abbotsford/Abbotsford"," 183","Abbotsford",7,163,16,2,18,1,207,354
59001,"Abbotsford/Abbotsford"," 400","Abbotsford",2,156,14,0,16,1,189,300
59001,"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",4,109,4,0,5,0,122,63
59001,"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",0,64,10,0,14,1,89,62
59001,"Abbotsford/Abbotsford"," 502","Mobile poll/Bureau itinérant",3,117,5,0,12,0,137,161
59001,"Abbotsford/Abbotsford"," 503","Mobile poll/Bureau itinérant",3,75,7,3,14,3,105,148
59001,"Abbotsford/Abbotsford"," 504","Mobile poll/Bureau itinérant",0,41,6,2,10,2,61,102
59001,"Abbotsford/Abbotsford"," 505","Mobile poll/Bureau itinérant",7,50,9,2,10,2,80,76
59001,"Abbotsford/Abbotsford"," 506","Mobile poll/Bureau itinérant",1,27,6,1,3,0,38,60
59001,"Abbotsford/Abbotsford"," 507","Mobile poll/Bureau itinérant",2,32,3,0,4,0,41,89
59001,"Abbotsford/Abbotsford"," 508","Mobile poll/Bureau itinérant",1,47,5,0,19,0,72,107
59001,"Abbotsford/Abbotsford"," 600","Abbotsford West",6,142,8,0,43,0,199,
59001,"Abbotsford/Abbotsford"," 601","Townline South",4,118,52,0,59,1,234,
59001,"Abbotsford/Abbotsford"," 602","Townline North",4,172,57,1,71,1,306,
59001,"Abbotsford/Abbotsford"," 603","Townline North",4,236,15,1,35,0,291,
59001,"Abbotsford/Abbotsford"," 604","Clearbrook North",5,122,17,0,16,1,161,
59001,"Abbotsford/Abbotsford"," 605","Clearbrook Central",9,251,38,2,46,2,348,
59001,"Abbotsford/Abbotsford"," 606","Clearbrook Central",5,266,14,0,24,1,310,
59001,"Abbotsford/Abbotsford"," 607","Clearbrook South",6,200,21,0,37,0,264,
59001,"Abbotsford/Abbotsford"," 608","Clearbrook South",6,142,15,1,26,0,190,
59001,"Abbotsford/Abbotsford"," 609","Clayburn North",12,428,46,1,69,1,557,
59001,"Abbotsford/Abbotsford"," 610","Clayburn Central",10,266,23,0,42,3,344,
59001,"Abbotsford/Abbotsford"," 611","Old Abbotsford",15,116,14,0,56,0,201,
59001,"Abbotsford/Abbotsford"," 612","Seven Oaks",19,333,44,0,82,2,480,
59001,"Abbotsford/Abbotsford"," 613","Bateman Heights",22,304,44,0,52,1,423,
59001,"Abbotsford/Abbotsford"," 614","Yale Central",27,302,40,2,67,1,439,
59001,"Abbotsford/Abbotsford"," 615","McMillan-Central",13,181,27,0,54,0,275,
59001,"Abbotsford/Abbotsford"," 616","Watcom",11,290,44,0,36,0,381,
59001,"Abbotsford/Abbotsford"," 617","Abbotsford-Est",18,245,29,49,0,0,341,
59001,"Abbotsford/Abbotsford",,Group 1/Groupe 1,9,51,41,0,9,5,115,169
59001,"Abbotsford/Abbotsford",,Group 2/Groupe 2,37,958,87,3,114,13,1212,
