Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 155","Mose Ambrose",62,0,8,25,1,96,263
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 156","St. Jacques",24,1,7,13,1,46,98
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 157","St. Bernard's",62,1,12,44,0,119,305
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 158","Bay L'Argent",61,0,17,31,0,109,239
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 159","Little Bay East",21,0,10,27,1,59,110
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 160","Jacques Fontaine",25,1,5,21,0,52,109
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 161","Brookside--Boat Harbour",42,2,9,26,1,80,202
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 162","Monkstown",3,0,3,15,0,21,26
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 163","Parkers Cove",48,0,19,48,2,117,258
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 164","Rushoon",47,0,14,38,0,99,257
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 165","Baine Harbour",29,0,12,18,0,59,117
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 166","Petit Forte",17,0,1,25,0,43,62
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 167","South East Bight",28,0,7,9,0,44,75
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 168","Red Harbour",36,1,12,9,0,58,152
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 169","Jean de Baie--Spanish Room",60,1,19,45,2,127,233
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 169-1","Rock Harbour",13,0,3,7,0,23,42
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 170","Frenchman's Cove",51,2,11,23,0,87,143
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 171","Garnish",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 172","Garnish",170,0,18,71,0,259,477
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 173","Winterland",120,1,8,33,0,162,262
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 174","Creston North",87,0,26,61,1,175,352
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 175","Marystown",99,3,20,52,2,176,366
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 176","Marystown",53,3,19,33,1,109,308
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 177A","Marystown",34,4,15,24,1,78,289
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 177B","Marystown",33,0,9,18,0,60,229
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 178","Marystown",90,1,25,60,0,176,363
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 179","Marystown",40,2,16,42,0,100,205
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 180","Little Bay",89,1,25,58,1,174,311
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 181","Marystown",101,2,18,35,0,156,375
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 182","Marystown",43,1,19,51,0,114,308
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 183","Marystown",90,2,24,53,0,169,410
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 184","Creston South",75,2,26,50,2,155,335
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 185A","Creston South",43,1,22,37,1,104,266
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 185B","Creston South",51,1,22,45,2,121,236
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 186","Lewin's Cove",82,1,26,75,0,184,344
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 187","Burin",74,3,16,51,0,144,388
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 188","Fox Cove-Mortier",68,4,20,41,1,134,250
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 189","Burin",90,3,17,60,0,170,355
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 190","Burin",35,0,9,32,0,76,181
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 191","Burin",68,2,16,26,0,112,322
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 192","Burin",65,1,22,35,1,124,253
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 193","Lewin's Cove--Big Salmonier",97,1,22,48,0,168,357
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 194","Corbin--Epworth",34,0,8,11,0,53,122
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 195","Burin",60,0,8,25,0,93,216
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 196","Port au Bras",28,0,14,8,1,51,161
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 197","Fortune",81,0,13,41,0,135,248
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 198","Fortune",132,0,7,37,0,176,335
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 199","Fortune",123,0,6,44,1,174,371
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 200","Fortune",92,0,3,24,0,119,276
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 201","Grand Bank",113,1,10,37,2,163,316
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 202","Grand Bank",126,0,8,45,0,179,350
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 203","Grand Bank",137,1,14,63,3,218,425
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 204","Grand Bank",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 205","Grand Bank",63,0,2,19,2,86,199
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 206","Grand Bank",75,0,3,25,1,104,201
