Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,David Morse,Sheila Richardson,Mark Rogers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Kings--Hants/Kings--Hants"," 26","Canada Creek",24,35,8,15,0,82,130
12006,"Kings--Hants/Kings--Hants"," 27","Lakeville",116,94,13,52,0,275,434
12006,"Kings--Hants/Kings--Hants"," 28","Kinsmans Corner",61,92,8,31,0,192,391
12006,"Kings--Hants/Kings--Hants"," 28-1","Kinsmans Corner",27,53,3,22,0,105,171
12006,"Kings--Hants/Kings--Hants"," 29","Cambridge",56,118,9,56,1,240,392
12006,"Kings--Hants/Kings--Hants"," 30","Cambridge",29,57,7,25,1,119,187
12006,"Kings--Hants/Kings--Hants"," 30-1","Cambridge",65,76,3,33,6,183,304
12006,"Kings--Hants/Kings--Hants"," 31","Lakeville",69,107,5,59,0,240,390
12006,"Kings--Hants/Kings--Hants"," 32","Coldbrook",76,76,8,47,1,208,418
12006,"Kings--Hants/Kings--Hants"," 33","Coldbrook",73,57,4,24,0,158,243
12006,"Kings--Hants/Kings--Hants"," 34","Coldbrook",105,108,5,61,0,279,460
12006,"Kings--Hants/Kings--Hants"," 35","Coldbrook",68,66,9,22,0,165,302
12006,"Kings--Hants/Kings--Hants"," 36","Coldbrook",125,113,7,55,0,300,460
12006,"Kings--Hants/Kings--Hants"," 37","Coldbrook",61,94,6,29,0,190,319
12006,"Kings--Hants/Kings--Hants"," 38","Kentville",117,113,9,58,2,299,514
12006,"Kings--Hants/Kings--Hants"," 39","Kentville",137,121,8,37,3,306,512
12006,"Kings--Hants/Kings--Hants"," 40","Kentville",114,96,9,37,0,256,451
12006,"Kings--Hants/Kings--Hants"," 41","Kentville",85,69,5,46,0,205,398
12006,"Kings--Hants/Kings--Hants"," 42","Kentville",93,90,4,44,2,233,495
12006,"Kings--Hants/Kings--Hants"," 43A","Kentville",51,58,9,38,2,158,386
12006,"Kings--Hants/Kings--Hants"," 43B","Mobile poll/Bureau itinérant",15,19,0,2,0,36,62
12006,"Kings--Hants/Kings--Hants"," 44","Kentville",44,46,5,21,1,117,316
12006,"Kings--Hants/Kings--Hants"," 45","Kentville",92,105,8,61,2,268,515
12006,"Kings--Hants/Kings--Hants"," 46","Kentville",121,49,4,33,0,207,347
12006,"Kings--Hants/Kings--Hants"," 47","Kentville",64,48,6,30,1,149,365
12006,"Kings--Hants/Kings--Hants"," 48","Kentville",94,81,8,66,0,249,476
12006,"Kings--Hants/Kings--Hants"," 49","New Minas",42,76,3,25,1,147,333
12006,"Kings--Hants/Kings--Hants"," 50","New Minas",37,45,7,27,0,116,228
12006,"Kings--Hants/Kings--Hants"," 51","New Minas",23,38,2,17,0,80,185
12006,"Kings--Hants/Kings--Hants"," 52","New Minas",46,53,5,21,0,125,281
12006,"Kings--Hants/Kings--Hants"," 52-1","New Minas",31,53,0,29,0,113,252
12006,"Kings--Hants/Kings--Hants"," 53","New Minas",32,58,3,27,0,120,351
12006,"Kings--Hants/Kings--Hants"," 54","New Minas",60,71,3,19,1,154,315
12006,"Kings--Hants/Kings--Hants"," 55","New Minas",64,54,1,28,1,148,301
12006,"Kings--Hants/Kings--Hants"," 56","New Minas",29,41,2,30,0,102,294
12006,"Kings--Hants/Kings--Hants"," 57","New Minas",53,82,6,38,2,181,441
12006,"Kings--Hants/Kings--Hants"," 58","New Minas",43,72,4,25,1,145,282
12006,"Kings--Hants/Kings--Hants"," 58-1","New Minas",49,46,4,17,2,118,234
12006,"Kings--Hants/Kings--Hants"," 59","White Rock",55,102,5,57,1,220,354
12006,"Kings--Hants/Kings--Hants"," 60","North Alton",50,114,9,47,0,220,357
12006,"Kings--Hants/Kings--Hants"," 61","North Alton",40,59,7,16,0,122,193
12006,"Kings--Hants/Kings--Hants"," 61-1","North Alton",69,117,9,29,1,225,354
12006,"Kings--Hants/Kings--Hants"," 62","North Alton",62,117,7,54,2,242,421
12006,"Kings--Hants/Kings--Hants"," 63","South Alton",46,100,8,44,1,199,382
12006,"Kings--Hants/Kings--Hants"," 64","Hortonville",109,77,9,42,1,238,331
12006,"Kings--Hants/Kings--Hants"," 65","Avonport",85,86,10,42,0,223,334
12006,"Kings--Hants/Kings--Hants"," 66","Avonport",57,88,13,29,0,187,382
12006,"Kings--Hants/Kings--Hants"," 67","Gaspereau",65,99,5,45,0,214,351
12006,"Kings--Hants/Kings--Hants"," 68","White Rock",102,92,8,69,1,272,441
12006,"Kings--Hants/Kings--Hants"," 69","Grand Pré",73,83,6,43,0,205,332
12006,"Kings--Hants/Kings--Hants"," 70","Gaspereau",64,70,5,33,0,172,328
12006,"Kings--Hants/Kings--Hants"," 71A","Greenwich",102,65,11,41,0,219,370
12006,"Kings--Hants/Kings--Hants"," 71B","Mobile poll/Bureau itinérant",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,51
12006,"Kings--Hants/Kings--Hants"," 72","White Rock",63,154,11,65,0,293,494
12006,"Kings--Hants/Kings--Hants"," 73","Wolfville",79,46,4,41,0,170,326
12006,"Kings--Hants/Kings--Hants"," 74","Wolfville",124,33,4,27,0,188,369
12006,"Kings--Hants/Kings--Hants"," 75","Wolfville",116,56,10,43,1,226,394
12006,"Kings--Hants/Kings--Hants"," 76","Wolfville",37,15,10,32,0,94,240
12006,"Kings--Hants/Kings--Hants"," 77","Wolfville",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 78","Wolfville",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 79","Wolfville",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 80","Wolfville",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 81","Wolfville",50,18,16,44,1,129,327
12006,"Kings--Hants/Kings--Hants"," 82","Wolfville",65,22,5,29,0,121,319
12006,"Kings--Hants/Kings--Hants"," 83","Wolfville",65,19,7,34,0,125,320
12006,"Kings--Hants/Kings--Hants"," 84","Wolfville",80,37,8,52,0,177,382
12006,"Kings--Hants/Kings--Hants"," 85","Wolfville",109,40,7,41,3,200,365
12006,"Kings--Hants/Kings--Hants"," 85-1","Wolfville",76,21,9,21,0,127,308
12006,"Kings--Hants/Kings--Hants"," 86","Hants Border",108,92,6,43,1,250,413
12006,"Kings--Hants/Kings--Hants"," 87","Hants Border",67,62,3,33,2,167,317
12006,"Kings--Hants/Kings--Hants"," 87-1","Hants Border",32,32,5,24,2,95,205
12006,"Kings--Hants/Kings--Hants"," 88","Hantsport",67,36,4,42,0,149,330
12006,"Kings--Hants/Kings--Hants"," 89","Hantsport",88,77,5,37,0,207,383
12006,"Kings--Hants/Kings--Hants"," 90","Hantsport",62,57,8,33,0,160,318
12006,"Kings--Hants/Kings--Hants"," 91","Mount Denson",62,31,6,31,0,130,214
12006,"Kings--Hants/Kings--Hants"," 92","Falmouth",79,72,4,35,0,190,335
12006,"Kings--Hants/Kings--Hants"," 93","Falmouth",21,18,1,8,1,49,90
12006,"Kings--Hants/Kings--Hants"," 93-1","Falmouth",178,119,11,35,0,343,527
12006,"Kings--Hants/Kings--Hants"," 94","Falmouth",133,67,5,23,1,229,387
12006,"Kings--Hants/Kings--Hants"," 95","Falmouth",158,60,12,28,1,259,440
12006,"Kings--Hants/Kings--Hants"," 96","Upper Falmouth",115,106,14,43,3,281,450
12006,"Kings--Hants/Kings--Hants"," 97","Upper Vaughan",111,143,9,45,0,308,553
12006,"Kings--Hants/Kings--Hants"," 98","Windsor Forks",34,27,4,7,0,72,168
12006,"Kings--Hants/Kings--Hants"," 98-1","Windsor Forks",90,67,6,23,0,186,351
12006,"Kings--Hants/Kings--Hants"," 99","Three Mile Plains",58,51,3,29,0,141,245
12006,"Kings--Hants/Kings--Hants"," 100","Three Mile Plains",86,38,7,28,0,159,297
12006,"Kings--Hants/Kings--Hants"," 101","Three Mile Plains",85,44,3,28,2,162,257
12006,"Kings--Hants/Kings--Hants"," 102","Three Mile Plains",73,75,7,38,0,193,454
12006,"Kings--Hants/Kings--Hants"," 103","Three Mile Plains",82,91,9,36,2,220,386
12006,"Kings--Hants/Kings--Hants"," 104","Sweets Corners",61,44,6,13,2,126,197
12006,"Kings--Hants/Kings--Hants"," 105","Newport Station",45,47,2,13,1,108,230
12006,"Kings--Hants/Kings--Hants"," 106","St. Croix",92,62,8,26,3,191,311
12006,"Kings--Hants/Kings--Hants"," 107","St. Croix",87,81,5,27,0,200,306
12006,"Kings--Hants/Kings--Hants"," 108","Windsor",66,40,8,17,0,131,291
12006,"Kings--Hants/Kings--Hants"," 109","Windsor",66,25,5,16,2,114,266
12006,"Kings--Hants/Kings--Hants"," 110","Windsor",77,46,8,21,0,152,328
12006,"Kings--Hants/Kings--Hants"," 111","Windsor",103,53,3,16,0,175,291
12006,"Kings--Hants/Kings--Hants"," 112","Windsor",111,53,10,23,2,199,349
12006,"Kings--Hants/Kings--Hants"," 113","Windsor",76,54,3,24,0,157,264
12006,"Kings--Hants/Kings--Hants"," 114","Windsor",74,57,3,21,0,155,307
12006,"Kings--Hants/Kings--Hants"," 114-1","Windsor",26,22,1,17,0,66,146
12006,"Kings--Hants/Kings--Hants"," 115","Windsor",103,71,5,19,3,201,434
12006,"Kings--Hants/Kings--Hants"," 116","Summerville",84,57,3,15,1,160,269
12006,"Kings--Hants/Kings--Hants"," 117","Bramber",82,27,10,20,0,139,272
12006,"Kings--Hants/Kings--Hants"," 118","Pembroke",51,35,1,15,0,102,193
12006,"Kings--Hants/Kings--Hants"," 119","Summerville",71,46,11,35,0,163,299
12006,"Kings--Hants/Kings--Hants"," 120","Centre Burlington",113,50,11,39,0,213,426
12006,"Kings--Hants/Kings--Hants"," 121","Scotch Village",94,106,7,38,0,245,431
12006,"Kings--Hants/Kings--Hants"," 122","Avondale",110,71,14,44,0,239,376
12006,"Kings--Hants/Kings--Hants"," 123","Mantua",120,67,2,21,0,210,331
12006,"Kings--Hants/Kings--Hants"," 124","Brooklyn",115,85,11,30,2,243,411
12006,"Kings--Hants/Kings--Hants"," 125","Newport Corner",75,55,9,26,3,168,299
12006,"Kings--Hants/Kings--Hants"," 126","Ardoise",114,88,5,52,0,259,413
12006,"Kings--Hants/Kings--Hants"," 127","Ardoise",105,83,6,32,0,226,379
12006,"Kings--Hants/Kings--Hants"," 128","Ellershouse",47,40,11,9,0,107,172
12006,"Kings--Hants/Kings--Hants"," 129","Ellershouse",67,72,7,47,3,196,379
12006,"Kings--Hants/Kings--Hants"," 130","South Rawdon",64,67,7,47,3,188,383
12006,"Kings--Hants/Kings--Hants"," 131","Mount Uniacke",84,74,7,58,0,223,413
12006,"Kings--Hants/Kings--Hants"," 132","Mount Uniacke",39,17,2,33,0,91,170
12006,"Kings--Hants/Kings--Hants"," 133","Mount Uniacke",72,53,10,67,1,203,438
12006,"Kings--Hants/Kings--Hants"," 133-1","Mount Uniacke",29,39,6,20,4,98,290
12006,"Kings--Hants/Kings--Hants"," 134","East Uniacke",50,75,6,50,0,181,452
12006,"Kings--Hants/Kings--Hants"," 135","Mount Uniacke",36,57,8,36,1,138,294
12006,"Kings--Hants/Kings--Hants"," 136","Etter Settlement",26,48,7,19,0,100,219
12006,"Kings--Hants/Kings--Hants"," 137","South Uniacke",44,53,10,70,2,179,461
12006,"Kings--Hants/Kings--Hants"," 138","East Walton",66,45,2,21,2,136,239
12006,"Kings--Hants/Kings--Hants"," 139","Minasville",45,37,3,21,1,107,182
12006,"Kings--Hants/Kings--Hants"," 140","Noel",45,39,3,20,1,108,230
12006,"Kings--Hants/Kings--Hants"," 141","East Noel",42,54,7,23,0,126,361
12006,"Kings--Hants/Kings--Hants"," 142","Lower Selma",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 143","Maitland",87,93,10,67,0,257,429
12006,"Kings--Hants/Kings--Hants"," 144","Noel Road",66,79,7,28,1,181,454
12006,"Kings--Hants/Kings--Hants"," 145","Latties Brook",45,58,1,47,0,151,373
12006,"Kings--Hants/Kings--Hants"," 146","Clarksville",26,25,6,26,0,83,178
12006,"Kings--Hants/Kings--Hants"," 147","Kennetcook",48,68,4,26,0,146,276
12006,"Kings--Hants/Kings--Hants"," 148","Upper Kennetcook",Void/Supprimé,,,,,,
12006,"Kings--Hants/Kings--Hants"," 149","South Maitland",21,19,4,24,0,68,124
12006,"Kings--Hants/Kings--Hants"," 150","Rawdon Gold Mines",50,35,11,26,1,123,247
12006,"Kings--Hants/Kings--Hants"," 151","Gore",51,40,3,23,0,117,258
12006,"Kings--Hants/Kings--Hants"," 151-1","Gore",61,58,5,37,1,162,333
12006,"Kings--Hants/Kings--Hants"," 152","Rawdon Gold Mines",73,52,7,34,1,167,396
12006,"Kings--Hants/Kings--Hants"," 153","Shubenacadie",41,67,6,48,0,162,300
12006,"Kings--Hants/Kings--Hants"," 154","Shubenacadie",31,64,11,44,1,151,303
12006,"Kings--Hants/Kings--Hants"," 155","Shubenacadie",43,43,10,24,0,120,290
12006,"Kings--Hants/Kings--Hants"," 155-1","Shubenacadie",35,45,5,58,2,145,250
12006,"Kings--Hants/Kings--Hants"," 156","Shubenacadie",44,81,9,42,0,176,316
12006,"Kings--Hants/Kings--Hants"," 157","Milford Station",73,88,9,68,1,239,451
12006,"Kings--Hants/Kings--Hants"," 158","Nine Mile River",24,46,5,17,3,95,181
12006,"Kings--Hants/Kings--Hants"," 159","Nine Mile River",69,76,8,61,1,215,414
12006,"Kings--Hants/Kings--Hants"," 160","Nine Mile River",78,84,14,81,1,258,541
12006,"Kings--Hants/Kings--Hants"," 161","Milford Station",91,86,4,62,0,243,428
12006,"Kings--Hants/Kings--Hants"," 162","Milford Station",67,61,8,43,0,179,312
12006,"Kings--Hants/Kings--Hants"," 163","Lantz",30,43,11,60,3,147,282
12006,"Kings--Hants/Kings--Hants"," 163-1","Lantz",45,63,2,42,2,154,346
12006,"Kings--Hants/Kings--Hants"," 164","Lantz",38,34,3,36,1,112,241
12006,"Kings--Hants/Kings--Hants"," 164-1","Lantz",37,51,4,45,1,138,279
12006,"Kings--Hants/Kings--Hants"," 165","Lantz",85,113,5,46,2,251,481
12006,"Kings--Hants/Kings--Hants"," 165-1","Lantz",30,56,3,40,0,129,208
12006,"Kings--Hants/Kings--Hants"," 166","Elmsdale",22,33,1,17,0,73,158
12006,"Kings--Hants/Kings--Hants"," 167","Elmsdale",65,52,10,38,1,166,316
12006,"Kings--Hants/Kings--Hants"," 167-1","Elmsdale",40,30,9,39,0,118,189
12006,"Kings--Hants/Kings--Hants"," 168","Elmsdale",68,83,15,65,3,234,427
12006,"Kings--Hants/Kings--Hants"," 168-1","Elmsdale",29,34,3,29,0,95,196
12006,"Kings--Hants/Kings--Hants"," 169","Enfield",57,61,6,42,3,169,318
12006,"Kings--Hants/Kings--Hants"," 169-1","Enfield",67,110,10,74,2,263,500
12006,"Kings--Hants/Kings--Hants"," 170","Enfield",35,32,14,46,1,128,280
12006,"Kings--Hants/Kings--Hants"," 170-1","Enfield",54,54,11,47,1,167,308
12006,"Kings--Hants/Kings--Hants"," 171","Enfield",52,78,6,64,2,202,461
12006,"Kings--Hants/Kings--Hants"," 172","Elmsdale",27,30,4,27,0,88,188
12006,"Kings--Hants/Kings--Hants"," 173","Enfield",76,95,7,72,2,252,455
12006,"Kings--Hants/Kings--Hants"," 174","Enfield",64,77,17,41,1,200,328
12006,"Kings--Hants/Kings--Hants"," 174-1","Enfield",45,61,5,58,0,169,278
12006,"Kings--Hants/Kings--Hants"," 175","Micmac",48,10,1,23,0,82,180
12006,"Kings--Hants/Kings--Hants"," 176","Micmac",100,8,4,77,0,189,447
12006,"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",55,45,4,8,0,112,211
12006,"Kings--Hants/Kings--Hants"," 501","Mobile poll/Bureau itinérant",34,32,1,9,1,77,135
12006,"Kings--Hants/Kings--Hants"," 502","Mobile poll/Bureau itinérant",36,44,3,8,0,91,142
12006,"Kings--Hants/Kings--Hants"," 600","Canning",114,70,12,38,3,237,
12006,"Kings--Hants/Kings--Hants"," 601","Centreville",212,196,14,84,3,509,
12006,"Kings--Hants/Kings--Hants"," 602","Kentville",63,65,5,22,0,155,
12006,"Kings--Hants/Kings--Hants"," 603","Kentville",245,220,11,42,1,519,
12006,"Kings--Hants/Kings--Hants"," 604","New Minas",238,274,9,85,0,606,
12006,"Kings--Hants/Kings--Hants"," 605","Wolfville",176,72,16,85,0,349,
12006,"Kings--Hants/Kings--Hants"," 606","Wolfville",247,100,20,78,5,450,
12006,"Kings--Hants/Kings--Hants"," 607","Hantsport",145,86,4,27,0,262,
12006,"Kings--Hants/Kings--Hants"," 608","Windsor",192,149,13,42,2,398,
12006,"Kings--Hants/Kings--Hants"," 609","Windsor",188,80,16,17,3,304,
12006,"Kings--Hants/Kings--Hants"," 610","Summerville",113,66,7,32,0,218,
12006,"Kings--Hants/Kings--Hants"," 611","Mount Uniacke",113,128,11,55,3,310,
12006,"Kings--Hants/Kings--Hants"," 612","Kennetcook",101,94,10,46,1,252,
12006,"Kings--Hants/Kings--Hants"," 613","Shubenacadie",55,61,4,21,1,142,
12006,"Kings--Hants/Kings--Hants"," 614","Elmsdale",157,137,12,66,1,373,
12006,"Kings--Hants/Kings--Hants"," 615","Elmsdale",78,92,6,47,3,226,
12006,"Kings--Hants/Kings--Hants",,Group 1/Groupe 1,61,142,7,17,7,234,558
12006,"Kings--Hants/Kings--Hants",,Group 2/Groupe 2,300,197,19,80,11,607,
