Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 50-1","Calgary",0,5,71,13,52,1,142,318
48004,"Calgary Northeast/Calgary-Nord-Est"," 51","Calgary",1,5,43,9,29,1,88,287
48004,"Calgary Northeast/Calgary-Nord-Est"," 51-1","Calgary",0,2,58,18,51,0,129,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 52","Calgary",0,7,81,18,70,0,176,494
48004,"Calgary Northeast/Calgary-Nord-Est"," 53","Calgary",3,1,96,18,93,0,211,538
48004,"Calgary Northeast/Calgary-Nord-Est"," 54","Calgary",1,3,103,17,94,2,220,576
48004,"Calgary Northeast/Calgary-Nord-Est"," 54-1","Calgary",0,5,114,18,64,4,205,469
48004,"Calgary Northeast/Calgary-Nord-Est"," 55","Calgary",0,8,98,28,76,0,210,507
48004,"Calgary Northeast/Calgary-Nord-Est"," 56","Calgary",0,1,40,13,8,2,64,220
48004,"Calgary Northeast/Calgary-Nord-Est"," 57","Calgary",1,6,92,11,20,0,130,373
48004,"Calgary Northeast/Calgary-Nord-Est"," 58","Calgary",1,8,70,28,39,0,146,403
48004,"Calgary Northeast/Calgary-Nord-Est"," 59","Calgary",0,8,92,29,38,1,168,441
48004,"Calgary Northeast/Calgary-Nord-Est"," 60","Calgary",1,9,38,24,48,1,121,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 61","Calgary",2,9,85,17,32,1,146,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 62","Calgary",1,9,70,19,27,2,128,346
48004,"Calgary Northeast/Calgary-Nord-Est"," 63","Calgary",1,12,99,22,35,1,170,460
48004,"Calgary Northeast/Calgary-Nord-Est"," 64","Calgary",0,5,79,22,54,0,160,408
