Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lawrence Cannon,Cindy Duncan McMillan,Benoit Legros,Louis-Philippe Mayrand,Mathieu Ravignat,Maude Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Pontiac/Pontiac"," 22","Maniwaki",34,7,1,2,34,16,1,95,270
24050,"Pontiac/Pontiac"," 23","Maniwaki",57,11,1,4,49,12,1,135,344
24050,"Pontiac/Pontiac"," 24","Maniwaki",60,14,0,2,59,33,0,168,468
24050,"Pontiac/Pontiac"," 25","Maniwaki",60,10,1,0,52,18,5,146,365
24050,"Pontiac/Pontiac"," 26","Maniwaki",45,10,1,2,44,16,0,118,336
24050,"Pontiac/Pontiac"," 27","Maniwaki",33,6,0,0,52,24,1,116,322
24050,"Pontiac/Pontiac"," 28","Maniwaki",47,7,0,2,44,23,0,123,306
24050,"Pontiac/Pontiac"," 29","Maniwaki",58,6,0,1,33,15,1,114,376
24050,"Pontiac/Pontiac"," 30","Maniwaki",24,6,0,1,27,19,0,77,229
24050,"Pontiac/Pontiac"," 31","Maniwaki",41,17,2,4,28,10,1,103,445
24050,"Pontiac/Pontiac"," 32","Cayamant",48,11,1,1,75,31,1,168,357
24050,"Pontiac/Pontiac"," 32-1","Cayamant",41,15,1,2,61,31,1,152,344
24050,"Pontiac/Pontiac"," 33","Gracefield",26,9,0,2,31,20,0,88,281
24050,"Pontiac/Pontiac"," 34","Gracefield",37,16,0,4,72,14,0,143,389
24050,"Pontiac/Pontiac"," 35","Gracefield",42,10,0,5,48,17,3,125,363
24050,"Pontiac/Pontiac"," 36","Gracefield",28,2,0,2,27,7,2,68,206
24050,"Pontiac/Pontiac"," 37","Gracefield",70,8,3,1,87,25,0,194,498
24050,"Pontiac/Pontiac"," 38","Gracefield",54,13,0,6,43,15,1,132,398
24050,"Pontiac/Pontiac"," 39","Alleyn-et-Cawood",60,10,0,0,30,0,1,101,168
24050,"Pontiac/Pontiac"," 40","Kazabazua",44,18,0,1,50,10,0,123,303
24050,"Pontiac/Pontiac"," 41","Lac-Sainte-Marie",124,23,1,3,76,15,2,244,449
24050,"Pontiac/Pontiac"," 42","Kazabazua",87,11,0,3,46,6,1,154,363
24050,"Pontiac/Pontiac"," 43","Low",148,42,1,3,47,5,0,246,428
24050,"Pontiac/Pontiac"," 44","Low",91,32,0,3,53,12,1,192,349
24050,"Pontiac/Pontiac"," 45","Denholm",58,28,0,4,87,17,4,198,440
24050,"Pontiac/Pontiac"," 46","Rapides-des-Joachims",18,12,0,3,18,3,0,54,130
24050,"Pontiac/Pontiac"," 47","Sheen-Esher-Aberdeen-et-Malakoff",17,24,0,0,14,0,0,55,99
24050,"Pontiac/Pontiac"," 48","Waltham",98,21,1,1,56,0,0,177,328
24050,"Pontiac/Pontiac"," 49","Chichester",84,23,1,2,32,0,0,142,293
24050,"Pontiac/Pontiac"," 50","L'Isle-aux-Allumettes",122,52,1,5,45,1,0,226,380
24050,"Pontiac/Pontiac"," 51","Chapeau",87,44,0,2,25,2,1,161,315
24050,"Pontiac/Pontiac"," 52","L'Isle-aux-Allumettes",110,31,1,3,44,2,2,193,318
24050,"Pontiac/Pontiac"," 53","Mansfield-et-Pontefract",29,12,0,0,38,8,1,88,264
24050,"Pontiac/Pontiac"," 54","Mansfield-et-Pontefract",72,19,0,1,54,5,1,152,404
24050,"Pontiac/Pontiac"," 55","Mansfield-et-Pontefract",80,13,0,2,103,7,1,206,471
24050,"Pontiac/Pontiac"," 56","Fort-Coulonge",55,10,0,0,45,6,0,116,363
24050,"Pontiac/Pontiac"," 57","Fort-Coulonge",20,14,2,2,20,0,0,58,193
24050,"Pontiac/Pontiac"," 58","Fort-Coulonge",62,19,1,0,77,8,1,168,359
24050,"Pontiac/Pontiac"," 59","Fort-Coulonge",60,14,0,0,33,5,2,114,360
24050,"Pontiac/Pontiac"," 60","Mansfield-et-Pontefract",37,11,0,2,44,4,3,101,235
24050,"Pontiac/Pontiac"," 61","Mansfield-et-Pontefract",33,14,0,0,41,4,0,92,294
24050,"Pontiac/Pontiac"," 62","Otter Lake",65,21,0,0,34,4,1,125,302
24050,"Pontiac/Pontiac"," 63","Otter Lake",109,25,0,1,45,1,3,184,442
24050,"Pontiac/Pontiac"," 64","Ladysmith",109,22,1,10,55,2,0,199,307
24050,"Pontiac/Pontiac"," 65","Clarendon",81,7,0,0,32,1,0,121,207
24050,"Pontiac/Pontiac"," 66","Clarendon",146,16,0,2,31,3,1,199,303
24050,"Pontiac/Pontiac"," 67","Vinton",77,16,0,3,37,5,1,139,301
24050,"Pontiac/Pontiac"," 68","Campbell's Bay",104,18,0,2,44,2,2,172,387
24050,"Pontiac/Pontiac"," 69","Campbell's Bay",58,15,0,3,32,5,0,113,291
24050,"Pontiac/Pontiac"," 70","Grand-Calumet",87,24,0,6,86,17,3,223,407
24050,"Pontiac/Pontiac"," 71","Grand-Calumet",26,12,0,3,53,3,1,98,188
24050,"Pontiac/Pontiac"," 72","Bryson",67,12,0,2,61,1,0,143,278
24050,"Pontiac/Pontiac"," 72-1","Bryson",74,15,0,5,49,2,1,146,273
24050,"Pontiac/Pontiac"," 73","Portage-du-Fort",74,14,0,1,30,1,0,120,221
24050,"Pontiac/Pontiac"," 74","Litchfield",96,12,0,1,14,0,0,123,243
24050,"Pontiac/Pontiac"," 75","Shawville",92,11,0,1,20,1,2,127,345
24050,"Pontiac/Pontiac"," 76","Shawville",107,24,1,1,21,1,0,155,347
24050,"Pontiac/Pontiac"," 77","Shawville",87,16,0,3,20,0,2,128,276
24050,"Pontiac/Pontiac"," 78","Shawville",115,25,0,0,26,0,0,166,388
24050,"Pontiac/Pontiac"," 79","Clarendon",73,17,0,0,13,1,0,104,183
24050,"Pontiac/Pontiac"," 80","Lac-des-Loups",76,27,1,4,125,37,5,275,515
24050,"Pontiac/Pontiac"," 81","Sainte-Sophie--East Aldfield",53,5,2,4,55,38,3,160,282
24050,"Pontiac/Pontiac"," 82","Duclos",33,11,0,4,83,31,1,163,353
24050,"Pontiac/Pontiac"," 83","Wakefield",44,59,0,3,76,3,0,185,294
24050,"Pontiac/Pontiac"," 83-1","La Pêche",45,38,0,5,84,8,3,183,312
24050,"Pontiac/Pontiac"," 84","Masham",52,20,0,6,74,14,2,168,347
24050,"Pontiac/Pontiac"," 84-1","La Pêche",41,17,1,1,81,13,0,154,300
24050,"Pontiac/Pontiac"," 85","Masham",57,19,3,0,80,18,4,181,366
24050,"Pontiac/Pontiac"," 86","Masham",45,7,2,0,78,11,1,144,328
24050,"Pontiac/Pontiac"," 87","Masham",79,17,2,6,115,27,3,249,473
24050,"Pontiac/Pontiac"," 88","Masham",51,18,1,5,53,22,3,153,247
24050,"Pontiac/Pontiac"," 89","Wakefield",47,32,2,3,86,9,0,179,340
24050,"Pontiac/Pontiac"," 90","Wakefield",60,68,1,5,140,4,1,279,472
24050,"Pontiac/Pontiac"," 90-1","La Pêche",43,32,0,7,78,6,0,166,317
24050,"Pontiac/Pontiac"," 91","Wakefield",97,65,0,5,94,6,5,272,454
24050,"Pontiac/Pontiac"," 92","Wakefield",50,49,1,14,136,2,2,254,390
24050,"Pontiac/Pontiac"," 92-1","La Pêche",51,31,0,4,131,7,2,226,441
24050,"Pontiac/Pontiac"," 93","Bristol",83,15,1,1,36,4,0,140,301
24050,"Pontiac/Pontiac"," 94","Bristol",139,10,0,2,32,1,0,184,305
24050,"Pontiac/Pontiac"," 95","Bristol",86,21,0,0,28,1,1,137,244
24050,"Pontiac/Pontiac"," 96","Quyon",144,42,0,5,71,10,1,273,498
24050,"Pontiac/Pontiac"," 97","Quyon",96,13,0,5,55,5,0,174,389
24050,"Pontiac/Pontiac"," 98","Quyon",79,34,0,2,67,3,0,185,332
24050,"Pontiac/Pontiac"," 98-1","Pontiac",52,11,1,2,16,0,0,82,172
24050,"Pontiac/Pontiac"," 99","Luskville",53,23,0,5,86,6,2,175,366
24050,"Pontiac/Pontiac"," 99-1","Pontiac",26,14,0,4,70,25,4,143,256
24050,"Pontiac/Pontiac"," 100","Luskville",95,28,0,4,126,18,0,271,494
24050,"Pontiac/Pontiac"," 101","Luskville",75,31,0,6,123,8,2,245,507
24050,"Pontiac/Pontiac"," 102","Luskville",85,36,0,6,122,16,2,267,501
24050,"Pontiac/Pontiac"," 103","Luskville",68,29,1,11,129,20,1,259,473
24050,"Pontiac/Pontiac"," 103-1","Luskville",79,22,0,0,68,9,0,178,348
24050,"Pontiac/Pontiac"," 104","Chelsea",62,26,0,3,66,9,3,169,271
24050,"Pontiac/Pontiac"," 105","Chelsea",56,72,0,5,165,6,2,306,466
24050,"Pontiac/Pontiac"," 106","Chelsea",48,106,0,4,126,2,0,286,430
24050,"Pontiac/Pontiac"," 107","Chelsea",43,26,0,5,100,9,0,183,318
24050,"Pontiac/Pontiac"," 107-1","Chelsea",38,40,0,9,118,7,0,212,340
24050,"Pontiac/Pontiac"," 108","Chelsea",44,66,0,6,136,6,0,258,429
24050,"Pontiac/Pontiac"," 109","Chelsea",38,57,1,6,159,3,0,264,440
24050,"Pontiac/Pontiac"," 110","Chelsea",53,54,0,12,112,15,2,248,421
24050,"Pontiac/Pontiac"," 110-1","Chelsea",41,40,0,5,116,5,0,207,338
24050,"Pontiac/Pontiac"," 111","Chelsea",86,33,0,4,152,18,2,295,466
24050,"Pontiac/Pontiac"," 112","Chelsea",36,27,0,10,101,6,1,181,274
24050,"Pontiac/Pontiac"," 112-1","Chelsea",42,18,0,9,71,11,0,151,241
24050,"Pontiac/Pontiac"," 113","Chelsea",52,28,0,3,83,5,0,171,285
24050,"Pontiac/Pontiac"," 114","Chelsea",33,36,0,1,92,12,1,175,301
24050,"Pontiac/Pontiac"," 114-1","Chelsea",29,25,0,1,58,7,0,120,224
24050,"Pontiac/Pontiac"," 115","Cantley",34,38,1,4,130,20,0,227,420
24050,"Pontiac/Pontiac"," 115-1","Cantley",19,19,0,7,85,10,0,140,305
24050,"Pontiac/Pontiac"," 116","Cantley",45,22,1,4,96,23,2,193,455
24050,"Pontiac/Pontiac"," 117","Cantley",29,10,0,8,110,30,2,189,417
24050,"Pontiac/Pontiac"," 117-1","Cantley",24,19,2,5,148,30,0,228,466
24050,"Pontiac/Pontiac"," 118","Cantley",30,35,0,9,219,36,0,329,583
24050,"Pontiac/Pontiac"," 118-1","Cantley",67,29,0,4,152,26,2,280,593
24050,"Pontiac/Pontiac"," 119","Cantley",31,10,0,3,105,19,1,169,339
24050,"Pontiac/Pontiac"," 119-1","Cantley",25,12,1,5,108,17,1,169,312
24050,"Pontiac/Pontiac"," 120","Cantley",48,29,1,3,148,31,1,261,533
24050,"Pontiac/Pontiac"," 121","Cantley",25,29,2,4,122,20,3,205,432
24050,"Pontiac/Pontiac"," 121-1","Cantley",15,17,0,1,93,16,1,143,265
24050,"Pontiac/Pontiac"," 122","Cantley",23,21,1,3,147,27,2,224,514
24050,"Pontiac/Pontiac"," 123","Cantley",18,25,2,2,141,17,1,206,403
24050,"Pontiac/Pontiac"," 123-1","Cantley",34,34,0,2,144,36,2,252,449
24050,"Pontiac/Pontiac"," 124","Cantley",36,26,0,5,145,32,3,247,482
24050,"Pontiac/Pontiac"," 125","Val-des-Monts",87,37,0,2,55,8,0,189,369
24050,"Pontiac/Pontiac"," 126","Notre-Dame-de-la-Salette",35,15,1,8,113,17,0,189,338
24050,"Pontiac/Pontiac"," 127","Notre-Dame-de-la-Salette",46,13,0,3,80,23,2,167,295
24050,"Pontiac/Pontiac"," 128","Val-des-Monts",30,28,0,3,106,18,2,187,341
24050,"Pontiac/Pontiac"," 128-1","Val-des-Monts",55,16,0,2,58,16,1,148,270
24050,"Pontiac/Pontiac"," 129","Val-des-Monts",37,23,0,2,135,37,3,237,442
24050,"Pontiac/Pontiac"," 130","Val-des-Monts",17,16,0,10,92,21,2,158,314
24050,"Pontiac/Pontiac"," 130-1","Val-des-Monts",22,9,0,3,64,16,1,115,269
24050,"Pontiac/Pontiac"," 131","Val-des-Monts",32,11,1,2,91,23,0,160,346
24050,"Pontiac/Pontiac"," 132","Val-des-Monts",16,10,0,2,70,7,0,105,232
24050,"Pontiac/Pontiac"," 132-1","Val-des-Monts",24,20,0,5,126,28,2,205,443
24050,"Pontiac/Pontiac"," 133","Val-des-Monts",29,14,0,1,89,20,0,153,303
24050,"Pontiac/Pontiac"," 133-1","Val-des-Monts",33,19,0,3,90,22,3,170,390
24050,"Pontiac/Pontiac"," 134","Val-des-Monts",38,13,0,3,135,24,0,213,374
24050,"Pontiac/Pontiac"," 135","Val-des-Monts",31,11,1,3,100,11,2,159,336
24050,"Pontiac/Pontiac"," 135-1","Val-des-Monts",14,11,0,2,83,20,2,132,227
24050,"Pontiac/Pontiac"," 136","Val-des-Monts",45,13,1,4,154,32,1,250,505
24050,"Pontiac/Pontiac"," 136-1","Val-des-Monts",28,18,0,4,127,25,2,204,394
24050,"Pontiac/Pontiac"," 137","Val-des-Monts",17,14,0,4,85,15,0,135,306
24050,"Pontiac/Pontiac"," 137-1","Val-des-Monts",16,16,3,3,113,17,1,169,331
24050,"Pontiac/Pontiac"," 138","Val-des-Monts",15,7,1,11,83,33,5,155,331
24050,"Pontiac/Pontiac"," 138-1","Val-des-Monts",19,21,0,3,131,31,0,205,364
24050,"Pontiac/Pontiac"," 139","Val-des-Monts",39,23,0,5,224,29,5,325,604
24050,"Pontiac/Pontiac"," 140","Val-des-Monts",26,28,0,0,156,38,2,250,544
24050,"Pontiac/Pontiac"," 141","L'Ange-Gardien",29,27,1,3,126,16,2,204,384
24050,"Pontiac/Pontiac"," 141-1","L'Ange-Gardien",36,12,10,1,70,11,1,141,271
24050,"Pontiac/Pontiac"," 142","L'Ange-Gardien",13,8,0,1,70,17,0,109,230
24050,"Pontiac/Pontiac"," 143","L'Ange-Gardien",43,8,1,4,90,20,2,168,327
24050,"Pontiac/Pontiac"," 143-1","L'Ange-Gardien",27,13,0,1,85,17,0,143,300
24050,"Pontiac/Pontiac"," 144","L'Ange-Gardien",47,14,1,1,174,21,1,259,453
24050,"Pontiac/Pontiac"," 145","L'Ange-Gardien",48,32,0,3,145,26,2,256,469
24050,"Pontiac/Pontiac"," 145-1","L'Ange-Gardien",29,19,0,0,83,18,0,149,258
24050,"Pontiac/Pontiac"," 146","L'Ange-Gardien",40,20,0,2,148,14,3,227,423
24050,"Pontiac/Pontiac"," 147","L'Ange-Gardien",52,28,0,2,150,26,1,259,486
24050,"Pontiac/Pontiac"," 147-1","L'Ange-Gardien",29,19,1,2,103,31,0,185,336
24050,"Pontiac/Pontiac"," 148","Buckingham",19,16,0,1,69,15,2,122,280
24050,"Pontiac/Pontiac"," 149","Buckingham",31,13,2,3,111,32,1,193,348
24050,"Pontiac/Pontiac"," 150","Buckingham",38,15,0,3,125,23,0,204,410
24050,"Pontiac/Pontiac"," 151","Buckingham",36,15,0,3,94,19,1,168,333
24050,"Pontiac/Pontiac"," 152","Buckingham",39,15,1,5,93,20,2,175,308
24050,"Pontiac/Pontiac"," 153","Buckingham",26,25,0,2,129,16,3,201,375
24050,"Pontiac/Pontiac"," 154","Buckingham",48,28,1,4,200,34,5,320,614
24050,"Pontiac/Pontiac"," 155","Buckingham",65,12,3,3,165,48,2,298,516
24050,"Pontiac/Pontiac"," 156","Buckingham",17,13,1,1,76,16,0,124,353
24050,"Pontiac/Pontiac"," 157","Buckingham",24,10,0,1,104,28,2,169,365
24050,"Pontiac/Pontiac"," 158","Buckingham",24,9,0,1,111,7,0,152,354
24050,"Pontiac/Pontiac"," 159","Buckingham",48,17,0,6,105,7,0,183,436
24050,"Pontiac/Pontiac"," 160","Buckingham",26,21,0,3,57,17,2,126,424
24050,"Pontiac/Pontiac"," 161","Buckingham",22,9,1,2,50,11,3,98,322
24050,"Pontiac/Pontiac"," 162","Buckingham",30,13,1,1,89,22,2,158,346
24050,"Pontiac/Pontiac"," 163","Buckingham",28,22,0,3,73,8,1,135,387
24050,"Pontiac/Pontiac"," 164","Buckingham",56,10,0,3,126,28,3,226,409
24050,"Pontiac/Pontiac"," 165","Buckingham",23,9,0,5,98,26,1,162,351
24050,"Pontiac/Pontiac"," 166","Buckingham",44,16,1,4,99,33,0,197,398
24050,"Pontiac/Pontiac"," 167","Buckingham",35,6,0,1,76,25,0,143,322
24050,"Pontiac/Pontiac"," 168","Buckingham",23,20,1,3,79,22,2,150,340
24050,"Pontiac/Pontiac"," 169","Buckingham",34,16,0,1,52,25,1,129,309
24050,"Pontiac/Pontiac"," 170","Buckingham",26,11,0,0,67,11,2,117,341
24050,"Pontiac/Pontiac"," 171","Buckingham",52,20,1,3,154,50,4,284,727
24050,"Pontiac/Pontiac"," 172","Masson-Angers",31,10,0,5,192,32,2,272,509
24050,"Pontiac/Pontiac"," 172-1","Gatineau",42,24,0,4,175,32,0,277,461
24050,"Pontiac/Pontiac"," 173","Masson-Angers",25,10,0,2,131,29,3,200,373
24050,"Pontiac/Pontiac"," 174","Masson-Angers",26,13,0,3,123,26,0,191,333
24050,"Pontiac/Pontiac"," 175","Masson-Angers",29,8,0,1,105,21,1,165,272
24050,"Pontiac/Pontiac"," 175-1","Gatineau",18,10,0,2,86,9,0,125,245
24050,"Pontiac/Pontiac"," 176","Masson-Angers",26,18,1,0,149,32,7,233,456
24050,"Pontiac/Pontiac"," 177","Masson-Angers",24,4,0,2,86,19,0,135,303
24050,"Pontiac/Pontiac"," 178","Masson-Angers",37,8,1,3,132,23,1,205,325
24050,"Pontiac/Pontiac"," 179","Masson-Angers",17,15,1,4,92,14,0,143,312
24050,"Pontiac/Pontiac"," 180","Masson-Angers",35,15,0,2,98,19,1,170,331
24050,"Pontiac/Pontiac"," 181","Masson-Angers",20,6,0,5,60,15,2,108,258
24050,"Pontiac/Pontiac"," 182","Masson-Angers",26,10,0,4,134,31,0,205,390
24050,"Pontiac/Pontiac"," 182-1","Gatineau",18,10,0,4,99,21,7,159,359
24050,"Pontiac/Pontiac"," 183","Masson-Angers",26,13,0,0,105,29,3,176,347
24050,"Pontiac/Pontiac"," 184","Masson-Angers",14,12,0,2,105,21,5,159,375
24050,"Pontiac/Pontiac"," 185","Masson-Angers",12,8,0,0,78,12,1,111,241
24050,"Pontiac/Pontiac"," 186","Masson-Angers",13,10,0,3,73,14,0,113,211
24050,"Pontiac/Pontiac"," 187","Masson-Angers",33,16,1,5,175,33,0,263,637
24050,"Pontiac/Pontiac"," 188","Masson-Angers",21,14,0,6,128,26,3,198,355
24050,"Pontiac/Pontiac"," 189","Masson-Angers",31,24,1,5,98,31,1,191,370
24050,"Pontiac/Pontiac"," 190","Masson-Angers",20,6,2,2,117,24,1,172,380
24050,"Pontiac/Pontiac"," 191","Masson-Angers",29,17,0,4,99,18,1,168,421
24050,"Pontiac/Pontiac"," 192","Masson-Angers",57,24,0,2,142,28,2,255,541
24050,"Pontiac/Pontiac"," 500","Mobile poll/Bureau itinérant",12,8,0,1,6,4,1,32,104
24050,"Pontiac/Pontiac"," 501","Mobile poll/Bureau itinérant",7,9,0,0,1,1,1,19,64
24050,"Pontiac/Pontiac"," 502","Mobile poll/Bureau itinérant",19,12,1,1,4,0,4,41,63
24050,"Pontiac/Pontiac"," 503","Mobile poll/Bureau itinérant",13,7,0,0,1,0,2,23,52
24050,"Pontiac/Pontiac"," 504","Mobile poll/Bureau itinérant",2,2,0,1,1,1,0,7,14
24050,"Pontiac/Pontiac"," 600","Déléage",55,27,1,2,63,33,2,183,
24050,"Pontiac/Pontiac"," 601","Déléage",104,47,0,5,88,52,1,297,
24050,"Pontiac/Pontiac"," 602","Maniwaki",223,53,3,5,119,74,10,487,
24050,"Pontiac/Pontiac"," 603","Gracefield",116,37,1,10,109,37,2,312,
24050,"Pontiac/Pontiac"," 604","Low",90,31,0,2,26,7,0,156,
24050,"Pontiac/Pontiac"," 605","Rapides-des-Joachims",4,8,0,0,5,9,0,26,
24050,"Pontiac/Pontiac"," 606","Fort-Coulonge",187,97,0,4,121,43,7,459,
24050,"Pontiac/Pontiac"," 607","Fort-Coulonge",45,23,0,0,18,1,2,89,
24050,"Pontiac/Pontiac"," 608","Shawville",187,36,0,2,51,5,2,283,
24050,"Pontiac/Pontiac"," 609","Shawville",295,53,1,3,27,3,4,386,
24050,"Pontiac/Pontiac"," 610","Wakefield",124,169,1,10,82,11,0,397,
24050,"Pontiac/Pontiac"," 611","Masham",96,44,0,3,86,50,2,281,
24050,"Pontiac/Pontiac"," 612","Luskville",152,77,0,11,99,29,1,369,
24050,"Pontiac/Pontiac"," 613","Chelsea",142,224,0,9,115,28,1,519,
24050,"Pontiac/Pontiac"," 614","Chelsea",91,130,0,6,123,34,0,384,
24050,"Pontiac/Pontiac"," 615","Cantley",103,89,0,12,214,86,7,511,
24050,"Pontiac/Pontiac"," 616","Cantley",58,66,1,10,174,46,0,355,
24050,"Pontiac/Pontiac"," 617","Val-des-Monts",51,53,0,8,67,25,1,205,
24050,"Pontiac/Pontiac"," 618","Val-des-Monts",85,63,1,9,192,70,2,422,
24050,"Pontiac/Pontiac"," 619","L'Ange-Gardien",85,40,0,3,142,38,2,310,
24050,"Pontiac/Pontiac"," 620","Buckingham",126,43,1,2,147,57,1,377,
24050,"Pontiac/Pontiac"," 621","Buckingham",45,23,0,0,59,27,4,158,
24050,"Pontiac/Pontiac"," 622","Buckingham",80,22,0,5,82,33,0,222,
24050,"Pontiac/Pontiac"," 623","Buckingham",149,57,0,3,100,48,5,362,
24050,"Pontiac/Pontiac"," 624","Angers",33,26,0,3,125,37,2,226,
24050,"Pontiac/Pontiac"," 625","Angers",41,22,0,2,100,27,5,197,
24050,"Pontiac/Pontiac"," 626","Masson",33,15,0,2,70,21,2,143,
24050,"Pontiac/Pontiac"," 627","Masson",59,21,0,0,63,35,1,179,
24050,"Pontiac/Pontiac",,Group 1/Groupe 1,77,46,1,4,16,17,5,166,317
24050,"Pontiac/Pontiac",,Group 2/Groupe 2,248,152,3,18,161,89,17,688,
