Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tom Lukiwski,Monica Lysack,Billy Patterson,Brian Sklar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 25","Earl Grey",81,9,5,26,0,121,224
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 25-1","Earl Grey",99,8,4,52,0,163,241
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26","Silton",164,11,6,106,0,287,406
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 26-1","Silton",119,5,7,52,0,183,257
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 27","Tugaske",84,3,6,12,0,105,144
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 28","Eyebrow",207,9,1,44,0,261,392
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 29","Marquis",86,5,2,27,0,120,209
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 30","Tuxford",142,6,5,59,0,212,313
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 31","Craven",131,19,5,75,0,230,356
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 32","Bethune Rural",104,15,3,46,0,168,250
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 33","Bethune",132,14,3,55,0,204,275
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 34","Regina Beach",148,12,10,95,1,266,375
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35","Regina Beach",127,12,9,76,0,224,357
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 35-1","Regina Beach",110,6,3,53,0,172,267
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 36","Buena Vista",193,13,16,103,0,325,470
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 37","Disley",146,6,11,56,0,219,347
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 38","Craven Rural",136,17,10,62,1,226,430
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 39","Lumsden",136,20,7,111,2,276,401
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 40","Lumsden",146,20,9,100,1,276,446
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 41","Lumsden",147,14,12,102,0,275,471
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 42","Lumsden Rural",185,13,9,79,0,286,456
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 42-1","Condie",86,14,4,41,0,145,209
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 43","Valleyview",103,6,4,25,0,138,184
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 44","Grand Coulee",134,25,6,93,0,258,408
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 45","Regina",108,33,5,115,0,261,473
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 46","Regina",61,10,0,41,0,112,182
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 46-1","Regina",126,19,5,101,0,251,439
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 47","Regina",136,22,7,111,0,276,456
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 48","Regina",131,20,10,101,1,263,444
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 49","Regina",139,39,2,100,2,282,423
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 50","Regina",156,33,3,109,2,303,520
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 51","Regina",74,14,9,65,0,162,294
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 52","Regina",90,19,5,72,1,187,370
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 53","Regina",88,17,8,94,1,208,352
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 54","Regina",108,32,8,84,0,232,356
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 55","Regina",111,39,7,89,1,247,405
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 56","Regina",117,23,6,97,2,245,480
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 57","Regina",82,12,1,71,0,166,301
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 58","Regina",86,15,3,99,1,204,416
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 59","Regina",99,19,3,88,0,209,327
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 60","Regina",107,19,9,117,2,254,460
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 61","Regina",115,16,10,91,1,233,398
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 62","Regina",113,20,3,88,1,225,362
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 63","Regina",112,22,8,132,0,274,475
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 64","Regina",70,8,3,62,0,143,270
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 65","Regina",98,9,3,107,1,218,369
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66","Regina",103,6,6,57,0,172,277
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66-1","Regina",115,21,6,60,0,202,349
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 67","Regina",168,19,11,95,1,294,462
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 68","Regina",104,16,4,62,1,187,367
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 69","Regina",117,15,1,77,0,210,320
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 70","Regina",101,20,4,83,1,209,355
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 71","Regina",122,12,6,100,0,240,441
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72","Regina",104,14,4,78,0,200,384
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72-1","Regina",155,18,6,69,1,249,408
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72-2","Regina",Merged with No. 69/Fusionné avec le nº 69,,,,,,89
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 73","Regina",121,11,4,108,0,244,405
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 74","Regina",97,10,10,84,0,201,332
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 75","Regina",143,7,10,108,0,268,408
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 76","Regina",124,19,5,115,1,264,463
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 77","Regina",97,23,8,96,0,224,340
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 78","Regina",Void/Supprimé,,,,,,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 79","Regina",142,25,9,126,1,303,486
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 80","Regina",105,18,2,103,0,228,388
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 81","Regina",70,13,5,106,0,194,354
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 82","Regina",90,9,2,97,0,198,317
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 83","Regina",105,14,10,91,0,220,352
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 84","Regina",93,13,6,97,0,209,345
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 85","Regina",90,14,6,87,2,199,345
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 86","Regina",89,13,15,116,0,233,370
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 87","Regina",108,10,8,103,0,229,410
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 88","Regina",61,14,11,71,0,157,238
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 89","Regina",48,7,6,88,0,149,292
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 90","Regina",86,21,5,95,0,207,351
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 91","Regina",123,11,2,57,0,193,340
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 92","Regina",120,29,5,84,2,240,376
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93","Regina",167,38,8,89,0,302,481
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-1","Regina",171,21,7,94,0,293,503
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-2","Regina",125,26,3,71,0,225,377
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-3","Regina",128,13,7,65,0,213,350
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-4","Regina",185,19,4,85,1,294,516
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-5A","Regina",97,17,6,60,1,181,334
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-5B","Regina",91,16,5,61,0,173,311
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-6","Regina",129,21,2,92,1,245,429
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 94","Regina",160,25,3,86,3,277,400
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95","Regina",117,15,3,73,1,209,324
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95-1","Regina",102,19,5,75,0,201,337
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 96","Regina",101,21,4,92,0,218,384
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 97","Regina",170,26,3,93,0,292,464
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 98","Regina",118,16,3,124,3,264,414
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 99","Regina",126,22,3,102,2,255,419
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 100","Regina",137,24,14,132,0,307,477
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 101","Regina",123,26,5,106,0,260,449
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 102","Regina",82,20,6,90,0,198,272
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 103","Regina",167,26,4,89,0,286,438
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 104","Regina",104,24,6,86,0,220,336
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 105","Regina",95,10,3,89,1,198,300
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 106","Regina",107,25,7,92,0,231,427
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 107","Regina",124,23,5,108,0,260,411
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 108","Regina",76,11,6,83,1,177,312
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 109","Regina",81,14,4,85,0,184,300
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 110","Regina",74,17,8,93,1,193,294
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 111","Regina",95,11,0,69,0,175,276
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 112","Regina",50,21,6,89,0,166,370
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 113","Regina",103,9,7,92,0,211,407
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 114","Regina",72,12,5,66,0,155,289
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 115","Regina",76,13,4,74,1,168,325
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 116","Regina",56,7,9,75,2,149,349
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 117","Regina",62,7,4,73,1,147,374
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 118","Regina",102,19,5,110,1,237,382
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 119","Regina",103,14,8,117,1,243,374
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 120","Regina",91,18,8,81,0,198,355
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 121","Regina",67,15,4,89,0,175,303
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 122","Regina",58,11,7,71,0,147,342
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 123","Regina",69,9,6,94,1,179,347
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 124","Regina",72,11,7,56,2,148,316
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 125","Regina",92,14,8,97,0,211,376
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 126","Regina",81,13,8,107,1,210,355
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 127","Regina",57,12,7,83,0,159,302
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 128","Regina",50,8,4,66,1,129,274
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 129","Regina",38,3,9,76,0,126,251
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 130","Regina",62,8,12,67,0,149,283
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 131","Regina",57,4,6,85,0,152,316
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 132","Regina",66,8,5,134,0,213,401
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 133","Regina",41,32,7,76,3,159,264
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 134","Regina",70,15,6,93,2,186,311
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 135","Regina",65,14,9,105,1,194,361
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 136","Regina",73,16,5,92,1,187,319
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 600","Craik",66,4,4,12,0,86,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 601","Liberty",57,3,0,29,0,89,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 602","Strasbourg",182,13,7,52,1,255,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 603","Marquis",54,1,2,9,0,66,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 604","Lumsden",165,14,7,98,0,284,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 605","Regina",178,33,9,99,1,320,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 606","Regina",82,15,3,60,0,160,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 607","Regina",239,40,2,132,1,414,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 608","Regina",92,17,4,80,0,193,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 609","Regina",191,45,7,134,1,378,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 610","Regina",135,27,8,158,4,332,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 611","Regina",118,28,6,142,0,294,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 1/Groupe 1,29,13,4,15,6,67,113
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 2/Groupe 2,229,56,10,111,5,411,
