Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Clary,Ralph Goodale,Ian Shields,Marc Spooner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Wascana/Wascana"," 46A","Regina",2,34,56,53,0,145,287
47013,"Wascana/Wascana"," 46B","Regina",1,41,48,33,0,123,258
47013,"Wascana/Wascana"," 47","Regina",6,60,87,21,0,174,282
47013,"Wascana/Wascana"," 48","Regina",5,75,70,65,0,215,437
47013,"Wascana/Wascana"," 49","Regina",1,37,52,30,0,120,249
47013,"Wascana/Wascana"," 50","Regina",4,41,31,52,1,129,265
47013,"Wascana/Wascana"," 51","Regina",7,38,53,64,0,162,346
47013,"Wascana/Wascana"," 52","Regina",8,59,49,57,1,174,361
47013,"Wascana/Wascana"," 53","Regina",7,72,33,55,0,167,289
47013,"Wascana/Wascana"," 54","Regina",14,85,41,70,0,210,427
47013,"Wascana/Wascana"," 55","Regina",8,52,55,60,0,175,336
47013,"Wascana/Wascana"," 56","Regina",5,50,33,51,1,140,275
47013,"Wascana/Wascana"," 57","Regina",3,62,39,41,0,145,280
47013,"Wascana/Wascana"," 58","Regina",11,98,39,77,0,225,398
47013,"Wascana/Wascana"," 59","Regina",7,72,71,56,0,206,402
47013,"Wascana/Wascana"," 60","Regina",5,48,45,41,0,139,324
47013,"Wascana/Wascana"," 61","Regina",5,38,53,49,2,147,299
47013,"Wascana/Wascana"," 62A","Regina",6,33,24,35,1,99,241
47013,"Wascana/Wascana"," 62B","Regina",2,26,35,41,1,105,280
47013,"Wascana/Wascana"," 63","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 64","Regina",2,43,38,26,0,109,216
47013,"Wascana/Wascana"," 65","Regina",0,53,60,59,0,172,291
47013,"Wascana/Wascana"," 66","Regina",9,59,40,44,3,155,247
47013,"Wascana/Wascana"," 67","Regina",5,66,64,28,0,163,289
47013,"Wascana/Wascana"," 68","Regina",8,87,66,43,0,204,317
47013,"Wascana/Wascana"," 69","Regina",4,73,67,55,0,199,313
47013,"Wascana/Wascana"," 70","Regina",6,108,95,59,0,268,404
47013,"Wascana/Wascana"," 71","Regina",3,67,55,40,1,166,251
47013,"Wascana/Wascana"," 72","Regina",4,95,56,44,0,199,298
47013,"Wascana/Wascana"," 73","Regina",8,128,83,31,0,250,367
47013,"Wascana/Wascana"," 74A","Regina",1,78,76,32,0,187,262
47013,"Wascana/Wascana"," 74B","Regina",3,54,74,26,0,157,237
47013,"Wascana/Wascana"," 74-1","Regina",6,118,129,65,0,318,498
47013,"Wascana/Wascana"," 75A","Regina",3,57,47,29,0,136,242
47013,"Wascana/Wascana"," 75B","Regina",2,63,74,35,0,174,266
47013,"Wascana/Wascana"," 75-1","Regina",0,76,102,34,0,212,395
47013,"Wascana/Wascana"," 75-2A","Regina",5,42,88,20,0,155,261
47013,"Wascana/Wascana"," 75-2B","Regina",2,52,91,8,1,154,232
47013,"Wascana/Wascana"," 75-3A","Regina",6,68,72,18,0,164,269
47013,"Wascana/Wascana"," 75-3B","Regina",2,58,56,12,0,128,236
47013,"Wascana/Wascana"," 76A","Regina",8,111,94,18,0,231,345
47013,"Wascana/Wascana"," 76B","Regina",4,90,75,28,0,197,331
47013,"Wascana/Wascana"," 77","Regina",4,118,136,65,1,324,497
47013,"Wascana/Wascana"," 78","Regina",11,82,109,45,0,247,374
47013,"Wascana/Wascana"," 79","Regina",5,56,56,23,0,140,224
47013,"Wascana/Wascana"," 80","Regina",3,100,134,39,1,277,426
47013,"Wascana/Wascana"," 81","Regina",2,101,114,32,1,250,403
47013,"Wascana/Wascana"," 81-1","Regina",1,67,76,23,0,167,299
47013,"Wascana/Wascana"," 82","Regina",3,126,137,29,0,295,427
47013,"Wascana/Wascana"," 82-1","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 83A","Regina",2,75,48,22,1,148,235
47013,"Wascana/Wascana"," 83B","Regina",2,92,54,18,1,167,243
47013,"Wascana/Wascana"," 84","Regina",4,144,76,31,0,255,404
47013,"Wascana/Wascana"," 85","Regina",9,97,105,44,0,255,407
47013,"Wascana/Wascana"," 86","Regina",6,155,131,44,0,336,460
47013,"Wascana/Wascana"," 87","Regina",4,135,95,40,2,276,427
47013,"Wascana/Wascana"," 88A","Regina",2,98,75,21,1,197,270
47013,"Wascana/Wascana"," 88B","Regina",2,63,76,17,1,159,226
47013,"Wascana/Wascana"," 89A","Regina",5,59,84,34,0,182,271
47013,"Wascana/Wascana"," 89B","Regina",5,92,70,31,0,198,314
47013,"Wascana/Wascana"," 90A","Regina",4,78,76,18,0,176,250
47013,"Wascana/Wascana"," 90B","Regina",5,74,52,19,0,150,234
47013,"Wascana/Wascana"," 91","Regina",5,106,69,20,0,200,318
47013,"Wascana/Wascana"," 92","Regina",4,148,59,21,0,232,348
47013,"Wascana/Wascana"," 92-1","Regina",0,99,78,25,0,202,279
47013,"Wascana/Wascana"," 93","Regina",7,126,81,32,0,246,369
47013,"Wascana/Wascana"," 94","Regina",2,112,57,22,1,194,307
47013,"Wascana/Wascana"," 95","Regina",6,101,65,35,0,207,306
47013,"Wascana/Wascana"," 96","Regina",5,103,44,31,0,183,285
47013,"Wascana/Wascana"," 97","Regina",6,64,46,39,0,155,269
47013,"Wascana/Wascana"," 98","Regina",1,138,76,33,1,249,365
47013,"Wascana/Wascana"," 99","Regina",4,77,44,20,0,145,263
47013,"Wascana/Wascana"," 100","Regina",6,34,23,27,1,91,198
47013,"Wascana/Wascana"," 101","Regina",2,27,32,36,1,98,268
47013,"Wascana/Wascana"," 101-1","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 102","Regina",3,48,57,44,0,152,374
47013,"Wascana/Wascana"," 103","Regina",5,92,77,47,0,221,386
47013,"Wascana/Wascana"," 104","Regina",5,13,7,6,0,31,84
47013,"Wascana/Wascana"," 105","Regina",3,115,62,23,1,204,286
47013,"Wascana/Wascana"," 106","Regina",2,118,97,20,0,237,350
47013,"Wascana/Wascana"," 107","Regina",4,90,97,34,2,227,364
47013,"Wascana/Wascana"," 108","Regina",4,100,65,23,0,192,295
47013,"Wascana/Wascana"," 109","Regina",7,130,88,18,1,244,353
47013,"Wascana/Wascana"," 110","Regina",5,67,93,29,0,194,304
47013,"Wascana/Wascana"," 111","Regina",2,88,70,19,0,179,301
47013,"Wascana/Wascana"," 112","Regina",3,100,73,17,0,193,309
47013,"Wascana/Wascana"," 113","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 114","Regina",6,139,75,23,0,243,366
47013,"Wascana/Wascana"," 115","Regina",4,134,99,19,0,256,415
47013,"Wascana/Wascana"," 116","Regina",3,66,67,37,1,174,267
47013,"Wascana/Wascana"," 117","Regina",6,141,120,33,0,300,468
47013,"Wascana/Wascana"," 118","Regina",3,112,88,24,0,227,347
47013,"Wascana/Wascana"," 119","Regina",2,128,96,35,1,262,426
47013,"Wascana/Wascana"," 119-1","Regina",3,147,118,12,0,280,465
47013,"Wascana/Wascana"," 120A","Regina",1,71,65,6,0,143,241
47013,"Wascana/Wascana"," 120B","Regina",1,94,70,2,0,167,254
47013,"Wascana/Wascana"," 120-1","Regina",3,69,90,21,0,183,348
47013,"Wascana/Wascana"," 121","Regina",2,120,120,36,0,278,467
47013,"Wascana/Wascana"," 122","Regina",2,50,22,33,0,107,238
47013,"Wascana/Wascana"," 123","Regina",7,83,68,17,0,175,269
47013,"Wascana/Wascana"," 124","Regina",6,99,45,21,2,173,260
47013,"Wascana/Wascana"," 125","Regina",3,117,61,35,0,216,325
47013,"Wascana/Wascana"," 126","Regina",4,115,38,36,0,193,317
47013,"Wascana/Wascana"," 127","Regina",4,102,59,32,0,197,320
47013,"Wascana/Wascana"," 128","Regina",2,74,84,41,0,201,298
47013,"Wascana/Wascana"," 129","Regina",2,88,62,28,0,180,271
47013,"Wascana/Wascana"," 130","Regina",6,116,53,48,0,223,345
47013,"Wascana/Wascana"," 131","Regina",3,91,78,43,1,216,323
47013,"Wascana/Wascana"," 132","Regina",9,102,93,41,1,246,342
47013,"Wascana/Wascana"," 133","Regina",6,104,101,59,0,270,407
47013,"Wascana/Wascana"," 134","Regina",8,124,60,37,0,229,313
47013,"Wascana/Wascana"," 135","Regina",7,129,71,43,0,250,342
47013,"Wascana/Wascana"," 136","Regina",9,111,64,26,0,210,327
47013,"Wascana/Wascana"," 137","Estlin--Richardson",2,33,86,17,0,138,185
47013,"Wascana/Wascana"," 138","Kronau--Lajord",11,83,195,54,0,343,578
47013,"Wascana/Wascana"," 139","Riceton--Gray",8,53,106,31,0,198,273
47013,"Wascana/Wascana"," 140","Vibank",8,50,101,24,4,187,308
47013,"Wascana/Wascana"," 141","Vibank--Odessa",3,78,168,31,0,280,417
47013,"Wascana/Wascana"," 142","Sedley",6,42,106,36,1,191,354
47013,"Wascana/Wascana"," 143","Francis",5,22,93,30,0,150,235
47013,"Wascana/Wascana"," 144","Kendal--Montmartre",0,26,50,10,1,87,190
47013,"Wascana/Wascana"," 145","Candiac--Montmartre",8,11,101,13,0,133,192
47013,"Wascana/Wascana"," 146","Montmartre",4,57,122,42,0,225,428
47013,"Wascana/Wascana"," 147","Carry the Kettle Nakoda First Nation 76-15",Merged with No. 611/Fusionné avec le nº 611,,,,,,270
47013,"Wascana/Wascana"," 400","Regina",3,44,49,37,3,136,174
47013,"Wascana/Wascana"," 401","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 402","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 403","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 404","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 405","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 406","Regina",4,38,32,33,2,109,152
47013,"Wascana/Wascana"," 407","Regina",1,49,52,28,0,130,155
47013,"Wascana/Wascana"," 408","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 409","Regina",5,37,36,33,1,112,142
47013,"Wascana/Wascana"," 410","Regina",4,55,34,13,1,107,129
47013,"Wascana/Wascana"," 411","Regina",1,61,37,22,1,122,154
47013,"Wascana/Wascana"," 412","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 413","Regina",2,74,50,21,0,147,160
47013,"Wascana/Wascana"," 414","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 415","Regina",1,54,41,34,2,132,152
47013,"Wascana/Wascana"," 416","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 417","Regina",9,44,23,30,1,107,236
47013,"Wascana/Wascana"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 501","Mobile poll/Bureau itinérant",1,58,68,48,0,175,204
47013,"Wascana/Wascana"," 502","Mobile poll/Bureau itinérant",3,45,31,33,2,114,178
47013,"Wascana/Wascana"," 503","Mobile poll/Bureau itinérant",5,43,27,46,1,122,174
47013,"Wascana/Wascana"," 504","Mobile poll/Bureau itinérant",2,38,67,21,0,128,160
47013,"Wascana/Wascana"," 505","Mobile poll/Bureau itinérant",3,45,63,39,2,152,196
47013,"Wascana/Wascana"," 506A","Mobile poll/Bureau itinérant",1,31,41,25,0,98,54
47013,"Wascana/Wascana"," 506B","Mobile poll/Bureau itinérant",0,70,37,28,2,137,91
47013,"Wascana/Wascana"," 507","Mobile poll/Bureau itinérant",0,81,44,32,1,158,186
47013,"Wascana/Wascana"," 508","Mobile poll/Bureau itinérant",2,31,56,25,0,114,143
47013,"Wascana/Wascana"," 600","Regina",16,197,122,125,0,460,
47013,"Wascana/Wascana"," 601","Regina",7,100,98,48,1,254,
47013,"Wascana/Wascana"," 602","Regina",8,125,135,60,1,329,
47013,"Wascana/Wascana"," 603","Regina",13,155,128,96,0,392,
47013,"Wascana/Wascana"," 604","Regina",8,229,189,37,0,463,
47013,"Wascana/Wascana"," 605","Regina",10,212,138,49,1,410,
47013,"Wascana/Wascana"," 606","Regina",10,361,294,33,3,701,
47013,"Wascana/Wascana"," 607","Regina",10,188,121,60,0,379,
47013,"Wascana/Wascana"," 608","Riceton--Kronau--Lajord",0,23,47,7,0,77,
47013,"Wascana/Wascana"," 609","Vibank--Odessa--Sedley--Francis",0,21,35,21,0,77,
47013,"Wascana/Wascana"," 610","Kendal--Montmartre",1,16,41,8,0,66,
47013,"Wascana/Wascana"," 611","Carry the Kettle Nakoda First Nation 76-15",0,30,2,16,0,48,
47013,"Wascana/Wascana"," 612","Regina",4,182,164,31,0,381,
47013,"Wascana/Wascana",,Group 1/Groupe 1,2,56,30,21,9,118,185
47013,"Wascana/Wascana",,Group 2/Groupe 2,15,264,162,70,5,516,
