Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Françoise Boivin,Jennifer Gearey,Steve MacKinnon,Jonathan Meijer,Richard Nadeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Gatineau/Gatineau"," 40","Gatineau",135,10,37,2,27,0,211,350
24020,"Gatineau/Gatineau"," 41","Gatineau",127,7,6,0,22,1,163,354
24020,"Gatineau/Gatineau"," 42","Gatineau",90,15,16,1,16,1,139,320
24020,"Gatineau/Gatineau"," 43","Gatineau",113,10,13,3,25,0,164,359
24020,"Gatineau/Gatineau"," 44","Gatineau",85,12,10,0,23,2,132,319
24020,"Gatineau/Gatineau"," 45","Gatineau",86,8,9,2,26,1,132,274
24020,"Gatineau/Gatineau"," 46","Gatineau",104,10,21,3,21,1,160,341
24020,"Gatineau/Gatineau"," 47","Gatineau",119,2,16,0,23,2,162,366
24020,"Gatineau/Gatineau"," 48","Gatineau",96,10,21,1,21,0,149,474
24020,"Gatineau/Gatineau"," 49","Gatineau",89,19,6,2,11,2,129,407
24020,"Gatineau/Gatineau"," 50","Gatineau",147,19,14,4,29,1,214,456
24020,"Gatineau/Gatineau"," 51","Gatineau",87,9,22,0,22,1,141,379
24020,"Gatineau/Gatineau"," 52","Gatineau",106,13,39,0,40,3,201,361
24020,"Gatineau/Gatineau"," 53","Gatineau",115,13,19,4,16,2,169,350
24020,"Gatineau/Gatineau"," 54","Gatineau",74,8,15,2,17,1,117,221
24020,"Gatineau/Gatineau"," 55","Gatineau",136,17,20,4,25,3,205,361
24020,"Gatineau/Gatineau"," 56","Gatineau",119,13,19,1,23,2,177,344
24020,"Gatineau/Gatineau"," 57","Gatineau",103,17,22,2,19,1,164,347
24020,"Gatineau/Gatineau"," 58","Gatineau",102,17,15,1,32,0,167,284
24020,"Gatineau/Gatineau"," 59","Gatineau",87,14,24,3,17,1,146,324
24020,"Gatineau/Gatineau"," 60","Gatineau",78,3,31,0,31,2,145,361
24020,"Gatineau/Gatineau"," 61","Gatineau",117,27,53,2,24,1,224,362
24020,"Gatineau/Gatineau"," 62","Gatineau",78,7,6,4,34,0,129,316
24020,"Gatineau/Gatineau"," 63","Gatineau",83,10,18,1,12,1,125,320
24020,"Gatineau/Gatineau"," 64","Gatineau",72,7,12,1,12,0,104,267
24020,"Gatineau/Gatineau"," 65","Gatineau",106,12,16,4,18,0,156,405
24020,"Gatineau/Gatineau"," 66","Gatineau",63,9,8,0,23,1,104,347
24020,"Gatineau/Gatineau"," 67","Gatineau",86,4,11,0,13,2,116,317
24020,"Gatineau/Gatineau"," 68","Gatineau",181,27,36,0,25,2,271,390
24020,"Gatineau/Gatineau"," 69A","Gatineau",100,16,31,1,27,1,176,294
24020,"Gatineau/Gatineau"," 69B","Gatineau",130,17,17,2,27,0,193,322
24020,"Gatineau/Gatineau"," 70","Gatineau",79,11,16,0,10,0,116,274
24020,"Gatineau/Gatineau"," 71","Gatineau",143,13,46,1,36,3,242,372
24020,"Gatineau/Gatineau"," 72","Gatineau",103,10,23,3,12,1,152,256
24020,"Gatineau/Gatineau"," 73","Gatineau",96,5,14,2,15,0,132,219
24020,"Gatineau/Gatineau"," 74","Gatineau",146,13,28,4,27,1,219,450
24020,"Gatineau/Gatineau"," 75","Gatineau",122,6,34,2,34,0,198,371
24020,"Gatineau/Gatineau"," 76","Gatineau",121,16,17,1,17,0,172,376
24020,"Gatineau/Gatineau"," 77","Gatineau",121,12,51,5,38,0,227,354
24020,"Gatineau/Gatineau"," 78","Gatineau",109,13,18,1,31,0,172,339
24020,"Gatineau/Gatineau"," 79","Gatineau",160,21,29,3,17,1,231,439
24020,"Gatineau/Gatineau"," 80","Gatineau",138,23,13,1,24,0,199,318
24020,"Gatineau/Gatineau"," 81","Gatineau",168,12,35,3,28,2,248,445
24020,"Gatineau/Gatineau"," 82","Gatineau",99,16,16,2,12,0,145,344
24020,"Gatineau/Gatineau"," 83","Gatineau",114,15,35,1,24,2,191,392
24020,"Gatineau/Gatineau"," 83-1A","Gatineau",91,12,35,1,19,2,160,348
24020,"Gatineau/Gatineau"," 83-1B","Gatineau",103,23,38,1,11,0,176,348
24020,"Gatineau/Gatineau"," 84","Gatineau",126,14,38,1,28,3,210,338
24020,"Gatineau/Gatineau"," 85","Gatineau",154,14,35,3,35,2,243,359
24020,"Gatineau/Gatineau"," 86","Gatineau",43,11,19,1,16,0,90,435
24020,"Gatineau/Gatineau"," 86-1","Gatineau",85,20,27,2,15,2,151,548
24020,"Gatineau/Gatineau"," 87","Gatineau",62,14,24,1,7,2,110,248
24020,"Gatineau/Gatineau"," 88","Gatineau",92,12,24,4,25,0,157,349
24020,"Gatineau/Gatineau"," 89","Gatineau",74,6,9,3,17,2,111,372
24020,"Gatineau/Gatineau"," 90","Gatineau",99,16,23,3,16,2,159,291
24020,"Gatineau/Gatineau"," 91A","Gatineau",154,20,30,4,18,0,226,378
24020,"Gatineau/Gatineau"," 91B","Gatineau",146,20,28,3,29,2,228,388
24020,"Gatineau/Gatineau"," 92","Gatineau",167,23,37,0,30,1,258,555
24020,"Gatineau/Gatineau"," 93","Gatineau",78,13,13,3,10,1,118,319
24020,"Gatineau/Gatineau"," 94","Gatineau",130,11,28,3,25,3,200,343
24020,"Gatineau/Gatineau"," 95","Gatineau",114,11,33,0,22,1,181,343
24020,"Gatineau/Gatineau"," 96","Gatineau",101,12,16,3,19,0,151,339
24020,"Gatineau/Gatineau"," 97","Gatineau",88,10,14,1,13,3,129,247
24020,"Gatineau/Gatineau"," 98","Gatineau",106,9,43,3,25,1,187,309
24020,"Gatineau/Gatineau"," 99","Gatineau",36,14,16,1,6,0,73,254
24020,"Gatineau/Gatineau"," 100","Gatineau",102,18,22,3,24,1,170,331
24020,"Gatineau/Gatineau"," 101","Gatineau",100,15,35,0,16,0,166,333
24020,"Gatineau/Gatineau"," 102","Gatineau",102,16,20,2,28,1,169,376
24020,"Gatineau/Gatineau"," 103","Gatineau",105,11,25,1,24,2,168,353
24020,"Gatineau/Gatineau"," 104","Gatineau",117,30,34,1,25,0,207,443
24020,"Gatineau/Gatineau"," 105","Gatineau",53,10,11,3,7,0,84,236
24020,"Gatineau/Gatineau"," 106","Gatineau",114,16,19,1,20,1,171,444
24020,"Gatineau/Gatineau"," 107","Gatineau",95,7,27,5,23,3,160,388
24020,"Gatineau/Gatineau"," 108","Gatineau",92,9,16,5,16,1,139,339
24020,"Gatineau/Gatineau"," 109","Gatineau",162,10,32,2,53,2,261,497
24020,"Gatineau/Gatineau"," 110","Gatineau",159,12,28,5,23,0,227,439
24020,"Gatineau/Gatineau"," 111A","Gatineau",115,18,23,1,17,0,174,291
24020,"Gatineau/Gatineau"," 111B","Gatineau",117,14,17,1,14,1,164,288
24020,"Gatineau/Gatineau"," 112","Gatineau",149,19,33,4,33,1,239,410
24020,"Gatineau/Gatineau"," 113","Gatineau",82,7,19,0,20,1,129,259
24020,"Gatineau/Gatineau"," 114","Gatineau",107,11,13,2,25,1,159,271
24020,"Gatineau/Gatineau"," 115","Gatineau",160,28,40,4,46,1,279,413
24020,"Gatineau/Gatineau"," 116","Gatineau",166,23,43,3,50,0,285,476
24020,"Gatineau/Gatineau"," 117","Gatineau",173,23,23,2,24,0,245,368
24020,"Gatineau/Gatineau"," 117-1","Gatineau",139,18,45,3,30,3,238,370
24020,"Gatineau/Gatineau"," 118","Gatineau",200,19,47,4,42,1,313,455
24020,"Gatineau/Gatineau"," 119","Gatineau",167,16,13,8,34,0,238,359
24020,"Gatineau/Gatineau"," 120","Gatineau",132,13,20,4,23,1,193,334
24020,"Gatineau/Gatineau"," 121","Gatineau",166,18,27,4,56,0,271,476
24020,"Gatineau/Gatineau"," 122","Gatineau",147,12,22,6,30,1,218,378
24020,"Gatineau/Gatineau"," 123","Gatineau",197,23,69,2,40,0,331,504
24020,"Gatineau/Gatineau"," 123-1","Gatineau",162,13,32,1,30,1,239,475
24020,"Gatineau/Gatineau"," 124A","Gatineau",131,7,23,0,15,1,177,294
24020,"Gatineau/Gatineau"," 124B","Gatineau",114,10,36,0,16,1,177,301
24020,"Gatineau/Gatineau"," 125","Gatineau",174,9,20,4,36,2,245,421
24020,"Gatineau/Gatineau"," 126","Gatineau",195,21,23,4,33,0,276,440
24020,"Gatineau/Gatineau"," 127","Gatineau",178,23,30,1,51,3,286,442
24020,"Gatineau/Gatineau"," 128","Gatineau",159,16,17,2,37,4,235,382
24020,"Gatineau/Gatineau"," 129","Gatineau",125,13,22,1,42,2,205,402
24020,"Gatineau/Gatineau"," 130","Gatineau",149,12,27,3,32,1,224,439
24020,"Gatineau/Gatineau"," 131","Gatineau",110,8,18,0,25,0,161,360
24020,"Gatineau/Gatineau"," 132","Gatineau",101,14,15,0,27,4,161,350
24020,"Gatineau/Gatineau"," 133","Gatineau",125,15,19,0,39,1,199,346
24020,"Gatineau/Gatineau"," 134","Gatineau",73,9,13,2,18,1,116,309
24020,"Gatineau/Gatineau"," 135","Gatineau",98,22,13,4,39,1,177,407
24020,"Gatineau/Gatineau"," 136","Gatineau",Void/Supprimé,,,,,,,
24020,"Gatineau/Gatineau"," 137","Gatineau",113,9,15,2,24,1,164,370
24020,"Gatineau/Gatineau"," 138","Gatineau",215,22,36,4,41,0,318,507
24020,"Gatineau/Gatineau"," 139","Gatineau",214,10,31,3,54,2,314,553
24020,"Gatineau/Gatineau"," 139-1A","Gatineau",191,18,26,3,20,0,258,400
24020,"Gatineau/Gatineau"," 139-1B","Gatineau",211,26,28,3,32,2,302,461
24020,"Gatineau/Gatineau"," 140","Gatineau",132,11,26,6,27,4,206,418
24020,"Gatineau/Gatineau"," 141","Gatineau",136,15,17,1,24,1,194,531
24020,"Gatineau/Gatineau"," 142","Gatineau",154,9,29,1,41,0,234,367
24020,"Gatineau/Gatineau"," 143","Gatineau",134,16,24,1,33,1,209,368
24020,"Gatineau/Gatineau"," 144","Gatineau",116,14,27,2,24,4,187,345
24020,"Gatineau/Gatineau"," 145","Gatineau",96,17,24,1,21,0,159,320
24020,"Gatineau/Gatineau"," 146","Gatineau",120,11,18,2,38,0,189,322
24020,"Gatineau/Gatineau"," 147","Gatineau",124,12,26,0,30,1,193,374
24020,"Gatineau/Gatineau"," 148","Gatineau",113,12,10,4,37,1,177,330
24020,"Gatineau/Gatineau"," 149","Gatineau",114,16,23,1,22,1,177,340
24020,"Gatineau/Gatineau"," 150","Gatineau",87,14,21,1,52,0,175,278
24020,"Gatineau/Gatineau"," 151","Gatineau",96,11,32,1,23,0,163,295
24020,"Gatineau/Gatineau"," 152","Gatineau",94,19,16,1,12,2,144,367
24020,"Gatineau/Gatineau"," 153","Gatineau",77,15,12,3,29,3,139,399
24020,"Gatineau/Gatineau"," 154","Gatineau",134,7,6,2,22,0,171,403
24020,"Gatineau/Gatineau"," 155","Gatineau",54,6,4,4,17,0,85,227
24020,"Gatineau/Gatineau"," 156","Gatineau",115,7,24,2,32,1,181,369
24020,"Gatineau/Gatineau"," 157","Gatineau",121,16,21,0,22,3,183,331
24020,"Gatineau/Gatineau"," 158","Gatineau",89,5,18,1,21,1,135,281
24020,"Gatineau/Gatineau"," 159","Gatineau",141,6,23,7,26,1,204,436
24020,"Gatineau/Gatineau"," 160","Gatineau",118,23,15,0,14,3,173,334
24020,"Gatineau/Gatineau"," 161","Gatineau",89,10,21,0,19,0,139,306
24020,"Gatineau/Gatineau"," 162","Gatineau",124,8,15,3,20,3,173,304
24020,"Gatineau/Gatineau"," 163","Gatineau",64,7,12,5,24,0,112,328
24020,"Gatineau/Gatineau"," 164","Gatineau",82,16,14,8,21,0,141,366
24020,"Gatineau/Gatineau"," 165","Gatineau",136,20,8,1,22,2,189,327
24020,"Gatineau/Gatineau"," 166","Gatineau",139,24,28,5,43,3,242,494
24020,"Gatineau/Gatineau"," 167","Gatineau",67,5,7,0,18,0,97,325
24020,"Gatineau/Gatineau"," 168","Gatineau",101,18,19,0,26,4,168,384
24020,"Gatineau/Gatineau"," 169","Gatineau",72,15,18,1,17,1,124,253
24020,"Gatineau/Gatineau"," 170","Gatineau",82,4,16,1,29,1,133,340
24020,"Gatineau/Gatineau"," 171","Gatineau",109,18,24,0,22,1,174,366
24020,"Gatineau/Gatineau"," 172","Gatineau",88,14,18,1,8,1,130,330
24020,"Gatineau/Gatineau"," 173","Gatineau",119,17,20,3,43,2,204,477
24020,"Gatineau/Gatineau"," 174","Gatineau",100,8,16,5,17,0,146,273
24020,"Gatineau/Gatineau"," 175","Gatineau",74,6,18,2,23,2,125,294
24020,"Gatineau/Gatineau"," 176","Gatineau",84,3,20,0,32,0,139,354
24020,"Gatineau/Gatineau"," 177","Gatineau",39,10,6,1,25,2,83,250
24020,"Gatineau/Gatineau"," 178","Gatineau",80,16,13,5,27,2,143,377
24020,"Gatineau/Gatineau"," 179","Gatineau",92,12,16,0,23,0,143,334
24020,"Gatineau/Gatineau"," 180","Gatineau",83,12,13,2,20,1,131,302
24020,"Gatineau/Gatineau"," 181","Gatineau",72,7,9,1,13,0,102,280
24020,"Gatineau/Gatineau"," 182","Gatineau",122,19,25,3,20,2,191,373
24020,"Gatineau/Gatineau"," 183","Gatineau",115,10,12,3,21,0,161,312
24020,"Gatineau/Gatineau"," 184","Gatineau",85,19,10,4,27,2,147,292
24020,"Gatineau/Gatineau"," 185","Gatineau",143,31,27,1,51,3,256,559
24020,"Gatineau/Gatineau"," 185-1A","Gatineau",131,8,19,3,26,1,188,321
24020,"Gatineau/Gatineau"," 185-1B","Gatineau",149,11,37,1,31,0,229,405
24020,"Gatineau/Gatineau"," 186","Gatineau",226,23,15,6,45,1,316,598
24020,"Gatineau/Gatineau"," 187","Gatineau",184,23,24,5,45,1,282,499
24020,"Gatineau/Gatineau"," 188","Gatineau",148,12,19,3,41,0,223,426
24020,"Gatineau/Gatineau"," 189","Gatineau",160,7,10,3,46,3,229,442
24020,"Gatineau/Gatineau"," 190","Gatineau",154,20,12,2,45,1,234,377
24020,"Gatineau/Gatineau"," 191","Gatineau",109,15,26,1,22,0,173,339
24020,"Gatineau/Gatineau"," 192A","Gatineau",114,19,22,1,37,1,194,381
24020,"Gatineau/Gatineau"," 192B","Gatineau",144,21,17,4,28,2,216,393
24020,"Gatineau/Gatineau"," 193","Gatineau",117,7,16,2,24,3,169,322
24020,"Gatineau/Gatineau"," 194","Gatineau",84,16,19,1,21,2,143,322
24020,"Gatineau/Gatineau"," 195","Gatineau",134,13,7,0,17,0,171,344
24020,"Gatineau/Gatineau"," 196","Gatineau",141,15,27,3,52,1,239,352
24020,"Gatineau/Gatineau"," 197","Gatineau",152,14,10,2,53,0,231,378
24020,"Gatineau/Gatineau"," 198","Gatineau",135,10,17,3,36,2,203,324
24020,"Gatineau/Gatineau"," 199","Gatineau",122,12,15,1,35,2,187,361
24020,"Gatineau/Gatineau"," 200","Gatineau",133,4,10,3,29,2,181,335
24020,"Gatineau/Gatineau"," 201","Gatineau",93,20,12,3,19,0,147,350
24020,"Gatineau/Gatineau"," 202","Gatineau",105,12,22,4,29,1,173,442
24020,"Gatineau/Gatineau"," 203","Gatineau",118,24,12,3,27,3,187,389
24020,"Gatineau/Gatineau"," 204","Gatineau",68,12,12,4,16,1,113,277
24020,"Gatineau/Gatineau"," 205A","Gatineau",152,13,17,3,27,1,213,403
24020,"Gatineau/Gatineau"," 205B","Gatineau",154,14,21,1,27,1,218,398
24020,"Gatineau/Gatineau"," 205-1","Gatineau",194,15,21,3,37,1,271,473
24020,"Gatineau/Gatineau"," 205-2","Gatineau",180,19,46,4,49,1,299,459
24020,"Gatineau/Gatineau"," 205-3","Gatineau",126,17,21,3,17,0,184,352
24020,"Gatineau/Gatineau"," 206","Gatineau",218,26,43,5,36,1,329,552
24020,"Gatineau/Gatineau"," 207","Gatineau",131,13,17,6,30,2,199,452
24020,"Gatineau/Gatineau"," 208A","Gatineau",97,12,18,2,21,1,151,322
24020,"Gatineau/Gatineau"," 208B","Gatineau",101,19,12,0,29,1,162,354
24020,"Gatineau/Gatineau"," 209","Gatineau",145,28,24,0,27,2,226,479
24020,"Gatineau/Gatineau"," 210","Gatineau",136,9,23,6,34,0,208,393
24020,"Gatineau/Gatineau"," 211","Gatineau",159,14,14,2,33,5,227,475
24020,"Gatineau/Gatineau"," 212","Gatineau",167,21,18,2,24,0,232,463
24020,"Gatineau/Gatineau"," 213","Gatineau",139,18,21,1,34,2,215,333
24020,"Gatineau/Gatineau"," 214","Gatineau",133,18,13,0,18,1,183,378
24020,"Gatineau/Gatineau"," 215","Gatineau",134,11,5,4,29,3,186,323
24020,"Gatineau/Gatineau"," 216","Gatineau",94,12,21,2,17,2,148,368
24020,"Gatineau/Gatineau"," 217","Gatineau",102,12,13,0,20,1,148,425
24020,"Gatineau/Gatineau"," 218","Gatineau",77,12,21,1,26,1,138,318
24020,"Gatineau/Gatineau"," 500","Mobile poll/Bureau itinérant",6,2,7,0,4,1,20,99
24020,"Gatineau/Gatineau"," 501","Mobile poll/Bureau itinérant",25,13,25,0,14,0,77,119
24020,"Gatineau/Gatineau"," 502","Mobile poll/Bureau itinérant",14,8,13,0,3,1,39,114
24020,"Gatineau/Gatineau"," 503","Mobile poll/Bureau itinérant",32,8,31,0,13,0,84,148
24020,"Gatineau/Gatineau"," 600","Gatineau",390,53,123,8,175,5,754,
24020,"Gatineau/Gatineau"," 601","Gatineau",226,37,114,4,100,0,481,
24020,"Gatineau/Gatineau"," 602","Gatineau",366,59,110,8,106,8,657,
24020,"Gatineau/Gatineau"," 603","Gatineau",299,40,83,7,64,3,496,
24020,"Gatineau/Gatineau"," 604","Gatineau",278,40,82,2,54,0,456,
24020,"Gatineau/Gatineau"," 605","Gatineau",278,35,122,3,93,3,534,
24020,"Gatineau/Gatineau"," 606","Gatineau",218,32,47,3,59,1,360,
24020,"Gatineau/Gatineau"," 607","Gatineau",210,17,41,3,59,2,332,
24020,"Gatineau/Gatineau"," 608","Gatineau",281,36,79,1,53,1,451,
24020,"Gatineau/Gatineau"," 609","Gatineau",311,37,97,6,99,8,558,
24020,"Gatineau/Gatineau"," 610","Gatineau",376,60,75,10,137,0,658,
24020,"Gatineau/Gatineau"," 611","Gatineau",314,44,64,3,111,2,538,
24020,"Gatineau/Gatineau"," 612","Gatineau",342,47,74,7,111,0,581,
24020,"Gatineau/Gatineau"," 613","Gatineau",193,22,94,7,96,0,412,
24020,"Gatineau/Gatineau"," 614","Gatineau",264,50,137,3,97,6,557,
24020,"Gatineau/Gatineau"," 615","Gatineau",461,101,252,6,120,7,947,
24020,"Gatineau/Gatineau"," 616","Gatineau",200,29,56,4,54,2,345,
24020,"Gatineau/Gatineau"," 617","Gatineau",194,30,64,4,75,4,371,
24020,"Gatineau/Gatineau"," 618","Gatineau",302,57,67,3,76,0,505,
24020,"Gatineau/Gatineau",,Group 1/Groupe 1,66,101,53,7,60,8,295,579
24020,"Gatineau/Gatineau",,Group 2/Groupe 2,386,72,180,9,226,11,884,
