Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Nancy Patchell,Pauline Thompson,Harry Tsai,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",104,22,1,81,2,210,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",101,55,2,46,1,205,398
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-1","Scarborough",77,45,2,21,1,146,462
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-2","Scarborough",99,25,2,28,3,157,360
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-3","Scarborough",87,39,3,50,4,183,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-4","Scarborough",52,22,4,61,0,139,325
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",94,39,5,53,0,191,316
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",96,35,9,97,0,237,396
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",87,22,0,53,0,162,425
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 86","Scarborough",92,31,6,98,0,227,446
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",92,50,10,81,0,233,587
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",80,26,3,59,2,170,355
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",87,40,12,108,2,249,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",88,34,7,59,0,188,378
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",53,37,1,58,1,150,440
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",74,35,5,51,0,165,459
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 93","Scarborough",41,37,1,25,0,104,269
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 94","Scarborough",36,12,3,54,0,105,278
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 95","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",100,31,4,170,0,305,580
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 97","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",88,64,3,61,4,220,504
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",47,47,1,31,2,128,327
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",72,54,2,40,2,170,421
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",59,41,2,59,2,163,456
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",84,25,5,87,1,202,332
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",91,51,13,83,0,238,393
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",123,41,6,78,0,248,428
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",87,27,5,60,0,179,430
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",98,51,4,60,1,214,390
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",112,61,13,73,1,260,489
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",87,45,6,71,0,209,500
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",106,56,1,64,0,227,501
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",100,46,4,37,0,187,450
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",92,46,5,63,2,208,455
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",121,41,8,61,1,232,421
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",121,71,8,90,1,291,532
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",105,52,9,98,3,267,506
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",96,55,6,61,0,218,420
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",38,36,5,50,3,132,369
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",71,35,8,83,0,197,448
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",65,43,1,60,0,169,420
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",99,54,7,53,2,215,449
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",95,40,6,63,2,206,340
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127","Scarborough",62,28,3,48,4,145,405
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127-1","Scarborough",75,28,4,54,6,167,341
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 128","Scarborough",42,19,0,40,1,102,272
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 129","Scarborough",73,46,3,59,1,182,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 130","Scarborough",74,38,1,87,0,200,385
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 131","Scarborough",114,48,6,74,0,242,466
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 132","Scarborough",117,37,5,64,1,224,400
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 133","Scarborough",97,47,5,65,0,214,416
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 134","Scarborough",73,33,10,78,0,194,451
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 135","Scarborough",76,30,2,66,1,175,421
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 136","Scarborough",67,26,5,53,0,151,430
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 137","Scarborough",93,33,2,75,0,203,416
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 138","Scarborough",76,25,9,61,0,171,372
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 139","Scarborough",72,43,12,67,0,194,406
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 140","Scarborough",74,54,7,81,1,217,460
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 141","Scarborough",66,53,2,58,0,179,419
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 142","Scarborough",93,48,5,59,0,205,381
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 143","Scarborough",60,50,1,55,1,167,400
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 144","Scarborough",95,53,5,92,4,249,507
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",105,40,6,91,0,242,527
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",104,45,4,99,6,258,499
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",101,34,6,123,3,267,528
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",48,17,1,27,5,98,254
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",131,63,5,142,4,345,572
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",88,21,5,56,1,171,348
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",91,23,0,114,0,228,397
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",80,24,4,48,1,157,286
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Scarborough",77,25,3,36,1,142,321
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",65,40,3,42,4,154,378
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",61,19,2,73,0,155,325
