Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Arsenault,Andrew Caddell,Bernard Généreux,François Lapointe,Lynette Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 19","Saint-Arsène",17,3,43,48,3,0,114,162
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 20","Saint-Arsène",28,19,98,120,3,5,273,467
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 21","Saint-Arsène",33,18,50,81,4,2,188,299
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 22","Saint-Modeste",47,21,62,71,4,4,209,374
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 23","Saint-Modeste",51,10,48,113,5,4,231,430
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 24","Saint-Antonin",31,4,68,108,1,1,213,353
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 25","Saint-Antonin",21,3,16,51,1,2,94,209
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 26","Saint-Antonin",61,5,83,148,5,8,310,556
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 27","Saint-Antonin",33,2,55,90,3,2,185,359
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 28","Saint-Antonin",47,8,83,136,3,4,281,483
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 29","Saint-Antonin",24,3,47,75,4,3,156,310
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 30","Saint-Antonin",79,15,78,107,5,1,285,498
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 31","Saint-Antonin",22,10,47,58,3,1,141,245
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 32","Rivière-du-Loup",52,16,55,111,1,1,236,474
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 33","Rivière-du-Loup",60,7,80,145,2,4,298,526
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 34","Rivière-du-Loup",50,8,77,91,2,2,230,417
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 35","Rivière-du-Loup",42,14,89,118,2,6,271,505
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 36","Rivière-du-Loup",35,7,45,64,0,1,152,299
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 37","Rivière-du-Loup",39,4,46,77,3,2,171,273
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 38","Rivière-du-Loup",31,4,45,77,3,3,163,273
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 39","Rivière-du-Loup",60,5,82,132,1,5,285,536
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 40","Rivière-du-Loup",42,10,51,107,6,3,219,440
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 41","Rivière-du-Loup",16,6,27,62,2,1,114,241
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 42","Rivière-du-Loup",64,7,63,129,3,7,273,542
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 43","Rivière-du-Loup",39,8,44,58,4,5,158,326
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 44","Rivière-du-Loup",18,7,44,71,3,6,149,396
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 45","Rivière-du-Loup",33,7,38,52,0,2,132,362
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 46","Rivière-du-Loup",37,8,39,71,5,3,163,337
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 47","Rivière-du-Loup",51,1,58,72,1,0,183,369
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 48","Rivière-du-Loup",35,10,62,79,3,5,194,427
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 49","Rivière-du-Loup",48,6,48,81,3,5,191,459
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 50","Rivière-du-Loup",62,10,68,102,4,0,246,470
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 51","Rivière-du-Loup",22,9,41,42,3,5,122,255
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 52","Rivière-du-Loup",40,16,58,80,3,5,202,401
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 53","Rivière-du-Loup",55,13,53,78,6,2,207,463
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 54","Rivière-du-Loup",41,6,56,88,7,2,200,452
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 55","Rivière-du-Loup",21,4,34,81,0,2,142,271
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 56","Rivière-du-Loup",31,12,51,60,2,1,157,319
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 57","Rivière-du-Loup",37,9,85,93,8,4,236,424
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 58","Rivière-du-Loup",33,10,22,63,3,0,131,350
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 59","Rivière-du-Loup",54,10,70,101,2,4,241,454
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 60","Rivière-du-Loup",16,6,51,51,1,1,126,316
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 61","Rivière-du-Loup",53,14,79,111,4,3,264,501
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 62","Rivière-du-Loup",49,9,84,89,3,2,236,421
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 63","Rivière-du-Loup",29,8,70,85,1,3,196,371
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 64","Rivière-du-Loup",41,10,57,102,2,2,214,385
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 65","Rivière-du-Loup",46,12,112,161,2,2,335,573
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 66","Rivière-du-Loup",10,1,18,26,3,1,59,134
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 67","Rivière-du-Loup",34,12,76,68,1,4,195,409
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 68","Rivière-du-Loup",11,4,43,39,4,0,101,178
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 69","Rivière-du-Loup",44,17,78,95,3,3,240,449
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 70","Rivière-du-Loup",24,10,67,78,4,0,183,346
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 71","Notre-Dame-du-Portage",97,20,62,91,3,0,273,405
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 72","Notre-Dame-du-Portage",9,2,26,26,0,0,63,157
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 73","Notre-Dame-du-Portage",69,14,69,118,3,2,275,437
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 74","Saint-Alexandre-de-Kamouraska",54,7,77,101,1,4,244,385
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 75","Saint-Alexandre-de-Kamouraska",23,15,80,79,1,2,200,345
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 76","Saint-Alexandre-de-Kamouraska",52,6,56,83,2,0,199,351
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 77","Saint-Alexandre-de-Kamouraska",30,10,100,89,3,3,235,421
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 78","Saint-André",44,3,57,75,2,0,181,326
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 79","Saint-André",10,13,42,34,1,4,104,195
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 80","Saint-Joseph-de-Kamouraska",25,15,57,64,4,4,169,310
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 81","Saint-Germain",47,12,33,53,7,0,152,238
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 82","Sainte-Hélène",32,15,86,92,2,3,230,385
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 83","Sainte-Hélène",51,16,80,63,3,2,215,369
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 84","Kamouraska",51,11,37,46,2,5,152,300
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 85","Kamouraska",25,15,42,38,0,0,120,213
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 86","Saint-Pascal",33,8,63,69,2,4,179,324
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 87","Saint-Pascal",38,10,30,40,0,0,118,248
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 88","Saint-Pascal",39,15,55,54,4,1,168,346
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 89","Saint-Pascal",30,7,48,58,0,2,145,360
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 90","Saint-Pascal",45,21,37,60,0,5,168,324
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 91","Saint-Pascal",29,13,50,62,1,0,155,317
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 92","Saint-Pascal",49,4,45,56,3,1,158,297
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 93","Saint-Pascal",41,8,52,53,2,7,163,321
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 94","Saint-Pascal",25,10,52,31,2,0,120,241
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 95","Saint-Bruno-de-Kamouraska",61,9,60,58,7,5,200,446
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 96","Saint-Denis",65,11,106,75,0,4,261,397
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 97","Saint-Philippe-de-Néri",43,4,71,78,2,4,202,370
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 98","Saint-Philippe-de-Néri",48,8,59,73,3,6,197,341
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 99","Mont-Carmel",21,3,48,66,1,0,139,273
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 100","Mont-Carmel",55,7,64,70,3,2,201,352
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 101A","Mont-Carmel",48,8,44,72,1,1,174,305
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 101B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,35
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 102","Rivière-Ouelle",23,5,17,44,0,1,90,154
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 103","Rivière-Ouelle",30,10,69,41,0,2,152,289
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 104","Rivière-Ouelle",42,7,72,55,0,2,178,315
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 105","Saint-Gabriel-Lalemant",50,5,29,41,2,1,128,271
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 106","Saint-Gabriel-Lalemant",67,9,49,47,3,4,179,403
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 107","Saint-Pacôme",48,9,70,98,4,6,235,397
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 108","Saint-Pacôme",54,1,37,52,2,3,149,233
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 109","Saint-Pacôme",59,5,57,83,5,2,211,407
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 110","Saint-Pacôme",59,4,59,67,3,4,196,319
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 111","Saint-Onésime-d'Ixworth",18,4,39,29,0,0,90,178
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 112","Saint-Onésime-d'Ixworth",37,4,68,47,3,2,161,279
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 113","Sainte-Anne-de-la-Pocatière",42,13,85,86,4,11,241,470
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 114","Sainte-Anne-de-la-Pocatière",33,5,54,66,2,1,161,285
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 115","Sainte-Anne-de-la-Pocatière",59,4,74,74,3,3,217,400
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 116","Sainte-Anne-de-la-Pocatière",13,3,57,45,1,2,121,233
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 117","La Pocatière",30,9,56,52,1,1,149,269
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 118","La Pocatière",50,15,63,83,4,2,217,430
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 119","La Pocatière",45,12,58,60,4,4,183,344
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 120","La Pocatière",41,7,51,66,4,0,169,324
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 121","La Pocatière",53,17,67,103,4,3,247,559
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 122","La Pocatière",45,11,47,69,3,0,175,343
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 123","La Pocatière",36,10,62,71,1,3,183,304
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 124","La Pocatière",61,9,89,70,3,4,236,455
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 125","La Pocatière",45,10,77,70,6,2,210,403
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 126","Saint-Roch-des-Aulnaies",37,7,64,56,1,1,166,265
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 127","Saint-Roch-des-Aulnaies",62,19,93,104,4,2,284,483
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 128","Sainte-Louise",61,12,64,97,6,1,241,438
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 129","Sainte-Louise",32,0,22,21,0,0,75,131
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 130","Saint-Damase-de-L'Islet",13,7,58,32,2,2,114,231
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 131","Saint-Damase-de-L'Islet",20,6,84,27,0,4,141,271
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 132","Saint-Aubert",25,16,105,70,3,1,220,473
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 133","Saint-Aubert",40,13,114,70,2,6,245,459
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 134","Saint-Aubert",12,7,40,25,2,0,86,179
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 135","Saint-Jean-Port-Joli",44,6,70,56,2,1,179,361
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 136","Saint-Jean-Port-Joli",23,6,41,45,3,1,119,233
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 137","Saint-Jean-Port-Joli",52,11,77,93,3,3,239,432
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 138","Saint-Jean-Port-Joli",34,4,109,89,2,1,239,415
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 139","Saint-Jean-Port-Joli",44,8,43,62,3,3,163,308
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 140","Saint-Jean-Port-Joli",52,8,57,57,4,0,178,315
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 141","Saint-Jean-Port-Joli",56,8,60,71,2,1,198,352
