Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul William Baker,Justin Chatwin,Joe Oliver,Joe Volpe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 95","Toronto",8,17,125,129,2,281,423
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 96","Toronto",6,40,49,62,1,158,319
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 97","Toronto",10,24,92,86,2,214,339
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 98","Toronto",7,19,122,141,1,290,428
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 99","Toronto",9,12,145,63,2,231,440
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 100","North York",1,2,147,18,1,169,481
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 101","North York",6,4,133,37,0,180,446
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 102","North York",6,19,124,49,0,198,448
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 103","North York",1,25,148,46,0,220,437
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 104","North York",1,17,105,30,0,153,371
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 105","North York",3,8,159,39,1,210,359
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 106","North York",3,12,203,65,1,284,483
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 107","Toronto",8,13,197,69,1,288,442
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 108","Toronto",9,8,130,86,0,233,403
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 109","Toronto",17,15,127,110,1,270,414
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 110","Toronto",8,9,129,83,1,230,396
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 111","Toronto",12,22,98,101,0,233,420
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 112","Toronto",13,14,81,132,0,240,434
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 113","Toronto",11,26,99,134,1,271,473
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 114","Toronto",15,13,105,86,0,219,376
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 115","Toronto",4,7,110,58,0,179,358
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 116","York",4,39,61,84,2,190,486
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 117","York",3,35,70,135,4,247,472
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 118","York",11,48,71,110,10,250,543
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 119","York",7,59,88,105,7,266,578
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 120","York",Void/Supprimé,,,,,,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 121","York",2,42,50,52,4,150,452
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 122","York",7,37,77,101,0,222,459
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 123","York",11,40,65,92,5,213,417
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 124","York",4,46,53,84,2,189,399
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 125","York",20,59,134,157,4,374,756
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 126","York",10,56,73,74,2,215,469
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 127","York",8,49,58,48,7,170,457
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 128","York",6,45,51,98,2,202,420
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 129","York",5,17,39,69,0,130,223
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 130","York",1,13,42,57,0,113,207
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 131","York",1,11,10,13,1,36,87
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 132","North York",11,40,93,155,4,303,492
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 133","North York",4,27,46,72,0,149,300
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 134","North York",4,12,173,40,1,230,503
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 135","Toronto",7,51,39,48,2,147,369
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 136","Toronto",6,61,57,67,3,194,325
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 137","Toronto",1,15,83,107,0,206,379
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 138","Toronto",Void/Supprimé,,,,,,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 139","Toronto",5,15,214,93,0,327,498
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 140","Toronto",5,7,182,44,0,238,433
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 141","Toronto",1,6,83,19,0,109,205
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 142","Toronto",6,12,196,55,1,270,446
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 143","Toronto",2,9,147,50,0,208,376
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 144","Toronto",6,33,102,37,3,181,379
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 145","Toronto",5,21,78,68,3,175,332
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 146","Toronto",5,37,61,57,0,160,343
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 147","Toronto",0,34,60,41,0,135,311
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 148","Toronto",7,53,90,88,0,238,402
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 149","Toronto",6,35,41,61,0,143,306
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 150","Toronto",5,24,116,79,2,226,392
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 151","Toronto",7,49,137,109,2,304,562
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 152","Toronto",5,30,84,51,0,170,403
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 153","Toronto",6,23,77,50,1,157,327
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 154","Toronto",3,3,160,68,0,234,396
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 155","Toronto",6,48,75,53,0,182,350
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 156","Toronto",11,21,164,123,1,320,533
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 157","Toronto",11,11,93,101,1,217,355
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 158","Toronto",10,30,125,106,0,271,407
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 159","Toronto",2,11,78,71,0,162,296
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 160","Toronto",2,15,66,98,0,181,313
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 161","Toronto",5,13,80,103,0,201,384
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 162","Toronto",12,32,60,93,0,197,368
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 163","Toronto",9,22,104,126,0,261,428
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 164","Toronto",10,29,124,144,6,313,477
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 165","Toronto",11,16,92,118,0,237,394
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 166","Toronto",10,20,80,108,1,219,383
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 167","Toronto",10,23,40,45,0,118,231
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 168","Toronto",10,37,79,72,0,198,397
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 169","Toronto",10,26,51,94,0,181,416
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 170","Toronto",8,49,53,103,1,214,435
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 170-1","Toronto",1,8,26,39,0,74,161
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 171","Toronto",13,52,55,86,2,208,419
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 172","Toronto",5,37,31,46,3,122,286
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 400","North York",1,5,123,31,0,160,194
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 401","North York",1,6,61,33,0,101,124
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 402","North York",3,13,49,32,17,114,144
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 403","North York",0,12,59,40,2,113,178
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 404","North York",2,7,68,45,4,126,191
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 405","North York",4,15,43,42,13,117,168
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 406","North York",20,68,79,132,1,300,463
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 407","North York",6,26,35,93,3,163,205
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 408","North York",9,51,66,70,3,199,332
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 409","York",11,63,107,125,4,310,501
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 410","York",27,38,65,47,0,177,282
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 411","York",7,72,64,53,0,196,331
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 412","York",7,60,97,122,1,287,455
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 413","North York",6,49,40,50,0,145,279
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 414","York",0,28,21,32,0,81,229
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 415","York",11,82,74,98,0,265,444
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 416","North York",1,23,123,59,2,208,206
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 417","Toronto",4,24,56,29,0,113,168
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 418","Toronto",3,14,65,30,0,112,184
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 419","Toronto",5,9,43,21,0,78,142
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 420","Toronto",10,50,92,106,3,261,372
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 421","Toronto",1,3,111,34,0,149,205
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 422","Toronto",2,4,94,31,0,131,207
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 423","Toronto",2,18,50,35,0,105,185
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 424","Toronto",1,3,4,41,0,49,129
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 425","Toronto",2,26,42,43,0,113,200
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 426","Toronto",4,28,34,115,10,191,261
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 600","North York",29,49,618,338,2,1036,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 601","North York--Toronto",25,47,491,343,0,906,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 602","North York",23,33,327,358,2,743,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 603","North York",8,44,184,169,1,406,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 604","North York--Toronto",5,37,136,205,0,383,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 605","York--North York",24,31,297,311,3,666,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 606","Toronto",22,74,191,296,5,588,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 607","Toronto",16,48,385,230,0,679,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 608","North York",7,21,230,241,0,499,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 609","North York",6,30,51,98,1,186,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 610","North York",5,24,316,128,2,475,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 611","York--North York",13,16,373,209,4,615,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 612","North York",28,64,152,304,2,550,
35019,"Eglinton--Lawrence/Eglinton--Lawrence",,Group 1/Groupe 1,7,9,25,67,2,110,168
35019,"Eglinton--Lawrence/Eglinton--Lawrence",,Group 2/Groupe 2,32,48,879,415,12,1386,
