Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Renée Hetherington,Edith Loring-Kuhanga,Gary Lunn,Elizabeth May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 119","Saanich",28,33,135,93,0,289,519
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 120","Cordova Bay",19,20,154,80,0,273,458
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 121","Cordova Bay",15,37,91,88,0,231,402
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 122","Saanich",25,13,91,79,0,208,367
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 123","Saanich",19,23,146,96,1,285,472
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 124","Saanich",1,40,31,71,0,143,235
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 125","Saanich",14,22,93,64,0,193,367
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 126","Saanich",16,16,89,93,0,214,324
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 127","Saanich",15,13,115,114,0,257,412
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 128","Saanich",15,8,86,47,2,158,254
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 129","Lake Hill",16,11,112,109,1,249,443
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 130","Saanich",24,43,110,92,0,269,451
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 131","Saanich",29,16,128,66,0,239,471
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 132","Saanich",16,36,91,108,0,251,408
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 133","Saanich",17,38,133,132,0,320,547
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 134","Gordon Head",20,23,74,161,2,280,429
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 135","Saanich",10,74,90,96,0,270,470
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136","Saanich",22,35,94,121,0,272,487
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136-1","Saanich",18,67,91,83,1,260,448
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 137","Saanich",14,42,93,74,0,223,360
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 138","Saanich",20,35,74,110,1,240,389
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 139","Saanich",20,40,83,124,0,267,382
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140","Lake Hill",19,52,96,115,4,286,536
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140-1","Saanich",16,31,58,68,1,174,364
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 141","Saanich",6,34,67,83,1,191,365
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 142","Saanich",6,41,48,65,1,161,360
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 143","Lake Hill",23,49,72,115,0,259,483
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 144","Saanich",9,22,84,125,0,240,367
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 145","Saanich",23,38,74,105,1,241,371
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 146","Saanich",24,47,100,107,0,278,444
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 147","Gordon Head",17,26,91,99,1,234,372
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 148","Gordon Head",21,72,87,114,1,295,457
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 149","Saanich",21,36,76,107,0,240,381
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 150","Saanich",20,37,70,101,0,228,383
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 151","Saanich",14,45,73,113,1,246,388
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 152","Gordon Head",10,23,103,106,0,242,387
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 153","Saanich",21,73,60,147,1,302,509
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 154","Saanich",11,29,85,118,0,243,409
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 155","Saanich",17,47,52,98,1,215,465
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 156","Saanich",9,22,43,72,0,146,354
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 157","Saanich",16,47,60,155,0,278,508
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 158","Saanich",20,33,99,150,0,302,495
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 159","Lake Hill",18,35,95,175,0,323,461
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 160","Saanich",21,30,117,132,2,302,490
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 161","Saanich",27,40,105,104,2,278,453
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 162A","Saanich",10,19,50,70,1,150,226
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 162B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,67
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 163","Saanich",20,37,95,111,1,264,394
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 164","Saanich",19,41,72,116,1,249,426
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 165","Saanich",18,46,67,97,0,228,411
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 166","Saanich",33,51,76,131,0,291,459
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 167","Saanich",31,33,87,147,1,299,467
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 168","Saanich",11,54,76,159,0,300,445
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 169","Saanich",12,50,69,165,0,296,511
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 170","Saanich",7,48,49,118,0,222,408
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 171","Saanich",3,36,58,115,0,212,431
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 172","Saanich",18,68,65,113,0,264,501
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 173","Saanich",8,48,45,101,0,202,363
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 174","Lake Hill",22,50,48,121,1,242,429
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 175","Saanich",7,13,61,138,0,219,414
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 176","Saanich",5,36,76,126,1,244,413
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 177","Saanich",17,26,90,160,0,293,433
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 178","Saanich",20,30,85,166,0,301,451
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 179","Saanich",13,28,73,116,1,231,374
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 180","Saanich",12,26,31,62,1,132,277
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 181","Gordon Head",18,30,48,91,1,188,355
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 182","Saanich",20,31,66,63,1,181,247
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 183","Saanich",20,20,42,59,2,143,291
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 184","Saanich",23,49,57,92,0,221,414
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 185","Saanich",7,12,14,26,1,60,152
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 186","Saanich",8,47,27,53,0,135,251
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 187","Saanich",10,38,31,63,0,142,267
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 188","Gordon Head",19,42,67,110,0,238,438
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 189","Saanich",18,36,61,94,0,209,362
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 190","Saanich",20,29,51,78,1,179,327
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 191","Saanich",13,35,80,119,1,248,382
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 192","Saanich",36,44,103,110,2,295,492
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 193","Gordon Head",17,29,90,118,0,254,430
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 194","Gordon Head",23,11,78,111,0,223,331
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 195","Gordon Head",27,46,101,131,2,307,512
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 196","Saanich",21,35,114,116,2,288,461
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 197","Saanich",17,31,55,121,0,224,392
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 198","Gordon Head",20,19,85,79,0,203,338
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 199","Saanich",20,25,101,133,0,279,411
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 200","Gordon Head",33,18,122,122,0,295,482
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 201","Saanich",21,33,70,134,0,258,416
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 202","Saanich",14,61,46,111,0,232,457
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 203","Saanich",16,48,33,81,0,178,334
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 204","Saanich",3,28,25,45,0,101,192
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 205","Saanich",6,67,26,56,0,155,303
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 206","Lake Hill",14,43,55,85,0,197,310
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 207","Lake Hill",9,69,56,124,0,258,450
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 208","Saanich",9,40,44,174,0,267,387
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 209","Saanich",19,20,64,194,2,299,461
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 210","Saanich",10,53,34,115,0,212,338
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 211","Lake Hill",19,50,86,126,1,282,453
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 212","Saanich",13,46,68,123,0,250,385
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 213","Saanich",20,44,106,136,0,306,451
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 214","Saanich",14,32,59,64,1,170,449
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 215","Saanich",22,72,95,115,2,306,523
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 216","Saanich",17,45,83,157,2,304,471
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 217","Saanich",8,51,52,108,0,219,331
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 218","Saanich",18,60,50,74,2,204,363
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 500","Mobile poll/Bureau itinérant",5,6,18,27,0,56,75
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 501","Mobile poll/Bureau itinérant",24,27,100,17,11,179,273
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 502","Mobile poll/Bureau itinérant",19,24,95,28,2,168,131
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 503","Mobile poll/Bureau itinérant",11,11,26,7,2,57,127
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 600","Ganges",35,63,224,809,2,1133,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 601","North Saanich",94,54,610,560,4,1322,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 602","Sidney",68,65,502,380,4,1019,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 603","Central Saanich",63,90,401,260,3,817,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 604","Central Saanich",35,67,243,232,2,579,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 605","Saanich--Cordova Bay",62,59,300,194,0,615,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 606","Saanich--Lake Hill",89,137,365,276,2,869,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 607","Saanich--Gordon Head",115,129,404,377,0,1025,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 608","Saanich--Lake Hill",92,156,261,457,1,967,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 609","Saanich--Lake Hill",97,107,281,357,2,844,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 610","North Galiano",18,42,98,268,0,426,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 611","North Galiano",15,26,65,215,0,321,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 612","North Galiano",13,18,57,174,0,262,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 613","Central Saanich",40,74,317,221,0,652,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 614","Saanich--Cordova Bay",91,60,387,215,1,754,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 1/Groupe 1,34,10,115,57,6,222,389
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 2/Groupe 2,117,129,584,710,10,1550,
