Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glen Carabin,Rodger Cuzner,Derrick Clarence Kennedy,Marney Jeanne Simmons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 144","Cape Breton",1,36,19,23,1,80,277
12001,"Cape Breton--Canso/Cape Breton--Canso"," 145","Cape Breton",4,103,32,47,2,188,357
12001,"Cape Breton--Canso/Cape Breton--Canso"," 146","Cape Breton",3,97,17,28,2,147,304
12001,"Cape Breton--Canso/Cape Breton--Canso"," 147","Cape Breton",2,66,29,25,0,122,299
12001,"Cape Breton--Canso/Cape Breton--Canso"," 148","Cape Breton",8,82,42,29,0,161,367
12001,"Cape Breton--Canso/Cape Breton--Canso"," 149","Cape Breton",4,68,22,22,2,118,274
12001,"Cape Breton--Canso/Cape Breton--Canso"," 150","Cape Breton",6,108,42,54,0,210,514
12001,"Cape Breton--Canso/Cape Breton--Canso"," 151","Cape Breton",1,92,41,25,0,159,327
12001,"Cape Breton--Canso/Cape Breton--Canso"," 152","Cape Breton",0,38,15,34,1,88,198
12001,"Cape Breton--Canso/Cape Breton--Canso"," 153","Cape Breton",7,110,32,24,1,174,332
12001,"Cape Breton--Canso/Cape Breton--Canso"," 154","Cape Breton",2,56,22,36,2,118,282
12001,"Cape Breton--Canso/Cape Breton--Canso"," 155","Cape Breton",1,52,17,24,2,96,257
12001,"Cape Breton--Canso/Cape Breton--Canso"," 156","Donkin",9,86,56,31,0,182,373
12001,"Cape Breton--Canso/Cape Breton--Canso"," 157","Donkin",5,45,31,33,1,115,310
12001,"Cape Breton--Canso/Cape Breton--Canso"," 158","Port Morien",2,79,49,22,5,157,270
12001,"Cape Breton--Canso/Cape Breton--Canso"," 159","Port Morien",5,79,44,36,2,166,297
12001,"Cape Breton--Canso/Cape Breton--Canso"," 160","Sand Lake",2,42,33,33,0,110,256
12001,"Cape Breton--Canso/Cape Breton--Canso"," 161","Birch Grove",8,65,55,33,1,162,300
12001,"Cape Breton--Canso/Cape Breton--Canso"," 162","Mira Gut",6,77,80,38,3,204,312
12001,"Cape Breton--Canso/Cape Breton--Canso"," 163","Mulgrave",12,51,44,48,6,161,274
12001,"Cape Breton--Canso/Cape Breton--Canso"," 164","Mulgrave",5,71,62,65,1,204,427
12001,"Cape Breton--Canso/Cape Breton--Canso"," 165","Hadleyville",2,30,34,17,3,86,138
12001,"Cape Breton--Canso/Cape Breton--Canso"," 166","St. Francis Harbour",7,29,41,10,1,88,147
12001,"Cape Breton--Canso/Cape Breton--Canso"," 167","Boylston",8,55,113,20,2,198,378
12001,"Cape Breton--Canso/Cape Breton--Canso"," 168","Boylston",2,26,56,12,0,96,163
12001,"Cape Breton--Canso/Cape Breton--Canso"," 169","Hazel Hill",6,30,64,27,5,132,226
12001,"Cape Breton--Canso/Cape Breton--Canso"," 170","Canso",5,47,52,41,1,146,304
12001,"Cape Breton--Canso/Cape Breton--Canso"," 171","Canso",0,20,37,19,2,78,181
12001,"Cape Breton--Canso/Cape Breton--Canso"," 172","Canso",0,42,31,22,0,95,229
12001,"Cape Breton--Canso/Cape Breton--Canso"," 173","Little Dover",4,39,85,35,6,169,280
12001,"Cape Breton--Canso/Cape Breton--Canso"," 174","Halfway Cove",2,29,73,17,2,123,281
12001,"Cape Breton--Canso/Cape Breton--Canso"," 175","Port Felix",1,35,40,22,0,98,201
12001,"Cape Breton--Canso/Cape Breton--Canso"," 176","Guysborough",5,73,77,20,3,178,357
12001,"Cape Breton--Canso/Cape Breton--Canso"," 177","Guysborough",6,56,26,25,1,114,246
12001,"Cape Breton--Canso/Cape Breton--Canso"," 178","Charlos Cove",3,61,44,19,0,127,219
12001,"Cape Breton--Canso/Cape Breton--Canso"," 179","Tor Bay",9,48,74,14,3,148,229
12001,"Cape Breton--Canso/Cape Breton--Canso"," 180","Erinville",2,23,50,14,0,89,129
12001,"Cape Breton--Canso/Cape Breton--Canso"," 181","Goldboro",4,14,40,17,0,75,118
12001,"Cape Breton--Canso/Cape Breton--Canso"," 182","Isaacs Harbour",5,15,42,20,0,82,145
12001,"Cape Breton--Canso/Cape Breton--Canso"," 183","Country Harbour Lake",9,46,77,28,2,162,291
12001,"Cape Breton--Canso/Cape Breton--Canso"," 500","Mobile poll/Bureau itinérant",3,42,30,4,4,83,107
12001,"Cape Breton--Canso/Cape Breton--Canso"," 501","Mobile poll/Bureau itinérant",2,40,20,9,0,71,187
12001,"Cape Breton--Canso/Cape Breton--Canso"," 502","Mobile poll/Bureau itinérant",5,28,22,3,2,60,95
12001,"Cape Breton--Canso/Cape Breton--Canso"," 503","Mobile poll/Bureau itinérant",0,18,13,7,0,38,100
12001,"Cape Breton--Canso/Cape Breton--Canso"," 600","Chéticamp",13,138,70,23,1,245,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 601","Inverness",10,126,80,19,2,237,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 602","Port Hawkesbury",9,219,131,73,1,433,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 603","Arichat",8,133,67,32,2,242,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 604","Rockdale",9,43,44,11,1,108,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 605","Sydney Forks",18,356,216,94,4,688,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 606","Louisbourg",3,89,116,18,1,227,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 607","Reserve Mines",2,54,34,28,0,118,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 608","Glace Bay",6,308,91,62,0,467,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 609","Glace Bay",8,295,107,77,5,492,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 610","Donkin",0,58,35,19,1,113,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 611","Mulgrave",2,30,27,7,1,67,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 612","Canso",1,27,38,20,2,88,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 613","Guysborough",12,62,57,17,0,148,
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 1/Groupe 1,7,53,117,12,8,197,563
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 2/Groupe 2,29,543,192,73,25,862,
