Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rebecca Darnell,Piotr Majkowski,Craig Nobbs,Carey Ann Poitras,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,Langley/Langley,32,Langley,28,63,2,19,173,0,285,504
59013,Langley/Langley,33,Langley,23,61,0,12,131,0,227,381
59013,Langley/Langley,34,Langley,13,47,2,9,133,0,204,332
59013,Langley/Langley,35,Langley,20,45,0,12,184,0,261,484
59013,Langley/Langley,36,Langley,34,42,4,17,226,0,323,505
59013,Langley/Langley, 36-1,Langley,14,23,0,1,96,0,134,253
59013,Langley/Langley,37,Walnut Grove,12,37,0,13,128,1,191,309
59013,Langley/Langley, 38A,Langley,27,54,0,19,127,0,227,550
59013,Langley/Langley, 38B,Langley,4,14,2,2,62,0,84,106
59013,Langley/Langley, 38-1,Langley,10,8,0,2,32,0,52,85
59013,Langley/Langley, 38-2,Langley,18,18,2,6,150,1,195,345
59013,Langley/Langley,39,Walnut Grove,7,36,2,5,121,54,225,290
59013,Langley/Langley, 39-1,Walnut Grove,16,37,0,10,84,0,147,280
59013,Langley/Langley,40,Langley,25,69,0,17,198,2,311,498
59013,Langley/Langley,41,Langley,18,46,0,13,99,0,176,385
59013,Langley/Langley, 41-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,42,Langley,5,40,0,6,80,0,131,212
59013,Langley/Langley, 43A,Walnut Grove,12,24,2,7,100,0,145,283
59013,Langley/Langley, 43B,Walnut Grove,18,27,0,0,107,0,152,242
59013,Langley/Langley, 43-1,Langley,16,34,2,3,72,0,127,280
59013,Langley/Langley,44,Walnut Grove,18,41,0,12,114,1,186,291
59013,Langley/Langley,45,Langley,32,56,1,23,150,0,262,476
59013,Langley/Langley, 45-1,Langley,20,42,0,10,124,0,196,391
59013,Langley/Langley,46,Langley,22,51,0,13,201,0,287,506
59013,Langley/Langley,47,Langley,23,53,1,15,174,1,267,513
59013,Langley/Langley,48,Langley,23,46,1,14,210,0,294,555
59013,Langley/Langley,49,Langley,17,29,0,6,110,0,162,311
59013,Langley/Langley,50,Langley,12,48,0,4,146,0,210,286
59013,Langley/Langley,51,Langley,34,53,1,9,183,0,280,443
59013,Langley/Langley,52,Langley,26,52,5,10,184,0,277,443
59013,Langley/Langley,53,Walnut Grove,22,59,0,6,198,0,285,493
59013,Langley/Langley,54,Langley,18,47,2,14,114,1,196,385
59013,Langley/Langley,55,Langley,26,58,3,7,103,0,197,351
59013,Langley/Langley,56,Langley,14,58,2,8,87,0,169,288
59013,Langley/Langley,57,Langley,12,30,2,6,112,3,165,319
59013,Langley/Langley,58,Langley,26,59,1,14,187,2,289,485
59013,Langley/Langley, 58-1,Langley,6,13,0,4,37,0,60,117
59013,Langley/Langley,59,Langley,27,84,1,20,134,0,266,479
59013,Langley/Langley,60,Langley,8,23,0,4,65,0,100,186
59013,Langley/Langley, 60-1,Langley,29,37,1,9,129,1,206,396
59013,Langley/Langley, 60-2,Langley,9,15,0,2,49,1,76,145
59013,Langley/Langley, 60-3A,Langley,25,53,3,12,139,0,232,452
59013,Langley/Langley, 60-3B,Langley,17,45,0,6,113,0,181,442
59013,Langley/Langley, 60-4,Langley,17,46,2,11,115,0,191,424
59013,Langley/Langley, 60-5,Langley,11,24,0,6,61,0,102,220
59013,Langley/Langley,61,Langley,5,20,1,5,109,0,140,314
59013,Langley/Langley, 62A,Murrayville,4,14,0,3,81,0,102,170
59013,Langley/Langley, 62B,Mobile poll/Bureau itinérant,Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,53
59013,Langley/Langley,63,Murrayville,7,19,0,3,98,0,127,217
59013,Langley/Langley,64,Murrayville,31,44,2,14,244,0,335,606
59013,Langley/Langley,65,Milner,15,36,1,9,163,0,224,463
59013,Langley/Langley, 65-1,Milner,0,4,0,2,29,0,35,104
59013,Langley/Langley,66,Milner,17,38,0,16,159,0,230,423
59013,Langley/Langley,67,Hopington,20,43,0,14,193,0,270,452
59013,Langley/Langley,68,Hopington,15,46,2,10,158,1,232,384
59013,Langley/Langley,69,Hopington,10,26,4,7,119,0,166,272
59013,Langley/Langley,70,Hopington,20,43,0,10,236,0,309,487
59013,Langley/Langley,71,Hopington,19,62,2,16,173,0,272,437
59013,Langley/Langley,72,Hopington,15,33,1,2,116,0,167,245
59013,Langley/Langley,73,Hopington,30,37,1,15,171,1,255,458
59013,Langley/Langley,74,Hopington,17,33,0,22,209,0,281,487
59013,Langley/Langley,75,Hopington,23,39,0,11,126,0,199,393
59013,Langley/Langley,76,Hopington,15,37,1,6,128,1,188,291
59013,Langley/Langley,77,Hopington,24,57,1,19,149,0,250,420
59013,Langley/Langley,78,Langley,14,49,0,17,70,0,150,413
59013,Langley/Langley, 78-1,Langley,13,39,1,9,82,0,144,329
59013,Langley/Langley,79,Langley,22,63,4,16,118,1,224,499
59013,Langley/Langley, 79-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,80,Langley,15,36,1,9,114,0,175,371
59013,Langley/Langley, 80-1,Langley,20,62,2,11,157,0,252,515
59013,Langley/Langley,81,Langley,6,25,1,3,35,0,70,207
59013,Langley/Langley,82,Langley,10,57,1,11,87,0,166,406
59013,Langley/Langley,83,Langley,14,36,1,10,127,2,190,361
59013,Langley/Langley,84,Langley,1,21,0,7,26,0,55,143
59013,Langley/Langley,85,Langley,24,65,5,21,129,2,246,525
59013,Langley/Langley, 85-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,86,Langley,25,58,4,10,157,0,254,424
59013,Langley/Langley,87,Langley,25,43,0,11,129,0,208,376
59013,Langley/Langley,88,Langley,19,61,3,21,122,0,226,408
59013,Langley/Langley,89,Langley,15,62,1,12,78,0,168,313
59013,Langley/Langley,90,Langley,18,72,2,11,144,0,247,481
59013,Langley/Langley, 90-1,Langley,4,23,0,3,25,0,55,137
59013,Langley/Langley,91,Langley,16,49,2,5,57,1,130,296
59013,Langley/Langley, 91-1,Langley,20,34,0,4,44,0,102,254
59013,Langley/Langley,92,Langley,20,85,1,14,167,0,287,586
59013,Langley/Langley, 92-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,93,Langley,32,52,3,12,120,1,220,554
59013,Langley/Langley,94,Langley,35,56,0,12,122,3,228,511
59013,Langley/Langley,95,Langley,28,87,2,18,123,0,258,582
59013,Langley/Langley,96,Langley,13,58,1,6,112,0,190,360
59013,Langley/Langley,97,Langley,7,57,3,8,65,1,141,353
59013,Langley/Langley,98,Langley,21,65,1,24,66,0,177,402
59013,Langley/Langley,99,Langley,21,66,2,13,123,0,225,433
59013,Langley/Langley,100,Langley,15,42,0,3,104,1,165,288
59013,Langley/Langley,101,Langley,13,70,0,9,122,0,214,398
59013,Langley/Langley,102,Langley,8,35,2,7,81,0,133,374
59013,Langley/Langley,103,Langley,14,29,1,9,51,0,104,240
59013,Langley/Langley,104,Langley,10,20,0,7,74,0,111,205
59013,Langley/Langley,105,Langley,19,29,1,8,131,0,188,361
59013,Langley/Langley,106,Langley,14,21,2,10,132,0,179,316
59013,Langley/Langley,107,Langley,21,58,0,20,127,1,227,404
59013,Langley/Langley,108,Langley,27,60,3,10,131,1,232,430
59013,Langley/Langley,109,Langley,31,56,1,8,112,0,208,366
59013,Langley/Langley,110,Langley,20,57,3,10,139,0,229,386
59013,Langley/Langley,111,Langley,15,50,1,15,122,0,203,335
59013,Langley/Langley,112,Langley,18,43,3,6,85,0,155,279
59013,Langley/Langley,113,Langley,11,31,0,10,100,0,152,252
59013,Langley/Langley,114,Langley,26,65,0,20,137,0,248,425
59013,Langley/Langley,115,Langley,12,45,1,5,123,0,186,317
59013,Langley/Langley,116,Langley,15,48,1,8,111,0,183,295
59013,Langley/Langley,117,Langley,14,45,3,8,160,0,230,418
59013,Langley/Langley,118,Langley,20,44,1,9,142,0,216,375
59013,Langley/Langley,119,Langley,17,28,3,16,140,0,204,373
59013,Langley/Langley,120,Langley,13,21,0,8,98,0,140,240
59013,Langley/Langley,121,Langley,22,82,1,24,153,2,284,455
59013,Langley/Langley,122,Langley,10,49,3,10,120,0,192,303
59013,Langley/Langley,123,Langley,26,37,3,13,133,0,212,357
59013,Langley/Langley, 123-1,Langley,17,42,2,7,90,3,161,249
59013,Langley/Langley,124,Langley,18,35,2,9,126,0,190,307
59013,Langley/Langley,125,Langley,14,43,1,17,91,1,167,300
59013,Langley/Langley,126,Brookswood,13,63,2,21,140,0,239,387
59013,Langley/Langley,127,Langley,20,49,1,7,138,2,217,351
59013,Langley/Langley,128,Langley,14,44,2,5,109,0,174,279
59013,Langley/Langley,129,Langley,12,30,3,5,91,1,142,250
59013,Langley/Langley,130,Langley,15,32,3,19,80,0,149,327
59013,Langley/Langley,131,Brookswood,29,51,1,18,155,1,255,418
59013,Langley/Langley,132,Langley,14,36,2,7,130,0,189,346
59013,Langley/Langley,133,Langley,17,61,2,28,135,0,243,445
59013,Langley/Langley,134,Langley,16,41,1,10,126,0,194,347
59013,Langley/Langley,135,Langley,16,43,0,7,109,1,176,296
59013,Langley/Langley,136,Langley,15,71,2,18,222,0,328,600
59013,Langley/Langley,137,Langley,18,33,0,9,74,0,134,258
59013,Langley/Langley,138,Langley,21,45,0,12,175,1,254,434
59013,Langley/Langley,139,Langley,16,52,2,16,283,0,369,597
59013,Langley/Langley,140,Langley,18,50,1,6,159,0,234,413
59013,Langley/Langley,141,Langley,17,76,2,13,181,0,289,537
59013,Langley/Langley,142,Langley,11,24,1,6,93,0,135,210
59013,Langley/Langley, 142-1,Langley,17,41,1,14,174,0,247,409
59013,Langley/Langley,143,Langley,20,62,2,20,189,2,295,506
59013,Langley/Langley, 143-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,144,Langley,15,28,1,6,223,1,274,504
59013,Langley/Langley,145,Langley,22,57,0,12,189,0,280,442
59013,Langley/Langley, 145-1,Langley,18,44,1,4,157,0,224,397
59013,Langley/Langley,146,Langley,28,30,1,13,232,1,305,500
59013,Langley/Langley,147,Langley,12,41,1,18,227,0,299,478
59013,Langley/Langley,148,Langley,28,40,2,15,252,1,338,545
59013,Langley/Langley,149,Langley,8,11,1,7,106,0,133,286
59013,Langley/Langley,150,Langley,23,71,4,10,172,1,281,510
59013,Langley/Langley,151,Langley,16,47,1,25,110,0,199,323
59013,Langley/Langley,152,Langley,10,19,3,2,104,0,138,293
59013,Langley/Langley,153,Langley,17,41,1,13,195,0,267,528
59013,Langley/Langley,154,Langley,5,33,0,3,75,0,116,207
59013,Langley/Langley,155,Langley,18,43,3,11,163,0,238,402
59013,Langley/Langley,156,Langley,12,52,0,9,108,0,181,332
59013,Langley/Langley,157,Langley,15,32,1,9,132,0,189,328
59013,Langley/Langley,158,Fern Ridge,19,22,0,19,150,0,210,340
59013,Langley/Langley,159,Langley,35,46,5,20,268,0,374,621
59013,Langley/Langley,160,Fern Ridge,10,32,3,10,89,0,144,279
59013,Langley/Langley, 160-1,Langley,4,30,0,15,137,0,186,336
59013,Langley/Langley,161,Langley,28,48,0,23,195,0,294,540
59013,Langley/Langley,162,Langley,16,43,0,10,107,0,176,351
59013,Langley/Langley,163,"Aldergrove, Canadian Forces Station",16,39,0,14,115,0,184,365
59013,Langley/Langley,164,Hopington,8,11,0,4,128,0,151,252
59013,Langley/Langley,165,Aldergrove,21,32,3,9,135,0,200,354
59013,Langley/Langley,166,Hopington,14,34,1,10,109,0,168,314
59013,Langley/Langley,167,Hopington,8,55,1,9,108,1,182,413
59013,Langley/Langley,168,Aldergrove,14,25,1,4,105,1,150,284
59013,Langley/Langley,169,Aldergrove,14,50,0,11,128,1,204,383
59013,Langley/Langley,170,Aldergrove,14,15,2,5,73,0,109,216
59013,Langley/Langley,171,Aldergrove,10,45,1,11,125,0,192,344
59013,Langley/Langley,172,Aldergrove,25,45,4,16,158,0,248,423
59013,Langley/Langley,173,Aldergrove,11,33,2,8,127,0,181,305
59013,Langley/Langley,174,Aldergrove,24,49,2,17,179,1,272,539
59013,Langley/Langley,175,Aldergrove,22,23,1,9,105,0,160,310
59013,Langley/Langley,176,Matsqui 4,6,58,0,9,203,1,277,383
59013,Langley/Langley,177,Langley,20,35,1,11,138,0,205,401
59013,Langley/Langley, 177-1,Langley,9,23,1,12,100,0,145,289
59013,Langley/Langley,178,Langley,15,87,1,19,212,0,334,588
59013,Langley/Langley,179,Langley,13,54,3,8,94,0,172,349
59013,Langley/Langley,180,Langley,3,30,3,9,94,0,139,295
59013,Langley/Langley,181,Langley,15,27,1,6,95,0,144,230
59013,Langley/Langley,182,Langley,12,57,1,7,129,0,206,463
59013,Langley/Langley,183,Langley,11,63,4,18,110,0,206,457
59013,Langley/Langley,184,Langley,17,36,1,17,113,0,184,354
59013,Langley/Langley,185,Langley,6,51,0,16,164,2,239,432
59013,Langley/Langley,186,Langley,9,29,1,7,172,1,219,340
59013,Langley/Langley, 186-1,Langley,27,43,0,6,124,0,200,401
59013,Langley/Langley,187,Langley,26,31,1,13,107,0,178,368
59013,Langley/Langley, 187-1,Langley,25,44,4,10,90,1,174,353
59013,Langley/Langley,188,Langley,17,59,2,17,115,1,211,408
59013,Langley/Langley,189,Langley,11,30,3,3,72,0,119,285
59013,Langley/Langley,190,Langley,16,35,1,4,72,0,128,311
59013,Langley/Langley,191,Langley,23,61,1,25,121,0,231,519
59013,Langley/Langley,192,Langley,18,72,1,14,123,0,228,448
59013,Langley/Langley,193,Aldergrove,23,51,2,20,116,0,212,379
59013,Langley/Langley,400,Langley,"Electors voted by special ballot in Group 2/Dans le groupe 2, les électeurs ont voté par bulletin spécial",,,,,,,103
59013,Langley/Langley,401,Langley,10,23,0,3,59,1,96,137
59013,Langley/Langley,402,Langley,9,27,1,4,81,0,122,147
59013,Langley/Langley,403,Langley,7,19,1,2,44,0,73,102
59013,Langley/Langley,404,Langley,11,14,0,0,67,0,92,124
59013,Langley/Langley,405,Langley,14,21,1,8,73,0,117,213
59013,Langley/Langley,406,Langley,11,12,0,5,34,0,62,111
59013,Langley/Langley,407,Langley,6,9,0,2,32,1,50,63
59013,Langley/Langley,408,Langley,11,36,2,7,158,0,214,303
59013,Langley/Langley,409,Langley,17,31,0,8,65,0,121,224
59013,Langley/Langley,410,Langley,8,23,0,0,98,0,129,183
59013,Langley/Langley,500,Mobile poll/Bureau itinérant,6,10,2,2,44,2,66,128
59013,Langley/Langley,501,Mobile poll/Bureau itinérant,8,14,0,2,42,0,66,83
59013,Langley/Langley, 502A,Mobile poll/Bureau itinérant,8,13,0,3,43,0,67,88
59013,Langley/Langley, 502B,Mobile poll/Bureau itinérant,6,14,0,2,42,0,64,27
59013,Langley/Langley,600,Walnut Grove--Fort Langley,64,67,2,20,322,1,476,
59013,Langley/Langley,601,Walnut Grove--Fort Langley,62,65,0,22,309,0,458,
59013,Langley/Langley,602,Walnut Grove--Fort Langley,52,87,3,26,405,0,573,
59013,Langley/Langley,603,Langley--Hopington,62,82,0,15,437,1,597,
59013,Langley/Langley,604,Langley,43,62,1,13,336,0,455,
59013,Langley/Langley,605,Langley,17,45,0,2,163,1,228,
59013,Langley/Langley,606,Langley,31,81,5,26,244,1,388,
59013,Langley/Langley,607,Langley,26,46,3,8,207,0,290,
59013,Langley/Langley,608,Langley,45,44,3,13,183,1,289,
59013,Langley/Langley,609,Langley,54,74,3,23,298,0,452,
59013,Langley/Langley,610,Langley,30,43,2,18,309,2,404,
59013,Langley/Langley,611,Langley,20,54,1,10,167,5,257,
59013,Langley/Langley,612,Langley,38,90,5,25,211,1,370,
59013,Langley/Langley,,Group 1/Groupe 1,21,13,3,2,51,3,93,138
59013,Langley/Langley,,Group 2/Groupe 2,119,138,3,34,646,6,946,
