Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Chisholm,Mike Savage,Paul Shreenan,Wanda Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 91","Halifax",91,79,12,53,1,236,417
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 92","Halifax",82,63,3,27,1,176,316
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 93","Halifax",69,23,4,21,1,118,233
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 94","Halifax",55,41,9,25,2,132,285
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 95","Halifax",90,77,15,43,0,225,370
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 96","Halifax",80,45,16,24,1,166,317
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 97","Halifax",101,61,6,29,3,200,332
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 98","Halifax",101,40,16,45,3,205,374
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 99","Halifax",86,52,7,50,0,195,323
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 100","Halifax",63,24,11,27,2,127,331
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 101","Halifax",66,37,7,20,0,130,297
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 102","Halifax",58,22,3,27,0,110,327
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 103","Halifax",101,68,10,54,0,233,419
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104","Halifax",78,44,9,68,0,199,510
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104-1A","Halifax",51,64,1,51,1,168,268
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104-1B","Halifax",60,74,2,59,1,196,298
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 105","Halifax",62,26,8,37,2,135,264
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 106","Halifax",87,24,6,38,0,155,343
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 107","Halifax",67,16,5,23,0,111,280
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 108","Halifax",52,20,4,35,0,111,284
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 109","Halifax",46,21,6,28,0,101,270
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 110","Halifax",48,68,9,37,0,162,275
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 111","Halifax",61,57,6,49,0,173,378
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 112","Halifax",80,77,10,59,1,227,419
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 113","Halifax",63,27,9,44,3,146,346
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 114","Halifax",54,74,9,45,0,182,360
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 115","Halifax",94,78,4,47,0,223,382
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 116","Halifax",78,41,4,46,1,170,387
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 117","Halifax",75,61,11,48,2,197,372
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 118","Halifax",36,84,7,36,1,164,326
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 119","Halifax",62,52,17,38,1,170,309
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 120","Halifax",85,61,12,43,1,202,352
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 121","Halifax",55,61,13,39,2,170,327
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 122","Halifax",90,97,15,46,0,248,489
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 123","Halifax",67,59,6,33,1,166,333
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 124","Halifax",75,43,11,47,0,176,370
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 125","Halifax",68,63,3,59,2,195,340
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 126","Halifax",67,73,5,59,1,205,309
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 127","Halifax",46,47,8,34,0,135,296
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 128","Halifax",92,73,19,47,1,232,449
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 129","Halifax",66,88,11,50,1,216,366
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130","Halifax",86,87,4,74,0,251,420
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130-1","Halifax",44,72,4,70,2,192,374
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 131","Halifax",70,123,10,66,1,270,439
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132","Halifax",35,50,3,52,2,142,278
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132-1","Halifax",51,59,5,30,1,146,246
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 133","Halifax",70,116,3,89,0,278,444
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134","Halifax",30,80,6,52,0,168,318
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134-1","Halifax",48,80,4,50,0,182,312
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 135","Halifax",111,65,6,76,0,258,511
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136","Halifax",90,55,8,40,1,194,401
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136-1","Halifax",54,43,7,41,0,145,303
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 137","Halifax",55,22,9,41,1,128,302
