Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Chicoine,Carole Freeman,Clara Kwan,Linda Schwey,Linda Sullivan,André Turcôt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 168","Saint-Constant",181,73,3,11,1,10,2,281,501
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 169","Saint-Constant",177,79,3,12,0,15,1,287,491
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 170","Saint-Constant",187,59,3,17,0,26,3,295,513
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 171","Saint-Constant",184,67,3,30,1,25,3,313,566
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 172","Saint-Constant",161,55,5,16,0,28,2,267,491
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 173","Saint-Constant",131,71,5,15,0,12,4,238,564
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 174","Saint-Constant",99,44,3,6,0,11,2,165,403
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 175","Saint-Constant",137,74,2,13,1,20,9,256,483
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176","Saint-Constant",129,67,2,19,0,18,2,237,425
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176-1","Saint-Constant",119,35,3,14,0,18,1,190,341
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177","Saint-Constant",126,60,1,18,0,25,2,232,402
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177-1","Saint-Constant",143,66,1,21,0,21,0,252,480
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177-2","Saint-Constant",74,23,1,15,1,9,0,123,212
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 178","Saint-Constant",139,62,4,6,0,13,5,229,353
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 179","Saint-Constant",126,55,4,21,1,11,2,220,409
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 180","Saint-Constant",123,77,6,12,1,12,4,235,414
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 181","Saint-Constant",138,89,2,23,2,15,8,277,541
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 182","Saint-Constant",139,100,6,20,2,18,8,293,471
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 183","Saint-Constant",144,46,3,6,0,13,4,216,370
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 184","Saint-Constant",162,72,1,20,0,14,6,275,575
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 184-1","Saint-Constant",178,102,4,14,1,15,4,318,531
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 185","Saint-Constant",153,86,4,13,0,23,7,286,476
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 186","Saint-Constant",104,69,6,22,0,15,3,219,415
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 187","Saint-Mathieu",77,46,3,8,1,12,2,149,302
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 188","Saint-Mathieu",75,37,1,10,0,13,3,139,281
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 189","Saint-Mathieu",132,90,14,32,0,22,6,296,494
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 190A","Saint-Mathieu",97,75,5,18,1,37,10,243,504
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 190B","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,,10
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 400","Sainte-Catherine",62,30,4,34,6,30,4,170,206
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 500","Mobile poll/Bureau itinérant",5,19,3,22,0,5,3,57,111
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 501","Mobile poll/Bureau itinérant",63,42,2,22,0,31,7,167,206
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 502","Mobile poll/Bureau itinérant",42,38,4,22,3,27,2,138,176
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 503","Mobile poll/Bureau itinérant",8,8,1,11,2,2,2,34,141
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 504","Mobile poll/Bureau itinérant",68,34,2,23,2,26,3,158,204
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 600","Châteauguay",147,71,5,56,1,63,1,344,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 601","Léry",71,86,1,28,0,35,3,224,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 602","Châteauguay",166,147,5,51,3,51,6,429,
