Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Kevin Barr,Ryan Leef,John Streicker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 19C","Takhini",Merged with No. 20C/Fusionné avec le nº 20C,,,,,,56
60001,"Yukon/Yukon"," 20A","Takhini Hotspring",40,20,67,34,0,161,189
60001,"Yukon/Yukon"," 20B","Takhini Hotspring",50,23,77,43,0,193,214
60001,"Yukon/Yukon"," 20C","Takhini Hotspring",54,32,58,41,1,186,198
60001,"Yukon/Yukon"," 21","Mount Lorne",67,29,48,78,1,223,370
60001,"Yukon/Yukon"," 22","Whitehorse",59,19,104,54,2,238,363
60001,"Yukon/Yukon"," 23","Whitehorse",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 24","Whitehorse",59,18,60,51,2,190,338
60001,"Yukon/Yukon"," 25","Whitehorse",49,41,67,41,1,199,411
60001,"Yukon/Yukon"," 26","Whitehorse",39,36,98,22,1,196,373
60001,"Yukon/Yukon"," 27","Whitehorse",46,14,69,19,1,149,263
60001,"Yukon/Yukon"," 28","Whitehorse",57,27,56,27,1,168,274
60001,"Yukon/Yukon"," 29","Whitehorse",32,12,52,19,0,115,214
60001,"Yukon/Yukon"," 30","Whitehorse",66,23,98,48,0,235,396
60001,"Yukon/Yukon"," 31","Whitehorse",66,19,45,33,0,163,289
60001,"Yukon/Yukon"," 32","Whitehorse",70,10,66,21,1,168,286
60001,"Yukon/Yukon"," 33","Whitehorse",76,30,79,29,1,215,373
60001,"Yukon/Yukon"," 34","Whitehorse",32,30,65,21,0,148,342
60001,"Yukon/Yukon"," 35","Whitehorse",91,18,91,53,0,253,389
60001,"Yukon/Yukon"," 36A","Whitehorse",46,19,24,50,0,139,264
60001,"Yukon/Yukon"," 36B","Whitehorse",50,17,20,40,0,127,228
60001,"Yukon/Yukon"," 37","Whitehorse",63,30,48,35,0,176,457
60001,"Yukon/Yukon"," 38","Whitehorse",66,32,54,53,1,206,403
60001,"Yukon/Yukon"," 39","Whitehorse",69,24,33,54,2,182,369
60001,"Yukon/Yukon"," 40","Whitehorse",43,42,12,8,1,106,321
60001,"Yukon/Yukon"," 41","Whitehorse",42,23,60,24,1,150,318
60001,"Yukon/Yukon"," 42","Whitehorse",62,9,41,23,0,135,247
60001,"Yukon/Yukon"," 42-1","Whitehorse",101,26,89,40,1,257,430
60001,"Yukon/Yukon"," 43","Whitehorse",75,28,72,43,0,218,386
60001,"Yukon/Yukon"," 43-1","Whitehorse",85,26,77,30,1,219,375
60001,"Yukon/Yukon"," 43-2A","Whitehorse",65,10,42,24,0,141,239
60001,"Yukon/Yukon"," 43-2B","Whitehorse",47,14,72,23,0,156,254
60001,"Yukon/Yukon"," 43-3","Whitehorse",95,31,98,39,0,263,417
60001,"Yukon/Yukon"," 44","Whitehorse",63,40,42,43,0,188,354
60001,"Yukon/Yukon"," 45","Whitehorse",94,22,66,48,0,230,374
60001,"Yukon/Yukon"," 46","Whitehorse",47,20,23,52,1,143,250
60001,"Yukon/Yukon"," 47","Whitehorse",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 48","Whitehorse",67,34,36,50,0,187,401
60001,"Yukon/Yukon"," 49A","Whitehorse",30,20,18,32,1,101,231
60001,"Yukon/Yukon"," 49B","Whitehorse",36,25,20,44,2,127,273
60001,"Yukon/Yukon"," 50A","Whitehorse",40,15,36,21,2,114,221
60001,"Yukon/Yukon"," 50B","Whitehorse",33,20,27,31,2,113,246
60001,"Yukon/Yukon"," 51","Whitehorse",44,18,20,46,1,129,293
60001,"Yukon/Yukon"," 52","Whitehorse",117,30,39,68,0,254,425
60001,"Yukon/Yukon"," 53","Whitehorse",37,22,32,25,0,116,243
60001,"Yukon/Yukon"," 54","Whitehorse",41,21,45,25,0,132,318
60001,"Yukon/Yukon"," 55","Whitehorse",98,25,56,37,0,216,407
60001,"Yukon/Yukon"," 56","Whitehorse",82,37,56,44,0,219,393
60001,"Yukon/Yukon"," 57","Whitehorse",78,44,47,48,2,219,465
60001,"Yukon/Yukon"," 58","Whitehorse",85,18,74,55,0,232,378
60001,"Yukon/Yukon"," 59A","Whitehorse",65,12,45,28,0,150,246
60001,"Yukon/Yukon"," 59B","Whitehorse",67,20,30,39,0,156,243
60001,"Yukon/Yukon"," 60","Whitehorse",93,26,70,47,0,236,440
60001,"Yukon/Yukon"," 61A","MacRae",25,8,55,28,0,116,250
60001,"Yukon/Yukon"," 61B","MacRae",43,9,47,25,0,124,235
60001,"Yukon/Yukon"," 62A","MacRae",60,8,58,36,0,162,277
60001,"Yukon/Yukon"," 62B","MacRae",46,13,40,48,0,147,246
60001,"Yukon/Yukon"," 63","MacRae",78,16,54,52,2,202,304
60001,"Yukon/Yukon"," 64","MacRae",59,15,64,44,0,182,314
60001,"Yukon/Yukon"," 65","Marsh Lake",55,23,96,83,0,257,462
60001,"Yukon/Yukon"," 66","Carcross",22,50,41,34,3,150,304
60001,"Yukon/Yukon"," 67","Tagish",22,21,48,26,0,117,192
60001,"Yukon/Yukon"," 68","Johnsons Crossing",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 69","Teslin",54,48,53,20,2,177,348
60001,"Yukon/Yukon"," 70","Upper Liard",Merged with No. 71/Fusionné avec le nº 71,,,,,,81
60001,"Yukon/Yukon"," 71","Tuchitua",21,37,32,2,0,92,166
60001,"Yukon/Yukon"," 72","Watson Lake",24,18,65,15,0,122,277
60001,"Yukon/Yukon"," 73A","Watson Lake",27,18,47,14,0,106,272
60001,"Yukon/Yukon"," 73B","Watson Lake",17,27,47,15,0,106,265
60001,"Yukon/Yukon"," 500","Mobile poll/Bureau itinérant",21,19,15,3,0,58,80
60001,"Yukon/Yukon"," 600","Old Crow",5,0,0,3,1,9,
60001,"Yukon/Yukon"," 601","Dawson",43,16,41,11,2,113,
60001,"Yukon/Yukon"," 602","Mayo",14,5,4,3,1,27,
60001,"Yukon/Yukon"," 603","Beaver Creek",1,3,2,1,0,7,
60001,"Yukon/Yukon"," 604","Burwash Landing",4,3,9,0,0,16,
60001,"Yukon/Yukon"," 605","Haines Junction",18,4,16,5,0,43,
60001,"Yukon/Yukon"," 606","Pelly Crossing",7,1,5,2,0,15,
60001,"Yukon/Yukon"," 607","Carmacks",9,4,18,4,0,35,
60001,"Yukon/Yukon"," 608","Faro",10,1,30,4,1,46,
60001,"Yukon/Yukon"," 609","Ross River",1,0,5,1,0,7,
60001,"Yukon/Yukon"," 610","Whitehorse",79,17,125,30,1,252,
60001,"Yukon/Yukon"," 611","Whitehorse",114,54,149,55,0,372,
60001,"Yukon/Yukon"," 612","Whitehorse",144,36,126,55,2,363,
60001,"Yukon/Yukon"," 613","MacRae",23,6,21,9,0,59,
60001,"Yukon/Yukon"," 614","Carcross",9,4,16,1,1,31,
60001,"Yukon/Yukon"," 615","Teslin",8,6,27,2,0,43,
60001,"Yukon/Yukon"," 616","Watson Lake",13,10,52,10,0,85,
60001,"Yukon/Yukon"," 617","Marsh Lake",14,5,30,15,0,64,
60001,"Yukon/Yukon",,Group 1/Groupe 1,14,17,14,2,3,50,64
60001,"Yukon/Yukon",,Group 2/Groupe 2,578,158,630,231,17,1614,
