Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Daoust,Bernard Demers,Réjean Genest,Mélisa Leclerc,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Shefford/Shefford"," 47","Granby",0,17,145,27,50,1,240,392
24069,"Shefford/Shefford"," 48","Saint-Alphonse",5,14,139,60,72,10,300,527
24069,"Shefford/Shefford"," 49","Saint-Alphonse",9,11,155,37,67,10,289,462
24069,"Shefford/Shefford"," 50","Saint-Alphonse",1,26,109,46,32,5,219,365
24069,"Shefford/Shefford"," 51","Saint-Alphonse",13,11,154,64,59,6,307,481
24069,"Shefford/Shefford"," 52","Saint-Alphonse",7,12,172,28,59,5,283,474
24069,"Shefford/Shefford"," 53A","Granby",1,39,107,44,43,2,236,477
24069,"Shefford/Shefford"," 53B","Mobile poll/Bureau itinérant",4,47,107,61,53,5,277,296
24069,"Shefford/Shefford"," 54A","Granby",0,24,78,40,34,2,178,304
24069,"Shefford/Shefford"," 54B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,84
24069,"Shefford/Shefford"," 54-1A","Granby",1,21,93,50,43,2,210,363
24069,"Shefford/Shefford"," 54-1B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,58
24069,"Shefford/Shefford"," 55","Granby",2,12,84,43,49,4,194,366
24069,"Shefford/Shefford"," 56","Granby",7,13,109,45,50,3,227,378
24069,"Shefford/Shefford"," 57","Granby",5,14,87,43,51,4,204,360
24069,"Shefford/Shefford"," 58","Granby",3,22,106,32,48,3,214,359
24069,"Shefford/Shefford"," 59","Granby",2,13,102,26,52,6,201,365
24069,"Shefford/Shefford"," 60","Granby",4,23,108,31,45,8,219,361
24069,"Shefford/Shefford"," 61","Granby",1,27,134,23,58,6,249,413
24069,"Shefford/Shefford"," 62","Granby",5,26,162,44,46,1,284,467
24069,"Shefford/Shefford"," 63","Granby",3,35,166,36,55,11,306,518
24069,"Shefford/Shefford"," 63-1","Granby",4,24,131,26,32,5,222,360
24069,"Shefford/Shefford"," 64","Granby",6,52,149,47,74,6,334,514
24069,"Shefford/Shefford"," 65","Granby",4,47,145,42,56,5,299,436
24069,"Shefford/Shefford"," 66","Granby",1,14,110,29,35,1,190,341
24069,"Shefford/Shefford"," 67","Granby",2,18,123,25,52,3,223,380
24069,"Shefford/Shefford"," 68","Granby",4,17,121,20,53,4,219,327
24069,"Shefford/Shefford"," 69","Granby",6,13,66,10,41,2,138,248
24069,"Shefford/Shefford"," 70","Granby",7,7,64,20,39,2,139,316
24069,"Shefford/Shefford"," 71","Granby",4,17,93,43,43,3,203,374
24069,"Shefford/Shefford"," 72","Granby",6,15,125,39,54,7,246,494
24069,"Shefford/Shefford"," 73","Granby",4,24,107,32,42,2,211,390
24069,"Shefford/Shefford"," 74","Granby",4,8,124,41,63,6,246,463
24069,"Shefford/Shefford"," 75","Granby",3,12,131,36,52,2,236,432
24069,"Shefford/Shefford"," 76","Granby",6,17,93,29,45,6,196,430
24069,"Shefford/Shefford"," 77","Granby",7,7,47,5,31,1,98,253
24069,"Shefford/Shefford"," 78","Granby",2,15,80,27,49,1,174,358
24069,"Shefford/Shefford"," 79","Granby",1,12,88,19,44,1,165,322
24069,"Shefford/Shefford"," 80","Granby",1,18,112,24,45,1,201,336
24069,"Shefford/Shefford"," 81","Granby",9,48,114,38,55,5,269,382
24069,"Shefford/Shefford"," 82","Granby",4,13,106,24,45,9,201,405
24069,"Shefford/Shefford"," 83","Granby",2,3,45,14,47,6,117,331
24069,"Shefford/Shefford"," 84","Granby",5,18,94,21,50,0,188,379
24069,"Shefford/Shefford"," 85A","Granby",9,11,101,33,69,5,228,532
24069,"Shefford/Shefford"," 85B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,22
24069,"Shefford/Shefford"," 86","Granby",7,13,54,7,33,2,116,363
24069,"Shefford/Shefford"," 87","Granby",5,12,53,8,27,1,106,301
24069,"Shefford/Shefford"," 88","Granby",5,17,94,25,59,1,201,359
24069,"Shefford/Shefford"," 89A","Granby",6,25,97,34,35,2,199,356
24069,"Shefford/Shefford"," 89B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,40
24069,"Shefford/Shefford"," 90","Granby",7,21,113,26,52,1,220,343
24069,"Shefford/Shefford"," 91","Granby",3,25,105,40,44,3,220,431
24069,"Shefford/Shefford"," 92","Granby",8,21,128,41,55,4,257,465
24069,"Shefford/Shefford"," 93","Granby",1,23,68,29,34,0,155,268
24069,"Shefford/Shefford"," 94A","Granby",2,24,118,31,38,0,213,337
24069,"Shefford/Shefford"," 94B","Granby",2,18,106,30,46,2,204,330
24069,"Shefford/Shefford"," 95A","Granby",2,7,79,12,36,1,137,266
24069,"Shefford/Shefford"," 95B","Granby",0,9,85,24,34,1,153,289
24069,"Shefford/Shefford"," 95-1A","Granby",4,22,84,27,29,2,168,265
24069,"Shefford/Shefford"," 95-1B","Granby",0,20,92,33,29,1,175,290
24069,"Shefford/Shefford"," 96A","Granby",6,15,119,31,59,2,232,440
24069,"Shefford/Shefford"," 96B","Granby",3,19,107,32,55,6,222,411
24069,"Shefford/Shefford"," 96-1","Granby",1,19,152,24,73,5,274,521
24069,"Shefford/Shefford"," 97","Granby",2,9,73,21,41,0,146,438
24069,"Shefford/Shefford"," 98A","Granby",1,4,73,22,22,3,125,302
24069,"Shefford/Shefford"," 98B","Granby",2,14,63,26,28,0,133,315
24069,"Shefford/Shefford"," 99","Granby",4,13,140,29,63,3,252,497
24069,"Shefford/Shefford"," 100","Granby",3,9,104,24,58,6,204,469
24069,"Shefford/Shefford"," 101","Granby",5,9,75,16,50,2,157,337
24069,"Shefford/Shefford"," 102","Granby",4,11,75,21,40,2,153,441
24069,"Shefford/Shefford"," 103","Granby",4,8,91,13,52,4,172,358
24069,"Shefford/Shefford"," 104","Granby",3,22,134,26,40,5,230,425
24069,"Shefford/Shefford"," 105","Granby",6,12,64,22,37,4,145,348
24069,"Shefford/Shefford"," 106","Granby",5,18,101,26,51,13,214,414
24069,"Shefford/Shefford"," 107","Granby",0,9,71,27,46,1,154,346
24069,"Shefford/Shefford"," 108","Granby",1,18,83,18,61,5,186,411
24069,"Shefford/Shefford"," 109","Granby",5,10,44,19,34,2,114,342
24069,"Shefford/Shefford"," 110","Granby",2,12,62,25,38,3,142,308
24069,"Shefford/Shefford"," 111","Granby",3,5,46,16,28,2,100,273
24069,"Shefford/Shefford"," 112","Granby",6,6,104,18,31,1,166,364
24069,"Shefford/Shefford"," 113","Granby",5,13,69,15,25,2,129,279
24069,"Shefford/Shefford"," 114","Granby",1,7,81,28,39,0,156,302
24069,"Shefford/Shefford"," 115","Granby",2,17,116,17,46,1,199,395
24069,"Shefford/Shefford"," 116","Granby",2,17,127,35,59,7,247,453
24069,"Shefford/Shefford"," 117","Granby",2,4,138,22,56,1,223,381
24069,"Shefford/Shefford"," 118","Granby",1,13,78,14,51,4,161,308
24069,"Shefford/Shefford"," 119","Granby",7,15,127,31,80,3,263,608
24069,"Shefford/Shefford"," 120","Granby",Void/Supprimé,,,,,,,
24069,"Shefford/Shefford"," 121A","Granby",3,11,87,20,36,5,162,377
24069,"Shefford/Shefford"," 121B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,12
24069,"Shefford/Shefford"," 122","Granby",4,24,139,29,60,5,261,487
24069,"Shefford/Shefford"," 123","Granby",5,21,121,32,30,4,213,390
24069,"Shefford/Shefford"," 124A","Granby",1,26,106,34,30,1,198,302
24069,"Shefford/Shefford"," 124B","Granby",2,31,83,28,39,2,185,286
24069,"Shefford/Shefford"," 125A","Granby",4,12,175,34,66,4,295,503
24069,"Shefford/Shefford"," 125B","Granby",6,12,168,41,59,2,288,481
24069,"Shefford/Shefford"," 126","Granby",6,16,109,60,38,4,233,384
24069,"Shefford/Shefford"," 127","Granby",2,18,101,23,43,6,193,339
24069,"Shefford/Shefford"," 128A","Granby",5,14,78,22,37,2,158,291
24069,"Shefford/Shefford"," 128B","Granby",2,17,80,25,40,2,166,313
24069,"Shefford/Shefford"," 129","Granby",6,13,115,25,47,5,211,359
24069,"Shefford/Shefford"," 129-1","Granby",1,35,159,65,45,3,308,530
24069,"Shefford/Shefford"," 130","Granby",8,20,127,52,69,4,280,470
24069,"Shefford/Shefford"," 131","Granby",3,26,129,53,67,0,278,461
24069,"Shefford/Shefford"," 132","Granby",8,13,108,30,39,2,200,470
24069,"Shefford/Shefford"," 133","Granby",3,14,146,36,68,3,270,473
24069,"Shefford/Shefford"," 133-1","Granby",3,14,114,20,56,1,208,344
24069,"Shefford/Shefford"," 134","Granby",5,17,143,21,55,6,247,384
24069,"Shefford/Shefford"," 134-1A","Granby",3,8,62,25,20,3,121,246
24069,"Shefford/Shefford"," 134-1B","Granby",1,11,44,22,19,1,98,250
24069,"Shefford/Shefford"," 135","Granby",4,28,143,26,74,1,276,520
24069,"Shefford/Shefford"," 135-1","Granby",3,17,176,23,68,2,289,483
24069,"Shefford/Shefford"," 136A","Granby",4,26,119,39,47,2,237,419
24069,"Shefford/Shefford"," 136B","Granby",1,20,162,27,49,2,261,423
24069,"Shefford/Shefford"," 137","Granby",3,24,137,49,63,1,277,436
24069,"Shefford/Shefford"," 138","Roxton Pond",7,22,166,33,62,9,299,477
24069,"Shefford/Shefford"," 139","Roxton Pond",4,17,165,49,53,15,303,507
24069,"Shefford/Shefford"," 140","Roxton Pond",9,16,143,31,62,1,262,465
24069,"Shefford/Shefford"," 141A","Roxton Pond",1,20,83,23,40,4,171,285
24069,"Shefford/Shefford"," 141B","Roxton Pond",3,7,74,17,42,2,145,276
24069,"Shefford/Shefford"," 142","Roxton Pond",1,15,108,24,42,6,196,325
24069,"Shefford/Shefford"," 142-1","Roxton Pond",1,5,113,22,26,5,172,340
24069,"Shefford/Shefford"," 143","Roxton Pond",2,9,95,23,31,4,164,235
24069,"Shefford/Shefford"," 144","Saint-Joachim-de-Shefford",11,24,169,34,116,7,361,538
24069,"Shefford/Shefford"," 145","Saint-Joachim-de-Shefford",6,12,142,30,50,3,243,395
24069,"Shefford/Shefford"," 146","Shefford",6,18,123,48,68,5,268,542
24069,"Shefford/Shefford"," 147A","Shefford",4,9,170,41,87,5,316,567
24069,"Shefford/Shefford"," 147B","Mobile poll/Bureau itinérant",Merged with No. 53B/Fusionné avec le nº 53B,,,,,,,54
24069,"Shefford/Shefford"," 148","Shefford",5,5,103,43,49,5,210,343
24069,"Shefford/Shefford"," 149","Shefford",4,35,176,27,75,5,322,542
24069,"Shefford/Shefford"," 149-1","Shefford",9,22,158,29,55,7,280,469
24069,"Shefford/Shefford"," 150","Shefford",6,38,163,50,63,3,323,517
24069,"Shefford/Shefford"," 151A","Shefford",0,8,70,12,44,0,134,236
24069,"Shefford/Shefford"," 151B","Shefford",4,11,70,13,26,0,124,223
24069,"Shefford/Shefford"," 151-1","Shefford",4,19,125,21,82,1,252,433
24069,"Shefford/Shefford"," 152","Shefford",6,23,164,38,50,2,283,527
24069,"Shefford/Shefford"," 153","Warden",4,14,71,38,20,0,147,270
24069,"Shefford/Shefford"," 154","Shefford",3,14,106,39,19,5,186,347
24069,"Shefford/Shefford"," 155","Shefford",11,8,97,26,36,4,182,415
24069,"Shefford/Shefford"," 156","Waterloo",7,23,120,32,24,1,207,414
24069,"Shefford/Shefford"," 157","Waterloo",6,26,92,27,32,8,191,409
24069,"Shefford/Shefford"," 158","Waterloo",5,14,99,29,21,0,168,341
24069,"Shefford/Shefford"," 159","Waterloo",6,17,80,26,28,6,163,444
24069,"Shefford/Shefford"," 159-1","Waterloo",6,11,62,25,26,3,133,303
24069,"Shefford/Shefford"," 160","Waterloo",4,21,165,35,53,5,283,487
24069,"Shefford/Shefford"," 161","Waterloo",2,9,114,40,49,2,216,409
24069,"Shefford/Shefford"," 162","Waterloo",10,19,124,40,58,1,252,415
24069,"Shefford/Shefford"," 163","Maricourt",3,19,106,32,41,5,206,335
24069,"Shefford/Shefford"," 164","Racine",1,5,73,19,20,2,120,207
24069,"Shefford/Shefford"," 165","Racine",3,27,115,33,73,3,254,423
24069,"Shefford/Shefford"," 165-1A","Racine",4,15,124,47,59,2,251,382
24069,"Shefford/Shefford"," 165-1B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,17
24069,"Shefford/Shefford"," 166","Valcourt",5,24,159,47,46,9,290,484
24069,"Shefford/Shefford"," 167","Valcourt",7,22,149,38,42,7,265,415
24069,"Shefford/Shefford"," 168","Valcourt",2,28,138,25,43,5,241,417
24069,"Shefford/Shefford"," 169","Valcourt",5,10,60,19,37,2,133,244
24069,"Shefford/Shefford"," 170","Valcourt",6,24,70,28,30,2,160,306
24069,"Shefford/Shefford"," 171","Valcourt",4,25,95,37,37,3,201,363
24069,"Shefford/Shefford"," 172","Valcourt",3,13,79,26,31,2,154,295
24069,"Shefford/Shefford"," 173","Sainte-Anne-de-la-Rochelle",8,26,147,42,82,4,309,483
24069,"Shefford/Shefford"," 174","Lawrenceville",19,15,183,57,44,12,330,503
24069,"Shefford/Shefford"," 175","Bonsecours",11,21,190,39,63,0,324,477
24069,"Shefford/Shefford"," 400","Granby",5,54,62,48,39,2,210,302
24069,"Shefford/Shefford"," 500A","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,24
24069,"Shefford/Shefford"," 500B","Mobile poll/Bureau itinérant",1,18,16,11,11,2,59,85
24069,"Shefford/Shefford"," 501","Mobile poll/Bureau itinérant",2,22,21,21,11,2,79,161
24069,"Shefford/Shefford"," 502A","Mobile poll/Bureau itinérant",1,17,18,18,16,2,72,166
24069,"Shefford/Shefford"," 502B","Mobile poll/Bureau itinérant",3,21,32,24,20,3,103,52
24069,"Shefford/Shefford"," 503A","Mobile poll/Bureau itinérant",3,17,24,28,20,3,95,235
24069,"Shefford/Shefford"," 503B","Mobile poll/Bureau itinérant",1,12,26,18,14,3,74,25
24069,"Shefford/Shefford"," 504","Mobile poll/Bureau itinérant",2,37,23,21,12,2,97,163
24069,"Shefford/Shefford"," 505","Mobile poll/Bureau itinérant",3,23,14,21,16,4,81,129
24069,"Shefford/Shefford"," 506","Mobile poll/Bureau itinérant",1,27,48,41,22,0,139,233
24069,"Shefford/Shefford"," 600","Saint-Césaire",16,79,357,107,226,10,795,
24069,"Shefford/Shefford"," 601","Saint-Alphonse-de-Granby--Ange-Gardien",5,16,112,24,58,2,217,
24069,"Shefford/Shefford"," 602","Granby",7,70,324,117,174,12,704,
24069,"Shefford/Shefford"," 603","Granby",5,50,194,52,123,3,427,
24069,"Shefford/Shefford"," 604","Granby",9,125,281,108,176,15,714,
24069,"Shefford/Shefford"," 605","Granby",8,98,272,83,150,6,617,
24069,"Shefford/Shefford"," 606","Granby",8,45,231,70,147,11,512,
24069,"Shefford/Shefford"," 607","Granby",6,29,100,65,90,4,294,
24069,"Shefford/Shefford"," 608","Granby",6,79,306,120,158,6,675,
24069,"Shefford/Shefford"," 609","Roxton Pond--Sainte-Cécile-de-Milton",2,50,184,62,85,3,386,
24069,"Shefford/Shefford"," 610","Waterloo",9,95,274,115,191,7,691,
24069,"Shefford/Shefford"," 611","Valcourt",14,48,193,65,122,7,449,
24069,"Shefford/Shefford"," 612","Granby",14,82,300,84,143,12,635,
24069,"Shefford/Shefford",,Group 1/Groupe 1,3,19,18,50,25,9,124,218
24069,"Shefford/Shefford",,Group 2/Groupe 2,9,137,186,114,300,13,759,
