Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Arthur Corbett,Doug Ferguson,Peter Ferguson,Ed Holder,Rod Morley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"London West/London-Ouest"," 123","London",9,71,56,55,0,1,192,289
35044,"London West/London-Ouest"," 124","London",8,93,84,62,0,0,247,405
35044,"London West/London-Ouest"," 125","London",4,66,93,54,0,0,217,395
35044,"London West/London-Ouest"," 126","London",8,66,89,65,1,1,230,387
35044,"London West/London-Ouest"," 127","London",3,26,103,55,0,2,189,520
35044,"London West/London-Ouest"," 128","London",4,39,80,108,0,2,233,451
35044,"London West/London-Ouest"," 129","London",3,22,53,45,0,0,123,259
35044,"London West/London-Ouest"," 130","London",7,34,66,81,0,4,192,496
35044,"London West/London-Ouest"," 131","London",8,20,78,61,1,4,172,262
35044,"London West/London-Ouest"," 132","London",4,14,38,37,0,0,93,227
35044,"London West/London-Ouest"," 133","London",3,60,71,82,0,2,218,464
35044,"London West/London-Ouest"," 134","London",10,98,55,108,0,1,272,427
35044,"London West/London-Ouest"," 135","London",6,112,62,109,2,1,292,462
35044,"London West/London-Ouest"," 136","London",11,86,88,67,1,0,253,391
35044,"London West/London-Ouest"," 137","London",3,59,61,127,0,2,252,296
35044,"London West/London-Ouest"," 138","London",7,52,102,48,1,3,213,384
35044,"London West/London-Ouest"," 139","London",10,63,77,53,0,0,203,392
35044,"London West/London-Ouest"," 140","London",6,36,77,32,0,1,152,315
35044,"London West/London-Ouest"," 141","London",8,38,81,61,0,2,190,336
35044,"London West/London-Ouest"," 142","London",6,60,48,54,0,3,171,290
35044,"London West/London-Ouest"," 143","London",9,24,40,25,0,2,100,260
35044,"London West/London-Ouest"," 144","London",0,48,52,20,0,1,121,188
35044,"London West/London-Ouest"," 145","London",10,39,68,48,0,1,166,276
35044,"London West/London-Ouest"," 146","London",4,115,70,66,0,0,255,392
35044,"London West/London-Ouest"," 147","London",4,86,73,56,0,2,221,329
35044,"London West/London-Ouest"," 148","London",6,91,66,75,0,0,238,346
35044,"London West/London-Ouest"," 149","London",7,46,63,52,0,0,168,286
35044,"London West/London-Ouest"," 150","London",8,49,100,77,0,1,235,400
35044,"London West/London-Ouest"," 151","London",6,9,59,36,0,1,111,256
35044,"London West/London-Ouest"," 152","London",4,25,74,57,0,0,160,406
35044,"London West/London-Ouest"," 153","London",5,16,53,40,0,0,114,207
35044,"London West/London-Ouest"," 154","London",5,36,78,79,0,0,198,376
35044,"London West/London-Ouest"," 155","London",13,67,67,70,0,0,217,334
35044,"London West/London-Ouest"," 156","London",3,48,48,56,0,3,158,247
35044,"London West/London-Ouest"," 157","London",5,67,47,80,0,0,199,330
35044,"London West/London-Ouest"," 158","London",5,38,90,75,0,0,208,377
35044,"London West/London-Ouest"," 159","London",4,62,50,100,0,0,216,430
35044,"London West/London-Ouest"," 159-1","London",3,39,13,77,0,3,135,298
35044,"London West/London-Ouest"," 160","London",9,51,24,107,0,1,192,353
35044,"London West/London-Ouest"," 161","London",0,89,35,152,0,2,278,440
35044,"London West/London-Ouest"," 162","London",0,41,36,86,1,0,164,224
35044,"London West/London-Ouest"," 163","London",1,80,42,146,0,0,269,418
35044,"London West/London-Ouest"," 164","London",4,51,89,74,0,1,219,461
35044,"London West/London-Ouest"," 165","London",5,37,83,90,0,2,217,360
35044,"London West/London-Ouest"," 166","London",4,20,62,53,1,0,140,318
35044,"London West/London-Ouest"," 167","London",6,37,50,54,0,0,147,261
35044,"London West/London-Ouest"," 168","London",3,33,61,74,0,1,172,349
35044,"London West/London-Ouest"," 169","London",6,44,77,64,0,0,191,333
35044,"London West/London-Ouest"," 170","London",1,14,53,30,0,0,98,269
35044,"London West/London-Ouest"," 171","London",4,59,48,105,1,2,219,361
35044,"London West/London-Ouest"," 172","London",6,50,58,80,0,1,195,372
35044,"London West/London-Ouest"," 173","London",3,89,58,157,0,0,307,493
35044,"London West/London-Ouest"," 174","London",3,59,47,106,0,0,215,427
35044,"London West/London-Ouest"," 175A","London",2,61,46,109,0,2,220,395
35044,"London West/London-Ouest"," 175B","London",3,49,29,111,0,0,192,319
35044,"London West/London-Ouest"," 176","London",6,60,46,122,0,1,235,379
35044,"London West/London-Ouest"," 177","London",6,94,51,152,1,0,304,536
35044,"London West/London-Ouest"," 178","London",2,80,49,116,0,1,248,428
35044,"London West/London-Ouest"," 179","London",7,66,35,84,0,0,192,373
35044,"London West/London-Ouest"," 180","London",5,64,47,105,0,2,223,375
35044,"London West/London-Ouest"," 181","London",3,33,80,54,0,2,172,400
35044,"London West/London-Ouest"," 182","London",2,27,81,45,0,0,155,479
35044,"London West/London-Ouest"," 183","London",3,45,39,113,0,1,201,367
35044,"London West/London-Ouest"," 184","London",7,73,55,163,0,1,299,592
35044,"London West/London-Ouest"," 184-1","London",4,25,35,26,0,1,91,204
35044,"London West/London-Ouest"," 185","London",4,27,67,82,0,1,181,394
35044,"London West/London-Ouest"," 186","London",3,45,47,71,0,0,166,314
35044,"London West/London-Ouest"," 187","London",4,57,53,73,0,0,187,368
35044,"London West/London-Ouest"," 188","London",9,74,66,155,0,2,306,483
35044,"London West/London-Ouest"," 189","London",5,55,52,111,1,1,225,349
35044,"London West/London-Ouest"," 190","London",9,24,67,91,0,1,192,393
35044,"London West/London-Ouest"," 191","London",1,38,47,79,1,5,171,334
35044,"London West/London-Ouest"," 192","London",2,29,42,44,0,0,117,309
35044,"London West/London-Ouest"," 193","London",10,52,88,139,0,3,292,492
35044,"London West/London-Ouest"," 194","London",11,49,61,90,0,1,212,347
35044,"London West/London-Ouest"," 195","London",3,35,69,83,0,0,190,391
35044,"London West/London-Ouest"," 196","London",1,70,53,118,0,1,243,393
35044,"London West/London-Ouest"," 197","London",3,94,75,147,1,3,323,496
35044,"London West/London-Ouest"," 198","London",5,55,88,90,1,0,239,508
35044,"London West/London-Ouest"," 199","London",8,26,33,42,0,3,112,302
35044,"London West/London-Ouest"," 200","London",3,30,42,73,0,1,149,294
35044,"London West/London-Ouest"," 201","London",10,45,57,54,0,0,166,420
35044,"London West/London-Ouest"," 202","London",0,62,35,87,0,1,185,369
35044,"London West/London-Ouest"," 203","London",6,79,51,99,0,1,236,385
35044,"London West/London-Ouest"," 204","London",5,45,61,69,0,1,181,403
35044,"London West/London-Ouest"," 205","London",7,54,74,114,1,0,250,398
35044,"London West/London-Ouest"," 206","London",4,23,31,42,1,1,102,195
35044,"London West/London-Ouest"," 207","London",9,43,127,88,0,1,268,525
35044,"London West/London-Ouest"," 208","London",6,39,79,76,0,0,200,365
35044,"London West/London-Ouest"," 209","London",1,78,72,106,0,1,258,420
35044,"London West/London-Ouest"," 210","London",8,26,86,90,0,0,210,444
35044,"London West/London-Ouest"," 211","London",1,31,38,73,0,0,143,237
35044,"London West/London-Ouest"," 212","London",4,46,33,106,0,0,189,332
35044,"London West/London-Ouest"," 213","London",3,68,58,104,0,1,234,406
35044,"London West/London-Ouest"," 400","London",Void/Supprimé,,,,,,,
35044,"London West/London-Ouest"," 401","London",3,20,33,22,0,0,78,228
35044,"London West/London-Ouest"," 402","London",0,21,35,25,0,0,81,219
35044,"London West/London-Ouest"," 403","London",1,14,35,19,0,0,69,203
35044,"London West/London-Ouest"," 404","London",4,33,37,26,0,1,101,253
35044,"London West/London-Ouest"," 405","London",2,16,22,36,0,0,76,235
35044,"London West/London-Ouest"," 406","London",3,16,46,16,0,0,81,181
35044,"London West/London-Ouest"," 407","London",3,30,15,65,0,0,113,143
35044,"London West/London-Ouest"," 408","London",Void/Supprimé,,,,,,,
35044,"London West/London-Ouest"," 409","London",Void/Supprimé,,,,,,,
35044,"London West/London-Ouest"," 410","London",5,35,35,40,0,0,115,172
35044,"London West/London-Ouest"," 411","London",7,38,34,35,0,0,114,181
35044,"London West/London-Ouest"," 412","London",3,17,31,20,0,0,71,182
35044,"London West/London-Ouest"," 413","London",4,25,31,37,0,0,97,226
35044,"London West/London-Ouest"," 414","London",0,7,29,29,0,0,65,156
35044,"London West/London-Ouest"," 415","London",3,15,10,18,0,0,46,113
35044,"London West/London-Ouest"," 416","London",3,20,13,37,0,2,75,159
35044,"London West/London-Ouest"," 417","London",3,37,32,74,0,0,146,221
35044,"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",0,18,9,21,0,0,48,68
35044,"London West/London-Ouest"," 501","Mobile poll/Bureau itinérant",2,29,26,61,0,5,123,160
35044,"London West/London-Ouest"," 502","Mobile poll/Bureau itinérant",5,26,36,56,1,2,126,154
35044,"London West/London-Ouest"," 600","London",21,166,88,266,1,2,544,
35044,"London West/London-Ouest"," 601","London",8,141,93,253,0,1,496,
35044,"London West/London-Ouest"," 602","London",4,159,62,275,0,2,502,
35044,"London West/London-Ouest"," 603","London",12,129,36,249,0,1,427,
35044,"London West/London-Ouest"," 604","London",12,134,61,211,0,0,418,
35044,"London West/London-Ouest"," 605","London",2,123,29,195,0,0,349,
35044,"London West/London-Ouest"," 606","London",7,194,48,320,1,2,572,
35044,"London West/London-Ouest"," 607","London",16,237,90,359,0,2,704,
35044,"London West/London-Ouest"," 608","London",12,168,109,220,0,3,512,
35044,"London West/London-Ouest"," 609","London",9,113,138,260,1,5,526,
35044,"London West/London-Ouest"," 610","London",22,242,170,173,2,0,609,
35044,"London West/London-Ouest"," 611","London",17,203,98,197,1,6,522,
35044,"London West/London-Ouest"," 612","London",14,149,70,288,0,0,521,
35044,"London West/London-Ouest"," 613","London",6,105,54,187,0,1,353,
35044,"London West/London-Ouest"," 614","London",11,117,92,241,0,0,461,
35044,"London West/London-Ouest"," 615","London",13,161,97,320,0,1,592,
35044,"London West/London-Ouest",,Group 1/Groupe 1,18,60,21,73,0,7,179,309
35044,"London West/London-Ouest",,Group 2/Groupe 2,16,424,213,939,2,10,1604,
