Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Denise Ghanam,Irek Kusmierczyk,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 30","Windsor",3,80,68,20,5,1,177,506
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 31","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 32","Windsor",0,32,26,2,1,0,61,258
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 32-1","Windsor",2,44,39,25,1,0,111,283
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 33","Windsor",0,54,43,10,2,0,109,271
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 34","Windsor",1,85,34,12,1,2,135,371
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 35","Windsor",2,88,35,6,6,1,138,309
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 36","Windsor",2,75,39,16,7,0,139,316
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 37","Windsor",1,42,86,30,2,0,161,345
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 37-1","Windsor",1,72,70,28,1,1,173,344
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 38","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 39","Windsor",1,44,89,32,3,0,169,320
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 39-1","Windsor",0,61,56,29,7,0,153,293
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 40","Windsor",1,62,85,41,8,3,200,338
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 41","Windsor",0,93,64,18,7,0,182,377
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 42","Windsor",0,99,61,23,9,1,193,352
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 43","Windsor",0,106,50,7,5,0,168,313
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 44","Windsor",0,110,36,16,4,0,166,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 45","Windsor",2,117,72,37,14,0,242,459
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 46","Windsor",0,109,50,14,6,1,180,360
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 47","Windsor",2,96,42,22,6,2,170,300
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 48","Windsor",0,85,40,11,11,0,147,274
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 49","Windsor",2,75,77,42,9,1,206,381
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 50","Windsor",0,47,31,21,5,1,105,236
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 51","Windsor",1,75,41,26,1,1,145,345
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 52","Windsor",0,66,69,39,9,1,184,386
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 53","Windsor",1,71,41,15,5,0,133,341
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 54","Windsor",1,70,68,30,8,1,178,361
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",1,141,130,50,10,3,335,590
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",0,41,24,12,2,0,79,193
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",1,38,21,3,1,0,64,188
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",1,91,46,24,7,1,170,353
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",0,98,58,21,10,2,189,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 60","Windsor",0,93,45,23,5,0,166,339
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 60-1","Windsor",2,64,19,9,4,0,98,228
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",2,104,48,24,8,1,187,337
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 62","Windsor",1,87,73,23,8,0,192,351
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 63","Windsor",1,93,53,16,5,0,168,348
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 64","Windsor",0,95,40,34,7,0,176,293
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 65","Windsor",2,93,57,11,3,2,168,312
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 66","Windsor",0,61,42,15,2,1,121,281
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 67","Windsor",0,69,48,13,4,1,135,348
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 67-1","Windsor",0,87,47,14,3,0,151,463
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 68","Windsor",0,109,83,21,9,0,222,504
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 69","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 70","Windsor",0,104,71,24,6,0,205,364
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 71","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 72","Windsor",0,61,61,14,2,0,138,308
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 73","Windsor",1,91,72,16,3,0,183,382
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 74","Windsor",0,139,88,39,4,0,270,509
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 75","Windsor",3,90,66,17,11,1,188,412
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 76","Windsor",0,108,71,26,9,0,214,440
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 77","Windsor",0,73,38,9,5,1,126,368
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 78","Windsor",2,56,22,10,3,0,93,274
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 79","Windsor",2,42,32,7,2,1,86,259
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 80","Windsor",2,97,31,9,3,2,144,408
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 81","Windsor",0,52,29,17,2,0,100,265
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 82","Windsor",0,72,25,19,7,0,123,350
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 83A","Windsor",1,101,119,59,8,0,288,518
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 83B","Windsor",1,22,13,10,1,1,48,118
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 84","Windsor",0,48,72,17,2,0,139,275
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 85","Windsor",0,123,61,22,6,1,213,452
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 86","Windsor",0,69,59,16,9,2,155,381
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 86-1","Windsor",0,72,72,35,3,0,182,396
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 87","Windsor",0,103,77,28,5,1,214,486
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 88","Windsor",1,72,76,32,5,0,186,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 88-1","Windsor",0,56,51,27,9,2,145,361
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 89","Windsor",0,67,80,20,3,2,172,373
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 90","Windsor",1,92,105,51,4,0,253,448
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 90-1","Windsor",3,80,52,37,4,1,177,464
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 91","Windsor",2,91,103,36,3,0,235,442
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 91-1","Windsor",1,101,88,26,3,0,219,437
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 91-2","Windsor",0,46,26,18,1,0,91,304
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 91-3","Windsor",0,56,23,22,2,0,103,287
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 92","Windsor",1,62,56,22,4,1,146,241
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 92-1","Windsor",1,55,66,18,1,0,141,349
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 92-2","Windsor",0,76,38,16,3,0,133,330
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 92-3","Windsor",1,57,74,25,5,1,163,341
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 92-4","Windsor",2,67,49,8,2,1,129,335
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 93","Windsor",1,110,39,10,5,0,165,363
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 94","Windsor",1,80,23,14,3,1,122,275
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 95","Windsor",1,95,32,10,5,1,144,335
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 96","Windsor",1,88,57,17,5,1,169,372
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 97","Windsor",1,111,39,8,7,0,166,342
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 98","Windsor",0,77,15,12,2,0,106,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 99","Windsor",3,64,21,17,7,0,112,349
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 100","Windsor",0,49,24,15,2,0,90,287
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 101","Windsor",1,92,30,18,7,0,148,287
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 102","Windsor",0,85,40,11,10,0,146,347
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 103","Windsor",0,84,33,9,8,0,134,295
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 104","Windsor",1,71,50,17,3,0,142,319
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 105","Windsor",0,60,32,14,3,0,109,280
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 106","Windsor",1,82,37,7,4,0,131,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 107","Windsor",0,73,40,10,2,1,126,328
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 108","Windsor",0,88,29,17,7,0,141,298
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 109","Windsor",1,52,16,1,4,0,74,209
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 110","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 111","Windsor",1,58,26,5,3,0,93,309
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 112","Windsor",2,83,30,13,6,0,134,299
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 113","Windsor",1,100,26,10,5,2,144,307
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 114","Windsor",1,90,33,14,3,2,143,343
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 115","Windsor",1,110,35,6,2,0,154,342
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 116","Windsor",3,81,40,9,9,1,143,304
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 117","Windsor",0,74,32,5,3,0,114,319
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 118","Windsor",0,88,45,13,4,0,150,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 119","Windsor",1,68,41,14,3,0,127,334
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 120","Windsor",1,70,39,13,3,1,127,295
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 121","Windsor",2,105,37,18,5,2,169,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 122","Windsor",2,94,37,15,8,1,157,302
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 123","Windsor",1,72,43,6,7,0,129,325
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 124","Windsor",6,73,32,11,11,1,134,365
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 125","Windsor",3,89,32,20,7,0,151,362
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 126","Windsor",0,94,26,14,3,1,138,366
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 127","Windsor",1,67,41,9,5,0,123,243
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 128","Windsor",0,68,38,19,5,0,130,278
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 129","Windsor",3,66,32,15,10,1,127,265
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 130","Windsor",0,97,60,30,3,5,195,359
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 131","Windsor",2,63,31,7,2,0,105,282
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 131-1","Windsor",1,67,21,11,2,3,105,272
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 132","Windsor",2,83,37,9,3,1,135,339
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 133","Windsor",1,96,32,11,4,0,144,361
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 134","Windsor",1,75,29,9,2,0,116,317
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 135","Windsor",1,49,26,10,3,0,89,450
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 136","Windsor",0,62,37,5,2,1,107,368
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 137","Windsor",2,58,28,7,1,0,96,316
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 138","Windsor",3,69,26,15,1,0,114,265
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 139","Windsor",1,75,41,13,7,0,137,305
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 140","Windsor",0,64,45,8,1,0,118,248
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 141","Windsor",3,91,91,20,3,2,210,352
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 142","Windsor",1,122,98,31,9,2,263,458
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 143","Windsor",0,89,21,6,6,1,123,357
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 144","Windsor",2,114,75,24,2,5,222,384
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 145","Windsor",1,61,38,12,5,0,117,345
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 146","Windsor",3,119,70,13,6,0,211,396
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 147","Windsor",0,123,82,20,6,1,232,374
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 148","Windsor",0,57,35,12,4,0,108,258
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 149","Windsor",2,101,31,26,3,1,164,382
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 150","Windsor",0,123,66,30,2,0,221,432
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 151","Windsor",0,30,11,8,4,0,53,246
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 152","Windsor",1,66,17,9,7,0,100,325
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 152-1","Windsor",1,90,46,11,5,4,157,411
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 153","Windsor",1,107,50,22,10,0,190,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 154","Windsor",1,100,59,21,7,2,190,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 155","Windsor",2,117,59,22,4,6,210,417
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 156","Windsor",0,96,51,27,3,1,178,429
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 156-1","Windsor",0,54,47,22,4,0,127,365
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 157","Windsor",1,92,36,18,4,0,151,315
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 158","Windsor",2,96,48,27,7,6,186,399
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 159","Windsor",1,78,79,26,9,2,195,403
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 160","Windsor",0,29,18,8,4,0,59,147
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 161","Windsor",1,111,51,29,6,2,200,508
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 162","Windsor",0,88,62,27,1,1,179,450
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 163","Windsor",1,62,47,26,3,0,139,307
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 164","Windsor",0,69,27,9,1,0,106,373
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 164-1","Windsor",2,81,64,35,10,2,194,366
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 165","Windsor",1,107,53,22,6,0,189,438
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 166","Windsor",1,107,70,21,3,0,202,455
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 167","Windsor",0,131,67,37,4,3,242,490
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 168","Windsor",1,84,62,24,3,0,174,392
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 169","Windsor",1,133,70,25,1,1,231,487
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 170","Windsor",0,100,65,24,4,1,194,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 171","Windsor",2,104,38,15,1,1,161,349
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172","Tecumseh",1,100,97,26,7,0,231,472
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172-1","Tecumseh",1,89,79,36,6,0,211,418
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172-2","Tecumseh",2,80,125,35,14,0,256,502
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173","Tecumseh",0,87,76,33,7,0,203,373
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173-1","Tecumseh",0,66,73,28,4,2,173,337
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173-2","Tecumseh",0,43,67,24,7,0,141,318
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 174","Tecumseh",0,83,70,19,7,0,179,361
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 175","Tecumseh",0,58,127,31,6,0,222,414
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 176","Tecumseh",1,57,86,17,8,0,169,354
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 177","Tecumseh",1,89,96,27,3,1,217,392
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 178","Tecumseh",0,58,113,16,10,0,197,381
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 179","Tecumseh",0,51,121,25,4,0,201,382
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 180","Tecumseh",1,28,54,25,2,2,112,285
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 180-1","Tecumseh",0,47,47,12,0,0,106,239
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 181","Tecumseh",0,73,142,27,10,1,253,482
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 182","Tecumseh",1,103,68,37,5,0,214,372
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 183","Tecumseh",1,89,86,20,8,0,204,448
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 184","Tecumseh",1,100,73,21,12,0,207,418
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 185","Tecumseh",1,87,62,21,3,2,176,398
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 186","Tecumseh",0,64,52,21,4,1,142,333
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 187","Tecumseh",0,84,70,32,9,2,197,452
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 188","Tecumseh",2,89,56,19,6,1,173,345
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 189","Tecumseh",0,91,86,31,6,0,214,458
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 190","Tecumseh",1,69,107,28,7,0,212,391
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 191","Tecumseh",1,80,82,30,4,0,197,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 192","Tecumseh",0,76,48,27,6,0,157,363
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 193","Tecumseh",0,76,28,16,2,0,122,307
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 194","Tecumseh",1,83,48,21,3,3,159,464
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 194-1","Tecumseh",1,91,59,27,7,0,185,435
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 195","Tecumseh",2,101,42,19,3,0,167,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 196","Tecumseh",2,102,52,13,3,1,173,362
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 197","Tecumseh",1,88,64,13,4,2,172,385
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 198","Tecumseh",0,105,80,23,8,1,217,494
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 199","Tecumseh",3,102,41,20,2,1,169,296
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 200","Tecumseh",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 201","Tecumseh",0,94,72,36,4,0,206,408
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 201-1","Tecumseh",2,111,70,36,6,1,226,425
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 202","Tecumseh",2,115,115,47,13,2,294,557
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 203","Tecumseh",0,103,74,36,6,2,221,426
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 204","Tecumseh",1,80,71,43,3,2,200,365
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 205","Tecumseh",1,87,30,17,2,3,140,297
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 205-1","Tecumseh",0,78,67,50,1,0,196,384
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 206","Tecumseh",0,88,87,23,8,0,206,441
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 206-1","Tecumseh",0,82,40,14,2,1,139,278
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 207","Tecumseh",2,79,92,29,7,1,210,406
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 208","Tecumseh",0,66,98,19,3,1,187,381
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 209","Tecumseh",0,63,53,16,6,1,139,293
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 210","Tecumseh",1,75,75,16,10,0,177,315
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 210-1","Tecumseh",0,66,76,15,7,1,165,255
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 400","Windsor",7,129,51,39,7,5,238,386
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 401","Windsor",3,167,107,35,3,2,317,416
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 402","Windsor",1,106,100,15,2,0,224,366
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 500","Mobile poll/Bureau itinérant",1,25,12,4,0,3,45,81
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 501","Mobile poll/Bureau itinérant",3,31,9,26,1,1,71,83
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 502","Mobile poll/Bureau itinérant",1,33,22,21,2,6,85,208
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 503","Mobile poll/Bureau itinérant",2,28,11,13,1,3,58,190
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 504","Mobile poll/Bureau itinérant",0,23,19,21,1,3,67,91
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 600","Windsor",5,244,98,57,20,2,426,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 601","Windsor",4,333,248,96,26,1,708,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 602","Windsor",4,239,178,82,9,4,516,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 603","Windsor",0,212,172,59,13,0,456,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 604","Windsor",0,162,223,82,6,1,474,
