Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Boughen,Russ Collicott,Noah Patrick Evanchuk,Larissa Shasko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Palliser/Palliser"," 64","Moose Jaw",77,3,109,10,0,199,373
47005,"Palliser/Palliser"," 65","Moose Jaw",78,2,83,5,0,168,320
47005,"Palliser/Palliser"," 66","Moose Jaw",94,5,92,8,0,199,383
47005,"Palliser/Palliser"," 67","Moose Jaw",67,4,85,9,0,165,351
47005,"Palliser/Palliser"," 68","Moose Jaw",74,6,100,7,0,187,353
47005,"Palliser/Palliser"," 69","Moose Jaw",101,2,101,8,0,212,369
47005,"Palliser/Palliser"," 70","Moose Jaw",75,6,61,8,1,151,270
47005,"Palliser/Palliser"," 71","Moose Jaw",116,7,94,8,0,225,420
47005,"Palliser/Palliser"," 72","Drinkwater",91,0,27,6,1,125,226
47005,"Palliser/Palliser"," 73","Keystown",91,4,19,3,0,117,211
47005,"Palliser/Palliser"," 74","Pense",193,3,85,3,0,284,413
47005,"Palliser/Palliser"," 75","Regina",204,17,96,12,0,329,496
47005,"Palliser/Palliser"," 76","Briercrest",132,2,35,7,1,177,231
47005,"Palliser/Palliser"," 77","Rouleau",163,9,59,6,1,238,411
47005,"Palliser/Palliser"," 78","Wilcox",147,13,37,7,0,204,305
47005,"Palliser/Palliser"," 79","Regina",49,12,121,7,0,189,345
47005,"Palliser/Palliser"," 80","Regina",37,16,122,8,0,183,335
47005,"Palliser/Palliser"," 81","Regina",40,7,103,9,0,159,341
47005,"Palliser/Palliser"," 82","Regina",50,11,145,9,0,215,417
47005,"Palliser/Palliser"," 83","Regina",51,13,184,12,1,261,401
47005,"Palliser/Palliser"," 84","Regina",22,10,126,4,0,162,256
47005,"Palliser/Palliser"," 85","Regina",73,12,157,15,0,257,406
47005,"Palliser/Palliser"," 86","Regina",41,14,204,9,0,268,420
47005,"Palliser/Palliser"," 87","Regina",47,15,132,10,0,204,376
47005,"Palliser/Palliser"," 88","Regina",41,14,183,12,0,250,413
47005,"Palliser/Palliser"," 89","Regina",76,23,198,7,0,304,452
47005,"Palliser/Palliser"," 90","Regina",65,12,193,10,0,280,487
47005,"Palliser/Palliser"," 91","Regina",64,17,196,5,1,283,430
47005,"Palliser/Palliser"," 92","Regina",60,13,117,15,1,206,359
47005,"Palliser/Palliser"," 93","Regina",74,17,136,5,0,232,389
47005,"Palliser/Palliser"," 94","Regina",61,15,132,9,0,217,334
47005,"Palliser/Palliser"," 95","Regina",80,26,132,3,2,243,397
47005,"Palliser/Palliser"," 96","Regina",68,13,117,6,0,204,318
47005,"Palliser/Palliser"," 97","Regina",87,14,129,8,1,239,343
47005,"Palliser/Palliser"," 98","Regina",68,17,104,6,0,195,311
47005,"Palliser/Palliser"," 99","Regina",75,4,107,9,1,196,334
47005,"Palliser/Palliser"," 100","Regina",78,16,119,7,1,221,360
47005,"Palliser/Palliser"," 101","Regina",110,27,110,5,1,253,425
47005,"Palliser/Palliser"," 102","Regina",59,11,104,12,0,186,310
47005,"Palliser/Palliser"," 103","Regina",69,25,121,7,0,222,347
47005,"Palliser/Palliser"," 104","Regina",95,26,123,2,0,246,347
47005,"Palliser/Palliser"," 105","Regina",92,11,116,3,0,222,349
47005,"Palliser/Palliser"," 106","Regina",95,14,118,6,1,234,388
47005,"Palliser/Palliser"," 107","Regina",64,17,126,5,0,212,337
47005,"Palliser/Palliser"," 108","Regina",97,18,110,10,1,236,378
47005,"Palliser/Palliser"," 109","Regina",66,12,84,4,1,167,307
47005,"Palliser/Palliser"," 110","Regina",36,13,83,7,2,141,321
47005,"Palliser/Palliser"," 111","Regina",93,17,85,7,2,204,317
47005,"Palliser/Palliser"," 112","Regina",107,24,94,11,0,236,367
47005,"Palliser/Palliser"," 113","Regina",111,16,105,1,0,233,405
47005,"Palliser/Palliser"," 114","Regina",37,12,63,2,0,114,246
47005,"Palliser/Palliser"," 115","Regina",65,18,88,9,0,180,338
47005,"Palliser/Palliser"," 116","Regina",140,24,108,3,3,278,431
47005,"Palliser/Palliser"," 117","Regina",120,18,78,5,0,221,354
47005,"Palliser/Palliser"," 118","Regina",79,23,75,3,0,180,340
47005,"Palliser/Palliser"," 119","Regina",111,19,131,5,0,266,407
47005,"Palliser/Palliser"," 120","Regina",76,12,108,5,0,201,342
47005,"Palliser/Palliser"," 121","Regina",97,28,93,3,0,221,396
47005,"Palliser/Palliser"," 122","Regina",86,15,93,2,0,196,338
47005,"Palliser/Palliser"," 123","Regina",117,22,105,2,0,246,386
47005,"Palliser/Palliser"," 124","Regina",112,14,84,7,0,217,362
47005,"Palliser/Palliser"," 125","Regina",92,16,86,11,1,206,332
47005,"Palliser/Palliser"," 126","Regina",145,18,68,3,1,235,359
47005,"Palliser/Palliser"," 127","Regina",140,27,127,10,0,304,519
47005,"Palliser/Palliser"," 128","Regina",145,27,109,8,2,291,428
47005,"Palliser/Palliser"," 129","Regina",77,15,47,2,2,143,223
47005,"Palliser/Palliser"," 130","Regina",99,19,94,9,0,221,360
47005,"Palliser/Palliser"," 130-1","Regina",66,18,62,7,0,153,247
47005,"Palliser/Palliser"," 131","Old Wives",37,0,8,1,0,46,183
47005,"Palliser/Palliser"," 132","Mossbank",146,1,46,6,0,199,329
47005,"Palliser/Palliser"," 133","Ardill",59,6,15,1,0,81,145
47005,"Palliser/Palliser"," 134","Avonlea",138,12,23,3,0,176,264
47005,"Palliser/Palliser"," 135","Avonlea",166,9,39,2,1,217,352
47005,"Palliser/Palliser"," 500","Mobile poll/Bureau itinérant",18,4,8,0,0,30,90
47005,"Palliser/Palliser"," 501","Mobile poll/Bureau itinérant",45,14,40,0,2,101,189
47005,"Palliser/Palliser"," 502","Mobile poll/Bureau itinérant",45,11,42,5,1,104,345
47005,"Palliser/Palliser"," 503","Mobile poll/Bureau itinérant",32,8,39,1,1,81,220
47005,"Palliser/Palliser"," 504","Mobile poll/Bureau itinérant",38,21,21,1,1,82,96
47005,"Palliser/Palliser"," 505","Mobile poll/Bureau itinérant",64,23,45,0,0,132,177
47005,"Palliser/Palliser"," 506","Mobile poll/Bureau itinérant",37,17,27,1,2,84,207
47005,"Palliser/Palliser"," 507","Mobile poll/Bureau itinérant",108,16,65,3,1,193,238
47005,"Palliser/Palliser"," 508","Mobile poll/Bureau itinérant",57,30,62,4,3,156,257
47005,"Palliser/Palliser"," 600","Caronport",120,0,22,4,0,146,
47005,"Palliser/Palliser"," 601","Moose Jaw",249,22,116,16,1,404,
47005,"Palliser/Palliser"," 602","Moose Jaw",136,7,111,7,0,261,
47005,"Palliser/Palliser"," 603","Moose Jaw",201,14,196,9,1,421,
47005,"Palliser/Palliser"," 604","Rouleau",113,2,12,7,0,134,
47005,"Palliser/Palliser"," 605","Regina",126,34,448,22,0,630,
47005,"Palliser/Palliser"," 606","Regina",130,38,232,4,0,404,
47005,"Palliser/Palliser"," 607","Regina",146,33,146,8,5,338,
47005,"Palliser/Palliser"," 608","Crestwynd",34,0,11,1,0,46,
47005,"Palliser/Palliser"," 609","Moose Jaw",129,14,129,8,1,281,
47005,"Palliser/Palliser"," 610","Moose Jaw",51,7,55,8,1,122,
47005,"Palliser/Palliser"," 611","Regina",77,16,102,3,0,198,
47005,"Palliser/Palliser"," 612","Regina",130,38,122,8,0,298,
47005,"Palliser/Palliser",,Group 1/Groupe 1,59,16,36,6,4,121,254
47005,"Palliser/Palliser",,Group 2/Groupe 2,655,87,604,30,12,1388,
