Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorne Cudmore,Mike Currie,Lawrence MacAulay,Leslie Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 25","West Montague",8,51,94,0,1,154,347
11001,"Cardigan/Cardigan"," 26A","Central Montague",9,56,66,4,1,136,314
11001,"Cardigan/Cardigan"," 26B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,47
11001,"Cardigan/Cardigan"," 27","South Montague",16,69,109,5,0,199,386
11001,"Cardigan/Cardigan"," 28","Valleyfield",21,78,138,5,0,242,385
11001,"Cardigan/Cardigan"," 29","Lower Montague",37,70,121,7,3,238,383
11001,"Cardigan/Cardigan"," 30","Brooklyn",20,107,114,3,2,246,384
11001,"Cardigan/Cardigan"," 31","Sturgeon",26,59,134,6,1,226,386
11001,"Cardigan/Cardigan"," 32","Murray Harbour North",15,80,104,4,0,203,307
11001,"Cardigan/Cardigan"," 33","Murray River North",18,60,113,4,0,195,339
11001,"Cardigan/Cardigan"," 34","Murray River South",24,61,106,9,1,201,326
11001,"Cardigan/Cardigan"," 35","Beach Point",19,98,112,8,3,240,371
11001,"Cardigan/Cardigan"," 36","Abney",20,56,108,3,0,187,329
11001,"Cardigan/Cardigan"," 37","Wood Islands",14,65,76,9,1,165,309
11001,"Cardigan/Cardigan"," 38","Lewes",16,63,86,4,1,170,303
11001,"Cardigan/Cardigan"," 39","Flat River",26,71,124,2,6,229,373
11001,"Cardigan/Cardigan"," 40","Mount Buchanan",37,82,143,6,0,268,367
11001,"Cardigan/Cardigan"," 41","Iona",15,75,106,4,2,202,289
11001,"Cardigan/Cardigan"," 42","Kinross",29,64,101,4,2,200,282
11001,"Cardigan/Cardigan"," 43","Millview",31,83,107,3,0,224,308
11001,"Cardigan/Cardigan"," 44","Pownal",27,90,123,10,0,250,384
11001,"Cardigan/Cardigan"," 45","Cherry Valley",18,92,104,5,0,219,301
11001,"Cardigan/Cardigan"," 46","Hermitage",24,106,119,6,0,255,368
11001,"Cardigan/Cardigan"," 47","New Perth",7,104,84,3,0,198,368
11001,"Cardigan/Cardigan"," 48","Peakes",23,85,84,5,0,197,370
11001,"Cardigan/Cardigan"," 49","Fort Augustus",32,80,93,1,2,208,315
11001,"Cardigan/Cardigan"," 50","Savage Harbour",42,77,110,5,1,235,370
11001,"Cardigan/Cardigan"," 51","Mount Stewart",26,87,117,4,1,235,427
11001,"Cardigan/Cardigan"," 52","Tracadie Cross",41,79,112,5,0,237,373
11001,"Cardigan/Cardigan"," 53","Grand Tracadie",60,91,131,5,1,288,342
11001,"Cardigan/Cardigan"," 54","Bedford Station",51,80,123,4,0,258,365
11001,"Cardigan/Cardigan"," 55","Johnstons River",51,100,94,5,2,252,410
11001,"Cardigan/Cardigan"," 56","Glenfinnan",21,93,97,4,3,218,353
11001,"Cardigan/Cardigan"," 57","Hazelbrook",40,77,107,8,0,232,377
11001,"Cardigan/Cardigan"," 58","Mount Herbert",56,105,187,5,3,356,534
11001,"Cardigan/Cardigan"," 59","Alexandra",27,76,105,7,2,217,324
11001,"Cardigan/Cardigan"," 60","Stratford",33,112,132,8,1,286,443
11001,"Cardigan/Cardigan"," 61","Stratford",46,114,128,4,3,295,472
11001,"Cardigan/Cardigan"," 62","Stratford",39,92,136,8,1,276,439
11001,"Cardigan/Cardigan"," 63A","Stratford",37,76,102,12,0,227,359
11001,"Cardigan/Cardigan"," 63B","Stratford",33,81,76,5,1,196,331
11001,"Cardigan/Cardigan"," 64","Stratford",35,102,135,6,0,278,435
11001,"Cardigan/Cardigan"," 65","Stratford",27,77,108,3,2,217,350
11001,"Cardigan/Cardigan"," 66","Stratford",39,88,132,2,2,263,457
11001,"Cardigan/Cardigan"," 67","Stratford",33,65,100,3,2,203,358
11001,"Cardigan/Cardigan"," 68","Stratford",16,45,61,1,2,125,280
11001,"Cardigan/Cardigan"," 69","Stratford",44,112,103,4,2,265,464
11001,"Cardigan/Cardigan"," 70","Stratford",33,59,97,3,0,192,326
11001,"Cardigan/Cardigan"," 71A","Stratford",37,67,76,2,1,183,321
11001,"Cardigan/Cardigan"," 71B","Stratford",36,56,73,3,1,169,320
11001,"Cardigan/Cardigan"," 72","Stratford",44,103,124,4,0,275,438
11001,"Cardigan/Cardigan"," 73","Stratford",24,63,76,6,1,170,366
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",2,15,25,1,3,46,72
11001,"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",7,37,23,1,5,73,108
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",1,22,48,0,2,73,72
11001,"Cardigan/Cardigan"," 503","Mobile poll/Bureau itinérant",6,32,40,4,0,82,92
11001,"Cardigan/Cardigan"," 600","Souris",31,201,289,8,4,533,
11001,"Cardigan/Cardigan"," 601","Mount Stewart",33,206,247,4,1,491,
11001,"Cardigan/Cardigan"," 602","Montague",30,185,266,6,1,488,
11001,"Cardigan/Cardigan"," 603","Central Kings & Queens",20,230,189,2,3,444,
11001,"Cardigan/Cardigan"," 604","Stratford Center",58,327,430,14,2,831,
11001,"Cardigan/Cardigan"," 605","Stratford",52,188,252,11,1,504,
11001,"Cardigan/Cardigan"," 606","Wood Islands",11,120,148,6,1,286,
11001,"Cardigan/Cardigan",,Group 1/Groupe 1,3,45,25,2,3,78,150
11001,"Cardigan/Cardigan",,Group 2/Groupe 2,33,242,328,12,2,617,
