Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Colford,Ronald Mazerolle,Tilly O'Neill Gordon,Keith Vickers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi/Miramichi"," 37B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,24
13006,"Miramichi/Miramichi"," 38","Lower Neguac",70,7,70,76,6,229,411
13006,"Miramichi/Miramichi"," 39","Miramichi",29,5,72,27,0,133,247
13006,"Miramichi/Miramichi"," 40","Miramichi",38,2,126,26,1,193,313
13006,"Miramichi/Miramichi"," 41","Miramichi",24,3,71,37,1,136,264
13006,"Miramichi/Miramichi"," 42","Miramichi",40,4,48,33,0,125,278
13006,"Miramichi/Miramichi"," 43","Miramichi",41,6,86,31,6,170,368
13006,"Miramichi/Miramichi"," 44","Miramichi",35,3,82,31,0,151,295
13006,"Miramichi/Miramichi"," 45","Miramichi",26,4,72,41,0,143,281
13006,"Miramichi/Miramichi"," 46","Miramichi",46,1,205,51,3,306,510
13006,"Miramichi/Miramichi"," 47","Miramichi",40,9,107,37,1,194,392
13006,"Miramichi/Miramichi"," 48","Miramichi",47,3,112,55,0,217,397
13006,"Miramichi/Miramichi"," 49","Miramichi",Void/Supprimé,,,,,,
13006,"Miramichi/Miramichi"," 50","Miramichi",54,2,121,60,2,239,436
13006,"Miramichi/Miramichi"," 51","Miramichi",29,5,59,53,3,149,351
13006,"Miramichi/Miramichi"," 52","Miramichi",27,8,87,24,0,146,286
13006,"Miramichi/Miramichi"," 53","Miramichi",51,8,168,34,1,262,407
13006,"Miramichi/Miramichi"," 54","Miramichi",75,6,152,86,2,321,543
13006,"Miramichi/Miramichi"," 55","Miramichi",42,3,144,40,2,231,410
13006,"Miramichi/Miramichi"," 56","Miramichi",61,14,188,57,0,320,553
13006,"Miramichi/Miramichi"," 57","Miramichi",54,4,114,28,2,202,338
13006,"Miramichi/Miramichi"," 57-1","Miramichi",19,3,76,13,1,112,209
13006,"Miramichi/Miramichi"," 58","Miramichi",51,6,105,28,0,190,293
13006,"Miramichi/Miramichi"," 59","Miramichi",44,7,159,48,1,259,378
13006,"Miramichi/Miramichi"," 60","Miramichi",43,6,108,43,2,202,325
13006,"Miramichi/Miramichi"," 61","Miramichi",69,12,150,49,1,281,419
13006,"Miramichi/Miramichi"," 62","Miramichi",Void/Supprimé,,,,,,
13006,"Miramichi/Miramichi"," 63","Miramichi",45,5,114,29,1,194,325
13006,"Miramichi/Miramichi"," 64","Miramichi",60,5,175,37,1,278,437
13006,"Miramichi/Miramichi"," 65","Miramichi",37,9,122,41,0,209,473
13006,"Miramichi/Miramichi"," 66","Miramichi",39,2,139,36,3,219,496
13006,"Miramichi/Miramichi"," 67","Miramichi",29,5,71,37,1,143,345
13006,"Miramichi/Miramichi"," 68","Miramichi",62,5,91,37,2,197,262
13006,"Miramichi/Miramichi"," 69","Miramichi",17,2,83,15,2,119,242
13006,"Miramichi/Miramichi"," 70","Miramichi",24,2,40,11,1,78,208
13006,"Miramichi/Miramichi"," 71","Miramichi",21,7,56,17,1,102,213
13006,"Miramichi/Miramichi"," 72","Miramichi",39,5,80,44,2,170,309
13006,"Miramichi/Miramichi"," 73","Miramichi",52,6,97,38,5,198,339
13006,"Miramichi/Miramichi"," 74","Miramichi",35,7,73,34,0,149,277
13006,"Miramichi/Miramichi"," 75","Miramichi",52,7,98,33,3,193,373
13006,"Miramichi/Miramichi"," 76","Miramichi",34,8,166,29,1,238,429
13006,"Miramichi/Miramichi"," 77","Miramichi",72,9,213,59,2,355,515
13006,"Miramichi/Miramichi"," 78","Miramichi",40,4,110,27,0,181,267
13006,"Miramichi/Miramichi"," 79","Miramichi",31,8,122,37,0,198,275
13006,"Miramichi/Miramichi"," 80","Lower Napan",57,8,181,45,3,294,455
13006,"Miramichi/Miramichi"," 81","Matthews",16,1,138,39,0,194,322
13006,"Miramichi/Miramichi"," 82","Sillikers",10,2,75,21,0,108,150
13006,"Miramichi/Miramichi"," 83","Red Bank 4",47,7,36,65,0,155,331
13006,"Miramichi/Miramichi"," 84","Warwick Settlement",64,5,104,48,1,222,368
13006,"Miramichi/Miramichi"," 85","Williamstown",45,8,198,35,3,289,488
13006,"Miramichi/Miramichi"," 86","South Esk",32,3,141,34,1,211,332
13006,"Miramichi/Miramichi"," 86-1","South Esk",27,4,54,11,0,96,145
13006,"Miramichi/Miramichi"," 87","Upper Derby",20,1,51,22,3,97,166
13006,"Miramichi/Miramichi"," 88","Millerton",64,5,164,30,2,265,412
13006,"Miramichi/Miramichi"," 89","McKinleyville",42,7,96,29,0,174,321
13006,"Miramichi/Miramichi"," 90","Nelson",26,2,68,22,1,119,194
13006,"Miramichi/Miramichi"," 91","Barnaby River",34,2,108,40,0,184,258
13006,"Miramichi/Miramichi"," 92","Rogersville",62,1,67,62,6,198,338
13006,"Miramichi/Miramichi"," 93","Pleasant Ridge",46,10,42,27,3,128,220
13006,"Miramichi/Miramichi"," 94","Rogersville",56,8,107,52,4,227,426
13006,"Miramichi/Miramichi"," 95","Rogersville",45,4,51,37,4,141,279
13006,"Miramichi/Miramichi"," 96","Collette",53,5,81,47,9,195,268
13006,"Miramichi/Miramichi"," 97","East Collette",48,2,50,20,0,120,176
13006,"Miramichi/Miramichi"," 98","Rogersville",35,4,54,33,4,130,220
13006,"Miramichi/Miramichi"," 99","Acadieville",31,3,46,37,6,123,266
13006,"Miramichi/Miramichi"," 100","Acadieville",93,5,82,70,4,254,382
13006,"Miramichi/Miramichi"," 101","Glenwood",48,5,115,36,6,210,309
13006,"Miramichi/Miramichi"," 102","Centre Napan",33,3,176,52,0,264,405
13006,"Miramichi/Miramichi"," 103","Black River Bridge",44,6,146,18,3,217,350
13006,"Miramichi/Miramichi"," 104","St. Margarets",49,2,75,21,1,148,208
13006,"Miramichi/Miramichi"," 105","Bay du Vin",37,7,190,47,2,283,388
13006,"Miramichi/Miramichi"," 106","Hardwicke",30,2,86,23,0,141,263
13006,"Miramichi/Miramichi"," 107","Escuminac",37,5,78,21,0,141,259
13006,"Miramichi/Miramichi"," 108","Eel River Bridge",62,4,124,60,4,254,412
13006,"Miramichi/Miramichi"," 109","Baie-Sainte-Anne",9,2,23,25,0,59,117
13006,"Miramichi/Miramichi"," 110","Baie-Sainte-Anne",41,7,99,71,8,226,421
13006,"Miramichi/Miramichi"," 111","Baie-Sainte-Anne",12,1,43,29,3,88,149
13006,"Miramichi/Miramichi"," 112","Kouchibouguac",36,4,89,36,4,169,239
13006,"Miramichi/Miramichi"," 113A","Pointe-Sapin",41,5,62,56,5,169,225
13006,"Miramichi/Miramichi"," 113B","Pointe-Sapin",43,12,59,42,4,160,160
13006,"Miramichi/Miramichi"," 114","Pointe-Sapin",Merged with No. 113B/Fusionné avec le nº 113B,,,,,,66
13006,"Miramichi/Miramichi"," 115","Holtville",13,3,134,29,2,181,344
13006,"Miramichi/Miramichi"," 116","Carrolls Crossing",15,2,105,22,3,147,294
13006,"Miramichi/Miramichi"," 117","Boiestown",46,4,91,27,0,168,266
13006,"Miramichi/Miramichi"," 118","Ludlow",32,5,113,33,0,183,336
13006,"Miramichi/Miramichi"," 119","Storeytown",13,2,59,14,1,89,216
13006,"Miramichi/Miramichi"," 120","Hazelton",25,2,86,31,0,144,299
13006,"Miramichi/Miramichi"," 121","Doaktown",27,3,55,9,0,94,214
13006,"Miramichi/Miramichi"," 122","Blissfield",40,2,63,12,0,117,221
13006,"Miramichi/Miramichi"," 123","Doaktown",10,3,57,15,0,85,225
13006,"Miramichi/Miramichi"," 124","Renous",38,3,135,50,1,227,308
13006,"Miramichi/Miramichi"," 125","Renous",32,4,97,70,1,204,272
13006,"Miramichi/Miramichi"," 126","White Rapids",20,2,72,35,1,130,230
13006,"Miramichi/Miramichi"," 127","Coughlan",14,3,103,23,1,144,234
13006,"Miramichi/Miramichi"," 128","Barnettville",13,0,76,6,0,95,200
13006,"Miramichi/Miramichi"," 129","Blackville",23,3,159,31,3,219,358
13006,"Miramichi/Miramichi"," 130","Blackville",71,5,175,29,0,280,497
13006,"Miramichi/Miramichi"," 131","Upper Blackville",34,2,100,31,1,168,339
13006,"Miramichi/Miramichi"," 500","Mobile poll/Bureau itinérant",5,2,30,27,1,65,74
13006,"Miramichi/Miramichi"," 501","Mobile poll/Bureau itinérant",14,5,52,39,2,112,241
13006,"Miramichi/Miramichi"," 502","Mobile poll/Bureau itinérant",9,3,17,40,11,80,107
13006,"Miramichi/Miramichi"," 600","Belledune",93,9,147,99,10,358,
13006,"Miramichi/Miramichi"," 601","Miramichi",52,4,362,98,1,517,
13006,"Miramichi/Miramichi"," 602","Neguac",46,3,142,65,1,257,
13006,"Miramichi/Miramichi"," 603","Sunny Corner--Red Bank",60,5,209,83,2,359,
13006,"Miramichi/Miramichi"," 604","Miramichi",99,15,422,163,0,699,
13006,"Miramichi/Miramichi"," 605","Miramichi",105,19,476,211,4,815,
13006,"Miramichi/Miramichi"," 606","Miramichi",34,6,233,83,2,358,
13006,"Miramichi/Miramichi"," 607","Baie-Sainte-Anne",42,7,154,132,0,335,
13006,"Miramichi/Miramichi"," 608","Doaktown",41,6,193,72,1,313,
13006,"Miramichi/Miramichi"," 609","Rogersville",88,17,202,127,16,450,
13006,"Miramichi/Miramichi"," 610","Blackville",28,1,297,59,4,389,
13006,"Miramichi/Miramichi"," 611","Neguac",130,6,145,140,5,426,
13006,"Miramichi/Miramichi",,Group 1/Groupe 1,7,2,68,33,5,115,277
13006,"Miramichi/Miramichi",,Group 2/Groupe 2,51,12,517,271,10,861,
