Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Collin Anderson,Tony Hajj,Margaret McLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 143","Calgary",199,29,19,20,0,267,490
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 144","Calgary",179,31,20,15,0,245,420
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 145","Calgary",173,28,22,21,1,245,442
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 146","Calgary",156,25,21,16,0,218,407
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 147","Calgary",101,29,8,14,0,152,337
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 148","Calgary",168,38,23,24,0,253,418
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 149","Calgary",91,25,5,5,0,126,289
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 150","Calgary",190,30,22,21,0,263,552
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 151","Calgary",179,33,27,16,0,255,501
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 152","Calgary",188,34,11,21,0,254,475
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 153","Calgary",143,31,14,22,2,212,560
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 154","Calgary",95,15,10,20,0,140,330
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 155","Calgary",127,27,8,19,2,183,362
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 156","Calgary",162,34,6,24,1,227,529
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 157","Calgary",112,11,7,10,3,143,364
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 158","Calgary",169,29,6,21,0,225,488
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 159","Calgary",152,39,17,20,3,231,541
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 160","Calgary",151,32,11,24,3,221,498
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 161","Calgary",183,41,15,20,0,259,529
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 162","Calgary",163,20,8,26,0,217,473
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 163","Calgary",183,32,6,11,0,232,455
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 164","Calgary",168,35,14,22,1,240,495
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 165","Calgary",184,35,12,22,1,254,546
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 166","Calgary",198,39,10,20,5,272,508
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 167","Calgary",169,23,9,29,0,230,557
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 168","Calgary",140,28,9,30,0,207,482
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 169","Calgary",177,25,4,26,2,234,510
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 170","Calgary",176,23,5,38,0,242,569
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 171","Calgary",147,29,8,19,0,203,524
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 172","Calgary",147,22,9,25,0,203,494
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 173","Calgary",185,27,8,20,1,241,531
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 174","Calgary",131,17,6,8,1,163,378
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 175","Calgary",123,26,9,14,1,173,382
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 176","Calgary",92,22,18,9,0,141,321
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 177","Calgary",179,48,24,25,1,277,552
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 178","Calgary",142,33,19,17,2,213,413
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 179","Calgary",207,33,9,23,1,273,541
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 180","Calgary",206,41,20,23,1,291,540
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 181","Calgary",206,12,26,33,0,277,555
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 182","Calgary",191,42,13,20,0,266,517
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 183","Calgary",181,55,15,22,1,274,533
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 184","Calgary",177,34,11,13,1,236,534
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 185","Calgary",108,16,7,17,0,148,421
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 185-1","Calgary",121,39,5,29,0,194,490
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 185-2","Calgary",124,38,4,30,0,196,504
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 186","Calgary",191,35,17,30,0,273,562
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 187","Calgary",158,39,10,43,1,251,599
