Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryan Hayes,Luke Macmichael,Tony Martin,Christian Provenzano,Randy Riauka,Mike Taffarel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",47,3,54,48,0,0,0,152,225
35079,"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",66,2,58,36,1,0,1,164,320
35079,"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",41,2,67,25,0,0,0,135,290
35079,"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",65,4,82,33,0,0,0,184,353
35079,"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",169,8,105,38,2,0,3,325,512
35079,"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",73,6,110,41,1,0,3,234,380
35079,"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",86,3,54,117,2,0,3,265,396
35079,"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",90,0,71,47,1,1,0,210,323
35079,"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",70,4,67,47,1,1,3,193,310
35079,"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",43,0,79,16,0,0,1,139,263
35079,"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",47,9,73,34,1,0,2,166,347
35079,"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",113,8,92,60,0,0,3,276,462
35079,"Sault Ste. Marie/Sault Ste. Marie"," 70","Sault Ste. Marie",93,3,61,87,2,0,1,247,364
35079,"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",61,3,69,25,2,0,0,160,326
35079,"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",62,7,67,21,1,0,1,159,288
35079,"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",69,4,65,43,1,1,0,183,344
35079,"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",45,7,111,24,0,1,0,188,352
35079,"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",83,4,74,64,0,0,1,226,400
35079,"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",45,1,91,31,0,2,1,171,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",51,5,82,24,0,0,2,164,331
35079,"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",69,11,102,46,0,1,1,230,478
35079,"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",Void/Supprimé,,,,,,,,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",66,5,95,20,1,0,2,189,424
35079,"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",43,3,69,26,2,0,0,143,325
35079,"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",33,1,67,15,2,0,0,118,277
35079,"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",28,3,63,9,0,0,1,104,251
35079,"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",14,1,62,17,0,0,1,95,271
35079,"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",59,1,92,26,0,2,0,180,460
35079,"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",142,7,128,50,1,1,4,333,552
35079,"Sault Ste. Marie/Sault Ste. Marie"," 87A","Sault Ste. Marie",151,10,91,41,2,0,2,297,475
35079,"Sault Ste. Marie/Sault Ste. Marie"," 87B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,7
35079,"Sault Ste. Marie/Sault Ste. Marie"," 88","Sault Ste. Marie",169,4,75,81,0,0,0,329,534
35079,"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",107,8,75,34,0,0,2,226,398
35079,"Sault Ste. Marie/Sault Ste. Marie"," 90","Sault Ste. Marie",107,8,150,68,2,1,4,340,621
35079,"Sault Ste. Marie/Sault Ste. Marie"," 91","Sault Ste. Marie",Void/Supprimé,,,,,,,,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 92","Sault Ste. Marie",70,1,48,25,0,0,3,147,235
35079,"Sault Ste. Marie/Sault Ste. Marie"," 93","Sault Ste. Marie",53,2,32,22,1,0,0,110,204
35079,"Sault Ste. Marie/Sault Ste. Marie"," 94","Sault Ste. Marie",95,3,62,42,1,0,0,203,352
35079,"Sault Ste. Marie/Sault Ste. Marie"," 95","Sault Ste. Marie",82,3,97,30,0,0,0,212,417
35079,"Sault Ste. Marie/Sault Ste. Marie"," 96","Sault Ste. Marie",248,7,95,106,2,0,1,459,690
35079,"Sault Ste. Marie/Sault Ste. Marie"," 97","Sault Ste. Marie",144,9,86,80,0,0,2,321,472
35079,"Sault Ste. Marie/Sault Ste. Marie"," 98","Sault Ste. Marie",84,7,69,51,0,0,2,213,329
35079,"Sault Ste. Marie/Sault Ste. Marie"," 99","Sault Ste. Marie",80,3,62,38,3,0,0,186,317
35079,"Sault Ste. Marie/Sault Ste. Marie"," 100","Sault Ste. Marie",64,5,79,21,0,1,0,170,347
35079,"Sault Ste. Marie/Sault Ste. Marie"," 101","Sault Ste. Marie",83,4,75,35,0,0,3,200,342
35079,"Sault Ste. Marie/Sault Ste. Marie"," 102","Sault Ste. Marie",55,5,65,29,0,0,0,154,329
35079,"Sault Ste. Marie/Sault Ste. Marie"," 103","Sault Ste. Marie",69,5,110,33,1,0,2,220,430
35079,"Sault Ste. Marie/Sault Ste. Marie"," 104","Sault Ste. Marie",68,9,100,30,0,0,1,208,469
35079,"Sault Ste. Marie/Sault Ste. Marie"," 105","Sault Ste. Marie",96,6,70,32,1,1,2,208,353
35079,"Sault Ste. Marie/Sault Ste. Marie"," 106","Sault Ste. Marie",83,5,76,41,0,1,1,207,410
35079,"Sault Ste. Marie/Sault Ste. Marie"," 107","Sault Ste. Marie",62,13,84,20,0,0,1,180,334
35079,"Sault Ste. Marie/Sault Ste. Marie"," 108","Sault Ste. Marie",70,5,75,25,0,0,0,175,313
35079,"Sault Ste. Marie/Sault Ste. Marie"," 109","Sault Ste. Marie",72,2,74,21,0,1,0,170,298
35079,"Sault Ste. Marie/Sault Ste. Marie"," 110","Sault Ste. Marie",85,5,93,46,0,0,1,230,465
35079,"Sault Ste. Marie/Sault Ste. Marie"," 111","Sault Ste. Marie",102,6,87,50,0,0,0,245,385
35079,"Sault Ste. Marie/Sault Ste. Marie"," 112","Sault Ste. Marie",138,5,62,62,0,0,0,267,424
35079,"Sault Ste. Marie/Sault Ste. Marie"," 113","Sault Ste. Marie",97,1,111,37,2,0,0,248,393
35079,"Sault Ste. Marie/Sault Ste. Marie"," 114","Sault Ste. Marie",26,1,63,20,0,0,1,111,263
35079,"Sault Ste. Marie/Sault Ste. Marie"," 115","Sault Ste. Marie",20,4,53,16,0,0,0,93,330
35079,"Sault Ste. Marie/Sault Ste. Marie"," 116","Sault Ste. Marie",18,1,54,11,0,0,0,84,223
35079,"Sault Ste. Marie/Sault Ste. Marie"," 117","Sault Ste. Marie",57,4,63,30,1,0,2,157,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 118","Sault Ste. Marie",88,4,144,74,0,0,4,314,522
35079,"Sault Ste. Marie/Sault Ste. Marie"," 119","Sault Ste. Marie",53,2,78,26,1,0,0,160,350
35079,"Sault Ste. Marie/Sault Ste. Marie"," 120","Sault Ste. Marie",45,1,86,25,0,0,0,157,271
35079,"Sault Ste. Marie/Sault Ste. Marie"," 121","Sault Ste. Marie",46,6,107,22,2,0,0,183,341
35079,"Sault Ste. Marie/Sault Ste. Marie"," 122","Sault Ste. Marie",68,1,78,58,0,0,0,205,340
35079,"Sault Ste. Marie/Sault Ste. Marie"," 123","Sault Ste. Marie",80,4,97,54,0,0,0,235,394
35079,"Sault Ste. Marie/Sault Ste. Marie"," 124","Sault Ste. Marie",59,8,78,62,1,0,1,209,329
35079,"Sault Ste. Marie/Sault Ste. Marie"," 125","Sault Ste. Marie",99,6,89,51,2,0,0,247,353
35079,"Sault Ste. Marie/Sault Ste. Marie"," 126","Sault Ste. Marie",105,11,102,58,0,0,0,276,424
35079,"Sault Ste. Marie/Sault Ste. Marie"," 127","Sault Ste. Marie",102,2,47,50,0,0,1,202,377
35079,"Sault Ste. Marie/Sault Ste. Marie"," 128","Sault Ste. Marie",96,9,92,19,2,0,0,218,358
35079,"Sault Ste. Marie/Sault Ste. Marie"," 129","Sault Ste. Marie",95,2,86,22,0,0,1,206,325
35079,"Sault Ste. Marie/Sault Ste. Marie"," 130","Sault Ste. Marie",67,1,63,12,0,0,0,143,248
35079,"Sault Ste. Marie/Sault Ste. Marie"," 131","Sault Ste. Marie",96,2,88,47,0,0,0,233,408
35079,"Sault Ste. Marie/Sault Ste. Marie"," 132","Sault Ste. Marie",47,3,80,11,1,0,0,142,361
35079,"Sault Ste. Marie/Sault Ste. Marie"," 133","Sault Ste. Marie",71,1,69,45,0,1,0,187,321
35079,"Sault Ste. Marie/Sault Ste. Marie"," 134","Sault Ste. Marie",114,9,75,48,1,0,1,248,398
35079,"Sault Ste. Marie/Sault Ste. Marie"," 135","Sault Ste. Marie",103,10,62,72,1,0,1,249,364
35079,"Sault Ste. Marie/Sault Ste. Marie"," 136","Sault Ste. Marie",81,6,61,33,0,0,1,182,288
35079,"Sault Ste. Marie/Sault Ste. Marie"," 137","Sault Ste. Marie",77,3,50,21,0,0,1,152,262
35079,"Sault Ste. Marie/Sault Ste. Marie"," 138","Sault Ste. Marie",71,5,31,68,0,0,2,177,290
35079,"Sault Ste. Marie/Sault Ste. Marie"," 139","Sault Ste. Marie",76,8,71,22,3,0,0,180,348
35079,"Sault Ste. Marie/Sault Ste. Marie"," 140","Sault Ste. Marie",136,2,61,45,0,0,0,244,372
35079,"Sault Ste. Marie/Sault Ste. Marie"," 141","Sault Ste. Marie",149,7,81,42,0,0,0,279,400
35079,"Sault Ste. Marie/Sault Ste. Marie"," 142","Sault Ste. Marie",65,2,92,36,1,0,4,200,441
35079,"Sault Ste. Marie/Sault Ste. Marie"," 143","Sault Ste. Marie",110,4,103,44,0,0,1,262,501
35079,"Sault Ste. Marie/Sault Ste. Marie"," 144","Sault Ste. Marie",110,2,50,46,0,1,0,209,339
35079,"Sault Ste. Marie/Sault Ste. Marie"," 145","Sault Ste. Marie",82,9,77,69,1,0,1,239,361
35079,"Sault Ste. Marie/Sault Ste. Marie"," 146","Sault Ste. Marie",81,5,46,40,0,1,0,173,325
35079,"Sault Ste. Marie/Sault Ste. Marie"," 147","Sault Ste. Marie",85,8,74,51,1,0,0,219,379
35079,"Sault Ste. Marie/Sault Ste. Marie"," 148","Sault Ste. Marie",119,7,48,50,0,0,0,224,385
35079,"Sault Ste. Marie/Sault Ste. Marie"," 149","Sault Ste. Marie",99,6,59,72,1,0,3,240,395
35079,"Sault Ste. Marie/Sault Ste. Marie"," 150","Sault Ste. Marie",104,6,71,69,1,0,0,251,424
35079,"Sault Ste. Marie/Sault Ste. Marie"," 151","Sault Ste. Marie",116,4,47,58,0,0,0,225,366
35079,"Sault Ste. Marie/Sault Ste. Marie"," 152","Sault Ste. Marie",146,4,67,58,2,0,0,277,469
35079,"Sault Ste. Marie/Sault Ste. Marie"," 153","Sault Ste. Marie",138,4,109,52,0,0,1,304,574
35079,"Sault Ste. Marie/Sault Ste. Marie"," 154","Sault Ste. Marie",43,9,79,10,0,0,1,142,308
35079,"Sault Ste. Marie/Sault Ste. Marie"," 155","Sault Ste. Marie",59,3,70,8,0,0,0,140,268
35079,"Sault Ste. Marie/Sault Ste. Marie"," 156","Sault Ste. Marie",58,6,64,36,0,0,0,164,272
35079,"Sault Ste. Marie/Sault Ste. Marie"," 157","Sault Ste. Marie",111,7,77,27,0,1,0,223,375
35079,"Sault Ste. Marie/Sault Ste. Marie"," 158","Sault Ste. Marie",62,4,69,21,0,1,0,157,273
35079,"Sault Ste. Marie/Sault Ste. Marie"," 159","Sault Ste. Marie",105,2,93,30,1,0,0,231,378
35079,"Sault Ste. Marie/Sault Ste. Marie"," 160","Sault Ste. Marie",100,4,120,38,0,0,2,264,444
35079,"Sault Ste. Marie/Sault Ste. Marie"," 161","Sault Ste. Marie",96,7,89,31,1,0,0,224,383
35079,"Sault Ste. Marie/Sault Ste. Marie"," 162","Sault Ste. Marie",67,3,52,34,0,0,1,157,275
35079,"Sault Ste. Marie/Sault Ste. Marie"," 163","Sault Ste. Marie",108,7,113,29,2,0,2,261,410
35079,"Sault Ste. Marie/Sault Ste. Marie"," 164","Sault Ste. Marie",75,3,66,32,0,0,0,176,341
35079,"Sault Ste. Marie/Sault Ste. Marie"," 165","Sault Ste. Marie",137,7,89,51,0,0,0,284,421
35079,"Sault Ste. Marie/Sault Ste. Marie"," 166","Sault Ste. Marie",144,8,111,90,1,0,2,356,573
35079,"Sault Ste. Marie/Sault Ste. Marie"," 167","Sault Ste. Marie",71,3,91,18,0,0,0,183,386
35079,"Sault Ste. Marie/Sault Ste. Marie"," 168","Sault Ste. Marie",142,4,55,69,0,0,0,270,380
35079,"Sault Ste. Marie/Sault Ste. Marie"," 169","Sault Ste. Marie",119,1,71,48,1,0,0,240,392
35079,"Sault Ste. Marie/Sault Ste. Marie"," 170","Sault Ste. Marie",103,9,80,63,0,0,1,256,394
35079,"Sault Ste. Marie/Sault Ste. Marie"," 171","Sault Ste. Marie",140,2,40,95,0,1,0,278,452
35079,"Sault Ste. Marie/Sault Ste. Marie"," 172","Rankin Location 15D",11,3,99,13,0,0,0,126,306
35079,"Sault Ste. Marie/Sault Ste. Marie"," 173","Garden River 14",10,2,269,7,0,0,2,290,662
35079,"Sault Ste. Marie/Sault Ste. Marie"," 174","Echo Bay",184,13,135,38,0,0,1,371,591
35079,"Sault Ste. Marie/Sault Ste. Marie"," 175","Sylvan Valley",88,3,59,24,0,0,1,175,277
35079,"Sault Ste. Marie/Sault Ste. Marie"," 176","Echo Bay",142,7,98,25,0,0,1,273,478
35079,"Sault Ste. Marie/Sault Ste. Marie"," 177","Bar River",92,5,94,15,1,0,0,207,343
35079,"Sault Ste. Marie/Sault Ste. Marie"," 178","Laird",145,7,79,16,3,0,1,251,396
35079,"Sault Ste. Marie/Sault Ste. Marie"," 179","MacLennan",114,4,70,25,0,0,0,213,298
35079,"Sault Ste. Marie/Sault Ste. Marie"," 180","Gordon Lake",27,1,31,4,0,0,0,63,144
35079,"Sault Ste. Marie/Sault Ste. Marie"," 181","Desbarats",88,4,74,12,2,0,0,180,340
35079,"Sault Ste. Marie/Sault Ste. Marie"," 182","Bruce Mines",79,2,90,12,1,0,0,184,333
35079,"Sault Ste. Marie/Sault Ste. Marie"," 183","Bruce Mines",85,2,57,18,0,0,1,163,258
35079,"Sault Ste. Marie/Sault Ste. Marie"," 184","Bruce Station",121,6,87,17,0,0,2,233,394
35079,"Sault Ste. Marie/Sault Ste. Marie"," 185","Hilton",147,10,103,28,1,2,1,292,446
35079,"Sault Ste. Marie/Sault Ste. Marie"," 186","Richards Landing",152,7,84,16,1,0,0,260,357
35079,"Sault Ste. Marie/Sault Ste. Marie"," 187","Richards Landing",199,11,117,24,0,0,1,352,499
35079,"Sault Ste. Marie/Sault Ste. Marie"," 188","St. Joseph--Jocelyn",102,8,51,23,0,0,0,184,269
35079,"Sault Ste. Marie/Sault Ste. Marie"," 500","Mobile poll/Bureau itinérant",52,2,92,28,0,0,3,177,243
35079,"Sault Ste. Marie/Sault Ste. Marie"," 501","Mobile poll/Bureau itinérant",45,3,37,23,0,0,3,111,148
35079,"Sault Ste. Marie/Sault Ste. Marie"," 502","Mobile poll/Bureau itinérant",37,6,71,44,0,0,2,160,243
35079,"Sault Ste. Marie/Sault Ste. Marie"," 503","Mobile poll/Bureau itinérant",32,1,56,30,0,1,4,124,183
35079,"Sault Ste. Marie/Sault Ste. Marie"," 504","Mobile poll/Bureau itinérant",37,3,28,23,0,0,1,92,96
35079,"Sault Ste. Marie/Sault Ste. Marie"," 505","Mobile poll/Bureau itinérant",8,0,23,15,0,0,1,47,101
35079,"Sault Ste. Marie/Sault Ste. Marie"," 600","Algoma",156,5,125,35,0,0,0,321,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 601","Prince--Sault Ste. Marie",72,3,57,38,0,1,1,172,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 602","Sault Ste. Marie",114,1,77,70,0,0,2,264,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 603","Sault Ste. Marie",146,12,174,94,0,0,1,427,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 604","Sault Ste. Marie",220,8,121,101,1,0,2,453,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 605","Sault Ste. Marie",156,7,163,92,1,1,2,422,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 606","Sault Ste. Marie",270,10,165,165,0,0,3,613,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 607","Sault Ste. Marie",190,13,119,96,1,0,0,419,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 608","Echo Bay--Sylvan Valley",66,1,31,8,0,0,0,106,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 609","Sault Ste. Marie",66,2,57,44,0,0,1,170,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 610","Bruce Mines--Hilton Beach",134,7,54,41,0,0,2,238,
35079,"Sault Ste. Marie/Sault Ste. Marie",,Group 1/Groupe 1,70,4,30,33,1,0,5,143,257
35079,"Sault Ste. Marie/Sault Ste. Marie",,Group 2/Groupe 2,545,17,362,355,1,1,17,1298,
