Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Craig Leonard Batley,Myk Brazier,Randy Hoback,Valerie Mushinski,Ron Wassill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 65","Prince Albert",0,6,72,85,6,1,170,380
47006,"Prince Albert/Prince Albert"," 66","Prince Albert",1,2,123,85,7,0,218,372
47006,"Prince Albert/Prince Albert"," 67","Prince Albert",0,9,101,68,8,0,186,372
47006,"Prince Albert/Prince Albert"," 68","Prince Albert",0,4,132,73,13,1,223,446
47006,"Prince Albert/Prince Albert"," 69","Prince Albert",1,5,155,82,6,0,249,409
47006,"Prince Albert/Prince Albert"," 70","Prince Albert",0,4,120,85,8,0,217,368
47006,"Prince Albert/Prince Albert"," 71","Prince Albert",1,5,26,55,2,0,89,436
47006,"Prince Albert/Prince Albert"," 72","Prince Albert",0,5,140,95,7,0,247,417
47006,"Prince Albert/Prince Albert"," 73","Prince Albert",2,3,121,69,4,0,199,384
47006,"Prince Albert/Prince Albert"," 74","Prince Albert",0,6,152,72,8,0,238,379
47006,"Prince Albert/Prince Albert"," 74-1","Prince Albert",0,5,56,55,5,0,121,248
47006,"Prince Albert/Prince Albert"," 74-2","Prince Albert",0,5,170,81,4,0,260,429
47006,"Prince Albert/Prince Albert"," 75","Prince Albert",0,3,176,84,7,0,270,459
47006,"Prince Albert/Prince Albert"," 76","Prince Albert",1,3,157,94,10,0,265,459
47006,"Prince Albert/Prince Albert"," 77","Clouston",0,1,129,46,0,0,176,329
47006,"Prince Albert/Prince Albert"," 78","Prince Albert",1,1,50,29,0,0,81,176
47006,"Prince Albert/Prince Albert"," 79","Red Deer Hill",2,7,213,80,4,0,306,619
47006,"Prince Albert/Prince Albert"," 80","Miller's Hill",2,3,160,54,4,0,223,326
47006,"Prince Albert/Prince Albert"," 81","Birson",1,4,152,76,5,2,240,339
47006,"Prince Albert/Prince Albert"," 82","Muskoday First Nation",1,8,23,99,10,1,142,336
47006,"Prince Albert/Prince Albert"," 83","Birch Hills",1,1,130,75,6,0,213,325
47006,"Prince Albert/Prince Albert"," 84","Brancepeth",0,0,81,18,2,0,101,144
47006,"Prince Albert/Prince Albert"," 85","Birch Hills",2,1,155,83,8,0,249,501
47006,"Prince Albert/Prince Albert"," 85-1","Birch Hills",0,2,60,21,4,0,87,133
47006,"Prince Albert/Prince Albert"," 86","Birch Hills",0,4,77,31,4,1,117,196
47006,"Prince Albert/Prince Albert"," 87","Weldon",0,9,152,57,5,0,223,377
47006,"Prince Albert/Prince Albert"," 88","James Smith 100",0,2,46,123,14,1,186,321
47006,"Prince Albert/Prince Albert"," 89","Brockington",1,0,32,24,1,0,58,79
47006,"Prince Albert/Prince Albert"," 90","Kinistino",0,0,145,40,5,1,191,274
47006,"Prince Albert/Prince Albert"," 91","Kinistino",3,1,87,30,3,0,124,433
47006,"Prince Albert/Prince Albert"," 91-1","Kinistino",1,0,52,12,2,0,67,108
47006,"Prince Albert/Prince Albert"," 92","Kinistino",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 93","Gronlid",0,3,162,64,4,1,234,361
47006,"Prince Albert/Prince Albert"," 94","Brooksby",1,2,62,20,1,0,86,147
47006,"Prince Albert/Prince Albert"," 95","Beatty",1,0,121,29,2,1,154,253
47006,"Prince Albert/Prince Albert"," 96","Flett's Springs",0,4,155,16,3,0,178,311
47006,"Prince Albert/Prince Albert"," 97","Melfort",0,1,113,28,0,0,142,276
47006,"Prince Albert/Prince Albert"," 98","Melfort",1,2,116,45,4,1,169,296
47006,"Prince Albert/Prince Albert"," 99","Melfort",0,1,74,34,2,0,111,198
47006,"Prince Albert/Prince Albert"," 100","Melfort",1,5,144,55,5,0,210,396
47006,"Prince Albert/Prince Albert"," 101","Melfort",0,1,86,26,3,0,116,196
47006,"Prince Albert/Prince Albert"," 101-1","Melfort",0,3,76,29,6,0,114,209
47006,"Prince Albert/Prince Albert"," 102","Melfort",1,1,137,25,8,0,172,312
47006,"Prince Albert/Prince Albert"," 103","Melfort",2,6,234,71,13,2,328,823
47006,"Prince Albert/Prince Albert"," 104","Melfort",0,2,96,37,0,0,135,295
47006,"Prince Albert/Prince Albert"," 105","Melfort",0,5,94,54,10,0,163,303
47006,"Prince Albert/Prince Albert"," 106","Melfort",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 107","Melfort",0,3,176,68,8,0,255,398
47006,"Prince Albert/Prince Albert"," 108","Melfort",0,2,89,36,2,2,131,220
47006,"Prince Albert/Prince Albert"," 109","Melfort",0,3,132,33,5,0,173,283
47006,"Prince Albert/Prince Albert"," 110","Ridgedale",0,6,142,23,5,0,176,285
47006,"Prince Albert/Prince Albert"," 111","Zenon Park",0,8,108,34,23,0,173,245
47006,"Prince Albert/Prince Albert"," 112","Star City",1,2,152,50,2,0,207,325
47006,"Prince Albert/Prince Albert"," 113","Star City",1,4,194,53,2,0,254,437
47006,"Prince Albert/Prince Albert"," 114","Tisdale",0,3,105,20,2,0,130,197
47006,"Prince Albert/Prince Albert"," 115","Tisdale",1,1,135,36,3,0,176,290
47006,"Prince Albert/Prince Albert"," 116","Sylvania",0,4,107,32,4,1,148,246
47006,"Prince Albert/Prince Albert"," 117","Tisdale",0,4,378,117,12,0,511,1104
47006,"Prince Albert/Prince Albert"," 117-1","Tisdale",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 118","Tisdale",0,5,112,39,0,0,156,277
47006,"Prince Albert/Prince Albert"," 119","Tisdale",0,7,113,25,6,0,151,234
47006,"Prince Albert/Prince Albert"," 120","Tisdale",0,1,76,44,1,0,122,199
47006,"Prince Albert/Prince Albert"," 121","Tisdale",0,1,72,29,3,0,105,196
47006,"Prince Albert/Prince Albert"," 122","Tisdale",1,4,94,59,5,0,163,255
47006,"Prince Albert/Prince Albert"," 123","Tisdale",0,0,98,22,0,3,123,197
47006,"Prince Albert/Prince Albert"," 124","Nipawin",1,5,178,45,8,0,237,777
47006,"Prince Albert/Prince Albert"," 125","Codette",1,1,95,33,2,0,132,263
47006,"Prince Albert/Prince Albert"," 126","Codette",2,0,164,56,2,0,224,356
47006,"Prince Albert/Prince Albert"," 127","Aylsham",0,5,88,19,3,0,115,173
47006,"Prince Albert/Prince Albert"," 128","Nipawin",1,4,88,28,5,1,127,258
47006,"Prince Albert/Prince Albert"," 129","Nipawin",2,1,117,41,4,0,165,263
47006,"Prince Albert/Prince Albert"," 130","Nipawin",1,3,74,32,7,1,118,171
47006,"Prince Albert/Prince Albert"," 131","Nipawin",1,8,156,49,6,0,220,345
47006,"Prince Albert/Prince Albert"," 132","Nipawin",1,6,104,36,6,0,153,303
47006,"Prince Albert/Prince Albert"," 133","Nipawin",0,3,57,30,0,0,90,174
47006,"Prince Albert/Prince Albert"," 134","Nipawin",0,1,61,27,4,0,93,184
47006,"Prince Albert/Prince Albert"," 135","Nipawin",1,2,81,31,2,0,117,227
47006,"Prince Albert/Prince Albert"," 136","Nipawin",1,1,62,22,0,2,88,162
47006,"Prince Albert/Prince Albert"," 137","Nipawin",0,0,82,28,2,1,113,200
47006,"Prince Albert/Prince Albert"," 138","Nipawin",0,3,167,41,4,0,215,349
47006,"Prince Albert/Prince Albert"," 139","Petaigan",1,0,123,27,2,1,154,289
47006,"Prince Albert/Prince Albert"," 140","Moose Range",0,1,178,50,5,0,234,443
47006,"Prince Albert/Prince Albert"," 141","Arborfield",0,5,262,32,8,0,307,440
47006,"Prince Albert/Prince Albert"," 142","Arborfield",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 143","Carrot River",0,5,87,35,7,0,134,305
47006,"Prince Albert/Prince Albert"," 144","Carrot River",0,0,175,54,5,0,234,424
47006,"Prince Albert/Prince Albert"," 145","Arborfield",0,2,66,7,2,0,77,128
47006,"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",0,1,29,25,6,0,61,179
47006,"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",1,1,44,21,21,0,88,157
47006,"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",2,3,33,47,19,9,113,122
47006,"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",3,0,28,8,5,0,44,95
47006,"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",3,0,25,18,3,1,50,123
47006,"Prince Albert/Prince Albert"," 505","Mobile poll/Bureau itinérant",4,0,29,19,5,3,60,124
47006,"Prince Albert/Prince Albert"," 600","Shellbrook",0,2,115,26,3,2,148,
47006,"Prince Albert/Prince Albert"," 601","Buckland",0,7,175,74,9,1,266,
47006,"Prince Albert/Prince Albert"," 602","Prince Albert",0,6,149,113,21,0,289,
47006,"Prince Albert/Prince Albert"," 603","Prince Albert",1,3,86,47,9,0,146,
47006,"Prince Albert/Prince Albert"," 604","Prince Albert",0,2,304,138,9,1,454,
47006,"Prince Albert/Prince Albert"," 605","Birson",0,4,124,60,5,0,193,
47006,"Prince Albert/Prince Albert"," 606","Birch Hills",1,4,86,35,4,1,131,
47006,"Prince Albert/Prince Albert"," 607","Melfort",0,7,385,105,22,0,519,
47006,"Prince Albert/Prince Albert"," 608","Tisdale",0,5,237,82,11,0,335,
47006,"Prince Albert/Prince Albert"," 609","Nipawin",2,6,315,92,15,0,430,
47006,"Prince Albert/Prince Albert"," 610","Carrot River",1,5,117,37,0,0,160,
47006,"Prince Albert/Prince Albert"," 611","Prince Albert",0,8,155,97,6,1,267,
47006,"Prince Albert/Prince Albert",,Group 1/Groupe 1,2,14,33,52,50,10,161,207
47006,"Prince Albert/Prince Albert",,Group 2/Groupe 2,4,18,347,185,38,5,597,
