Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Blais,Charles Cartier,Krista Lalonde,Louis Plamondon,Anne-Marie Tanguay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 29-1","Bécancour",9,28,86,70,5,2,200,398
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 30","Bécancour",14,31,102,72,7,0,226,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 31","Bécancour",18,24,113,67,7,4,233,336
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 32","Bécancour",23,43,90,73,8,5,242,403
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 33","Bécancour",17,43,81,95,8,3,247,380
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 34","Bécancour",35,42,148,98,15,8,346,509
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 35","Bécancour",32,87,141,95,12,5,372,587
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 35-1","Bécancour",26,61,136,77,9,11,320,562
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 36","Bécancour",29,47,148,118,7,12,361,529
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 37","Bécancour",15,41,82,60,4,8,210,315
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 37-1","Bécancour",51,50,52,68,4,6,231,337
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 38","Bécancour",17,35,117,80,7,4,260,401
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 39","Bécancour",20,42,110,65,9,7,253,378
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 40","Saint-Célestin-Station",9,45,56,39,8,5,162,262
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 41","Saint-Wenceslas",8,9,55,43,5,4,124,175
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 42","Saint-Wenceslas",18,36,115,66,2,6,243,359
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 43","Saint-Wenceslas",18,47,119,43,4,2,233,366
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 44","Aston-Jonction",13,39,72,47,7,4,182,265
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 45","Sainte-Eulalie",19,40,110,58,8,6,241,358
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 46","Saint-Célestin",13,23,67,58,3,10,174,242
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 47","Saint-Célestin",17,32,95,71,11,5,231,346
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 48","Saint-Célestin",8,21,66,34,10,3,142,209
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 49","Saint-Léonard-d'Aston",12,30,88,46,5,6,187,327
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 50","Saint-Léonard-d'Aston",13,24,91,55,6,5,194,418
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 51","Saint-Léonard-d'Aston",12,16,72,42,5,4,151,277
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 52","Saint-Léonard-d'Aston",12,48,94,83,3,3,243,371
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 53","Sainte-Eulalie",21,60,88,57,4,6,236,393
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 54","Grand-Saint-Esprit",14,29,104,92,6,6,251,376
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 55","Sainte-Monique",16,40,63,72,4,0,195,283
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 56","Sainte-Monique",6,18,43,17,2,1,87,138
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 57","Saint-Léonard-d'Aston",13,24,84,79,3,1,204,347
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 58","Sainte-Perpétue",10,31,80,29,1,5,156,241
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 59","Sainte-Perpétue",33,80,146,87,7,7,360,520
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 60","Saint-Jean-Baptiste-de-Nicolet",38,44,96,102,12,6,298,519
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 61","Saint-Jean-Baptiste-de-Nicolet",17,32,90,76,7,5,227,434
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 61-1","Nicolet",15,21,38,46,2,0,122,221
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 62","Saint-Jean-Baptiste-de-Nicolet",13,41,75,54,6,4,193,356
