Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karen Gventer,Emma Hogbin,Kimberley Love,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 67","Owen Sound",29,31,54,142,2,258,449
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 68","Owen Sound",46,37,93,97,0,273,471
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 69","Owen Sound",52,29,20,85,2,188,448
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70","Owen Sound",41,28,35,146,0,250,553
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 71","Owen Sound",59,14,23,124,3,223,502
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 72","Owen Sound",47,25,40,119,0,231,473
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 73","Owen Sound",21,13,15,45,0,94,220
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 74","Owen Sound",35,20,35,88,0,178,496
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 75","Owen Sound",39,16,22,67,1,145,348
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 76","Owen Sound",64,21,27,72,1,185,397
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 77","Owen Sound",45,13,27,111,0,196,422
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 78","Owen Sound",37,16,30,92,0,175,433
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 79","Owen Sound",41,7,29,100,0,177,483
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 80","Owen Sound",50,23,28,126,1,228,477
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81","Owen Sound",50,25,28,94,1,198,399
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 82","Owen Sound",37,32,43,57,1,170,365
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 83","Owen Sound",41,39,35,70,0,185,419
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 84","Owen Sound",45,12,32,90,0,179,335
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 85","Owen Sound",59,42,70,73,4,248,469
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 86","Owen Sound",37,25,74,137,1,274,435
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 87","Owen Sound",48,39,65,165,2,319,515
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 88","Owen Sound",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 89","Sydenham",24,25,31,100,0,180,294
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 90","St. Vincent",39,26,29,110,0,204,407
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 91","St. Vincent",57,40,44,203,0,344,668
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 92","Meaford",43,25,51,137,0,256,511
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 93","Meaford",48,32,39,104,0,223,452
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 94","Meaford",55,24,27,74,0,180,358
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 95","Meaford",49,41,62,130,0,282,472
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 96","Meaford",35,20,37,134,0,226,411
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 97","Meaford",21,23,34,116,1,195,348
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 98","Meaford",40,26,24,83,1,174,362
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 99","Meaford",27,44,31,76,1,179,386
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 100","Meaford",52,27,71,175,4,329,556
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 101","Sydenham",57,49,37,211,0,354,533
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 102","St. Vincent",56,50,44,159,0,309,647
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 103","St. Vincent",45,34,43,142,0,264,530
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 104","Rocklyn",28,19,34,126,0,207,305
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 105","South Bruce Peninsula",93,16,35,23,0,167,331
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 106","South Bruce Peninsula",49,21,39,146,1,256,472
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 107","South Bruce Peninsula",26,10,17,110,1,164,353
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 108","Elsinore",40,16,38,147,1,242,471
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 109","Invermay",43,15,40,168,0,266,447
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110","Tara",41,28,18,109,0,196,418
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 111","Tara",25,15,21,113,0,174,317
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 112","Arranvale",25,13,14,113,1,166,306
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 113","Kilsyth",29,21,31,171,0,252,459
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 114","Desboro",53,27,27,165,0,272,436
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 115","Dobbinton",39,16,27,105,0,187,303
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 116","Paisley",73,27,42,103,2,247,398
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 117","Paisley",64,18,52,134,1,269,445
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 118","Scone",43,12,27,150,1,233,461
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 119","Chesley",53,8,29,116,3,209,387
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 120","Chesley",33,9,28,65,0,135,321
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 121","Chesley",41,10,29,114,2,196,423
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 122","Chesley",36,12,30,79,1,158,318
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 123","Peabody",23,11,13,105,0,152,319
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 124","Kinghurst",34,20,15,159,2,230,468
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 125","Hemstock Mills",30,43,22,128,1,224,470
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126","Chatsworth",39,14,11,111,0,175,380
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 127","Arnott",50,19,36,142,0,247,449
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 128","Williamsford",73,36,37,167,0,313,582
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 129","Holland Centre",38,19,16,130,1,204,439
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 130","Massie",25,29,48,151,1,254,488
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 131","Berkeley",60,30,19,125,1,235,437
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 132","Wodehouse",49,19,31,160,1,260,417
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 133","Kimberley",36,32,59,141,2,270,495
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 134","Hanover",55,9,29,91,1,185,435
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 135","Hanover",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 136","Hanover",51,7,20,60,2,140,359
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 137","Hanover",61,11,16,119,0,207,434
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 138","Hanover",41,18,30,94,0,183,471
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 139","Hanover",66,22,44,181,0,313,552
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 140","Hanover",48,11,41,153,2,255,556
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 141","Hanover",48,14,20,110,1,193,416
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 142","Hanover",24,17,18,90,0,149,338
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 143","Hanover",34,13,25,65,1,138,393
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 144","Hanover",43,26,46,155,2,272,506
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 145","Hanover",34,15,23,60,1,133,333
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 146","Hanover",46,12,20,69,2,149,323
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 147","Hanover",29,12,42,140,0,223,477
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 148","Elmwood",46,20,25,107,0,198,401
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 149","Louise",64,17,30,175,1,287,445
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 150","Hanover",50,19,17,110,1,197,403
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 151","Allan Park",42,19,22,117,0,200,408
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152","Aberdeen",58,20,32,118,1,229,441
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152-1","West Grey",15,4,10,42,0,71,169
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 153","Durham",29,6,6,91,0,132,301
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 154","Durham",35,12,17,118,1,183,403
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 155","Durham",41,9,11,71,0,132,301
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 156","Durham",33,23,34,137,2,229,472
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 157","Durham",30,13,11,104,0,158,338
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 158","Durham",31,8,14,73,0,126,303
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 159","Durham",31,10,13,80,0,134,329
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 160","Glenelg",40,27,32,118,1,218,492
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 161","Glenelg Centre",18,22,21,81,1,143,268
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 162","Traverston",57,45,35,173,3,313,526
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 163","Lauriston",41,30,50,109,0,230,451
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 164","Markdale",36,29,28,113,2,208,423
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 165","Markdale",34,17,28,116,2,197,348
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 166","Markdale",36,22,51,104,2,215,364
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167","Flesherton",20,19,35,114,0,188,379
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167-1","Grey Highlands",27,24,20,99,0,170,323
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 168","Flesherton",71,48,51,181,1,352,687
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 169","Flesherton",19,33,29,113,0,194,401
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 170","Flesherton",28,24,24,136,0,212,418
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 171","Flesherton",38,29,21,124,0,212,459
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 172","Eugenia",26,12,18,77,1,134,310
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 173","Feversham",40,15,22,152,0,229,465
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 174","Maxwell",21,15,9,117,0,162,442
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 175","Rob Roy",36,14,20,129,0,199,360
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 176","McIntyre",21,5,10,89,1,126,290
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 177","Neustadt",48,25,29,116,0,218,409
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 178","Moltke",39,23,13,104,0,179,328
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 179","Ayton",50,21,17,125,2,215,464
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 180","Hampden",35,32,33,138,0,238,455
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 181","Alsfeldt",30,19,12,115,0,176,283
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 182","Nenagh",52,18,33,131,0,234,450
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 183","Tartan",27,17,28,137,0,209,350
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 184","Holstein",47,21,43,153,0,264,434
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 185","Holstein",24,15,38,134,0,211,360
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 186","Egremont",42,25,34,139,1,241,455
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 187","Landerkin",22,2,14,41,1,80,160
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 188","Hopeville",27,9,40,92,1,169,356
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 189","Proton",25,5,25,83,0,138,307
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 190","Dundalk",33,15,25,89,0,162,394
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 191","Dundalk",22,15,17,78,0,132,297
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 192","Dundalk",39,10,22,105,1,177,388
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193","Dundalk",36,12,19,95,3,165,421
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 194","Dundalk",40,10,17,142,2,211,444
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 195","Ventry",37,12,20,86,0,155,399
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 400","Hanover",14,3,35,83,0,135,217
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 500","Mobile poll/Bureau itinérant",9,4,12,54,1,80,138
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 501","Mobile poll/Bureau itinérant",4,5,10,24,1,44,140
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502A","Mobile poll/Bureau itinérant",9,4,7,31,1,52,76
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,24
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503A","Mobile poll/Bureau itinérant",2,0,5,20,2,29,36
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503B","Mobile poll/Bureau itinérant",Merged with No. 508B/Fusionné avec le nº 508B,,,,,,24
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503C","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,35
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504A","Mobile poll/Bureau itinérant",11,7,10,30,3,61,69
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504B","Mobile poll/Bureau itinérant",10,4,18,72,4,108,121
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505A","Mobile poll/Bureau itinérant",Merged with No. 508B/Fusionné avec le nº 508B,,,,,,16
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505B","Mobile poll/Bureau itinérant",13,7,22,76,6,124,118
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506A","Mobile poll/Bureau itinérant",3,1,7,27,0,38,54
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,28
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 507","Mobile poll/Bureau itinérant",7,1,3,19,3,33,70
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508A","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,14
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508B","Mobile poll/Bureau itinérant",9,2,13,45,4,73,135
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 509","Mobile poll/Bureau itinérant",15,9,14,55,2,95,150
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 600","North Bruce Peninsula",31,13,43,80,0,167,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 601","Lion's Head",49,50,69,294,1,463,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 602","Wiarton",52,34,79,300,1,466,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 603","Sauble Beach",62,24,86,249,1,422,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 604","Owen Sound",55,56,105,191,3,410,
