Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hartman,Will Morin,J. David Popescu,Fred Slade,Glenn Thibeault,Fred Twilley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Sudbury/Sudbury"," 25","Sudbury",14,0,1,30,170,6,1,222,365
35088,"Sudbury/Sudbury"," 26","Sudbury",19,1,0,49,84,3,0,156,307
35088,"Sudbury/Sudbury"," 27","Sudbury",16,0,0,27,56,4,0,103,235
35088,"Sudbury/Sudbury"," 28","Sudbury",35,0,0,44,92,8,2,181,338
35088,"Sudbury/Sudbury"," 29","Sudbury",13,1,1,39,85,7,2,148,293
35088,"Sudbury/Sudbury"," 30","Sudbury",23,3,0,42,86,2,0,156,301
35088,"Sudbury/Sudbury"," 31","Sudbury",26,0,0,34,77,7,2,146,378
35088,"Sudbury/Sudbury"," 32","Sudbury",17,4,1,17,72,6,0,117,298
35088,"Sudbury/Sudbury"," 33","Sudbury",18,2,0,22,88,8,0,138,299
35088,"Sudbury/Sudbury"," 34","Sudbury",13,0,1,31,87,6,3,141,321
35088,"Sudbury/Sudbury"," 35","Sudbury",27,1,1,22,81,1,1,134,292
35088,"Sudbury/Sudbury"," 36","Sudbury",30,2,0,37,124,4,0,197,375
35088,"Sudbury/Sudbury"," 37","Sudbury",29,0,1,34,97,2,0,163,329
35088,"Sudbury/Sudbury"," 38","Sudbury",21,0,0,25,89,6,1,142,336
35088,"Sudbury/Sudbury"," 39","Sudbury",22,0,0,22,81,11,2,138,310
35088,"Sudbury/Sudbury"," 40","Sudbury",35,2,1,33,113,9,0,193,339
35088,"Sudbury/Sudbury"," 41","Sudbury",51,0,0,48,94,5,1,199,353
35088,"Sudbury/Sudbury"," 42","Sudbury",9,0,1,24,64,3,0,101,234
35088,"Sudbury/Sudbury"," 43","Sudbury",22,1,3,24,89,4,0,143,294
35088,"Sudbury/Sudbury"," 44","Sudbury",26,1,3,34,73,4,0,141,323
35088,"Sudbury/Sudbury"," 45","Sudbury",23,3,1,31,92,9,0,159,334
35088,"Sudbury/Sudbury"," 46A","Sudbury",13,0,0,31,77,2,1,124,315
35088,"Sudbury/Sudbury"," 46B","Sudbury",2,0,0,0,4,0,0,6,26
35088,"Sudbury/Sudbury"," 47","Sudbury",7,0,1,11,61,1,1,82,251
35088,"Sudbury/Sudbury"," 48","Sudbury",23,3,0,27,64,4,0,121,334
35088,"Sudbury/Sudbury"," 49","Sudbury",21,1,0,36,168,9,0,235,475
35088,"Sudbury/Sudbury"," 50","Sudbury",Void/Supprimé,,,,,,,,
35088,"Sudbury/Sudbury"," 51","Sudbury",5,1,0,8,96,5,0,115,296
35088,"Sudbury/Sudbury"," 52","Sudbury",29,3,0,21,82,3,1,139,331
35088,"Sudbury/Sudbury"," 53","Sudbury",9,1,0,23,74,3,0,110,328
35088,"Sudbury/Sudbury"," 54","Sudbury",23,0,0,31,61,4,0,119,305
35088,"Sudbury/Sudbury"," 55","Sudbury",26,1,1,34,80,2,1,145,306
35088,"Sudbury/Sudbury"," 56","Sudbury",10,1,0,37,82,10,0,140,301
35088,"Sudbury/Sudbury"," 57","Sudbury",14,1,0,22,74,3,0,114,307
35088,"Sudbury/Sudbury"," 58","Sudbury",19,2,2,40,151,6,4,224,456
35088,"Sudbury/Sudbury"," 59","Sudbury",Void/Supprimé,,,,,,,,
35088,"Sudbury/Sudbury"," 60","Sudbury",7,2,1,20,109,10,1,150,373
35088,"Sudbury/Sudbury"," 61","Sudbury",19,2,0,19,65,4,2,111,290
35088,"Sudbury/Sudbury"," 62","Sudbury",6,3,0,14,60,2,0,85,294
35088,"Sudbury/Sudbury"," 63","Sudbury",26,1,0,41,98,9,2,177,360
35088,"Sudbury/Sudbury"," 64","Sudbury",24,2,0,14,94,7,0,141,319
35088,"Sudbury/Sudbury"," 65","Sudbury",32,1,0,24,116,9,0,182,339
35088,"Sudbury/Sudbury"," 66","Sudbury",64,0,0,31,98,1,1,195,348
35088,"Sudbury/Sudbury"," 67","Sudbury",Void/Supprimé,,,,,,,,
35088,"Sudbury/Sudbury"," 68","Sudbury",53,1,1,69,101,3,2,230,364
35088,"Sudbury/Sudbury"," 69","Sudbury",35,1,0,62,112,4,0,214,360
35088,"Sudbury/Sudbury"," 70","Sudbury",47,0,0,105,99,6,0,257,431
35088,"Sudbury/Sudbury"," 71","Sudbury",38,2,0,99,135,7,1,282,457
35088,"Sudbury/Sudbury"," 72","Sudbury",48,0,1,77,113,7,0,246,415
35088,"Sudbury/Sudbury"," 73","Sudbury",58,0,0,50,104,9,0,221,370
35088,"Sudbury/Sudbury"," 74","Sudbury",38,1,0,35,128,7,0,209,330
35088,"Sudbury/Sudbury"," 75","Sudbury",45,0,1,42,101,4,2,195,324
35088,"Sudbury/Sudbury"," 76","Sudbury",36,0,1,30,71,0,2,140,305
35088,"Sudbury/Sudbury"," 77","Sudbury",28,0,0,30,58,3,0,119,245
35088,"Sudbury/Sudbury"," 78","Sudbury",33,0,2,28,84,4,0,151,327
35088,"Sudbury/Sudbury"," 79","Sudbury",30,0,1,39,125,13,0,208,360
35088,"Sudbury/Sudbury"," 80","Sudbury",15,0,0,25,120,11,2,173,340
35088,"Sudbury/Sudbury"," 81","Sudbury",17,1,0,14,75,2,1,110,263
35088,"Sudbury/Sudbury"," 82","Sudbury",17,1,1,10,84,2,1,116,338
35088,"Sudbury/Sudbury"," 83","Sudbury",21,4,4,12,78,2,1,122,365
35088,"Sudbury/Sudbury"," 84","Sudbury",26,0,2,15,116,4,1,164,357
35088,"Sudbury/Sudbury"," 85","Sudbury",36,1,0,58,116,6,0,217,426
35088,"Sudbury/Sudbury"," 86","Sudbury",42,0,0,78,113,5,1,239,392
35088,"Sudbury/Sudbury"," 87","Sudbury",42,2,0,74,112,6,0,236,414
35088,"Sudbury/Sudbury"," 88","Sudbury",58,0,2,75,109,7,2,253,462
35088,"Sudbury/Sudbury"," 89","Sudbury",46,0,1,53,128,1,1,230,366
35088,"Sudbury/Sudbury"," 90","Sudbury",26,0,0,40,104,5,1,176,359
35088,"Sudbury/Sudbury"," 91","Sudbury",32,3,0,46,101,6,0,188,314
35088,"Sudbury/Sudbury"," 92","Sudbury",54,0,1,71,109,4,0,239,405
35088,"Sudbury/Sudbury"," 93","Sudbury",32,0,0,39,97,4,0,172,317
35088,"Sudbury/Sudbury"," 94","Sudbury",15,2,0,38,128,4,1,188,346
35088,"Sudbury/Sudbury"," 95","Sudbury",30,3,0,43,67,3,0,146,276
35088,"Sudbury/Sudbury"," 96","Sudbury",24,1,1,57,135,1,0,219,373
35088,"Sudbury/Sudbury"," 97","Sudbury",51,1,0,113,123,2,1,291,480
35088,"Sudbury/Sudbury"," 98A","Sudbury",20,2,0,38,71,1,0,132,260
35088,"Sudbury/Sudbury"," 98B","Sudbury",2,0,0,0,4,0,0,6,12
35088,"Sudbury/Sudbury"," 99","Sudbury",37,0,0,45,94,11,0,187,320
35088,"Sudbury/Sudbury"," 100","Sudbury",26,1,0,65,139,3,2,236,410
35088,"Sudbury/Sudbury"," 101","Sudbury",57,2,0,57,134,10,0,260,364
35088,"Sudbury/Sudbury"," 102","Sudbury",32,0,0,78,92,7,1,210,352
35088,"Sudbury/Sudbury"," 103","Sudbury",42,0,0,47,96,2,1,188,346
35088,"Sudbury/Sudbury"," 104","Sudbury",27,2,0,54,94,5,1,183,328
35088,"Sudbury/Sudbury"," 105","Sudbury",26,1,0,75,88,7,2,199,346
35088,"Sudbury/Sudbury"," 106","Sudbury",42,0,0,71,71,3,0,187,339
35088,"Sudbury/Sudbury"," 107","Sudbury",46,2,0,92,116,8,1,265,450
35088,"Sudbury/Sudbury"," 108","Sudbury",34,1,0,55,88,1,0,179,322
35088,"Sudbury/Sudbury"," 109","Sudbury",27,2,0,36,74,4,1,144,243
35088,"Sudbury/Sudbury"," 110","Sudbury",11,1,0,31,70,2,0,115,299
35088,"Sudbury/Sudbury"," 111","Sudbury",37,0,0,101,137,13,0,288,424
35088,"Sudbury/Sudbury"," 112","Sudbury",58,1,0,78,140,7,0,284,478
35088,"Sudbury/Sudbury"," 113","Sudbury",27,1,0,49,100,1,1,179,345
35088,"Sudbury/Sudbury"," 114","Sudbury",24,0,1,54,145,4,0,228,366
35088,"Sudbury/Sudbury"," 115","Sudbury",38,1,0,32,79,6,1,157,286
35088,"Sudbury/Sudbury"," 116","Sudbury",15,0,0,31,88,1,1,136,223
35088,"Sudbury/Sudbury"," 117","Sudbury",52,3,1,50,161,6,2,275,522
35088,"Sudbury/Sudbury"," 118","Sudbury",35,0,0,29,88,7,1,160,343
35088,"Sudbury/Sudbury"," 119","Sudbury",22,0,0,32,69,5,0,128,244
35088,"Sudbury/Sudbury"," 120","Sudbury",27,0,2,42,131,5,1,208,383
35088,"Sudbury/Sudbury"," 121","Sudbury",54,0,1,83,98,3,1,240,405
35088,"Sudbury/Sudbury"," 122","Sudbury",Void/Supprimé,,,,,,,,
35088,"Sudbury/Sudbury"," 123","Sudbury",24,0,0,38,73,4,0,139,311
35088,"Sudbury/Sudbury"," 124","Sudbury",20,0,0,25,94,3,0,142,284
35088,"Sudbury/Sudbury"," 125","Sudbury",45,1,0,60,129,14,3,252,456
35088,"Sudbury/Sudbury"," 126","Sudbury",37,1,1,70,125,3,0,237,429
35088,"Sudbury/Sudbury"," 127","Sudbury",30,2,0,49,110,5,1,197,411
35088,"Sudbury/Sudbury"," 128","Sudbury",20,0,0,37,112,6,0,175,331
35088,"Sudbury/Sudbury"," 129","Sudbury",24,0,0,29,109,7,0,169,338
35088,"Sudbury/Sudbury"," 130","Sudbury",24,0,0,79,90,5,0,198,395
35088,"Sudbury/Sudbury"," 131","Sudbury",39,0,1,66,182,8,1,297,470
35088,"Sudbury/Sudbury"," 132","Sudbury",36,1,0,69,176,4,0,286,493
35088,"Sudbury/Sudbury"," 133","Sudbury",31,0,1,41,147,11,0,231,388
35088,"Sudbury/Sudbury"," 134","Sudbury",47,1,0,103,117,5,0,273,491
35088,"Sudbury/Sudbury"," 135","Sudbury",54,0,0,78,168,6,0,306,495
35088,"Sudbury/Sudbury"," 136","Sudbury",33,0,0,46,125,11,2,217,373
35088,"Sudbury/Sudbury"," 137","Sudbury",13,1,0,7,59,5,1,86,277
35088,"Sudbury/Sudbury"," 138","Sudbury",28,2,0,27,90,4,1,152,370
35088,"Sudbury/Sudbury"," 139","Sudbury",13,1,0,23,75,4,0,116,298
35088,"Sudbury/Sudbury"," 140","Sudbury",12,2,0,15,101,2,1,133,319
35088,"Sudbury/Sudbury"," 141","Sudbury",14,3,0,47,104,9,0,177,381
35088,"Sudbury/Sudbury"," 142","Sudbury",22,0,0,47,121,10,0,200,378
35088,"Sudbury/Sudbury"," 143","Sudbury",9,4,0,19,86,5,1,124,380
35088,"Sudbury/Sudbury"," 144A","Sudbury",20,1,1,8,59,4,1,94,139
35088,"Sudbury/Sudbury"," 144B","Sudbury",18,1,0,16,65,5,0,105,226
35088,"Sudbury/Sudbury"," 145","Sudbury",28,0,0,19,88,6,1,142,270
35088,"Sudbury/Sudbury"," 146","Sudbury",42,2,1,44,111,8,0,208,405
35088,"Sudbury/Sudbury"," 147","Sudbury",18,0,0,51,110,3,0,182,369
35088,"Sudbury/Sudbury"," 148","Sudbury",19,1,0,32,87,4,2,145,315
35088,"Sudbury/Sudbury"," 149","Sudbury",34,0,0,50,75,13,1,173,342
35088,"Sudbury/Sudbury"," 150","Sudbury",39,0,0,49,102,6,1,197,354
35088,"Sudbury/Sudbury"," 151","Sudbury",71,0,0,46,86,4,0,207,346
35088,"Sudbury/Sudbury"," 152","Sudbury",55,0,0,84,89,8,3,239,342
35088,"Sudbury/Sudbury"," 153","Sudbury",31,0,1,12,82,10,1,137,323
35088,"Sudbury/Sudbury"," 154","Sudbury",23,2,1,39,101,6,0,172,327
35088,"Sudbury/Sudbury"," 155","Sudbury",38,0,0,64,82,6,0,190,329
35088,"Sudbury/Sudbury"," 156","Sudbury",25,0,0,40,96,14,0,175,305
35088,"Sudbury/Sudbury"," 157A","Sudbury",17,0,0,25,62,5,1,110,218
35088,"Sudbury/Sudbury"," 157B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,61
35088,"Sudbury/Sudbury"," 158","Sudbury",21,3,1,44,109,7,0,185,356
35088,"Sudbury/Sudbury"," 159A","Sudbury",19,2,0,25,75,3,1,125,234
35088,"Sudbury/Sudbury"," 159B","Sudbury",8,0,1,5,7,0,0,21,21
35088,"Sudbury/Sudbury"," 160","Sudbury",31,2,4,56,113,8,1,215,375
35088,"Sudbury/Sudbury"," 161","Sudbury",29,0,1,42,77,10,0,159,318
35088,"Sudbury/Sudbury"," 162","Sudbury",63,0,0,71,86,1,0,221,365
35088,"Sudbury/Sudbury"," 163","Sudbury",31,1,1,53,85,5,1,177,325
35088,"Sudbury/Sudbury"," 164","Sudbury",34,0,0,64,79,6,0,183,315
35088,"Sudbury/Sudbury"," 165","Sudbury",28,0,0,32,93,1,3,157,346
35088,"Sudbury/Sudbury"," 166","Sudbury",31,2,0,45,102,11,0,191,409
35088,"Sudbury/Sudbury"," 167","Sudbury",40,0,0,52,140,12,0,244,516
35088,"Sudbury/Sudbury"," 168","Sudbury",56,0,1,59,103,3,0,222,398
35088,"Sudbury/Sudbury"," 168-1","Sudbury",63,0,0,120,79,9,2,273,400
35088,"Sudbury/Sudbury"," 169","Sudbury",34,2,0,51,64,3,0,154,254
35088,"Sudbury/Sudbury"," 170","Sudbury",25,1,1,45,63,1,0,136,228
35088,"Sudbury/Sudbury"," 171","Sudbury",23,2,1,33,83,3,0,145,306
35088,"Sudbury/Sudbury"," 172","Sudbury",31,2,0,43,68,4,0,148,259
35088,"Sudbury/Sudbury"," 173","Sudbury",36,2,2,59,76,2,1,178,304
35088,"Sudbury/Sudbury"," 174","Sudbury",64,1,2,80,83,5,1,236,337
35088,"Sudbury/Sudbury"," 175","Sudbury",27,1,4,84,104,9,3,232,341
35088,"Sudbury/Sudbury"," 176","Sudbury",76,0,0,133,79,4,0,292,525
35088,"Sudbury/Sudbury"," 177","Sudbury",32,0,0,98,38,3,0,171,261
35088,"Sudbury/Sudbury"," 178","Sudbury",38,0,0,79,56,4,1,178,307
35088,"Sudbury/Sudbury"," 179","Sudbury",38,0,0,80,67,5,2,192,301
35088,"Sudbury/Sudbury"," 180","Sudbury",35,2,0,62,87,2,0,188,380
35088,"Sudbury/Sudbury"," 181","Sudbury",30,1,0,58,116,8,0,213,367
35088,"Sudbury/Sudbury"," 182","Sudbury",29,0,0,41,95,3,0,168,346
35088,"Sudbury/Sudbury"," 183","Sudbury",64,0,0,117,57,9,1,248,466
35088,"Sudbury/Sudbury"," 184A","Sudbury",65,0,0,99,45,5,0,214,376
35088,"Sudbury/Sudbury"," 184B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,4
35088,"Sudbury/Sudbury"," 185","Sudbury",40,0,0,90,111,13,3,257,440
35088,"Sudbury/Sudbury"," 186","Sudbury",41,0,2,70,72,6,1,192,400
35088,"Sudbury/Sudbury"," 187","Sudbury",46,0,0,63,32,4,0,145,265
35088,"Sudbury/Sudbury"," 188","Sudbury",68,1,0,111,96,12,0,288,431
35088,"Sudbury/Sudbury"," 189","Sudbury",19,2,0,51,74,11,0,157,321
35088,"Sudbury/Sudbury"," 190","Sudbury",Void/Supprimé,,,,,,,,
35088,"Sudbury/Sudbury"," 191","Sudbury",62,0,0,94,69,7,0,232,356
35088,"Sudbury/Sudbury"," 192","Sudbury",52,0,0,83,106,12,1,254,386
35088,"Sudbury/Sudbury"," 193","Sudbury",83,0,1,97,119,11,0,311,488
35088,"Sudbury/Sudbury"," 194","Sudbury",13,1,0,57,124,4,0,199,305
35088,"Sudbury/Sudbury"," 195","Sudbury",12,2,0,47,63,4,0,128,233
35088,"Sudbury/Sudbury"," 400","Sudbury",63,8,2,39,59,3,1,175,367
35088,"Sudbury/Sudbury"," 401","Sudbury",13,0,0,28,98,4,0,143,373
35088,"Sudbury/Sudbury"," 402","Sudbury",40,4,5,26,28,2,2,107,261
35088,"Sudbury/Sudbury"," 403","Sudbury",18,3,1,12,67,2,1,104,288
35088,"Sudbury/Sudbury"," 404","Sudbury",46,3,1,62,65,4,2,183,301
35088,"Sudbury/Sudbury"," 405","Walden",31,2,1,57,40,2,3,136,167
35088,"Sudbury/Sudbury"," 406","Sudbury",12,0,0,5,37,0,0,54,251
35088,"Sudbury/Sudbury"," 407","Sudbury",7,0,0,6,32,1,0,46,158
35088,"Sudbury/Sudbury"," 408","Sudbury",13,0,0,42,30,1,0,86,154
35088,"Sudbury/Sudbury"," 409","Sudbury",6,0,0,9,24,3,0,42,164
35088,"Sudbury/Sudbury"," 410","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,150
35088,"Sudbury/Sudbury"," 411","Sudbury",13,2,0,7,22,2,1,47,139
35088,"Sudbury/Sudbury"," 412","Sudbury",6,1,0,11,64,3,0,85,199
35088,"Sudbury/Sudbury"," 413","Sudbury",24,3,3,16,31,0,2,79,224
35088,"Sudbury/Sudbury"," 500","Mobile poll/Bureau itinérant",72,5,0,41,61,4,1,184,103
35088,"Sudbury/Sudbury"," 501","Mobile poll/Bureau itinérant",32,3,5,26,55,3,3,127,90
35088,"Sudbury/Sudbury"," 502","Mobile poll/Bureau itinérant",30,1,3,22,30,1,0,87,243
35088,"Sudbury/Sudbury"," 503","Mobile poll/Bureau itinérant",38,2,1,52,37,6,7,143,183
35088,"Sudbury/Sudbury"," 504","Mobile poll/Bureau itinérant",40,1,2,31,33,2,2,111,150
35088,"Sudbury/Sudbury"," 600","Naughton",30,1,1,128,90,13,1,264,
35088,"Sudbury/Sudbury"," 601","Lively",96,3,1,305,228,16,0,649,
35088,"Sudbury/Sudbury"," 602","Copper Cliff",34,1,0,51,72,4,1,163,
35088,"Sudbury/Sudbury"," 603","Sudbury",42,1,1,46,126,10,0,226,
35088,"Sudbury/Sudbury"," 604","Sudbury",44,0,1,28,95,8,0,176,
35088,"Sudbury/Sudbury"," 605","Sudbury",63,3,2,70,226,12,2,378,
35088,"Sudbury/Sudbury"," 606","Sudbury",99,3,0,46,201,6,1,356,
35088,"Sudbury/Sudbury"," 607","Sudbury",170,0,1,150,218,16,4,559,
35088,"Sudbury/Sudbury"," 608","Sudbury",118,3,0,160,208,8,0,497,
35088,"Sudbury/Sudbury"," 609","Sudbury",135,2,0,159,183,9,2,490,
35088,"Sudbury/Sudbury"," 610","Sudbury",66,1,0,89,133,4,3,296,
35088,"Sudbury/Sudbury"," 611","Sudbury",110,0,1,180,324,16,0,631,
35088,"Sudbury/Sudbury"," 612","Sudbury",70,2,0,80,146,11,2,311,
35088,"Sudbury/Sudbury"," 613","Sudbury",61,0,0,69,106,14,0,250,
35088,"Sudbury/Sudbury"," 614","Sudbury",114,0,1,146,156,9,4,430,
35088,"Sudbury/Sudbury"," 615","Sudbury",106,1,3,173,168,14,1,466,
35088,"Sudbury/Sudbury"," 616","Sudbury",127,0,0,187,121,12,0,447,
35088,"Sudbury/Sudbury",,Group 1/Groupe 1,36,1,0,60,36,6,10,149,280
35088,"Sudbury/Sudbury",,Group 2/Groupe 2,256,3,2,234,302,24,6,827,
