Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Duchaine,Nicolas Dufour,Jean-François Larose,Chantal Perreault,Christophe Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Repentigny/Repentigny"," 27-3B","L'Assomption",4,65,122,14,17,1,223,464
24053,"Repentigny/Repentigny"," 28","L'Assomption",5,40,97,16,20,4,182,302
24053,"Repentigny/Repentigny"," 29","L'Épiphanie",8,83,123,10,25,8,257,481
24053,"Repentigny/Repentigny"," 30A","L'Épiphanie",1,40,54,12,7,1,115,283
24053,"Repentigny/Repentigny"," 30B","L'Épiphanie",0,55,78,3,5,2,143,283
24053,"Repentigny/Repentigny"," 31","L'Épiphanie",5,87,155,14,11,6,278,516
24053,"Repentigny/Repentigny"," 32A","L'Épiphanie",1,80,103,7,6,2,199,343
24053,"Repentigny/Repentigny"," 32B","L'Épiphanie",4,50,94,7,5,5,165,327
24053,"Repentigny/Repentigny"," 33","L'Épiphanie",4,57,91,7,6,4,169,431
24053,"Repentigny/Repentigny"," 34","L'Épiphanie",10,51,97,11,17,0,186,407
24053,"Repentigny/Repentigny"," 35","L'Épiphanie",1,58,53,13,17,4,146,332
24053,"Repentigny/Repentigny"," 36","L'Épiphanie",1,33,81,13,10,1,139,319
24053,"Repentigny/Repentigny"," 37","L'Épiphanie",3,98,170,11,22,5,309,556
24053,"Repentigny/Repentigny"," 38","L'Épiphanie",3,42,42,3,1,2,93,190
24053,"Repentigny/Repentigny"," 39","L'Épiphanie",4,62,113,5,25,9,218,483
24053,"Repentigny/Repentigny"," 40A","L'Épiphanie",4,50,61,3,12,4,134,285
24053,"Repentigny/Repentigny"," 40B","L'Épiphanie",2,56,84,7,8,1,158,282
24053,"Repentigny/Repentigny"," 41","L'Épiphanie",4,101,107,19,13,4,248,464
24053,"Repentigny/Repentigny"," 42","L'Épiphanie",4,48,84,13,17,3,169,362
24053,"Repentigny/Repentigny"," 43","Saint-Sulpice",7,67,116,18,31,5,244,422
24053,"Repentigny/Repentigny"," 44A","Saint-Sulpice",2,59,83,18,29,2,193,309
24053,"Repentigny/Repentigny"," 44B","Saint-Sulpice",2,54,93,6,19,2,176,264
24053,"Repentigny/Repentigny"," 45","Saint-Sulpice",6,117,142,10,21,0,296,488
24053,"Repentigny/Repentigny"," 46","Saint-Sulpice",6,73,115,13,13,2,222,354
24053,"Repentigny/Repentigny"," 46-1","Saint-Sulpice",5,64,85,12,13,5,184,286
24053,"Repentigny/Repentigny"," 47","Saint-Sulpice",4,95,118,18,42,1,278,470
24053,"Repentigny/Repentigny"," 48","Le Gardeur",4,68,117,15,14,3,221,426
24053,"Repentigny/Repentigny"," 49","Le Gardeur",1,26,59,6,4,0,96,166
24053,"Repentigny/Repentigny"," 49-1A","Le Gardeur",2,57,81,9,9,4,162,322
24053,"Repentigny/Repentigny"," 49-1B","Le Gardeur",5,33,88,5,18,1,150,323
24053,"Repentigny/Repentigny"," 49-2","Le Gardeur",4,63,117,12,14,5,215,406
24053,"Repentigny/Repentigny"," 50","Le Gardeur",3,66,110,6,21,2,208,343
24053,"Repentigny/Repentigny"," 50-1A","Le Gardeur",5,42,77,7,6,0,137,225
24053,"Repentigny/Repentigny"," 50-1B","Le Gardeur",1,53,117,8,14,2,195,329
24053,"Repentigny/Repentigny"," 50-2","Le Gardeur",4,67,82,20,10,3,186,339
24053,"Repentigny/Repentigny"," 51","Le Gardeur",1,76,155,12,13,5,262,411
24053,"Repentigny/Repentigny"," 51-1","Le Gardeur",9,92,180,12,19,6,318,471
24053,"Repentigny/Repentigny"," 51-2","Le Gardeur",9,85,147,11,21,2,275,473
24053,"Repentigny/Repentigny"," 51-3","Le Gardeur",1,47,89,3,9,3,152,253
24053,"Repentigny/Repentigny"," 51-4","Le Gardeur",3,80,164,24,17,1,289,436
24053,"Repentigny/Repentigny"," 52A","Le Gardeur",4,81,104,13,11,3,216,308
24053,"Repentigny/Repentigny"," 52B","Le Gardeur",3,54,113,10,9,1,190,278
24053,"Repentigny/Repentigny"," 53","Le Gardeur",5,98,172,14,13,5,307,442
24053,"Repentigny/Repentigny"," 54","Le Gardeur",1,60,135,13,18,0,227,352
24053,"Repentigny/Repentigny"," 55A","Le Gardeur",0,59,90,10,7,5,171,271
24053,"Repentigny/Repentigny"," 55B","Le Gardeur",1,70,100,10,10,4,195,332
24053,"Repentigny/Repentigny"," 56","Le Gardeur",2,63,98,8,10,6,187,274
24053,"Repentigny/Repentigny"," 57","Le Gardeur",7,84,151,16,13,1,272,503
24053,"Repentigny/Repentigny"," 58","Le Gardeur",2,75,151,21,15,9,273,411
24053,"Repentigny/Repentigny"," 59","Le Gardeur",4,67,138,16,18,4,247,404
24053,"Repentigny/Repentigny"," 60","Le Gardeur",2,74,122,13,9,3,223,398
24053,"Repentigny/Repentigny"," 61","Le Gardeur",8,86,131,9,23,3,260,467
24053,"Repentigny/Repentigny"," 62","Le Gardeur",2,56,96,10,11,0,175,366
24053,"Repentigny/Repentigny"," 63","Le Gardeur",6,54,102,19,10,3,194,423
24053,"Repentigny/Repentigny"," 64","Le Gardeur",5,54,87,14,11,3,174,388
24053,"Repentigny/Repentigny"," 65","Le Gardeur",3,76,77,11,14,6,187,351
24053,"Repentigny/Repentigny"," 66","Le Gardeur",1,47,80,20,19,2,169,348
24053,"Repentigny/Repentigny"," 67","Le Gardeur",2,76,77,16,17,5,193,388
24053,"Repentigny/Repentigny"," 68","Le Gardeur",3,56,120,11,12,4,206,349
24053,"Repentigny/Repentigny"," 69","Le Gardeur",1,47,70,8,7,0,133,319
24053,"Repentigny/Repentigny"," 70","Le Gardeur",2,71,94,14,12,7,200,340
24053,"Repentigny/Repentigny"," 71","Le Gardeur",2,78,107,8,7,3,205,397
24053,"Repentigny/Repentigny"," 72","Le Gardeur",4,66,127,4,12,8,221,421
24053,"Repentigny/Repentigny"," 73","Le Gardeur",6,62,102,16,11,5,202,368
24053,"Repentigny/Repentigny"," 74","Le Gardeur",9,78,113,13,16,5,234,384
24053,"Repentigny/Repentigny"," 75","Le Gardeur",3,85,84,11,9,2,194,339
24053,"Repentigny/Repentigny"," 76","Le Gardeur",1,76,138,9,18,6,248,432
24053,"Repentigny/Repentigny"," 77","Le Gardeur",5,85,127,9,9,6,241,368
24053,"Repentigny/Repentigny"," 78A","Le Gardeur",5,58,110,7,6,8,194,317
24053,"Repentigny/Repentigny"," 78B","Le Gardeur",3,56,89,11,10,4,173,296
24053,"Repentigny/Repentigny"," 78-1","Le Gardeur",6,67,105,14,10,3,205,370
24053,"Repentigny/Repentigny"," 79A","Repentigny",1,66,130,24,21,2,244,430
24053,"Repentigny/Repentigny"," 79B","Repentigny",1,64,105,18,13,2,203,343
24053,"Repentigny/Repentigny"," 79C","Repentigny",6,61,155,11,13,6,252,507
24053,"Repentigny/Repentigny"," 79-1A","Repentigny",2,63,121,25,10,3,224,377
24053,"Repentigny/Repentigny"," 79-1B","Repentigny",2,44,153,27,24,1,251,434
24053,"Repentigny/Repentigny"," 79-1C","Repentigny",3,32,133,27,29,0,224,371
24053,"Repentigny/Repentigny"," 80","Repentigny",2,38,102,12,15,1,170,284
24053,"Repentigny/Repentigny"," 80-1","Repentigny",5,47,138,19,28,0,237,385
24053,"Repentigny/Repentigny"," 81","Repentigny",3,29,97,12,8,2,151,253
24053,"Repentigny/Repentigny"," 81-1","Repentigny",6,79,138,21,9,3,256,492
24053,"Repentigny/Repentigny"," 82","Repentigny",1,63,144,15,1,4,228,415
24053,"Repentigny/Repentigny"," 83","Repentigny",8,69,176,23,18,1,295,466
24053,"Repentigny/Repentigny"," 84","Repentigny",6,75,149,20,5,3,258,393
24053,"Repentigny/Repentigny"," 85","Repentigny",4,111,167,28,19,10,339,503
24053,"Repentigny/Repentigny"," 86","Repentigny",5,102,165,15,34,7,328,518
24053,"Repentigny/Repentigny"," 87","Repentigny",2,74,158,17,21,4,276,425
24053,"Repentigny/Repentigny"," 88","Repentigny",6,69,163,18,8,1,265,466
24053,"Repentigny/Repentigny"," 88-1A","Repentigny",3,46,76,24,19,3,171,275
24053,"Repentigny/Repentigny"," 88-1B","Repentigny",2,50,92,11,6,3,164,296
24053,"Repentigny/Repentigny"," 88-2A","Repentigny",3,54,113,14,17,5,206,337
24053,"Repentigny/Repentigny"," 88-2B","Repentigny",2,57,115,11,7,2,194,351
24053,"Repentigny/Repentigny"," 89","Repentigny",2,78,184,18,15,3,300,466
24053,"Repentigny/Repentigny"," 90A","Repentigny",3,51,120,9,14,1,198,326
24053,"Repentigny/Repentigny"," 90B","Repentigny",1,65,94,19,18,2,199,345
24053,"Repentigny/Repentigny"," 90-1","Repentigny",2,41,57,7,11,0,118,205
24053,"Repentigny/Repentigny"," 91","Repentigny",0,51,108,7,14,4,184,265
24053,"Repentigny/Repentigny"," 91-1","Repentigny",5,86,146,20,14,5,276,426
24053,"Repentigny/Repentigny"," 91-2","Repentigny",2,40,105,14,11,1,173,268
24053,"Repentigny/Repentigny"," 92A","Repentigny",1,43,105,7,15,3,174,281
24053,"Repentigny/Repentigny"," 92B","Repentigny",5,48,120,20,8,2,203,311
24053,"Repentigny/Repentigny"," 93A","Repentigny",6,49,92,10,17,4,178,292
24053,"Repentigny/Repentigny"," 93B","Repentigny",2,46,84,8,16,1,157,299
24053,"Repentigny/Repentigny"," 93-1","Repentigny",7,57,108,17,12,1,202,320
24053,"Repentigny/Repentigny"," 94","Repentigny",6,90,153,23,27,3,302,455
24053,"Repentigny/Repentigny"," 95","Repentigny",1,84,178,27,12,4,306,477
24053,"Repentigny/Repentigny"," 96A","Repentigny",3,71,121,16,13,4,228,326
24053,"Repentigny/Repentigny"," 96B","Repentigny",2,56,77,9,10,4,158,242
24053,"Repentigny/Repentigny"," 97","Repentigny",6,92,164,21,17,2,302,494
24053,"Repentigny/Repentigny"," 98","Repentigny",3,110,161,10,12,3,299,445
24053,"Repentigny/Repentigny"," 99","Repentigny",0,59,97,12,11,3,182,272
24053,"Repentigny/Repentigny"," 100","Repentigny",2,54,93,18,12,4,183,297
24053,"Repentigny/Repentigny"," 101","Repentigny",9,78,164,23,12,0,286,428
24053,"Repentigny/Repentigny"," 102","Repentigny",0,65,124,19,12,3,223,340
24053,"Repentigny/Repentigny"," 103","Repentigny",4,63,108,15,14,5,209,455
24053,"Repentigny/Repentigny"," 104","Repentigny",4,74,148,15,19,1,261,407
24053,"Repentigny/Repentigny"," 105","Repentigny",3,80,131,16,13,3,246,402
24053,"Repentigny/Repentigny"," 106","Repentigny",3,61,132,18,14,2,230,400
24053,"Repentigny/Repentigny"," 107","Repentigny",2,65,93,13,14,4,191,388
24053,"Repentigny/Repentigny"," 108","Repentigny",4,59,131,10,12,2,218,452
24053,"Repentigny/Repentigny"," 109","Repentigny",0,79,137,17,19,6,258,406
24053,"Repentigny/Repentigny"," 110","Repentigny",1,59,73,25,13,1,172,272
24053,"Repentigny/Repentigny"," 110-1","Repentigny",11,67,127,15,12,4,236,415
24053,"Repentigny/Repentigny"," 111","Repentigny",4,67,145,30,19,4,269,442
24053,"Repentigny/Repentigny"," 112","Repentigny",2,56,119,15,12,1,205,314
24053,"Repentigny/Repentigny"," 113","Repentigny",7,107,144,20,29,2,309,441
24053,"Repentigny/Repentigny"," 114","Repentigny",6,83,187,19,25,5,325,461
24053,"Repentigny/Repentigny"," 115","Repentigny",5,59,159,26,21,1,271,378
24053,"Repentigny/Repentigny"," 116","Repentigny",1,76,118,27,28,0,250,424
24053,"Repentigny/Repentigny"," 117","Repentigny",1,69,109,21,13,0,213,332
24053,"Repentigny/Repentigny"," 117-1","Repentigny",1,14,42,10,7,1,75,126
24053,"Repentigny/Repentigny"," 118","Repentigny",7,62,171,35,20,2,297,479
24053,"Repentigny/Repentigny"," 119","Repentigny",3,76,121,23,15,2,240,395
24053,"Repentigny/Repentigny"," 120","Repentigny",1,86,159,30,24,0,300,493
24053,"Repentigny/Repentigny"," 121","Repentigny",6,62,131,13,7,3,222,312
24053,"Repentigny/Repentigny"," 122","Repentigny",1,75,92,12,11,2,193,489
24053,"Repentigny/Repentigny"," 123","Repentigny",7,66,121,10,12,3,219,410
24053,"Repentigny/Repentigny"," 124","Repentigny",0,54,97,15,20,2,188,394
24053,"Repentigny/Repentigny"," 125","Repentigny",4,69,106,12,23,6,220,393
24053,"Repentigny/Repentigny"," 126","Repentigny",0,60,95,9,11,3,178,417
24053,"Repentigny/Repentigny"," 127","Repentigny",3,81,121,13,7,3,228,470
24053,"Repentigny/Repentigny"," 128","Repentigny",7,48,108,13,12,3,191,365
24053,"Repentigny/Repentigny"," 129","Repentigny",7,88,116,19,16,10,256,373
24053,"Repentigny/Repentigny"," 130","Repentigny",5,73,101,14,27,7,227,377
24053,"Repentigny/Repentigny"," 131","Repentigny",2,82,157,19,15,4,279,446
24053,"Repentigny/Repentigny"," 132","Repentigny",10,94,132,14,27,2,279,465
24053,"Repentigny/Repentigny"," 133","Repentigny",3,77,154,35,23,1,293,501
24053,"Repentigny/Repentigny"," 134","Repentigny",6,72,176,49,44,5,352,525
24053,"Repentigny/Repentigny"," 135","Repentigny",2,40,100,17,21,5,185,321
24053,"Repentigny/Repentigny"," 136","Repentigny",3,57,91,22,21,3,197,349
24053,"Repentigny/Repentigny"," 137","Repentigny",2,66,89,15,31,3,206,316
24053,"Repentigny/Repentigny"," 138","Repentigny",2,61,140,17,14,3,237,355
24053,"Repentigny/Repentigny"," 139","Repentigny",9,71,117,17,14,5,233,405
24053,"Repentigny/Repentigny"," 140","Repentigny",5,59,74,8,7,4,157,350
24053,"Repentigny/Repentigny"," 141","Repentigny",3,52,105,12,27,5,204,381
24053,"Repentigny/Repentigny"," 142","Repentigny",3,51,141,16,5,1,217,357
24053,"Repentigny/Repentigny"," 143","Repentigny",1,65,73,9,15,2,165,316
24053,"Repentigny/Repentigny"," 144","Repentigny",4,83,86,18,16,1,208,347
24053,"Repentigny/Repentigny"," 145","Repentigny",2,56,80,10,14,2,164,303
24053,"Repentigny/Repentigny"," 146","Repentigny",2,42,86,18,6,1,155,437
24053,"Repentigny/Repentigny"," 147","Repentigny",Void/Supprimé,,,,,,,
24053,"Repentigny/Repentigny"," 148","Repentigny",3,38,81,12,9,3,146,262
24053,"Repentigny/Repentigny"," 149","Repentigny",1,48,97,11,20,4,181,312
24053,"Repentigny/Repentigny"," 150","Repentigny",0,41,96,12,14,3,166,294
24053,"Repentigny/Repentigny"," 151","Repentigny",2,56,115,19,23,1,216,364
24053,"Repentigny/Repentigny"," 152","Repentigny",6,79,138,18,21,2,264,419
24053,"Repentigny/Repentigny"," 153","Repentigny",1,100,146,22,10,5,284,415
24053,"Repentigny/Repentigny"," 154","Repentigny",4,66,125,16,11,3,225,400
24053,"Repentigny/Repentigny"," 155","Repentigny",7,80,136,23,21,4,271,425
24053,"Repentigny/Repentigny"," 156","Repentigny",2,52,118,28,15,4,219,354
24053,"Repentigny/Repentigny"," 157","Repentigny",5,96,140,25,17,3,286,489
24053,"Repentigny/Repentigny"," 158","Repentigny",3,96,122,18,19,1,259,421
24053,"Repentigny/Repentigny"," 159","Repentigny",2,78,135,16,24,0,255,418
24053,"Repentigny/Repentigny"," 160","Repentigny",2,69,106,20,13,9,219,333
24053,"Repentigny/Repentigny"," 161","Repentigny",3,79,129,13,15,4,243,378
24053,"Repentigny/Repentigny"," 162","Repentigny",4,59,112,7,14,3,199,342
24053,"Repentigny/Repentigny"," 163","Repentigny",3,52,112,14,12,3,196,335
24053,"Repentigny/Repentigny"," 164","Repentigny",3,68,127,18,20,4,240,343
24053,"Repentigny/Repentigny"," 165","Repentigny",4,71,89,12,15,1,192,306
24053,"Repentigny/Repentigny"," 166A","Repentigny",0,56,98,17,18,3,192,359
24053,"Repentigny/Repentigny"," 166B","Repentigny",3,38,67,19,4,3,134,248
24053,"Repentigny/Repentigny"," 167","Repentigny",5,67,97,25,12,3,209,360
24053,"Repentigny/Repentigny"," 168","Repentigny",4,70,91,17,8,4,194,382
24053,"Repentigny/Repentigny"," 169","Repentigny",6,53,100,16,10,0,185,360
24053,"Repentigny/Repentigny"," 170","Repentigny",3,84,118,27,21,5,258,420
24053,"Repentigny/Repentigny"," 171","Repentigny",3,45,82,35,32,0,197,419
24053,"Repentigny/Repentigny"," 172","Repentigny",5,71,101,24,21,7,229,399
24053,"Repentigny/Repentigny"," 173","Repentigny",2,73,119,16,21,5,236,373
24053,"Repentigny/Repentigny"," 174","Repentigny",7,70,126,18,7,3,231,333
24053,"Repentigny/Repentigny"," 175","Repentigny",6,54,111,19,15,3,208,312
24053,"Repentigny/Repentigny"," 176","Repentigny",0,63,104,12,19,6,204,349
24053,"Repentigny/Repentigny"," 177","Repentigny",5,66,121,25,21,5,243,375
24053,"Repentigny/Repentigny"," 178","Repentigny",2,65,92,19,13,4,195,357
24053,"Repentigny/Repentigny"," 179","Repentigny",8,61,90,17,17,9,202,411
24053,"Repentigny/Repentigny"," 180","Repentigny",4,48,82,11,9,0,154,347
24053,"Repentigny/Repentigny"," 181","Charlemagne",1,32,56,18,14,0,121,234
24053,"Repentigny/Repentigny"," 181-1","Charlemagne",4,48,73,12,9,2,148,335
24053,"Repentigny/Repentigny"," 182","Charlemagne",4,57,96,9,6,0,172,390
24053,"Repentigny/Repentigny"," 183","Charlemagne",1,65,72,12,12,4,166,309
24053,"Repentigny/Repentigny"," 184","Charlemagne",4,64,99,9,9,5,190,378
24053,"Repentigny/Repentigny"," 185A","Charlemagne",1,48,95,12,14,5,175,303
24053,"Repentigny/Repentigny"," 185B","Charlemagne",2,47,75,13,6,3,146,289
24053,"Repentigny/Repentigny"," 186","Charlemagne",7,82,160,14,17,5,285,479
24053,"Repentigny/Repentigny"," 187","Charlemagne",6,99,133,18,16,7,279,478
24053,"Repentigny/Repentigny"," 188","Charlemagne",2,47,81,9,7,1,147,329
24053,"Repentigny/Repentigny"," 189","Charlemagne",1,62,75,14,10,4,166,314
24053,"Repentigny/Repentigny"," 190","Charlemagne",2,58,80,12,17,1,170,306
24053,"Repentigny/Repentigny"," 191","Charlemagne",6,67,124,12,13,4,226,396
24053,"Repentigny/Repentigny"," 192","Charlemagne",3,74,87,5,4,1,174,392
24053,"Repentigny/Repentigny"," 400","Repentigny",5,57,99,57,40,7,265,316
24053,"Repentigny/Repentigny"," 401","Repentigny",1,97,179,73,80,6,436,521
24053,"Repentigny/Repentigny"," 401-1","Repentigny",Void/Supprimé,,,,,,,
24053,"Repentigny/Repentigny"," 402","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,115
24053,"Repentigny/Repentigny"," 403","Repentigny",3,33,47,22,14,6,125,152
24053,"Repentigny/Repentigny"," 404","L'Assomption",3,36,54,25,14,3,135,174
24053,"Repentigny/Repentigny"," 405","Repentigny",0,18,60,19,14,0,111,193
24053,"Repentigny/Repentigny"," 406","Repentigny",0,15,50,13,12,0,90,199
24053,"Repentigny/Repentigny"," 500","Mobile poll/Bureau itinérant",6,29,27,21,13,2,98,170
24053,"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",4,29,36,34,15,6,124,104
24053,"Repentigny/Repentigny"," 502","Mobile poll/Bureau itinérant",2,15,21,11,13,2,64,111
24053,"Repentigny/Repentigny"," 503","Mobile poll/Bureau itinérant",5,22,18,13,3,2,63,86
24053,"Repentigny/Repentigny"," 504","Mobile poll/Bureau itinérant",4,32,58,23,25,2,144,181
24053,"Repentigny/Repentigny"," 600","Saint-Gérard-Majella",2,46,65,9,15,1,138,
24053,"Repentigny/Repentigny"," 601","L'Épiphanie",10,191,171,41,45,9,467,
24053,"Repentigny/Repentigny"," 602","L'Assomption",8,176,280,48,38,9,559,
24053,"Repentigny/Repentigny"," 603","Saint-Sulpice",3,43,63,12,7,2,130,
24053,"Repentigny/Repentigny"," 604","Le Gardeur",3,112,165,40,31,12,363,
24053,"Repentigny/Repentigny"," 605","Le Gardeur",11,238,233,50,49,6,587,
24053,"Repentigny/Repentigny"," 606","Repentigny",4,116,205,46,31,4,406,
24053,"Repentigny/Repentigny"," 607","Repentigny",8,158,219,50,33,7,475,
24053,"Repentigny/Repentigny"," 608","Repentigny",2,99,175,43,18,2,339,
24053,"Repentigny/Repentigny"," 609","Repentigny",3,148,213,42,52,4,462,
24053,"Repentigny/Repentigny"," 610","Repentigny",7,197,291,72,57,5,629,
24053,"Repentigny/Repentigny"," 611","Repentigny",9,196,270,79,69,9,632,
24053,"Repentigny/Repentigny"," 612","Repentigny",1,216,251,81,73,7,629,
24053,"Repentigny/Repentigny"," 613","Charlemagne",7,215,245,45,35,6,553,
24053,"Repentigny/Repentigny"," 614","L'Assomption",10,288,332,73,60,6,769,
24053,"Repentigny/Repentigny"," 615","Le Gardeur",1,124,139,21,21,6,312,
24053,"Repentigny/Repentigny"," 616","Repentigny",3,126,173,38,27,2,369,
24053,"Repentigny/Repentigny"," 617","Repentigny",3,84,122,24,19,5,257,
24053,"Repentigny/Repentigny",,Group 1/Groupe 1,4,16,22,16,36,5,99,182
24053,"Repentigny/Repentigny",,Group 2/Groupe 2,16,388,255,78,69,6,812,
