Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jacques Grenier,Jean-Yves Laforest,Lise St-Denis,Yves Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",3,23,45,51,30,2,154,354
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",4,10,45,37,26,2,124,312
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",3,11,24,33,20,5,96,260
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",5,17,37,59,33,5,156,371
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",2,22,38,48,31,2,143,322
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",2,15,22,36,29,3,107,328
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",2,11,27,26,18,0,84,246
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","La Tuque",4,24,49,62,36,4,179,311
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","La Tuque",3,15,43,46,50,4,161,298
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","La Tuque",1,30,80,59,44,4,218,415
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","La Tuque",7,10,39,39,23,0,118,280
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Hervey-Jonction",3,42,48,69,12,5,179,291
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 38","Notre-Dame-de-Montauban",6,13,56,53,12,5,145,252
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 39","Notre-Dame-de-Montauban",2,38,80,60,4,0,184,286
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 40","Notre-Dame-de-Montauban",2,9,21,27,0,1,60,137
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 41","Lac-aux-Sables",5,31,56,97,8,5,202,355
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42","Lac-aux-Sables",2,17,56,70,8,2,155,241
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42-1","Lac-aux-Sables",2,40,48,73,18,3,184,317
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 43","Sainte-Thècle",4,67,93,96,11,5,276,512
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 44","Sainte-Thècle",0,41,62,49,22,4,178,351
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 45","Sainte-Thècle",2,38,83,94,19,7,243,409
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 46","Sainte-Thècle",4,37,62,66,13,4,186,359
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 47","Sainte-Thècle",5,41,56,100,18,7,227,425
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 48","Saint-Adelphe",7,43,61,100,24,6,241,416
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 49","Saint-Adelphe",7,48,52,118,31,7,263,386
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 50","Saint-Roch-de-Mékinac",4,41,25,65,15,6,156,271
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 51","Grandes-Piles",5,27,75,72,24,1,204,327
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 52","Saint-Tite",6,61,66,65,18,5,221,422
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 53","Saint-Tite",5,81,55,92,27,2,262,445
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 54","Saint-Tite",5,35,40,62,16,9,167,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 55","Saint-Tite",4,25,35,47,27,4,142,273
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 56","Saint-Tite",4,25,55,73,19,3,179,357
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 57","Saint-Tite",1,39,53,73,25,8,199,387
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 58","Saint-Tite",4,21,40,71,22,5,163,323
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 59","Saint-Tite",2,30,36,51,20,3,142,296
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 60","Saint-Tite",1,31,39,59,21,2,153,336
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 61","Hérouxville",6,44,53,51,17,3,174,330
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 62","Hérouxville",14,45,66,92,16,5,238,458
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 63","Hérouxville",6,36,54,59,17,3,175,322
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 64","Proulxville",7,56,39,63,26,8,199,348
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 65","Proulxville",7,46,54,84,27,3,221,350
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66","Saint-Jean-des-Piles",3,58,44,78,29,5,217,386
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66-1","Shawinigan",3,44,51,69,17,2,186,273
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 67","Grand-Mère",2,39,82,100,24,4,251,471
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 68","Grand-Mère",2,52,64,102,41,8,269,519
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 69","Grand-Mère",4,28,56,70,18,5,181,290
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70","Grand-Mère",7,39,88,102,26,3,265,415
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70-1","Grand-Mère",7,48,54,67,15,1,192,365
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 71","Saint-Gérard-des-Laurentides",2,29,81,93,9,7,221,373
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 72","Saint-Gérard-des-Laurentides",2,45,64,110,17,4,242,449
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 73","Saint-Gérard-des-Laurentides",4,29,54,102,22,11,222,456
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74","Shawinigan",5,48,75,81,20,11,240,380
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74-1","Shawinigan",0,33,56,82,29,10,210,339
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 75","Shawinigan",3,31,65,67,17,7,190,356
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 76","Saint-Gérard-des-Laurentides",2,47,86,119,17,5,276,520
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 77","Shawinigan",2,32,78,88,27,4,231,424
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 78","Shawinigan",5,34,64,105,25,8,241,365
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 79","Saint-Georges",4,58,55,113,25,7,262,514
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 80","Lac-à-la-Tortue",2,54,76,87,19,11,249,563
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 81","Lac-à-la-Tortue",3,37,56,96,15,8,215,419
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 82","Lac-à-la-Tortue",3,32,32,39,15,1,122,281
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 83","Saint-Georges",6,48,51,102,26,0,233,436
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 84","Saint-Georges",2,39,68,90,14,12,225,404
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 85","Saint-Georges",3,28,47,73,10,3,164,334
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 86","Saint-Georges",2,16,44,71,9,0,142,320
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 87","Grand-Mère",5,18,63,80,19,3,188,408
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 88","Saint-Georges",4,48,46,83,15,1,197,428
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 89","Saint-Georges",2,65,67,123,15,7,279,517
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 90","Lac-à-la-Tortue",6,33,48,79,13,5,184,424
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 91","Lac-à-la-Tortue",2,29,28,64,16,3,142,263
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 92","Lac-à-la-Tortue",5,30,61,83,12,4,195,503
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 93","Grand-Mère",3,19,49,63,11,0,145,318
