Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvon Breton,Nicole Demers,Jocelyne Leduc,Robert Malo,Eva Nassif,José Nunez-Melo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,Laval/Laval,68,Laval,0,44,3,13,7,54,4,125,392
24032,Laval/Laval,69,Laval,1,61,4,11,10,88,0,175,352
24032,Laval/Laval,70,Laval,1,41,4,11,9,78,0,144,352
24032,Laval/Laval,71,Laval,1,63,4,13,56,102,2,241,462
24032,Laval/Laval,72,Laval,0,40,1,10,21,97,4,173,376
24032,Laval/Laval,73,Laval,2,42,0,6,16,81,2,149,324
24032,Laval/Laval,74,Laval,0,31,2,15,16,58,1,123,287
24032,Laval/Laval,75,Laval,0,27,1,15,20,72,1,136,314
24032,Laval/Laval,76,Laval,0,56,5,21,16,103,1,202,392
24032,Laval/Laval,77,Laval,0,67,2,23,30,146,2,270,512
24032,Laval/Laval,78,Laval,0,41,4,25,23,113,1,207,415
24032,Laval/Laval,79,Laval,1,61,8,23,20,128,1,242,522
24032,Laval/Laval,80,Laval,0,18,4,42,68,91,2,225,379
24032,Laval/Laval, 81A,Laval,0,34,4,43,51,121,1,254,506
24032,Laval/Laval, 81B,Laval,0,26,3,54,57,126,5,271,503
24032,Laval/Laval, 81-1,Laval,2,18,5,49,77,109,2,262,553
24032,Laval/Laval, 81-2,Laval,0,18,0,21,46,85,2,172,355
24032,Laval/Laval,82,Laval,1,35,2,18,25,86,0,167,426
24032,Laval/Laval, 83A,Laval,0,31,4,27,39,70,0,171,300
24032,Laval/Laval, 83B,Laval,0,41,6,27,46,75,2,197,335
24032,Laval/Laval, 83-1,Laval,0,42,2,82,53,168,2,349,692
24032,Laval/Laval,84,Laval,1,73,6,25,37,97,3,242,543
24032,Laval/Laval,85,Laval,1,39,2,7,4,41,3,97,324
24032,Laval/Laval, 86A,Laval,1,45,2,38,41,82,4,213,442
24032,Laval/Laval, 86B,Laval,0,21,5,21,33,59,5,144,330
24032,Laval/Laval,87,Laval,1,19,4,25,20,84,0,153,387
24032,Laval/Laval,88,Laval,0,28,4,21,21,94,2,170,440
24032,Laval/Laval,89,Laval,1,29,2,19,49,90,6,196,413
24032,Laval/Laval,90,Laval,1,31,4,23,31,65,2,157,358
24032,Laval/Laval,91,Laval,1,42,7,26,29,80,10,195,345
24032,Laval/Laval,92,Laval,0,15,3,16,31,78,0,143,362
24032,Laval/Laval,93,Laval,6,31,4,35,53,73,2,204,386
24032,Laval/Laval,94,Laval,1,32,6,32,59,102,5,237,495
24032,Laval/Laval,95,Laval,1,36,2,31,64,63,2,199,392
24032,Laval/Laval,96,Laval,1,19,2,10,31,45,4,112,298
24032,Laval/Laval,97,Laval,0,28,4,33,26,72,1,164,381
24032,Laval/Laval,98,Laval,0,31,3,9,35,77,2,157,371
24032,Laval/Laval,99,Laval,0,23,0,26,32,52,4,137,393
24032,Laval/Laval,100,Laval,1,30,3,8,17,75,3,137,309
24032,Laval/Laval,101,Laval,2,39,1,21,23,71,4,161,384
24032,Laval/Laval,102,Laval,2,30,0,29,29,52,1,143,307
24032,Laval/Laval,103,Laval,1,28,7,20,55,92,6,209,388
24032,Laval/Laval,104,Laval,2,51,3,14,13,80,5,168,388
24032,Laval/Laval,105,Laval,0,48,2,7,10,68,3,138,308
24032,Laval/Laval,106,Laval,0,42,4,20,25,84,3,178,364
24032,Laval/Laval,107,Laval,0,48,21,13,14,93,1,190,363
24032,Laval/Laval,108,Laval,2,53,4,15,43,138,0,255,541
24032,Laval/Laval,109,Laval,0,61,11,19,39,119,1,250,582
24032,Laval/Laval,110,Laval,0,34,5,22,33,111,7,212,449
