Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Peter Goldring,Ray Martin,Shafik Ruda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Edmonton East/Edmonton-Est"," 10","Edmonton",2,113,44,9,0,168,364
48013,"Edmonton East/Edmonton-Est"," 11","Edmonton",2,123,60,17,0,202,365
48013,"Edmonton East/Edmonton-Est"," 12","Edmonton",2,28,63,12,2,107,413
48013,"Edmonton East/Edmonton-Est"," 13","Edmonton",6,37,43,1,1,88,271
48013,"Edmonton East/Edmonton-Est"," 14","Edmonton",3,104,54,11,1,173,353
48013,"Edmonton East/Edmonton-Est"," 15","Edmonton",1,96,55,18,1,171,360
48013,"Edmonton East/Edmonton-Est"," 16","Edmonton",4,124,59,19,1,207,397
48013,"Edmonton East/Edmonton-Est"," 17","Edmonton",4,39,30,13,0,86,327
48013,"Edmonton East/Edmonton-Est"," 18","Edmonton",5,28,35,9,1,78,227
48013,"Edmonton East/Edmonton-Est"," 19","Edmonton",1,108,42,9,0,160,352
48013,"Edmonton East/Edmonton-Est"," 20","Edmonton",3,67,30,11,0,111,231
48013,"Edmonton East/Edmonton-Est"," 21","Edmonton",5,127,37,14,0,183,368
48013,"Edmonton East/Edmonton-Est"," 22","Edmonton",2,83,63,22,0,170,325
48013,"Edmonton East/Edmonton-Est"," 23","Edmonton",3,124,53,31,2,213,591
48013,"Edmonton East/Edmonton-Est"," 23-1","Edmonton",1,104,41,41,1,188,461
48013,"Edmonton East/Edmonton-Est"," 23-2","Edmonton",0,46,27,10,1,84,216
48013,"Edmonton East/Edmonton-Est"," 24","Edmonton",6,116,61,30,1,214,480
48013,"Edmonton East/Edmonton-Est"," 25","Edmonton",5,111,51,25,2,194,550
48013,"Edmonton East/Edmonton-Est"," 26","Edmonton",0,77,34,23,0,134,344
48013,"Edmonton East/Edmonton-Est"," 26-1","Edmonton",3,110,44,21,1,179,446
48013,"Edmonton East/Edmonton-Est"," 27","Edmonton",1,85,45,17,0,148,292
48013,"Edmonton East/Edmonton-Est"," 27-1","Edmonton",6,105,52,8,0,171,374
48013,"Edmonton East/Edmonton-Est"," 28","Edmonton",6,92,28,12,0,138,361
48013,"Edmonton East/Edmonton-Est"," 28-1","Edmonton",1,92,48,21,4,166,375
48013,"Edmonton East/Edmonton-Est"," 28-2","Edmonton",0,82,22,11,0,115,306
48013,"Edmonton East/Edmonton-Est"," 29","Edmonton",2,111,34,22,1,170,355
48013,"Edmonton East/Edmonton-Est"," 30","Edmonton",6,105,56,34,6,207,502
48013,"Edmonton East/Edmonton-Est"," 31","Edmonton",4,61,42,7,0,114,272
48013,"Edmonton East/Edmonton-Est"," 31-1","Edmonton",3,78,40,6,1,128,350
48013,"Edmonton East/Edmonton-Est"," 32","Edmonton",9,140,71,15,0,235,433
48013,"Edmonton East/Edmonton-Est"," 33","Edmonton",2,125,100,16,1,244,529
48013,"Edmonton East/Edmonton-Est"," 34","Edmonton",3,99,57,2,1,162,268
48013,"Edmonton East/Edmonton-Est"," 35","Edmonton",6,91,57,10,1,165,274
48013,"Edmonton East/Edmonton-Est"," 36","Edmonton",2,108,63,15,0,188,355
48013,"Edmonton East/Edmonton-Est"," 37","Edmonton",1,82,52,3,0,138,270
48013,"Edmonton East/Edmonton-Est"," 38","Edmonton",4,128,69,16,1,218,410
48013,"Edmonton East/Edmonton-Est"," 39","Edmonton",6,44,55,6,0,111,315
48013,"Edmonton East/Edmonton-Est"," 40","Edmonton",7,69,75,14,1,166,385
48013,"Edmonton East/Edmonton-Est"," 41","Edmonton",4,53,34,9,1,101,314
48013,"Edmonton East/Edmonton-Est"," 42","Edmonton",6,59,64,7,1,137,319
48013,"Edmonton East/Edmonton-Est"," 43","Edmonton",15,58,61,20,2,156,430
48013,"Edmonton East/Edmonton-Est"," 44","Edmonton",10,112,49,10,0,181,373
48013,"Edmonton East/Edmonton-Est"," 45","Edmonton",3,81,41,2,0,127,302
48013,"Edmonton East/Edmonton-Est"," 46","Edmonton",2,109,56,8,0,175,336
48013,"Edmonton East/Edmonton-Est"," 47","Edmonton",7,174,68,10,0,259,443
48013,"Edmonton East/Edmonton-Est"," 48","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 49","Edmonton",7,105,57,22,0,191,455
48013,"Edmonton East/Edmonton-Est"," 49-1","Edmonton",9,138,56,10,0,213,550
48013,"Edmonton East/Edmonton-Est"," 49-2","Edmonton",1,120,51,10,0,182,462
48013,"Edmonton East/Edmonton-Est"," 49-3","Edmonton",2,62,37,28,0,129,394
48013,"Edmonton East/Edmonton-Est"," 49-4","Edmonton",1,123,56,13,1,194,533
48013,"Edmonton East/Edmonton-Est"," 49-5","Edmonton",5,114,42,8,0,169,472
48013,"Edmonton East/Edmonton-Est"," 49-6","Edmonton",1,116,50,19,0,186,505
48013,"Edmonton East/Edmonton-Est"," 50","Edmonton",3,93,36,7,0,139,368
48013,"Edmonton East/Edmonton-Est"," 50-1","Edmonton",1,70,34,19,1,125,441
48013,"Edmonton East/Edmonton-Est"," 50-2","Edmonton",3,101,47,20,0,171,524
48013,"Edmonton East/Edmonton-Est"," 50-3","Edmonton",3,63,32,6,0,104,278
48013,"Edmonton East/Edmonton-Est"," 51","Edmonton",8,100,59,5,0,172,500
48013,"Edmonton East/Edmonton-Est"," 51-1","Edmonton",3,79,38,18,0,138,337
48013,"Edmonton East/Edmonton-Est"," 51-2","Edmonton",4,81,36,7,0,128,354
48013,"Edmonton East/Edmonton-Est"," 52","Edmonton",3,142,59,19,0,223,477
48013,"Edmonton East/Edmonton-Est"," 53","Edmonton",5,137,66,15,0,223,468
48013,"Edmonton East/Edmonton-Est"," 54","Edmonton",5,105,64,15,0,189,393
48013,"Edmonton East/Edmonton-Est"," 55","Edmonton",2,130,47,15,1,195,414
48013,"Edmonton East/Edmonton-Est"," 56","Edmonton",2,169,83,36,0,290,543
48013,"Edmonton East/Edmonton-Est"," 57","Edmonton",1,81,35,7,1,125,282
48013,"Edmonton East/Edmonton-Est"," 58","Edmonton",5,81,42,7,0,135,266
48013,"Edmonton East/Edmonton-Est"," 59","Edmonton",1,108,52,3,1,165,328
48013,"Edmonton East/Edmonton-Est"," 60","Edmonton",3,160,80,21,0,264,502
48013,"Edmonton East/Edmonton-Est"," 61","Edmonton",8,119,67,13,0,207,413
48013,"Edmonton East/Edmonton-Est"," 62","Edmonton",5,47,31,6,0,89,241
48013,"Edmonton East/Edmonton-Est"," 62-1","Edmonton",0,84,44,8,1,137,325
48013,"Edmonton East/Edmonton-Est"," 63","Edmonton",5,136,50,11,0,202,397
48013,"Edmonton East/Edmonton-Est"," 64","Edmonton",3,119,74,7,0,203,360
48013,"Edmonton East/Edmonton-Est"," 65","Edmonton",5,85,40,4,0,134,421
48013,"Edmonton East/Edmonton-Est"," 66","Edmonton",3,44,31,5,0,83,235
48013,"Edmonton East/Edmonton-Est"," 67","Edmonton",6,111,62,8,1,188,471
48013,"Edmonton East/Edmonton-Est"," 68","Edmonton",1,64,37,14,2,118,250
48013,"Edmonton East/Edmonton-Est"," 68-1","Edmonton",0,137,70,15,0,222,490
48013,"Edmonton East/Edmonton-Est"," 68-2","Edmonton",2,85,60,13,0,160,473
48013,"Edmonton East/Edmonton-Est"," 68-3","Edmonton",4,84,54,10,1,153,460
48013,"Edmonton East/Edmonton-Est"," 68-4","Edmonton",4,80,36,10,0,130,320
48013,"Edmonton East/Edmonton-Est"," 69","Edmonton",9,114,42,5,1,171,356
48013,"Edmonton East/Edmonton-Est"," 70","Edmonton",7,105,57,5,0,174,326
48013,"Edmonton East/Edmonton-Est"," 71","Edmonton",7,71,49,9,1,137,305
48013,"Edmonton East/Edmonton-Est"," 72","Edmonton",11,108,95,10,1,225,454
48013,"Edmonton East/Edmonton-Est"," 73","Edmonton",2,58,64,9,0,133,324
48013,"Edmonton East/Edmonton-Est"," 74","Edmonton",5,88,90,8,0,191,455
48013,"Edmonton East/Edmonton-Est"," 75","Edmonton",5,125,52,9,0,191,323
48013,"Edmonton East/Edmonton-Est"," 76","Edmonton",6,111,64,13,2,196,451
48013,"Edmonton East/Edmonton-Est"," 77","Edmonton",10,95,54,17,1,177,378
48013,"Edmonton East/Edmonton-Est"," 78","Edmonton",4,117,67,21,0,209,357
48013,"Edmonton East/Edmonton-Est"," 79","Edmonton",3,36,27,9,1,76,203
48013,"Edmonton East/Edmonton-Est"," 80","Edmonton",2,102,54,17,0,175,382
48013,"Edmonton East/Edmonton-Est"," 81","Edmonton",3,85,91,8,1,188,429
48013,"Edmonton East/Edmonton-Est"," 82","Edmonton",9,102,72,8,0,191,420
48013,"Edmonton East/Edmonton-Est"," 83","Edmonton",5,94,64,3,0,166,351
48013,"Edmonton East/Edmonton-Est"," 84","Edmonton",7,63,51,7,1,129,317
48013,"Edmonton East/Edmonton-Est"," 85","Edmonton",4,102,80,7,1,194,506
48013,"Edmonton East/Edmonton-Est"," 86","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 87","Edmonton",3,105,56,4,0,168,322
48013,"Edmonton East/Edmonton-Est"," 88","Edmonton",2,43,38,4,0,87,266
48013,"Edmonton East/Edmonton-Est"," 89","Edmonton",3,38,33,6,2,82,254
48013,"Edmonton East/Edmonton-Est"," 90","Edmonton",3,61,30,4,0,98,291
48013,"Edmonton East/Edmonton-Est"," 91","Edmonton",7,78,57,5,0,147,377
48013,"Edmonton East/Edmonton-Est"," 92","Edmonton",4,74,51,4,0,133,378
48013,"Edmonton East/Edmonton-Est"," 93","Edmonton",4,66,43,4,1,118,356
48013,"Edmonton East/Edmonton-Est"," 94","Edmonton",7,58,35,9,0,109,341
48013,"Edmonton East/Edmonton-Est"," 95","Edmonton",9,66,47,11,0,133,301
48013,"Edmonton East/Edmonton-Est"," 96","Edmonton",4,132,64,4,0,204,428
48013,"Edmonton East/Edmonton-Est"," 97","Edmonton",2,61,49,11,3,126,355
48013,"Edmonton East/Edmonton-Est"," 98","Edmonton",5,64,57,14,0,140,371
48013,"Edmonton East/Edmonton-Est"," 99","Edmonton",4,78,58,11,0,151,318
48013,"Edmonton East/Edmonton-Est"," 100","Edmonton",2,95,50,9,0,156,292
48013,"Edmonton East/Edmonton-Est"," 101","Edmonton",2,107,51,3,0,163,336
48013,"Edmonton East/Edmonton-Est"," 102","Edmonton",7,92,51,10,1,161,301
48013,"Edmonton East/Edmonton-Est"," 103","Edmonton",6,98,75,20,0,199,521
48013,"Edmonton East/Edmonton-Est"," 104","Edmonton",6,148,55,9,0,218,386
48013,"Edmonton East/Edmonton-Est"," 105","Edmonton",6,40,63,11,2,122,315
48013,"Edmonton East/Edmonton-Est"," 106","Edmonton",1,84,63,11,1,160,373
48013,"Edmonton East/Edmonton-Est"," 107","Edmonton",4,153,60,5,1,223,395
48013,"Edmonton East/Edmonton-Est"," 108","Edmonton",2,113,68,6,0,189,346
48013,"Edmonton East/Edmonton-Est"," 109","Edmonton",5,86,65,6,0,162,331
48013,"Edmonton East/Edmonton-Est"," 110","Edmonton",5,95,63,10,0,173,342
48013,"Edmonton East/Edmonton-Est"," 111","Edmonton",9,78,48,16,0,151,372
48013,"Edmonton East/Edmonton-Est"," 112","Edmonton",2,74,46,4,0,126,343
48013,"Edmonton East/Edmonton-Est"," 113","Edmonton",5,92,48,3,1,149,428
48013,"Edmonton East/Edmonton-Est"," 114","Edmonton",7,40,48,6,0,101,402
48013,"Edmonton East/Edmonton-Est"," 115","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 116","Edmonton",3,61,53,7,0,124,303
48013,"Edmonton East/Edmonton-Est"," 117","Edmonton",5,52,63,6,1,127,246
48013,"Edmonton East/Edmonton-Est"," 118","Edmonton",7,49,53,9,2,120,323
48013,"Edmonton East/Edmonton-Est"," 119","Edmonton",2,81,82,6,0,171,390
48013,"Edmonton East/Edmonton-Est"," 120","Edmonton",5,56,57,10,0,128,316
48013,"Edmonton East/Edmonton-Est"," 121","Edmonton",6,56,45,5,0,112,363
48013,"Edmonton East/Edmonton-Est"," 122","Edmonton",11,97,61,11,1,181,477
48013,"Edmonton East/Edmonton-Est"," 123","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 124","Edmonton",5,82,62,4,2,155,358
48013,"Edmonton East/Edmonton-Est"," 125","Edmonton",0,34,70,7,1,112,347
48013,"Edmonton East/Edmonton-Est"," 126","Edmonton",13,65,94,6,1,179,392
48013,"Edmonton East/Edmonton-Est"," 127","Edmonton",9,58,76,3,0,146,318
48013,"Edmonton East/Edmonton-Est"," 128","Edmonton",4,54,62,4,1,125,322
48013,"Edmonton East/Edmonton-Est"," 129","Edmonton",7,67,81,9,0,164,447
48013,"Edmonton East/Edmonton-Est"," 130","Edmonton",9,69,76,8,0,162,548
48013,"Edmonton East/Edmonton-Est"," 131","Edmonton",4,62,64,8,0,138,356
48013,"Edmonton East/Edmonton-Est"," 132","Edmonton",5,42,75,6,0,128,376
48013,"Edmonton East/Edmonton-Est"," 133","Edmonton",4,34,39,4,0,81,318
48013,"Edmonton East/Edmonton-Est"," 134","Edmonton",3,39,23,5,0,70,202
48013,"Edmonton East/Edmonton-Est"," 135","Edmonton",6,71,71,7,1,156,431
48013,"Edmonton East/Edmonton-Est"," 136","Edmonton",10,91,74,10,0,185,457
48013,"Edmonton East/Edmonton-Est"," 137","Edmonton",7,113,62,11,0,193,354
48013,"Edmonton East/Edmonton-Est"," 138","Edmonton",6,130,102,11,2,251,497
48013,"Edmonton East/Edmonton-Est"," 139","Edmonton",2,77,46,7,0,132,267
48013,"Edmonton East/Edmonton-Est"," 140","Edmonton",4,125,83,3,1,216,393
48013,"Edmonton East/Edmonton-Est"," 141","Edmonton",8,112,60,5,0,185,344
48013,"Edmonton East/Edmonton-Est"," 142","Edmonton",6,113,61,7,0,187,355
48013,"Edmonton East/Edmonton-Est"," 143","Edmonton",6,58,67,9,0,140,331
48013,"Edmonton East/Edmonton-Est"," 144","Edmonton",1,58,91,7,0,157,446
48013,"Edmonton East/Edmonton-Est"," 145","Edmonton",7,113,122,9,0,251,518
48013,"Edmonton East/Edmonton-Est"," 146","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 147","Edmonton",6,74,69,5,0,154,372
48013,"Edmonton East/Edmonton-Est"," 148","Edmonton",6,76,53,5,0,140,289
48013,"Edmonton East/Edmonton-Est"," 149","Edmonton",3,70,42,2,1,118,271
48013,"Edmonton East/Edmonton-Est"," 150","Edmonton",3,44,54,2,0,103,245
48013,"Edmonton East/Edmonton-Est"," 151","Edmonton",5,97,67,6,1,176,403
48013,"Edmonton East/Edmonton-Est"," 152","Edmonton",4,70,85,2,1,162,360
48013,"Edmonton East/Edmonton-Est"," 153","Edmonton",7,122,108,8,0,245,413
48013,"Edmonton East/Edmonton-Est"," 154","Edmonton",10,62,74,9,0,155,310
48013,"Edmonton East/Edmonton-Est"," 155","Edmonton",10,98,62,5,0,175,376
48013,"Edmonton East/Edmonton-Est"," 156","Edmonton",4,122,103,7,0,236,391
48013,"Edmonton East/Edmonton-Est"," 157","Edmonton",4,106,76,5,0,191,371
48013,"Edmonton East/Edmonton-Est"," 158","Edmonton",0,143,66,8,0,217,443
48013,"Edmonton East/Edmonton-Est"," 159","Edmonton",6,114,52,5,0,177,346
48013,"Edmonton East/Edmonton-Est"," 160","Edmonton",6,63,59,5,5,138,401
48013,"Edmonton East/Edmonton-Est"," 161","Edmonton",1,43,47,4,0,95,301
48013,"Edmonton East/Edmonton-Est"," 162","Edmonton",7,145,104,5,0,261,544
48013,"Edmonton East/Edmonton-Est"," 163","Edmonton",7,74,55,4,1,141,272
48013,"Edmonton East/Edmonton-Est"," 164","Edmonton",1,90,43,4,1,139,299
48013,"Edmonton East/Edmonton-Est"," 165","Edmonton",2,53,45,8,0,108,416
48013,"Edmonton East/Edmonton-Est"," 166","Edmonton",8,33,68,6,0,115,465
48013,"Edmonton East/Edmonton-Est"," 167","Edmonton",4,80,48,11,0,143,321
48013,"Edmonton East/Edmonton-Est"," 168","Edmonton",3,69,61,6,1,140,330
48013,"Edmonton East/Edmonton-Est"," 169","Edmonton",3,109,69,4,0,185,318
48013,"Edmonton East/Edmonton-Est"," 170","Edmonton",6,91,75,9,1,182,485
48013,"Edmonton East/Edmonton-Est"," 171","Edmonton",7,114,69,7,0,197,355
48013,"Edmonton East/Edmonton-Est"," 172","Edmonton",3,113,61,6,0,183,343
48013,"Edmonton East/Edmonton-Est"," 173","Edmonton",4,109,64,1,1,179,299
48013,"Edmonton East/Edmonton-Est"," 174","Edmonton",8,88,43,5,0,144,286
48013,"Edmonton East/Edmonton-Est"," 175","Edmonton",4,135,72,8,0,219,368
48013,"Edmonton East/Edmonton-Est"," 176","Edmonton",4,35,79,10,0,128,321
48013,"Edmonton East/Edmonton-Est"," 177","Edmonton",8,63,73,1,1,146,296
48013,"Edmonton East/Edmonton-Est"," 178","Edmonton",2,64,82,9,1,158,307
48013,"Edmonton East/Edmonton-Est"," 179","Edmonton",14,79,73,12,1,179,418
48013,"Edmonton East/Edmonton-Est"," 180","Edmonton",11,71,91,10,1,184,416
48013,"Edmonton East/Edmonton-Est"," 181","Edmonton",2,49,41,5,0,97,238
48013,"Edmonton East/Edmonton-Est"," 182","Edmonton",11,56,74,6,0,147,352
48013,"Edmonton East/Edmonton-Est"," 183","Edmonton",9,54,82,15,2,162,379
48013,"Edmonton East/Edmonton-Est"," 184","Edmonton",6,51,115,8,0,180,358
48013,"Edmonton East/Edmonton-Est"," 185","Edmonton",5,65,116,14,1,201,417
48013,"Edmonton East/Edmonton-Est"," 186","Edmonton",8,54,89,5,0,156,398
48013,"Edmonton East/Edmonton-Est"," 187","Edmonton",3,32,52,4,0,91,257
48013,"Edmonton East/Edmonton-Est"," 188","Edmonton",7,66,85,11,0,169,444
48013,"Edmonton East/Edmonton-Est"," 188-1","Edmonton",3,49,46,5,0,103,258
48013,"Edmonton East/Edmonton-Est"," 189","Edmonton",17,168,160,19,1,365,595
48013,"Edmonton East/Edmonton-Est"," 190","Edmonton",6,84,88,8,0,186,311
48013,"Edmonton East/Edmonton-Est"," 191","Edmonton",7,64,108,4,0,183,360
48013,"Edmonton East/Edmonton-Est"," 192","Edmonton",4,57,106,5,0,172,325
48013,"Edmonton East/Edmonton-Est"," 193","Edmonton",8,70,106,8,2,194,397
48013,"Edmonton East/Edmonton-Est"," 194","Edmonton",8,47,101,10,0,166,282
48013,"Edmonton East/Edmonton-Est"," 195","Edmonton",4,60,63,2,0,129,255
48013,"Edmonton East/Edmonton-Est"," 196","Edmonton",4,114,99,13,1,231,407
48013,"Edmonton East/Edmonton-Est"," 197","Edmonton",2,29,59,10,0,100,278
48013,"Edmonton East/Edmonton-Est"," 198","Edmonton",4,71,102,21,0,198,488
48013,"Edmonton East/Edmonton-Est"," 199","Edmonton",Merged with No. 200/Fusionné avec le nº 200,,,,,,189
48013,"Edmonton East/Edmonton-Est"," 200","Edmonton",8,43,128,7,0,186,277
48013,"Edmonton East/Edmonton-Est"," 201","Edmonton",1,42,63,11,1,118,348
48013,"Edmonton East/Edmonton-Est"," 202A","Edmonton",4,28,66,4,0,102,418
48013,"Edmonton East/Edmonton-Est"," 202B","Edmonton",5,37,40,7,1,90,366
48013,"Edmonton East/Edmonton-Est"," 203","Edmonton",5,54,75,15,0,149,376
48013,"Edmonton East/Edmonton-Est"," 204","Edmonton",5,44,53,8,0,110,320
48013,"Edmonton East/Edmonton-Est"," 205","Edmonton",5,29,39,4,1,78,269
48013,"Edmonton East/Edmonton-Est"," 206","Edmonton",5,56,67,6,0,134,463
48013,"Edmonton East/Edmonton-Est"," 207","Edmonton",10,69,100,15,0,194,437
48013,"Edmonton East/Edmonton-Est"," 208","Edmonton",8,57,86,11,0,162,425
48013,"Edmonton East/Edmonton-Est"," 209","Edmonton",3,54,56,11,0,124,261
48013,"Edmonton East/Edmonton-Est"," 210","Edmonton",11,93,108,26,1,239,578
48013,"Edmonton East/Edmonton-Est"," 211","Edmonton",9,38,94,7,1,149,335
48013,"Edmonton East/Edmonton-Est"," 212","Edmonton",9,62,82,26,0,179,466
48013,"Edmonton East/Edmonton-Est"," 213","Edmonton",7,53,123,11,0,194,559
48013,"Edmonton East/Edmonton-Est"," 214","Edmonton",9,52,181,7,1,250,365
48013,"Edmonton East/Edmonton-Est"," 215","Edmonton",10,49,144,14,0,217,351
48013,"Edmonton East/Edmonton-Est"," 216","Edmonton",10,44,112,4,0,170,244
48013,"Edmonton East/Edmonton-Est"," 216-1","Edmonton",12,135,159,15,1,322,490
48013,"Edmonton East/Edmonton-Est"," 400","Edmonton",2,24,22,10,1,59,127
48013,"Edmonton East/Edmonton-Est"," 500","Mobile poll/Bureau itinérant",1,69,25,11,0,106,137
48013,"Edmonton East/Edmonton-Est"," 501","Mobile poll/Bureau itinérant",0,139,22,5,1,167,205
48013,"Edmonton East/Edmonton-Est"," 502","Mobile poll/Bureau itinérant",1,24,25,8,1,59,112
48013,"Edmonton East/Edmonton-Est"," 503","Mobile poll/Bureau itinérant",6,76,35,14,2,133,187
48013,"Edmonton East/Edmonton-Est"," 504","Mobile poll/Bureau itinérant",4,85,42,4,0,135,195
48013,"Edmonton East/Edmonton-Est"," 505","Mobile poll/Bureau itinérant",2,34,20,5,5,66,96
48013,"Edmonton East/Edmonton-Est"," 506","Mobile poll/Bureau itinérant",2,45,49,5,0,101,169
48013,"Edmonton East/Edmonton-Est"," 507","Mobile poll/Bureau itinérant",5,145,30,14,6,200,307
48013,"Edmonton East/Edmonton-Est"," 600","Edmonton",4,329,126,79,2,540,
48013,"Edmonton East/Edmonton-Est"," 601","Edmonton",9,357,108,60,2,536,
48013,"Edmonton East/Edmonton-Est"," 602","Edmonton",16,664,235,90,0,1005,
48013,"Edmonton East/Edmonton-Est"," 603","Edmonton",13,243,108,38,0,402,
48013,"Edmonton East/Edmonton-Est"," 604","Edmonton",4,191,112,23,0,330,
48013,"Edmonton East/Edmonton-Est"," 605","Edmonton",10,118,78,20,1,227,
48013,"Edmonton East/Edmonton-Est"," 606","Edmonton",15,201,132,16,1,365,
48013,"Edmonton East/Edmonton-Est"," 607","Edmonton",10,218,95,14,0,337,
48013,"Edmonton East/Edmonton-Est"," 608","Edmonton",16,176,237,36,4,469,
48013,"Edmonton East/Edmonton-Est"," 609","Edmonton",13,108,148,21,0,290,
48013,"Edmonton East/Edmonton-Est",,Group 1/Groupe 1,9,115,57,121,30,332,485
48013,"Edmonton East/Edmonton-Est",,Group 2/Groupe 2,24,325,231,64,17,661,
